"sex","tTAG_4_mu","tTAG_4_sd","tTAG_4_var","tTAG_4_cv","tTAG_4_se","tTAG_4_n"
"female",0.5181,0.1649,0.0272,31.83,0.013,162
"male",0.3046,0.109,0.0119,35.78,0.0087,158
