"sex","mass_4_mu","mass_4_sd","mass_4_var","mass_4_cv","mass_4_se","mass_4_n"
"female",4.13,0.59,0.35,14.29,0.05,132
"male",2.94,0.36,0.13,12.24,0.03,107
