"COMPOUND","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass"
"Proline",0.287228590281014,0.154811829358108,0.367181902964744,"NS"
"Linoleic Acid",-0.28209950831171,0.162643731987314,0.378576433857503,"NS"
"Dimethylglycine",0.281415630715803,0.163708728154596,0.378576433857503,"NS"
"Methionine",0.278680120332174,0.168017880643552,0.383744542210582,"NS"
"2'-Deoxycytidine",0.271841344373102,0.179137833018618,0.40415242815176,"NS"
"Cystine",-0.269105833989474,0.18372597215913,0.407188557692933,"NS"
"1-Methyladenosine",-0.268421956393566,0.184885615384899,0.407188557692933,"NS"
"3-Aminoisobutyrate",0.261241241636541,0.197368556312927,0.429566857857548,"NS"
"Adenine",-0.255086343273376,0.208517871546489,0.443400071679317,"NS"
"Phosphotyrosine",0.255086343273376,0.208517871546489,0.443400071679317,"NS"
"D-Leucic Acid",-0.24687981212249,0.224036962490019,0.47098679614379,"NS"
"Citrulline",-0.242434607749094,0.232757623971141,0.483822027355743,"NS"
"Xanthosine",0.236963586981836,0.243796222116974,0.501136678796003,"NS"
"Phosphoserine",0.232176443810486,0.25373274066432,0.514814243780378,"NS"
"Citraconic Acid",-0.230808688618672,0.256619496852051,0.514814243780378,"NS"
"Thiamine",0.229782872224811,0.258798511738244,0.514814243780378,"NS"
"o-Phosphoethanolamine",0.228073178235043,0.262456789178242,0.516537297850795,"NS"
"Orotate",0.225337667851414,0.268379212751938,0.51718910790738,"NS"
"Sedoheptulose 7-Phosphate",0.225337667851414,0.268379212751938,0.51718910790738,"NS"
"Inosine",-0.221576341073925,0.276661701584555,0.527653760754049,"NS"
"Agmatine",0.220208585882111,0.279713490428726,0.528030568666472,"NS"
"Arginine",-0.215079503912807,0.291347644909473,0.544437518265176,"NS"
"Ethanolamine",-0.213369809923039,0.295292338891051,0.546290826948444,"NS"
"Guanosine",0.208924605549642,0.30570438696104,0.559953580077152,"NS"
"Tryptophan",0.205163278772153,0.314690207953091,0.570761651679625,"NS"
"2-Aminoisobutyric Acid",0.203795523580338,0.317997634702432,0.571160800193689,"NS"
"Trigonelline",-0.20106001319671,0.32467615496742,0.575620119160607,"NS"
"4-Guanidinobutanoate",-0.196956747621267,0.334852775737998,0.575620119160607,"NS"
"N-Ac-Alanine",0.196614808823313,0.335709413787018,0.575620119160607,"NS"
"Valine",0.196272870025359,0.336567370823015,0.575620119160607,"NS"
"Allantoin",-0.195588992429452,0.338287240037792,0.575620119160607,"NS"
"N-Ac-L-Glutamine",0.195247053631499,0.339149151289222,0.575620119160607,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.19251154324787,0.346091816653074,0.582063509825624,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.190117971662195,0.352235592675573,0.584736682055797,"NS"
"Creatine",-0.189434094066288,0.354002748055401,0.584736682055797,"NS"
