"COMPOUND","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass"
"cGMP",0.185704525224084,0.363731974553523,0.83448258649606,"NS"
"Glutaric Acid",0.184678533372017,0.366435632146626,0.83448258649606,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.18365254151995,0.369150983174692,0.83448258649606,"NS"
"Spermidine",-0.179206576827661,0.381052143211943,0.83448258649606,"NS"
"Fructose",0.176128601271461,0.389418922914339,0.83448258649606,"NS"
"N2,N2-Dimethylguanosine",0.175444606703416,0.391292301773671,0.83448258649606,"NS"
"Phosphoserine",0.175444606703416,0.391292301773671,0.83448258649606,"NS"
"Pantothenate",-0.175102609419394,0.392230907861716,0.83448258649606,"NS"
"N-Ac-Phenylalanine",0.173392622999283,0.396943068171099,0.83448258649606,"NS"
"Ribose-5-P",-0.173392622999283,0.396943068171099,0.83448258649606,"NS"
"Allantoin",-0.171682636579171,0.401687025226822,0.834967411988338,"NS"
"S-Methylcysteine",0.166552677318837,0.416108438246774,0.842044129075084,"NS"
"Cytidine",-0.165526685466771,0.419026622412881,0.842044129075084,"NS"
"Oxalacetate",0.165184688182748,0.420001847910235,0.842044129075084,"NS"
"5,6-Dihydrouracil",0.161764715342526,0.429822489287338,0.842044129075084,"NS"
"Cystathionine",-0.160738723490459,0.432792820926707,0.842044129075084,"NS"
"1-Methylnicotinamide",0.15937073435437,0.436770498010442,0.842044129075084,"NS"
"Alpha-Ketoglutaric Acid",-0.155950761514148,0.446800366096455,0.842044129075084,"NS"
"7-Methylguanine",-0.155608764230125,0.447810049018068,0.842044129075084,"NS"
"Cadaverine",0.155608764230125,0.447810049018069,0.842044129075084,"NS"
"3-Hydroxyisovaleric Acid",0.152872785957947,0.455931037228217,0.842044129075084,"NS"
"Valine",-0.147400829413591,0.472402907231097,0.842044129075084,"NS"
"Glyceraldehyde",-0.141586875585213,0.490234468571685,0.842044129075084,"NS"
"N-Ac-L-Glutamine",-0.138850897313035,0.498741369110712,0.842044129075084,"NS"
"Creatine",0.137482908176946,0.503022175651814,0.842044129075084,"NS"
"Choline",-0.136798913608901,0.505169370281206,0.842044129075084,"NS"
"Cholecalciferol",0.13508892718879,0.510557053468298,0.842044129075084,"NS"
"Glycerophosphocholine",-0.134062935336723,0.513803099114713,0.842044129075084,"NS"
"Linoleic Acid",-0.133378940768679,0.515972698031445,0.842044129075084,"NS"
"N-Ac-Arginine",-0.133378940768679,0.515972698031445,0.842044129075084,"NS"
"Acetylcholine",0.133036943484657,0.517059162624437,0.842044129075084,"NS"
"Asparagine",-0.130984959780523,0.523601147098705,0.842044129075084,"NS"
"2-Aminoisobutyric Acid",0.130300965212479,0.525790601248352,0.842044129075084,"NS"
"3-Aminoisobutyrate",0.130300965212479,0.525790601248352,0.842044129075084,"NS"
"G6P",0.129958967928456,0.526886968568409,0.842044129075084,"NS"
"Adenylosuccinate",-0.129616970644434,0.527984426879512,0.842044129075084,"NS"
"Phosphotyrosine",0.129616970644434,0.527984426879512,0.842044129075084,"NS"
"Pipecolate",-0.129616970644434,0.527984426879512,0.842044129075084,"NS"
"o-Phosphoethanolamine",0.127222989656278,0.53569702333115,0.8470423018484,"NS"
"1-Methyladenosine",0.125171005952145,0.542349796542531,0.850294172545493,"NS"
"Erythrose-4-Phosphate",0.122435027679967,0.551279665097144,0.857031412125812,"NS"
"Lactate",0.118673057555722,0.563667516838768,0.868987421793101,"NS"
"Histidine",-0.115937079283544,0.572754923697149,0.86961518467887,"NS"
"2-Aminoadipate",0.114569090147455,0.577322886695964,0.86961518467887,"NS"
"N-Ac-Alanine",0.114227092863433,0.578467381032835,0.86961518467887,"NS"
"Pyruvate",0.111833111875277,0.586506635446003,0.86961518467887,"NS"
"Carnitine",0.111491114591255,0.587659044317593,0.86961518467887,"NS"
"G1P/F1P/F6P",0.110123125455166,0.592278450105609,0.86961518467887,"NS"
"Homoarginine",-0.107045149898965,0.602728648770228,0.871027430376381,"NS"
"Phosphorylcholine",-0.105677160762876,0.607397969310726,0.871027430376381,"NS"
"Leucine /D-Norleucine",-0.103625177058743,0.614430107189052,0.871027430376381,"NS"
"Tryptophan",-0.102941182490698,0.616781585834085,0.871027430376381,"NS"
"Hydrocinnamic Acid",0.102941182490698,0.616781585834086,0.871027430376381,"NS"
"2'-Deoxycytidine",0.101231196070587,0.622676359675304,0.871063669392635,"NS"
"Sarcosine",0.10020520421852,0.6262241515093,0.871063669392635,"NS"
"Glucoronate",0.0988372150824313,0.630967152621061,0.8711113674246,"NS"
"Myristic Acid",-0.0967852313782978,0.638108358960666,0.874444788205357,"NS"
"Glucose",-0.0937072558220975,0.648879184335593,0.87946861104048,"NS"
"Threonine",-0.093023261254053,0.651282160608355,0.87946861104048,"NS"
"Glucosamine",-0.0848153264375189,0.680376749867545,0.892058589618196,"NS"
"Biopterin",0.0841313318694744,0.682822230450999,0.892058589618196,"NS"
"Uracil",0.0837893345854521,0.684046142114174,0.892058589618196,"NS"
"Agmatine",0.0834473373014299,0.685270831064947,0.892058589618196,"NS"
"Arabitol/Xylitol",-0.0796853671771851,0.698792926968467,0.892058589618196,"NS"
"UDP-Glucose",-0.0776333834730516,0.706206806024068,0.892058589618196,"NS"
"4-Pyridoxic Acid",0.076949388905007,0.708683948352514,0.892058589618196,"NS"
"Adenosine",0.0762653943369625,0.711163977791067,0.892058589618196,"NS"
"Phenylalanine",-0.0759233970529403,0.712405068103073,0.892058589618196,"NS"
"betaAlanine",-0.075581399768918,0.713646871694556,0.892058589618196,"NS"
"5'-Methylthioadenosine",0.075581399768918,0.713646871694557,0.892058589618196,"NS"
"3-(4-Hydroxyphenyl)Propionate",0.068741454088473,0.73862831931317,0.914187565604381,"NS"
"Acetylcarnitine",-0.0666894703843394,0.746174715709522,0.914187565604381,"NS"
"NADH",0.0666894703843394,0.746174715709522,0.914187565604381,"NS"
"n-Glycylproline",0.0642954893961837,0.755007686098609,0.917506308753675,"NS"
"Orotate",-0.0632694975441169,0.758802514807093,0.917506308753675,"NS"
"Uridine",-0.0605335192719389,0.768948457369272,0.919294057805086,"NS"
"Dimethylglycine",0.0601915219879166,0.770219345728586,0.919294057805086,"NS"
"Margaric Acid",0.0574555437157386,0.78040699633937,0.919587861928557,"NS"
"Pyroglutamic Acid",-0.0574555437157386,0.78040699633937,0.919587861928557,"NS"
"Aspartic Acid",-0.0550615627275828,0.789350291869095,0.919915475134378,"NS"
"Tyrosine",0.0547195654435606,0.790630057007384,0.919915475134378,"NS"
"Hypotaurine",-0.0530095790234493,0.797036749194312,0.921573741255923,"NS"
"Lactose/Trehalose",-0.049931603467249,0.808600851186964,0.92913762403471,"NS"
"SAH",-0.045827636058982,0.824080331872744,0.93824128678043,"NS"
"2-isoPropylmalic Acid",-0.0451436414909375,0.826666647271405,0.93824128678043,"NS"
"UMP",-0.0396716849465814,0.847418412580468,0.951737327620672,"NS"
"Neopterin",0.0389876903785369,0.850019651772334,0.951737327620672,"NS"
"Anthranilic Acid",-0.0372777039584256,0.856529381621456,0.951737327620672,"NS"
"Sorbitol",0.0365937093903811,0.859135857906229,0.951737327620672,"NS"
"L-2-Aminobutyric Acid",-0.0338577311182031,0.869575877110304,0.95228824206608,"NS"
"5-Methylcytidine",0.0318057474140696,0.877419976348374,0.95228824206608,"NS"
"1/3-Methylhistidine",0.0311217528460251,0.880037218483038,0.95228824206608,"NS"
"cAMP",0.0287277718578693,0.889207056180571,0.95228824206608,"NS"
"S-Adenosylmethionine (SAM)",0.028385774573847,0.890518193932064,0.95228824206608,"NS"
"D-Leucic Acid",-0.028385774573847,0.890518193932064,0.95228824206608,"NS"
"N-AcetylGlycine",0.0253077990176468,0.902330647053128,0.959374538533499,"NS"
"Aminolevulinate",0.0194938451892685,0.924696400492599,0.969244952741931,"NS"
"Taurine",-0.0191518479052462,0.9260139340222,0.969244952741931,"NS"
"Succinylcarnitine",-0.0188098506212239,0.927331657488226,0.969244952741931,"NS"
"Riboflavin",-0.0174418614851349,0.932604383347255,0.969279836624956,"NS"
"Dimethylarginine (A/SDMA)",0.0150478804969792,0.94183818741138,0.970747892410732,"NS"
"Thiamine",0.0140218886449124,0.945797841265309,0.970747892410732,"NS"
"Phenylacetic Acid",-0.0129958967928456,0.949758748791041,0.970747892410732,"NS"
"Alanine",0.0116279076567566,0.955041750978407,0.970784197423107,"NS"
"Adenine",0.00683994568044507,0.973545397288227,0.981480158046342,"NS"
"iso-Leucine /allo-isoLeucine",-0.00547195654435606,0.978835010922635,0.981480158046342,"NS"
"UDP-GlcNAc",0.00478796197631155,0.981480158046342,0.981480158046342,"NS"
