"COMPOUND","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"Lactate",0.245094285168008,0.237662666064034,0.556551812934764,"NS"
"Urate",0.239707597581898,0.248458878459535,0.56963421710342,"NS"
"Adenylosuccinate",-0.238938070783882,0.250026890467524,0.56963421710342,"NS"
"Cholecalciferol",0.236244726990827,0.25556562172748,0.56963421710342,"NS"
"Retinol",0.236244726990827,0.25556562172748,0.56963421710342,"NS"
"Oxalacetate",0.233166619798765,0.261992267524122,0.57700677966622,"NS"
"Adenine",-0.228164695611662,0.272655828724068,0.593427391928854,"NS"
"N6-Trimethyllysine",-0.225856115217615,0.277669545822258,0.59582380638633,"NS"
"Palmitic Acid",0.224701825020592,0.28019822246276,0.59582380638633,"NS"
"Pyridoxamine",0.219699900833489,0.291323921194461,0.612442334329265,"NS"
"Serine",-0.21777608383845,0.295675758396195,0.614606913520181,"NS"
"L-Kynurenine",-0.214313213247379,0.303610809427464,0.624088886045344,"NS"
"2'-Deoxycytidine",0.208541762262261,0.317126197644223,0.635499519542022,"NS"
"Glutamic acid",-0.207772235464246,0.318955621680553,0.635499519542022,"NS"
"SAH",-0.206233181868214,0.32263375896455,0.635499519542022,"NS"
"Histamine",-0.205463655070198,0.324482465072638,0.635499519542022,"NS"
"FAD",0.204694128272183,0.326337591116173,0.635499519542022,"NS"
"2-Hydroxyglutarate",-0.202770311277143,0.331003466816377,0.637871264177392,"NS"
"Hypotaurine",0.198153150489049,0.342364757900179,0.65296371352096,"NS"
"Pantothenate",-0.19430551649897,0.352007854772888,0.664504623805962,"NS"
"N2,N2-Dimethylguanosine",-0.189688355710876,0.363788880804427,0.679807504533524,"NS"
"Neopterin",-0.186995011917821,0.370766043180348,0.685917179883645,"NS"
"S-Adenosylmethionine (SAM)",-0.184301668124766,0.377820093003031,0.692046705005551,"NS"
"Acetylcarnitine",-0.17814545374064,0.39423038924372,0.706827097160232,"NS"
"N-Ac-L-Glutamine",-0.177760690341632,0.395269201105388,0.706827097160232,"NS"
"Carnitine",0.176991163543617,0.397351449214401,0.706827097160232,"NS"
"Pseudouridine",-0.175452109947585,0.401534406925427,0.707465383630513,"NS"
"Taurine",-0.173143529553538,0.407854838454308,0.711822123717425,"NS"
"Phenylacetic Acid",0.169295895563459,0.418510806466905,0.718379325602638,"NS"
"Agmatine",-0.166987315169412,0.424977024580764,0.718379325602638,"NS"
"Phosphoserine",-0.166987315169412,0.424977024580764,0.718379325602638,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.166217788371396,0.427144463871839,0.718379325602638,"NS"
"NADH",-0.160061573987271,0.444698718684725,0.731536698794206,"NS"
"3HBA",0.158907283790247,0.44803230573555,0.731536698794206,"NS"
"4-Hydroxybenzoic Acid",-0.158137756992231,0.450262033129859,0.731536698794206,"NS"
"Homocitrulline",-0.156983466795208,0.453617591980892,0.731536698794206,"NS"
"iso-Leucine /allo-isoLeucine",-0.1565987033962,0.454739028980182,0.731536698794206,"NS"
"Alpha-Ketoglutaric Acid",-0.155059649800168,0.459239314144267,0.732407526868012,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.152751069406121,0.466033144042465,0.73689001408424,"NS"
"Guanosine",0.148903435416043,0.47747088780962,0.745129815805896,"NS"
"cAMP",0.14582532822398,0.486723135433177,0.745129815805896,"NS"
"n-Glycylproline",-0.145055801425964,0.489050231051655,0.745129815805896,"NS"
"UDP-GlcNAc",-0.144286274627948,0.491382905558482,0.745129815805896,"NS"
"3-Aminoisobutyrate",0.144286274627948,0.491382905558483,0.745129815805896,"NS"
"Fructose",0.142747221031917,0.496064920691424,0.746113905104988,"NS"
"UMP",-0.140823404036878,0.501948503883817,0.748874784020211,"NS"
