"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG"
"Alpha-Ketoglutaric Acid",0.263054187192118,0.167519977504658,0.387274825281324,"NS"
"Homoarginine",0.262068965517241,0.169161621241638,0.387274825281324,"NS"
"L-2-Aminobutyric Acid",0.260098522167488,0.172479496975659,0.387274825281324,"NS"
"Acetylcarnitine",-0.259605911330049,0.173316195317067,0.387274825281324,"NS"
"Methionine",0.259605911330049,0.173316195317067,0.387274825281324,"NS"
"Phosphorylcholine",0.258128078817734,0.175843704452061,0.387274825281324,"NS"
"Pipecolate",0.258128078817734,0.175843704452061,0.387274825281324,"NS"
"Maleic Acid",-0.25615763546798,0.179254495005112,0.390142136187598,"NS"
"Glyceraldehyde",0.251724137931034,0.187100350754677,0.402483312669944,"NS"
"Thiamine",0.24679802955665,0.19609923147991,0.416992618664177,"NS"
"Phosphoserine",0.245320197044335,0.198857120591386,0.418051901243254,"NS"
"Inosine",-0.242857142857143,0.203513710399631,0.423034117122829,"NS"
"iso-Leucine /allo-isoLeucine",0.240886699507389,0.207293302048511,0.426102898655273,"NS"
"Hypotaurine",0.235467980295566,0.217937751487415,0.443060264012876,"NS"
"Pyridoxamine",-0.229064039408867,0.230995249348276,0.459112743220796,"NS"
"Glucosamine",0.22807881773399,0.23305034327155,0.459112743220796,"NS"
"Arabitol/Xylitol",0.227586206896552,0.234082532737983,0.459112743220796,"NS"
"Cholesteryl Sulfate",-0.226108374384236,0.237197695808576,0.459112743220796,"NS"
"N6-Acetyl-Lysine",0.225615763546798,0.238242288374035,0.459112743220796,"NS"
"Dimethylglycine",0.221182266009852,0.247783597038426,0.472576963423803,"NS"
"7-Methylguanine",0.21871921182266,0.253193495163221,0.477242957063588,"NS"
"Pantothenate",0.217241379310345,0.256476970460067,0.477242957063588,"NS"
"Uridine",0.21576354679803,0.259788643826997,0.477242957063588,"NS"
"Glutamine",0.215270935960591,0.26089880715439,0.477242957063588,"NS"
"cGMP",0.214285714285714,0.263128549299924,0.477242957063588,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.211822660098522,0.268757879540431,0.48272046325223,"NS"
"Histidine",0.210344827586207,0.272173214561169,0.48415427590208,"NS"
"Orotate",-0.203448275862069,0.288486341865017,0.508285459476459,"NS"
"Pseudouridine",0.199507389162562,0.298085720641869,0.520243946403262,"NS"
"UDP-GlcNAc",0.190147783251231,0.321693568311834,0.553231546937033,"NS"
"Ergocalciferol",-0.189655172413793,0.322967605779457,0.553231546937033,"NS"
"Phenylacetic Acid",-0.188177339901478,0.32680859882597,0.554675144796371,"NS"
"Ribulose 5-Phosphate",-0.168965517241379,0.379303312928467,0.637919208106968,"NS"
"N-Ac-Arginine",0.164039408866995,0.393521900103894,0.652390211978495,"NS"
"Allantoin",0.163546798029557,0.394960560765359,0.652390211978495,"NS"
"Kynurenic Acid",0.160591133004926,0.403656315588284,0.660853260033916,"NS"
"N2,N2-Dimethylguanosine",0.155665024630542,0.418390740698334,0.672018234453019,"NS"
"NADH",0.155665024630542,0.418390740698334,0.672018234453019,"NS"
"2-isoPropylmalic Acid",-0.154679802955665,0.421373595657028,0.672018234453019,"NS"
"3-Hydroxyisovaleric Acid",-0.152709359605911,0.427375033356427,0.672401020246465,"NS"
"Deoxycarnitine",-0.152216748768473,0.428882812913962,0.672401020246465,"NS"
"Taurine",-0.150246305418719,0.434943488983253,0.676172650940351,"NS"
"Cystathionine",0.14679802955665,0.445662813037628,0.687063503433009,"NS"
"G6P",-0.140886699507389,0.464369855548072,0.705573700428293,"NS"
"Sarcosine",-0.139901477832512,0.467527881940458,0.705573700428293,"NS"
"Citraconic Acid",-0.139408866995074,0.46911116298746,0.705573700428293,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.135467980295566,0.481879141767289,0.718932590539908,"NS"
"gamma-Aminobutyrate",0.133004926108374,0.489950140223144,0.725126207530253,"NS"
"3-Hydroxypropionic Acid",-0.126600985221675,0.51125654676507,0.743721836049742,"NS"
"6-Methyladenosine",-0.126600985221675,0.51125654676507,0.743721836049742,"NS"
"Sucrose",-0.125615763546798,0.514575108185768,0.743721836049742,"NS"
"Anthranilic Acid",-0.116748768472906,0.544917218245615,0.781470429266968,"NS"
