"COMPOUND","Fdeltamass_R_spearman","Fdeltamass_p","Fdeltamass_adj","sig_Fdeltamass"
"Biopterin",-0.270488669502527,0.19096145875142,0.447188226190035,"NS"
"N-Ac-Phenylalanine",0.267025798911456,0.196926929020294,0.45539352335943,"NS"
"Pipecolate",0.261639111325346,0.206457348101757,0.466036540642391,"NS"
"GMP",0.258561004133283,0.212041269991128,0.466036540642391,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.25740671393626,0.214161234033768,0.466036540642391,"NS"
"Phenylacetic Acid",-0.257021950537252,0.214871046219087,0.466036540642391,"NS"
"1-Methyladenosine",-0.256637187138244,0.215582438526754,0.466036540642391,"NS"
"IMP",0.255482896941221,0.217726104233509,0.466036540642391,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.254713370143205,0.219163129923719,0.466036540642391,"NS"
"Nicotinic Acid",-0.249711445956103,0.228658581671621,0.479935817258101,"NS"
"Alanine",-0.248557155759079,0.230888041816059,0.479935817258101,"NS"
"Carnitine",0.24663333876404,0.234635734995876,0.482306788602634,"NS"
"Indole-3-Carboxylic Acid",-0.244324758369993,0.239185736175526,0.484965395836159,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.242400941374953,0.243021458630015,0.484965395836159,"NS"
"Glutamic acid",-0.242016177975945,0.243793415204123,0.484965395836159,"NS"
"Citrulline",-0.23932283418289,0.249242080379388,0.490529626278583,"NS"
"Allantoin",-0.237783780586859,0.252390973637759,0.491498211820899,"NS"
"N-AcetylGlycine",-0.23585996359182,0.256363310561696,0.494033463061601,"NS"
"6-Methyladenosine",-0.231627566202733,0.265244301647492,0.505878307265836,"NS"
"Deoxycarnitine",-0.225471351818607,0.278510821732336,0.525760224698798,"NS"
"Creatine",-0.222778008025552,0.284445010933664,0.53153004616672,"NS"
"Linolenic Acid",-0.221238954429521,0.28787153644098,0.53153004616672,"NS"
"Indole-2-Carboxylic Acid",-0.220084664232497,0.2904584009464,0.53153004616672,"NS"
"Pyroglutamic Acid",-0.218930374035474,0.293059809237867,0.53153004616672,"NS"
"Imidazoleacetic Acid",0.215852266843411,0.300067976140727,0.536500972454209,"NS"
"Tryptophan",0.214697976646387,0.302722680358426,0.536500972454209,"NS"
"Asparagine",0.213928449848371,0.30450055193347,0.536500972454209,"NS"
"Orotate",0.212004632853332,0.308973456822917,0.539246127473959,"NS"
"5,6-Dihydrouracil",0.207772235464246,0.318955621680553,0.547930165902178,"NS"
"Sarcosine",0.207387472065238,0.31987274549965,0.547930165902178,"NS"
"UDP-GlcNAc",0.205848418469206,0.323557309283699,0.549156901077838,"NS"
"N-Ac-Arginine",-0.200846494282104,0.335709374634622,0.564602130067319,"NS"
"Ethanolamine",-0.190073119109884,0.362798439531141,0.604664065885235,"NS"
"Glycerophosphocholine",-0.18545595832179,0.374787536374356,0.615564457143807,"NS"
"Anthranilic Acid",-0.183916904725758,0.378834070377541,0.615564457143807,"NS"
"Valine",0.183147377927742,0.380866706363629,0.615564457143807,"NS"
"N-Acetyl-Aspartate (NAA)",-0.181993087730719,0.383927346790708,0.615564457143807,"NS"
"Cystine",-0.181223560932703,0.385975551506387,0.615564457143807,"NS"
"Pyridoxamine",-0.177760690341632,0.395269201105388,0.620650309991615,"NS"
"Cytidine",0.176606400144609,0.398394882903194,0.620650309991615,"NS"
"Homocitrulline",-0.175836873346593,0.40048636307084,0.620650309991615,"NS"
"Palmitic Acid",-0.175067346548577,0.402583984859426,0.620650309991615,"NS"
"Ribulose 5-Phosphate",0.173528292952546,0.406797610434991,0.621963288681597,"NS"
"Citraconic Acid",-0.170834949159491,0.414230200443522,0.628135959688947,"NS"
"Phosphotyrosine",0.16737207856842,0.423895557267481,0.628389546475069,"NS"
"Glucoronate",0.166987315169412,0.424977024580764,0.628389546475069,"NS"
"Glucose",0.166217788371396,0.427144463871839,0.628389546475069,"NS"
"3-Aminoisobutyrate",0.163524444578341,0.434777632155723,0.628389546475069,"NS"
"Arabitol/Xylitol",0.163524444578341,0.434777632155723,0.628389546475069,"NS"
"Glycerol-3-P",-0.163524444578341,0.434777632155723,0.628389546475069,"NS"
