"COMPOUND","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass"
"Urate",-0.278043612653166,0.0379989055761817,0.0937306337545816,"NS"
"D-Leucic Acid",-0.275616925929334,0.0397807414531688,0.0958847236437306,"NS"
"Histidine",0.275446032498078,0.0399087768679311,0.0958847236437306,"NS"
"Dimethylglycine",0.273258596578004,0.0415778493870923,0.0978013935613648,"NS"
"4-Guanidinobutanoate",-0.273019345774246,0.0417638383316098,0.0978013935613648,"NS"
"PEP",0.271993985186711,0.0425687022651023,0.098440123988049,"NS"
"Creatine",-0.271173696716683,0.0432217334902674,0.0987163048851786,"NS"
"Adenylosuccinate",-0.267550755974061,0.0462050987033657,0.104243210489301,"NS"
"N-Ac-Alanine",0.264201244721447,0.0491112285434077,0.109464786512415,"NS"
"Alpha-Ketoglutaric Acid",0.261979630115122,0.0511197355136845,0.112585131786091,"NS"
"L-Kynurenine",0.260509946606322,0.05248480438672,0.113803569455855,"NS"
"Acetylcholine",0.260065623685057,0.0529032809362355,0.113803569455855,"NS"
"Cystine",-0.259108620470025,0.053813820476415,0.114431687219963,"NS"
"Thiamine",0.251965275043533,0.061019001926819,0.128278583596153,"NS"
"Allantoin",-0.244958644362046,0.0688214646597791,0.143055853506282,"NS"
"Glucose",0.240310343031888,0.0744234085517436,0.151905858376936,"NS"
"Arginine",-0.24007109222813,0.0747212600664931,0.151905858376936,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.236892474406772,0.0787689102768395,0.158394004361036,"NS"
"Adenine",-0.225681865316393,0.0944434293340218,0.18783986917324,"NS"
"Arabitol/Xylitol",0.224588147356356,0.0960942257128295,0.18783986917324,"NS"
"3-Aminoisobutyrate",0.224348896552598,0.0964583111970693,0.18783986917324,"NS"
"Phenylacetic Acid",-0.218641055948654,0.105466342864508,0.203242431561812,"NS"
"N-Ac-L-Glutamine",0.21645362002858,0.109085528934821,0.208049720133421,"NS"
"Guanosine",0.214813043088525,0.111861991530373,0.211168045235909,"NS"
"Valine",0.213411716952227,0.11427617949445,0.213546396024983,"NS"
"Adenosine",-0.212078748188432,0.116609398819055,0.215727387815251,"NS"
"Pantothenate",-0.207738055034535,0.124459731361893,0.227970795068814,"NS"
"N-AcetylGlycine",-0.206849409192005,0.126115167011904,0.228738293109825,"NS"
"Imidazoleacetic Acid",0.196048944336639,0.147588699101205,0.264850457617174,"NS"
"Deoxycarnitine",-0.195433727984118,0.148888905903709,0.264850457617174,"NS"
"1-Methyladenosine",-0.190375282418947,0.159903347405841,0.281734469238863,"NS"
"Linoleic Acid",-0.189076492341403,0.16282559886902,0.284176752743101,"NS"
"Glucoronate",0.18692323510758,0.167756325532422,0.290045983397178,"NS"
"Homoarginine",0.18278761407119,0.177530499984688,0.299195296058973,"NS"
"Anthranilic Acid",-0.18248000589493,0.17827363091605,0.299195296058973,"NS"
"Tyrosine",-0.182445827208679,0.17835633968669,0.299195296058973,"NS"
"Xanthurenic Acid",0.181967325601162,0.179517177635384,0.299195296058973,"NS"
"Cholesteryl Sulfate",-0.180976143699879,0.181939115036816,0.300524431087599,"NS"
"Tryptophan",0.174789801488419,0.19758911716469,0.323486607747501,"NS"
"L-2-Aminobutyric Acid",0.172431472137089,0.203800117076012,0.329025020495684,"NS"
"o-Phosphoethanolamine",0.17215804264708,0.204529066794614,0.329025020495684,"NS"
"Citrulline",-0.169765534609499,0.210986080360381,0.3364864212644,"NS"
"S-Methylcysteine",-0.163032333418021,0.229922870970386,0.363553257517277,"NS"
"Xanthosine",0.160366395890431,0.237735747825035,0.372721299556198,"NS"
"Orotate",0.158725818950375,0.242633238628091,0.377202934001654,"NS"
