"COMPOUND","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG"
"Methionine",-0.129769317143931,0.295260306396022,0.691432363079293,"NS"
"GMP",0.127973340126716,0.302051091347358,0.698493148740765,"NS"
"S-Adenosylmethionine (SAM)",-0.126656290314091,0.307095002317696,0.701389820108318,"NS"
"Aminolevulinate",0.123942369488076,0.317659290729784,0.708560962006792,"NS"
"Myristic Acid",0.123882503587502,0.317894918089534,0.708560962006792,"NS"
"UDP-Glucose",-0.120190773052114,0.332641225646351,0.732602699340178,"NS"
"5'-Methylthioadenosine",-0.117277299224186,0.344578427359981,0.738813414397732,"NS"
"Indole-2-Carboxylic Acid",0.116818327319787,0.346482986252057,0.738813414397732,"NS"
"2-Aminoisobutyric Acid",0.115421456306397,0.35231965357637,0.738813414397732,"NS"
"Fructose",0.114962484401997,0.354250604347849,0.738813414397732,"NS"
"Homocitrulline",-0.114683110199319,0.355429156115666,0.738813414397732,"NS"
"5-Methylcytidine",0.110771871361827,0.372181711200682,0.752267930554635,"NS"
"N-Ac-Arginine",-0.11003352525475,0.375396971857797,0.752267930554635,"NS"
"3HBA",0.109993614654367,0.375571245777834,0.752267930554635,"NS"
"Dimethylglycine",-0.106900543124718,0.389225539216905,0.752267930554635,"NS"
"Carnitine",-0.104007024596981,0.402262187448573,0.752267930554635,"NS"
"Nicotinic Acid",-0.103847382195451,0.402988815456341,0.752267930554635,"NS"
"Lysine",-0.101871807476514,0.41204423511251,0.752267930554635,"NS"
"Erythrose-4-Phosphate",0.101512612073071,0.413703243793093,0.752267930554635,"NS"
"Histamine",0.101213282570201,0.415088696152353,0.752267930554635,"NS"
"6-Methyladenosine",-0.100614623564463,0.417867620830161,0.752267930554635,"NS"
"Carnosine",0.100215517560637,0.419726168511227,0.752267930554635,"NS"
"Lactate",0.0999760539583417,0.420843571185791,0.752267930554635,"NS"
"2-isoPropylmalic Acid",0.0999161880577678,0.421123188110292,0.752267930554635,"NS"
"G6P",0.0995569926543247,0.422803124316256,0.752267930554635,"NS"
"G1P/F1P/F6P",0.0995370373541334,0.422896566365849,0.752267930554635,"NS"
"Indole-3-Carboxylic Acid",0.0973419543330919,0.433247087591572,0.756965793070244,"NS"
"cGMP",-0.0972421778321355,0.433720940894302,0.756965793070244,"NS"
"Sedoheptulose 7-Phosphate",0.0938098661992344,0.450198717395274,0.778380959982483,"NS"
"Acetylcarnitine",-0.0918542467804884,0.459739940058312,0.786102506933965,"NS"
"Phenylacetic Acid",-0.0909762135720718,0.464059445475934,0.786102506933965,"NS"
"Glycerol-3-P",-0.0902977333655681,0.467412301420195,0.786102506933965,"NS"
"Reduced Glutathione",0.0886813540500739,0.475452565834578,0.786993804819666,"NS"
"Imidazoleacetic Acid",-0.0884818010481611,0.476450303458392,0.786993804819666,"NS"
"3-Aminoisobutyrate",0.0871847065357275,0.482962820652431,0.790691343546015,"NS"
"Acetylcholine",0.084151500906652,0.498374586014662,0.796588841655279,"NS"
"2-Hydroxyphenylacetate",0.0830739146963226,0.503910659606255,0.796588841655279,"NS"
"Serine",-0.0829142722947923,0.50473350575506,0.796588841655279,"NS"
"Citrulline",0.0809985634764289,0.514661352237129,0.796588841655279,"NS"
"Adenosine",0.0808389210748986,0.515493123336396,0.796588841655279,"NS"
"Putrescine",0.0799010219659082,0.52039350471133,0.796588841655279,"NS"
"N-Ac-Alanine",0.0794220947613173,0.522904839531483,0.796588841655279,"NS"
