"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG"
"Xanthosine",0.27487684729064,0.1487063981992,0.352701072651948,"NS"
"Alanine",0.272906403940887,0.151729665969786,0.355316306384943,"NS"
"Pantothenate",0.268965517241379,0.157910143546939,0.356261068151749,"NS"
"Ergocalciferol",-0.267980295566502,0.15948337728765,0.356261068151749,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.266502463054187,0.161864456747125,0.356261068151749,"NS"
"Uridine",0.266502463054187,0.161864456747125,0.356261068151749,"NS"
"2'-Deoxycytidine",0.266009852216749,0.162663828226796,0.356261068151749,"NS"
"Inosine",-0.264532019704433,0.165079037481581,0.356261068151749,"NS"
"Phosphorylcholine",0.263546798029557,0.166703464886958,0.356261068151749,"NS"
"betaAlanine",0.26256157635468,0.168339361586039,0.356261068151749,"NS"
"Sorbitol",-0.261083743842364,0.170814783597745,0.356261068151749,"NS"
"Sucrose",-0.260591133004926,0.171645694398996,0.356261068151749,"NS"
"Proline",0.259605911330049,0.173316195317067,0.356261068151749,"NS"
"Pseudouridine",0.252216748768473,0.186216798205718,0.378572611736899,"NS"
"2-Hydroxyglutarate",-0.249753694581281,0.190664192949268,0.38340082277842,"NS"
"cAMP",0.246305418719212,0.197015529854967,0.391912613152353,"NS"
"Guanosine",0.244334975369458,0.200710724603969,0.395015787784407,"NS"
"Histamine",-0.239901477832512,0.209201270230863,0.40739194729168,"NS"
"Cytidine",0.233497536945813,0.22190009789471,0.425115420077839,"NS"
"5-Methylcytidine",0.233004926108374,0.222898355392164,0.425115420077839,"NS"
"6-Methyladenosine",-0.225615763546798,0.238242288374034,0.449743095399962,"NS"
"n-Glycylproline",0.220197044334975,0.24993818098366,0.467056196787647,"NS"
"Threonine",0.213300492610837,0.265370852928148,0.485399602020793,"NS"
"L-2-Aminobutyric Acid",0.212807881773399,0.266496717971432,0.485399602020793,"NS"
"Pipecolate",0.212315270935961,0.267625726519572,0.485399602020793,"NS"
"2-Aminoadipate",0.210344827586207,0.272173214561169,0.488854802852586,"NS"
"N2,N2-Dimethylguanosine",0.208374384236453,0.276771069410897,0.492333152317461,"NS"
"Hypoxanthine",-0.201477832512315,0.293260781978953,0.516697568248631,"NS"
"Trigonelline",-0.2,0.296874751456154,0.518130462447062,"NS"
"Citraconic Acid",-0.196551724137931,0.305417814999768,0.52805883901829,"NS"
"Deoxyguanosine",0.194581280788177,0.310368986571085,0.531650578848618,"NS"
"Sedoheptulose 7-Phosphate",0.188669950738916,0.325525121932033,0.552496766581891,"NS"
"Asparagine",0.183251231527094,0.339816143189293,0.566360238648822,"NS"
"Dimethylglycine",0.183251231527094,0.339816143189293,0.566360238648822,"NS"
"Glucosamine",0.18128078817734,0.34510694900024,0.570042728259324,"NS"
"Homoarginine",0.177832512315271,0.354486177859068,0.577457282236511,"NS"
"Ribulose 5-Phosphate",-0.177339901477832,0.355838541486283,0.577457282236511,"NS"
"Glutamine",0.17487684729064,0.362647015536764,0.583388677167838,"NS"
"Margaric Acid",-0.167487684729064,0.38353673171832,0.607318808282714,"NS"
"4-Guanidinobutanoate",-0.166502463054187,0.386374347483772,0.607318808282714,"NS"
"Imidazoleacetic Acid",0.16551724137931,0.389224206443145,0.607318808282714,"NS"
"Putrescine",0.165024630541872,0.390653719922394,0.607318808282714,"NS"
"Thiamine",0.163546798029557,0.394960560765359,0.608278483002501,"NS"
"1-Methyladenosine",-0.16256157635468,0.397847007801636,0.608278483002501,"NS"
