"COMPOUND","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG"
"UDP-GlcNAc",-0.155365686944634,0.252119654541578,0.571979792249607,"NS"
"Histamine",0.154477101845523,0.254867993786557,0.571979792249607,"NS"
"Indole-2-Carboxylic Acid",0.152973342447027,0.259565345423554,0.571979792249607,"NS"
"Cholecalciferol",0.152494873547505,0.261072185670599,0.571979792249607,"NS"
"Myristic Acid",0.152221462747779,0.261935890603794,0.571979792249607,"NS"
"5'-Methylthioadenosine",0.151948051948052,0.262801526168739,0.571979792249607,"NS"
"Erythrose-4-Phosphate",-0.150580997949419,0.267158687975951,0.574701828785476,"NS"
"4-Guanidinobutanoate",0.143814080656186,0.289440237123169,0.615476366296393,"NS"
"Cystathionine",-0.141763499658237,0.296427314540584,0.621551547672721,"NS"
"Orotate",-0.141011619958988,0.299016690502012,0.621551547672721,"NS"
"Phosphotyrosine",0.13984962406015,0.303047433998393,0.622930836552252,"NS"
"Argininosuccinate",-0.138072453861928,0.309280181364497,0.628756412664087,"NS"
"Pyroglutamic Acid",0.137047163362953,0.312913449179877,0.629228131503013,"NS"
"Spermidine",-0.135885167464115,0.317064276374644,0.630719259454937,"NS"
"Sarcosine",0.132057416267943,0.330986347386724,0.651409300707914,"NS"
"Leucine /D-Norleucine",-0.128913192071087,0.342707410499248,0.664977992992393,"NS"
"5,6-Dihydrouracil",-0.127887901572112,0.346584968997168,0.664977992992393,"NS"
"N2,N2-Dimethylguanosine",0.127341079972659,0.348664136866282,0.664977992992393,"NS"
"N6-Trimethyllysine",0.126247436773753,0.352845689157532,0.666086249940239,"NS"
"D-Leucic Acid",0.12323991797676,0.364504229922255,0.679294833950821,"NS"
"Ergocalciferol",0.122556390977444,0.367186396730173,0.679294833950821,"NS"
"Pyridoxamine",-0.120574162679426,0.37503252311285,0.686940760157201,"NS"
"Acetylcarnitine",0.118865345181135,0.38187717329025,0.690850894808431,"NS"
"G6P",-0.118181818181818,0.384635903596046,0.690850894808431,"NS"
"Homoarginine",-0.116336295283664,0.392143851301597,0.696036854529327,"NS"
"Adenylosuccinate",-0.115447710184552,0.395789608746628,0.696036854529327,"NS"
"Ethanolamine",0.114490772385509,0.399738140911655,0.696036854529327,"NS"
"Serine",-0.113807245386193,0.40257266721426,0.696036854529327,"NS"
"1-Methyladenosine",0.11203007518797,0.409997424863713,0.702310403701731,"NS"
"N-Ac-Phenylalanine",-0.106766917293233,0.432448289333423,0.729292352530495,"NS"
"1/3-Methylhistidine",-0.106493506493507,0.433633290693808,0.729292352530495,"NS"
"Pantothenate",0.1053998632946,0.43839163587203,0.730652726453383,"NS"
"3HBA",0.104306220095694,0.44317922864028,0.732037118736177,"NS"
