"COMPOUND","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"Phosphorylcholine",-0.16991452991453,0.40491319953926,0.911075794663562,"NS"
"Agmatine",-0.169230769230769,0.406830485557774,0.911075794663562,"NS"
"Glucosamine",-0.168547008547009,0.408752924092301,0.911075794663562,"NS"
"N2,N2-Dimethylguanosine",0.165128205128205,0.418442121538338,0.912774815685815,"NS"
"Phosphotyrosine",-0.163076923076923,0.424316941345838,0.912774815685815,"NS"
"Azelaic Acid",0.163076923076923,0.424316941345838,0.912774815685815,"NS"
"Proline",-0.156923076923077,0.442214510834289,0.917973403761328,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.156239316239316,0.444228210823164,0.917973403761328,"NS"
"Arginine",-0.154188034188034,0.450299146807264,0.917973403761328,"NS"
"Suberic Acid",0.153504273504273,0.452332702486774,0.917973403761328,"NS"
"2-Hydroxyphenylacetate",-0.148717948717949,0.46670522058968,0.917973403761328,"NS"
"Cholecalciferol",-0.147350427350427,0.470855553435909,0.917973403761328,"NS"
"1-Methyladenosine",-0.146666666666667,0.472937978213946,0.917973403761328,"NS"
"2-Aminoadipate",0.146666666666667,0.472937978213947,0.917973403761328,"NS"
"Glucose",-0.145982905982906,0.475025225924408,0.917973403761328,"NS"
"Homocitrulline",0.145299145299145,0.477117284432366,0.917973403761328,"NS"
"Pseudouridine",0.143931623931624,0.481315784674858,0.917973403761328,"NS"
"UMP",-0.141196581196581,0.489769966905427,0.924565753852082,"NS"
"Anthranilic Acid",0.138461538461538,0.498299704307896,0.929796385967518,"NS"
"gamma-Aminobutyrate",0.137094017094017,0.502592641063523,0.929796385967518,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.132307692307692,0.51776339579784,0.935473135699195,"NS"
"L-2-Aminobutyric Acid",0.130940170940171,0.522138991762802,0.935473135699195,"NS"
"Tryptophan",-0.12957264957265,0.52653263730203,0.935473135699195,"NS"
"N-Acetyl-Aspartate (NAA)",0.12957264957265,0.52653263730203,0.935473135699195,"NS"
"Hypotaurine",0.128205128205128,0.530944212153597,0.935473135699195,"NS"
"1/3-Methylhistidine",0.126153846153846,0.537594924073516,0.938255292015099,"NS"
"N-Ac-L-Glutamine",0.120683760683761,0.555522803645244,0.942815774986025,"NS"
"N-Ac-Alanine",0.117948717948718,0.564589873321584,0.942815774986025,"NS"
"Ergocalciferol",-0.115897435897436,0.571434413759297,0.942815774986025,"NS"
"Lactose/Trehalose",-0.115213675213675,0.573724261569641,0.942815774986025,"NS"
"Glycerol-3-P",0.114529914529915,0.576018247368142,0.942815774986025,"NS"
"Niacinamide",-0.114529914529915,0.576018247368142,0.942815774986025,"NS"
"Sarcosine",0.109059829059829,0.594516956229486,0.942815774986025,"NS"
"Threonine",0.109059829059829,0.594516956229486,0.942815774986025,"NS"
"Creatine",0.108376068376068,0.59684737486366,0.942815774986025,"NS"
"PEP",0.108376068376068,0.59684737486366,0.942815774986025,"NS"
"L-Kynurenine",-0.102222222222222,0.617996890353082,0.942815774986025,"NS"
"Xanthine",-0.101538461538462,0.620366011454673,0.942815774986025,"NS"
"Glutamine",-0.0947008547008547,0.644260889168103,0.942815774986025,"NS"
"Pipecolate",0.094017094017094,0.646670296044988,0.942815774986025,"NS"
"Linolenic Acid",-0.0933333333333333,0.649083241866584,0.942815774986025,"NS"
"Orotate",-0.0933333333333333,0.649083241866584,0.942815774986025,"NS"
"Glutamic acid",0.091965811965812,0.653919666215622,0.942815774986025,"NS"
"G1P/F1P/F6P",-0.0905982905982906,0.658769992962449,0.942815774986025,"NS"
"S-Adenosylmethionine (SAM)",-0.0905982905982906,0.658769992962449,0.942815774986025,"NS"
"3-Aminoisobutyrate",0.0892307692307692,0.663634051272084,0.942815774986025,"NS"
"Succinylcarnitine",-0.0858119658119658,0.675853137451117,0.942815774986025,"NS"
"6-Methyladenosine",0.0851282051282051,0.678306883851975,0.942815774986025,"NS"
"Myristic Acid",0.0851282051282051,0.678306883851975,0.942815774986025,"NS"
"5'-Methylthioadenosine",-0.0844444444444444,0.680763888461994,0.942815774986025,"NS"
"5,6-Dihydrouracil",-0.0837606837606838,0.683224129016616,0.942815774986025,"NS"
"SAH",-0.0837606837606838,0.683224129016616,0.942815774986025,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.0817094017094017,0.69062404231304,0.942815774986025,"NS"
"G6P",-0.081025641025641,0.693097002151889,0.942815774986025,"NS"
"Indole-3-Carboxylic Acid",0.081025641025641,0.693097002151889,0.942815774986025,"NS"
"Margaric Acid",0.081025641025641,0.693097002151889,0.942815774986025,"NS"
"Ribose-5-P",-0.078974358974359,0.700534529769444,0.945977284725162,"NS"
"Dimethylarginine (A/SDMA)",0.0762393162393162,0.710493888003945,0.948945109044856,"NS"
"1-Methylnicotinamide",-0.0755555555555555,0.712991190039108,0.948945109044856,"NS"
"Cytidine",-0.068034188034188,0.740650224396408,0.954295132115925,"NS"
"Erythrose-4-Phosphate",-0.0666666666666667,0.745714857623485,0.954295132115925,"NS"
"N-Ac-Arginine",0.065982905982906,0.748251125809242,0.954295132115925,"NS"
"7-Methylguanine",0.0646153846153846,0.753331442532334,0.954295132115925,"NS"
"Retinol",0.0646153846153846,0.753331442532334,0.954295132115925,"NS"
"Aminolevulinate",0.0632478632478632,0.758421968450439,0.954295132115925,"NS"
"Tyrosine",0.0625641025641026,0.760970997850125,0.954295132115925,"NS"
"Hydrocinnamic Acid",-0.0611965811965812,0.766076464872405,0.954295132115925,"NS"
"Pyridoxamine",0.0598290598290598,0.77119164247079,0.954295132115925,"NS"
"Cadaverine",-0.0591452991452991,0.773752809823723,0.954295132115925,"NS"
"Inosine",-0.0591452991452991,0.773752809823723,0.954295132115925,"NS"
"N-Ac-Phenylalanine",0.055042735042735,0.789168316266519,0.96686184443249,"NS"
"Indole-2-Carboxylic Acid",0.0523076923076923,0.799489637763677,0.972958498932355,"NS"
"Acetylcarnitine",-0.0509401709401709,0.804662974792705,0.972958498932355,"NS"
"Taurine",0.0454700854700855,0.825435959973086,0.97833756871677,"NS"
"Glyceraldehyde",-0.0447863247863248,0.828041108037757,0.97833756871677,"NS"
"Betaine",-0.0434188034188034,0.833256795926601,0.97833756871677,"NS"
