"COMPOUND","MdeltaTAG_R_spearman","MdeltaTAG_p","MdeltaTAG_adj","sig_MdeltaTAG"
"Pipecolate",0.266995073891626,0.161067927299061,0.379049677192635,"NS"
"iso-Leucine /allo-isoLeucine",0.266502463054187,0.161864456747125,0.379049677192635,"NS"
"2-Aminoisobutyric Acid",0.264532019704433,0.165079037481581,0.381745274176157,"NS"
"Ribose-5-P",-0.261576354679803,0.169986760558043,0.387249432485541,"NS"
"Cysteinyl-Glycine (Cys-Gly)",-0.260591133004926,0.171645694398996,0.387249432485541,"NS"
"Dimethylglycine",0.256650246305419,0.178397416700257,0.39763279625961,"NS"
"Hypoxanthine",-0.249261083743842,0.191562578908478,0.421893774977006,"NS"
"Methionine",-0.247290640394089,0.195185926783962,0.42481642888274,"NS"
"Suberic Acid",0.241379310344828,0.20634386544083,0.43287041943111,"NS"
"Aspartic Acid",-0.241379310344828,0.20634386544083,0.43287041943111,"NS"
"Glutaric Acid",0.240886699507389,0.207293302048511,0.43287041943111,"NS"
"3-Aminoisobutyrate",0.240394088669951,0.208245769347939,0.43287041943111,"NS"
"Histamine",0.233497536945813,0.22190009789471,0.456127979005792,"NS"
"Uracil",0.230541871921182,0.22793578904462,0.463385944761041,"NS"
"Aminolevulinate",-0.22512315270936,0.239289986618256,0.480193773348767,"NS"
"L-Kynurenine",-0.224137931034483,0.241394707683434,0.480193773348767,"NS"
"3HBA",0.222660098522167,0.24457512809996,0.48134466700524,"NS"
"Creatine",0.219704433497537,0.251020159097414,0.488828730873911,"NS"
"Succinylcarnitine",-0.218226600985222,0.25428485603125,0.490028107976888,"NS"
"G1P/F1P/F6P",-0.21576354679803,0.259788643826998,0.495473186680356,"NS"
"1-Methyladenosine",0.213300492610837,0.265370852928148,0.500631896688724,"NS"
"Reduced Glutathione",0.211822660098522,0.268757879540431,0.500631896688724,"NS"
"UDP-Glucose",-0.210837438423645,0.271031622686267,0.500631896688724,"NS"
"Phosphotyrosine",0.209852216748768,0.273317954408438,0.500631896688724,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.208374384236453,0.276771069410897,0.501986743539372,"NS"
"G6P",-0.204433497536946,0.286118055397008,0.513901361635403,"NS"
"Pseudouridine",0.199014778325123,0.299299846160577,0.523003107202854,"NS"
"N-AcetylGlycine",0.198522167487685,0.300517127944827,0.523003107202854,"NS"
"N-Acetyl-Aspartate (NAA)",-0.197044334975369,0.304187909621517,0.523003107202854,"NS"
"Niacinamide",0.196551724137931,0.305417814999768,0.523003107202854,"NS"
"5'-Methylthioadenosine",-0.196551724137931,0.305417814999768,0.523003107202854,"NS"
"Succinate",-0.194581280788177,0.310368986571085,0.523003107202854,"NS"
"S-Adenosylmethionine (SAM)",-0.194088669950739,0.3116146651452,0.523003107202854,"NS"
"DCDP",-0.192118226600985,0.316628908144431,0.523003107202854,"NS"
"n-Glycylproline",-0.192118226600985,0.316628908144431,0.523003107202854,"NS"
"Phosphorylcholine",0.180788177339901,0.346437471376603,0.55890379274596,"NS"
"Erythrose-4-Phosphate",-0.180295566502463,0.347771119019241,0.55890379274596,"NS"
"Lactose/Trehalose",-0.179802955665025,0.349107890302787,0.55890379274596,"NS"
"Phenylalanine",-0.179310344827586,0.350447783559629,0.55890379274596,"NS"
"Nicotinic Acid",-0.173399014778325,0.366769351662808,0.579934444936918,"NS"
"Sarcosine",-0.169458128078818,0.377898318784532,0.591862231858528,"NS"
"Sucrose",0.168472906403941,0.380711381573864,0.591862231858528,"NS"
"Ornithine",0.164039408866995,0.393521900103894,0.606679595993503,"NS"
"Myristic Acid",0.162068965517241,0.399294787874677,0.610492031048059,"NS"
"Carnitine",0.158128078817734,0.410985952607912,0.623216403544785,"NS"
"Spermidine",0.15320197044335,0.425870217827837,0.640536506489023,"NS"
"N2,N2-Dimethylguanosine",0.150738916256158,0.433423894644399,0.646640487977531,"NS"
"2-Aminoadipate",0.149261083743842,0.437991502781958,0.648227424117298,"NS"
"Neopterin",0.146305418719212,0.447205829441653,0.651441562572487,"NS"
"UMP",-0.146305418719212,0.447205829441653,0.651441562572487,"NS"
"Kynurenic Acid",0.142857142857143,0.458088089083265,0.66144418771368,"NS"
"Agmatine",0.141871921182266,0.461223244405755,0.66144418771368,"NS"
"Linoleic Acid",0.140394088669951,0.465947444400753,0.66307905549338,"NS"
"Glucoronate",0.138916256157635,0.470697282318686,0.664147217606907,"NS"
"Homoarginine",-0.137931034482759,0.473878014724928,0.664147217606907,"NS"
"5,6-Dihydrouracil",0.136453201970443,0.478670267399694,0.665819544879273,"NS"
"Glycine",-0.133497536945813,0.488330384618564,0.674187471301749,"NS"
"Leucine /D-Norleucine",-0.128571428571429,0.504651722924303,0.691559768451822,"NS"
"5-Methylcytidine",-0.124137931034483,0.519572993421968,0.706772086640177,"NS"
"4-Hydroxybenzoic Acid",-0.120689655172414,0.531327342021308,0.717485826817095,"NS"
"Anthranilic Acid",0.114285714285714,0.553494054661437,0.735959663911414,"NS"
"D-Leucic Acid",0.113793103448276,0.555216997519225,0.735959663911414,"NS"
"Dimethylarginine (A/SDMA)",0.113300492610837,0.556942448365394,0.735959663911414,"NS"
"Pyruvate",0.100985221674877,0.600871313540664,0.788377255354772,"NS"
"N-Ac-Phenylalanine",0.0970443349753694,0.615238442351342,0.801543041091537,"NS"
"Valine",0.0940886699507389,0.626107792780999,0.809999592059334,"NS"
"2'-Deoxycytidine",0.0886699507389162,0.646237280048976,0.829214104552346,"NS"
"Sedoheptulose 7-Phosphate",-0.0876847290640394,0.649924568432919,0.829214104552346,"NS"
"Alpha-Ketoglutaric Acid",0.0842364532019704,0.662894459595258,0.839969007021388,"NS"
"Acetylcarnitine",-0.0822660098522167,0.670349878873295,0.84363760266367,"NS"
"Deoxyguanosine",0.0807881773399015,0.675961993123062,0.844952491403828,"NS"
"Serine",-0.0783251231527093,0.685353870493007,0.847593421487412,"NS"
"NADH",-0.0778325123152709,0.687237909314118,0.847593421487412,"NS"
"Cholesteryl Sulfate",0.0729064039408867,0.706179157772781,0.865186385350759,"NS"
"Guanine",0.0679802955665025,0.725296565529173,0.882762267255902,"NS"
"Choline",0.0665024630541872,0.731064569380229,0.882856091553218,"NS"
"Asparagine",0.0655172413793103,0.734918043779435,0.882856091553218,"NS"
"Citrulline",0.0625615763546798,0.746516578868799,0.887731215155639,"NS"
"Fructose",-0.0605911330049261,0.754279821055805,0.887731215155639,"NS"
"Sorbitol",-0.0605911330049261,0.754279821055805,0.887731215155639,"NS"
"Arabitol/Xylitol",0.0596059113300492,0.758170443214005,0.887731215155639,"NS"
"Phosphoserine",0.0576354679802956,0.765969244542343,0.89122207698323,"NS"
"Xanthine",0.054679802955665,0.777709991610688,0.895895939327713,"NS"
"7-Methylguanine",0.0541871921182266,0.779671601252766,0.895895939327713,"NS"
"Allantoin",0.0527093596059113,0.78556446254999,0.897095219578693,"NS"
"UDP-GlcNAc",-0.0472906403940887,0.807270269985858,0.915109979758424,"NS"
"Oxidized Glutathione",-0.0463054187192118,0.811232630704765,0.915109979758424,"NS"
"Xanthosine",0.0438423645320197,0.821158638848571,0.920693019315064,"NS"
"betaAlanine",-0.0394088669950739,0.839093852930346,0.935134715615145,"NS"
"Thiamine",0.0354679802955665,0.855104125521125,0.941632519175049,"NS"
"Trigonelline",-0.0354679802955665,0.855104125521126,0.941632519175049,"NS"
"N-Ac-L-Glutamine",0.0305418719211823,0.875196975087725,0.958055860303131,"NS"
"L-2-Aminobutyric Acid",0.0266009852216749,0.89132762216861,0.969974177065841,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.0226600985221675,0.907501517694866,0.974351803463053,"NS"
"N-Ac-Arginine",-0.0216748768472906,0.911551002364766,0.974351803463053,"NS"
"Linolenic Acid",-0.0201970443349754,0.917629331090436,0.974351803463053,"NS"
"Tryptophan",0.0197044334975369,0.919656484303602,0.974351803463053,"NS"
"Adenosine",-0.0192118226600985,0.921684138410996,0.974351803463053,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.0123152709359606,0.950116836825366,0.990832247717225,"NS"
"Adenylosuccinate",-0.0113300492610837,0.954184445505196,0.990832247717225,"NS"
"Pyroglutamic Acid",-0.00985221674876847,0.960287973374678,0.990832247717225,"NS"
"Histidine",-0.00886699507389162,0.964358253809065,0.990832247717225,"NS"
"Acetylcholine",0.00591133004926108,0.976574034099932,0.990832247717225,"NS"
"Threonine",0.00591133004926108,0.976574034099932,0.990832247717225,"NS"
"cGMP",-0.00492610837438424,0.980647268115817,0.990832247717225,"NS"
"Guanosine",0.00394088669950739,0.984720986101056,0.990832247717225,"NS"
"Pantothenate",0.00344827586206897,0.986757994755239,0.990832247717225,"NS"
"o-Phosphoethanolamine",0.00246305418719212,0.990832247717225,0.990832247717225,"NS"
