"COMPOUND","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG"
"DCDP",0.130541871921182,0.4980902978806,0.988372320768644,"NS"
"Succinate",-0.129556650246305,0.501365560882175,0.988372320768644,"NS"
"Pyruvate",-0.129064039408867,0.503007282580464,0.988372320768644,"NS"
"5-Methylcytidine",0.12807881773399,0.506298875745992,0.988372320768644,"NS"
"Orotate",-0.127586206896552,0.507948734835404,0.988372320768644,"NS"
"G1P/F1P/F6P",0.126600985221675,0.51125654676507,0.988372320768644,"NS"
"3-Aminoisobutyrate",0.12512315270936,0.516238403980682,0.988372320768644,"NS"
"Hydrocinnamic Acid",-0.121182266009852,0.529640270874375,0.988372320768644,"NS"
"GMP",0.120197044334975,0.533017021231153,0.988372320768644,"NS"
"IMP",0.117733990147783,0.541504295939424,0.988372320768644,"NS"
"Linoleic Acid",0.114778325123153,0.551773627205334,0.988372320768644,"NS"
"Erythrose-4-Phosphate",0.114285714285714,0.553494054661437,0.988372320768644,"NS"
"G6P",0.112315270935961,0.560400844167811,0.988372320768644,"NS"
"Lysine",-0.112315270935961,0.560400844167811,0.988372320768644,"NS"
"Phosphorylcholine",-0.110837438423645,0.565607060133945,0.988372320768644,"NS"
"FAD",0.10935960591133,0.57083543983143,0.988372320768644,"NS"
"Phenylacetic Acid",-0.108866995073892,0.572583122338611,0.988372320768644,"NS"
"Cystine",-0.107881773399015,0.576085774444879,0.988372320768644,"NS"
"Serine",-0.106896551724138,0.579598090124918,0.988372320768644,"NS"
"Adenine",0.106403940886699,0.581357851951895,0.988372320768644,"NS"
"Maleic Acid",0.104433497536946,0.588420738489324,0.988372320768644,"NS"
"Succinylcarnitine",-0.102463054187192,0.595521377258589,0.988372320768644,"NS"
"Reduced Glutathione",0.100492610837438,0.602659239527173,0.988372320768644,"NS"
"Allantoin",0.0995073891625616,0.606241961568285,0.988372320768644,"NS"
"N6-Trimethyllysine",-0.093103448275862,0.629748439333966,0.988372320768644,"NS"
"4-Guanidinobutanoate",-0.0926108374384236,0.631572009107788,0.988372320768644,"NS"
"N6-Acetyl-Lysine",-0.0916256157635468,0.635225596342705,0.988372320768644,"NS"
"1-Methyladenosine",-0.0891625615763547,0.644396748901138,0.988372320768644,"NS"
"Aspartic Acid",0.0866995073891625,0.653620095563888,0.988372320768644,"NS"
"3-Hydroxypropionic Acid",0.0857142857142857,0.657323785713767,0.988372320768644,"NS"
"Arginine",0.0817733990147783,0.67221864283882,0.988372320768644,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.0817733990147783,0.67221864283882,0.988372320768644,"NS"
"N-Ac-Alanine",0.0807881773399015,0.675961993123062,0.988372320768644,"NS"
"Ribose-5-P",-0.0788177339901478,0.683471706090844,0.988372320768644,"NS"
"Thiamine",-0.0783251231527093,0.685353870493007,0.988372320768644,"NS"
"2-Hydroxyphenylacetate",0.0773399014778325,0.689123812475783,0.988372320768644,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0773399014778325,0.689123812475783,0.988372320768644,"NS"
"Arabitol/Xylitol",0.0748768472906404,0.698580938441201,0.988372320768644,"NS"
"N-Ac-Arginine",-0.074384236453202,0.7004778142379,0.988372320768644,"NS"
"Agmatine",0.0733990147783251,0.704276934246188,0.988372320768644,"NS"
"4-Hydroxybenzoic Acid",0.0729064039408867,0.706179157772781,0.988372320768644,"NS"
"Threonine",0.0724137931034483,0.708083143140498,0.988372320768644,"NS"
"Glycerol-3-P",-0.0704433497536946,0.715716494214347,0.988372320768644,"NS"
"Homocitrulline",-0.0689655172413793,0.72145949340289,0.988372320768644,"NS"
"Nicotinic Acid",-0.0679802955665025,0.725296565529174,0.988372320768644,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.067487684729064,0.727217591434392,0.988372320768644,"NS"
"Citrulline",0.0669950738916256,0.72914026296409,0.988372320768644,"NS"
"Imidazoleacetic Acid",0.0650246305418719,0.736847190146695,0.988372320768644,"NS"
"N-Ac-L-Glutamine",-0.0650246305418719,0.736847190146696,0.988372320768644,"NS"
"Lactate",0.0640394088669951,0.740710246970013,0.988372320768644,"NS"
"PEP",0.0625615763546798,0.746516578868799,0.988372320768644,"NS"
"Myristic Acid",0.0591133004926108,0.760117965678548,0.988372320768644,"NS"
"Cholecalciferol",-0.0586206896551724,0.76206694752004,0.988372320768644,"NS"
"Sucrose",-0.0576354679802956,0.765969244542344,0.988372320768644,"NS"
"Betaine",0.0556650246305419,0.77379085701008,0.988372320768644,"NS"
"Methionine",-0.0532019704433497,0.783598848167947,0.988372320768644,"NS"
"Neopterin",-0.0527093596059113,0.78556446254999,0.988372320768644,"NS"
"Phosphotyrosine",-0.0527093596059113,0.78556446254999,0.988372320768644,"NS"
"2-Aminoisobutyric Acid",0.0512315270935961,0.791469131564404,0.988372320768644,"NS"
"Adenosine",-0.0512315270935961,0.791469131564404,0.988372320768644,"NS"
"Carnitine",0.0487684729064039,0.80133563994803,0.988372320768644,"NS"
"Glutamine",0.0487684729064039,0.80133563994803,0.988372320768644,"NS"
"Xanthosine",-0.0477832512315271,0.80529086011407,0.988372320768644,"NS"
"Homoarginine",-0.0472906403940887,0.807270269985858,0.988372320768644,"NS"
"Palmitic Acid",0.0463054187192118,0.811232630704765,0.988372320768644,"NS"
"NAD",0.0443349753694581,0.819171186578995,0.988372320768644,"NS"
"Proline",0.0433497536945813,0.823147192745839,0.988372320768644,"NS"
"Putrescine",0.0433497536945813,0.823147192745839,0.988372320768644,"NS"
"3-Hydroxyisovaleric Acid",-0.0428571428571429,0.825136836390499,0.988372320768644,"NS"
"Acetylcholine",-0.0428571428571429,0.825136836390499,0.988372320768644,"NS"
"Dimethylarginine (A/SDMA)",0.0423645320197044,0.827127557883173,0.988372320768644,"NS"
"Taurine",-0.0413793103448276,0.831112186720911,0.988372320768644,"NS"
"1-Methylnicotinamide",-0.0408866995073892,0.833106070173681,0.988372320768644,"NS"
