"COMPOUND","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG"
"N-Ac-Phenylalanine",-0.154871794871795,0.448270539242654,0.943794608524953,"NS"
"Agmatine",0.153504273504273,0.452332702486774,0.943794608524953,"NS"
"Oxidized Glutathione",-0.152820512820513,0.454371195531768,0.943794608524953,"NS"
"Phosphorylcholine",0.147350427350427,0.47085555343591,0.943794608524953,"NS"
"4-Hydroxybenzoic Acid",0.145982905982906,0.475025225924408,0.943794608524953,"NS"
"Histamine",0.145982905982906,0.475025225924408,0.943794608524953,"NS"
"4-Pyridoxic Acid",0.142564102564103,0.485533379359128,0.943794608524953,"NS"
"Lactate",-0.141880341880342,0.487649305451151,0.943794608524953,"NS"
"N6-Trimethyllysine",0.141880341880342,0.487649305451151,0.943794608524953,"NS"
"G1P/F1P/F6P",-0.141196581196581,0.489769966905427,0.943794608524953,"NS"
"Kynurenic Acid",-0.141196581196581,0.489769966905427,0.943794608524953,"NS"
"Adenine",0.141196581196581,0.489769966905428,0.943794608524953,"NS"
"Valine",-0.140512820512821,0.4918953507132,0.943794608524953,"NS"
"Methionine",0.13982905982906,0.494025443741507,0.943794608524953,"NS"
"Homoarginine",-0.136410256410256,0.504746078865324,0.943794608524953,"NS"
"Indole-3-Carboxylic Acid",0.135042735042735,0.509066823945237,0.943794608524953,"NS"
"o-Phosphoethanolamine",-0.134358974358974,0.511234103106149,0.943794608524953,"NS"
"Oxalacetate",-0.132307692307692,0.51776339579784,0.943794608524953,"NS"
"Niacinamide",0.131623931623932,0.519948930142743,0.943794608524953,"NS"
"1-Methylnicotinamide",-0.13025641025641,0.524333565806696,0.943794608524953,"NS"
"Nicotinic Acid",0.12957264957265,0.52653263730203,0.943794608524953,"NS"
"Deoxycarnitine",0.128888888888889,0.528736191155591,0.943794608524953,"NS"
"Cholecalciferol",0.124786324786325,0.542050783421673,0.943794608524953,"NS"
"Uracil",-0.124102564102564,0.544285281078756,0.943794608524953,"NS"
"Arginine",0.123418803418803,0.5465241360305,0.943794608524953,"NS"
"Erythrose-4-Phosphate",-0.122051282051282,0.551014853025913,0.943794608524953,"NS"
"Carnosine",0.121367521367521,0.553266682378762,0.943794608524953,"NS"
"Aspartic Acid",-0.119316239316239,0.560047855247102,0.943794608524953,"NS"
"D-Leucic Acid",-0.116581196581197,0.569148721500783,0.943794608524953,"NS"
"Phenylacetic Acid",-0.115897435897436,0.571434413759297,0.943794608524953,"NS"
"Proline",0.115213675213675,0.57372426156964,0.943794608524953,"NS"
"ADP",-0.113846153846154,0.578316353477098,0.943794608524953,"NS"
"G6P",-0.111794871794872,0.585235215186849,0.943794608524953,"NS"
"n-Glycylproline",-0.111794871794872,0.585235215186849,0.943794608524953,"NS"
"5'-Methylthioadenosine",0.111111111111111,0.587549623492803,0.943794608524953,"NS"
"Tryptophan",0.104957264957265,0.608558432572926,0.943794608524953,"NS"
"Cholesteryl Sulfate",0.104273504273504,0.610912303911759,0.943794608524953,"NS"
"3-Hydroxypropionic Acid",0.103589743589744,0.613270016972005,0.943794608524953,"NS"
"3HBA",0.102905982905983,0.615631552304537,0.943794608524953,"NS"
"Tyrosine",0.102905982905983,0.615631552304537,0.943794608524953,"NS"
"Sarcosine",-0.10017094017094,0.625115523634358,0.943794608524953,"NS"
"Spermidine",-0.0994871794871795,0.627495874857131,0.943794608524953,"NS"
"7-Methylguanine",0.0994871794871795,0.627495874857131,0.943794608524953,"NS"
"SAH",-0.0960683760683761,0.639452775774101,0.950988505455357,"NS"
"Ergocalciferol",0.0933333333333333,0.649083241866585,0.950988505455357,"NS"
"3-(4-Hydroxyphenyl)Propionate",-0.0926495726495726,0.651499705625802,0.950988505455357,"NS"
"Thiamine",-0.0899145299145299,0.661200316410446,0.950988505455357,"NS"
"Cystathionine",-0.0892307692307692,0.663634051272084,0.950988505455357,"NS"
"N-Ac-Arginine",0.0885470085470085,0.666071175948543,0.950988505455357,"NS"
"Pipecolate",-0.0871794871794872,0.670955507867401,0.950988505455357,"NS"
"Glutaric Acid",0.0864957264957265,0.67340267143055,0.950988505455357,"NS"
"Myristic Acid",0.0755555555555555,0.712991190039109,0.99733462496961,"NS"
"Imidazoleacetic Acid",0.0721367521367521,0.725521302751343,0.99733462496961,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0687179487179487,0.738121908241857,0.99733462496961,"NS"
"Adenosine",0.068034188034188,0.740650224396408,0.99733462496961,"NS"
"S-Methylcysteine",0.068034188034188,0.740650224396408,0.99733462496961,"NS"
"Alpha-Ketoglutaric Acid",0.0673504273504273,0.743181215658525,0.99733462496961,"NS"
"Cysteinyl-Glycine (Cys-Gly)",-0.065982905982906,0.748251125809241,0.99733462496961,"NS"
"L-2-Aminobutyric Acid",-0.0646153846153846,0.753331442532334,0.99733462496961,"NS"
