"COMPOUND","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass"
"L-Kynurenine",-0.171576042664171,0.219281290019085,0.520090239147829,"NS"
"Oxalacetate",0.166495294984809,0.233441887216546,0.543560611545746,"NS"
"Alanine",0.165930767464879,0.235053237425188,0.543560611545746,"NS"
"Histidine",-0.164398478482215,0.239465354678986,0.545882393868819,"NS"
"Cadaverine",0.162100045008218,0.246189196832266,0.545882393868819,"NS"
"2-Hydroxyphenylacetate",0.161938751431095,0.246665818063777,0.545882393868819,"NS"
"Cytidine",-0.161535517488288,0.247860113972869,0.545882393868819,"NS"
"L-2-Aminobutyric Acid",-0.158108028974433,0.258170158491214,0.561899756716171,"NS"
"Trigonelline",0.155688625317594,0.265619137415355,0.571390004905125,"NS"
"Retinol",0.153672455603561,0.271935259571269,0.573021338696752,"NS"
"N-Ac-Alanine",0.153470838632158,0.272572312461158,0.573021338696752,"NS"
"Uracil",0.15169660928381,0.278221083101121,0.578324723300083,"NS"
"1-Methylnicotinamide",0.149196558838409,0.286311032859346,0.586086514804095,"NS"
"Phosphorylcholine",-0.148591707924199,0.288291204579312,0.586086514804095,"NS"
"Homoarginine",-0.147583623067183,0.29161135291987,0.586392394458434,"NS"
"6-Methyladenosine",-0.145123896016063,0.299816756765143,0.596409677436038,"NS"
"Myristic Acid",0.143551283639118,0.305140354281607,0.600542186618055,"NS"
"Linolenic Acid",-0.141010909799437,0.313867739684328,0.611216124648428,"NS"
"UMP",-0.134478519925972,0.337033252904403,0.649491164451192,"NS"
"Aspartic Acid",-0.132704290577623,0.343504656636501,0.655137747193326,"NS"
"3-Aminoisobutyrate",0.130446180497906,0.351851528377372,0.655261729035363,"NS"
"5,6-Dihydrouracil",0.12943809564089,0.355617696012637,0.655261729035363,"NS"
"Tryptophan",-0.129075185092364,0.356979533083582,0.655261729035363,"NS"
"Suberic Acid",0.128873568120961,0.357737484500387,0.655261729035363,"NS"
"Citrulline",-0.125204139241422,0.371703427198737,0.669855699143967,"NS"
"S-Methylcysteine",0.124881552087177,0.372946686550425,0.669855699143967,"NS"
"Ribose-5-P",-0.123107322738828,0.379829175605827,0.673943505434396,"NS"
"Riboflavin",-0.122421825036057,0.38250847605736,0.673943505434396,"NS"
"Sedoheptulose 7-Phosphate",-0.119921774590657,0.392374885899406,0.682607748083457,"NS"
"Glyceraldehyde",-0.118954013127921,0.396233970985991,0.682607748083457,"NS"
"5-Methylcytidine",-0.118389485607992,0.398495334016288,0.682607748083457,"NS"
"Lactate",0.116332992499679,0.406796688810024,0.688686292682731,"NS"
"Lactose/Trehalose",-0.114841026911294,0.412881389579687,0.688686292682731,"NS"
"Adenylosuccinate",-0.114760380122733,0.413211775609639,0.688686292682731,"NS"
"Adenine",0.112824857197262,0.421186506411613,0.695709854340611,"NS"
"Pseudouridine",-0.109961896203336,0.433141625057545,0.709125669341998,"NS"
"1-Methyladenosine",0.107784432912181,0.442360322689342,0.716327850534296,"NS"
"Fructose",0.107098935209409,0.445284880061859,0.716327850534296,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.105606969621025,0.451686907245129,0.720362740003007,"NS"
"Glucose",-0.103147242569906,0.462351000660567,0.72735704514109,"NS"
"G6P",0.10278433202138,0.463935845008912,0.72735704514109,"NS"
"Phosphoserine",0.0998407242388922,0.476898513024901,0.741396847979888,"NS"
"Tyrosine",0.0962116187536336,0.493140978579675,0.748283696720698,"NS"
