"","COMPOUND","best_fit","R_squared","R_adj","sex_p","geno_p","int_p","sex_eta","geno_eta","int_eta","sex_p_adj","geno_p_adj","int_p_adj"
"119","N-Ac-Arginine","AIC_int",0.936095898294769,0.892209948930936,0.0376579902314168,3.25470505110593e-25,0.0131479773759976,0.00662926758033243,0.774371018822194,0.0791537772486637,0.129532577734181,3.01060217227299e-23,0.0215254496863678
"120","N-Ac-L-Glutamine","AIC_int",0.774875221282726,0.620271457585321,0.0444246408822704,3.25018782163426e-11,3.32289749592607e-05,0.0118886876593617,0.500684922653216,0.249087889584708,0.139328293245758,1.50321186750584e-10,0.000161772641249032
"121","N-Ac-Phenylalanine","AIC_sex_geno",0.714139796324852,0.639455598968282,2.45223303487498e-06,8.67280753337453e-18,NA,0.0619877646710649,0.633666607576903,NA,5.40075132680799e-06,5.73024783455103e-17,NA
"122","N-Acetyl-Aspartate (NAA)","AIC_int",0.832687568715927,0.717786260484697,0.116814983650981,1.31442368036091e-13,0.0227491822225368,0.00702694361728536,0.609795530583106,0.13990703020975,0.251288046225947,8.10561269555896e-13,0.0336687896893545
"123","N-AcetylGlycine","AIC_int",0.721685426948305,0.53055373220196,0.138816172526794,3.26220245305322e-08,2.68299775794459e-09,0.00620345309685555,0.357312595694969,0.402203565193102,0.27288571368847,9.73399119056202e-08,4.13628821016458e-08
"124","n-Glycylproline","AIC_int",0.763019448074991,0.600273767837334,0.505703323166603,6.35093394383913e-07,6.15641256336599e-05,0.0015756228668044,0.389258693612592,0.295412928598081,0.62788667641491,1.52587373975356e-06,0.000277789347371392
"125","N2,N2-Dimethylguanosine","AIC_int",0.70995619806446,0.510769490711137,0.978688865592888,0.000131631614702425,0.00841386375948996,3.26979130102892e-06,0.361986987334925,0.254589311398478,0.985221196154011,0.000227587371214473,0.0145473345374359
"126","N6-Acetyl-Lysine","AIC_int",0.800515242345914,0.663519685884675,0.171225183300666,1.12761476449712e-06,5.6322468479206e-05,0.00684126316003933,0.384102104633905,0.302663683762605,0.323231213373706,2.6406168535692e-06,0.000260491416716328
"127","N6-Trimethyllysine","AIC_int",0.915858128202086,0.858073951184241,0.00187634463287648,6.13678300539218e-17,1.10377982094337e-06,0.0210357573242164,0.584367708742748,0.218333638107422,0.0231415838054766,7.22484083261633e-16,8.6367517679646e-06
"128","NAD","AIC_int",0.875193831832139,0.789483571765053,0.00238758012078409,3.86786037335672e-06,7.77197403210454e-14,0.0235367128383789,0.238966743953084,0.532848934653621,0.0259824895497092,8.62113456712041e-06,1.43781519593934e-11
"129","NADH","AIC_int",0.766871205596118,0.606770708234416,0.0262181000798615,3.06793906408471e-07,1.03614884890963e-05,0.0165036658726244,0.369752600660398,0.302697275858867,0.116909203064615,7.5675830247423e-07,6.18346893704134e-05
"130","Neopterin","AIC_int",0.743638351828271,0.567582762119975,0.0334411952873697,2.04724387474144e-05,0.029605302584941,0.0203352197297584,0.391503119100162,0.210439504943228,0.122502885130162,4.16197930579304e-05,0.0405670847511689
"131","Niacinamide","AIC_int",0.649875385508318,0.409428361098368,0.794079438339015,0.762914151807312,0.00693643412813677,0.000422829445140933,0.135379058725225,0.351586040508365,0.890331491471016,0.762914151807312,0.0124586438223816
"132","Nicotinic Acid","AIC_sex_geno",0.597363103215733,0.492169679731555,0.155613153126992,8.02779563393695e-12,NA,0.00723365799613771,0.576751474688078,NA,0.182205274230972,2.65203962906846e-11,NA
"133","o-Phosphoethanolamine","AIC_int",0.895294841612843,0.823388889467445,0.0404909853445443,1.64846023992258e-17,0.00532132536752568,0.00969119001379871,0.670374775990431,0.13098513413935,0.131418110328784,2.1783224598977e-16,0.010148919515384
"134","Ornithine","AIC_int",0.571392537440085,0.277047653513397,0.000310280362746831,0.444186750487453,0.00214245201677191,0.0747084176213826,0.151732227722031,0.33600658290067,0.00574018671081637,0.456525271334326,0.00495442028878503
"135","Orotate","AIC_int",0.730116024486671,0.544774017206433,0.204502809524592,1.17061583443427e-07,0.026369265911112,0.00639767076972822,0.47206674944906,0.192102217570733,0.350676707681509,3.13860767203392e-07,0.0378163890973312
"136","Oxalacetate","AIC_int",0.7031357722872,0.499265158074795,0.255981076964296,0.336946821085517,0.0114254970346445,0.00743463250172615,0.178279601809508,0.307453822304486,0.396868983815036,0.354177056254663,0.0188724727804396
"137","Oxidized Glutathione","AIC_int",0.818660154169944,0.694125561250508,0.0854604528389034,2.30571430334509e-09,3.36563311107886e-09,0.00794973199796762,0.38266131611537,0.376087308577514,0.200128908546799,8.04824803997815e-09,4.78955481191992e-08
"138","Palmitic Acid","AIC_sex_geno",0.620008947714995,0.520732006127021,5.41205827696316e-16,1.01937349458848e-05,NA,0.299205483090817,0.292433902777438,NA,4.76776562494374e-15,1.58474030671319e-05,NA
"139","Pantothenate","AIC_int",0.811900473863983,0.682723690854911,0.0394497996087956,1.07572776616376e-09,5.40003549385102e-06,0.0126605652715839,0.436453133395408,0.282625522328623,0.130325230850486,4.14603409875616e-09,3.70002431986089e-05
"140","PEP","AIC_int",0.756704440996236,0.58962194866835,0.316789941502271,0.0861242602571316,0.0144959742063389,0.00553959436688057,0.227186506538556,0.287815411262407,0.452218611259576,0.0983517786886997,0.0231185795532129
"141","Phenylacetic Acid","AIC_sex",0.194819963047214,0.189027300910863,4.29020117057097e-08,NA,NA,0.176723394835775,NA,NA,1.68869620543751e-07,NA,NA
