"sex","genotype","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"female","138",-5.55663667243652,3.68499584060909,2.68249932339102,0.663859615022012,-2.5940077777754,-1.95422648809748,-0.805859447735981,-5.43052995133514,-2.77127184968294,-0.350073356473802,-1.32961601434863,-0.270690624803843,-0.4385021664863,-0.828772733064813,-0.7651291007803,-1.6862517985991,-2.33124512733461,1.57480817807239,-1.86639836279248,-1.55986894928192,-0.287726297009722,0.66839114446382,1.32162807817479,1.48443634263196
"female","177",-3.54957409467314,5.50281450445278,-2.66202077186609,5.33774589721178,-4.37318557607999,-3.64141501197169,0.390105156853858,2.35835212388344,0.373568634936707,-1.89492018828064,-0.535979189270313,-0.55840831605012,-0.961372009690903,0.352962894862744,0.342177256407949,0.469771382777681,0.755410204114049,2.37758287541494,0.280040504674166,1.51569978388044,0.0264308335963753,0.363896831443677,-0.733556351864182,1.20497207351164
"female","208",-3.96507683135264,5.97360626580055,3.53312915545001,-2.25331693562523,-1.27335913178357,-1.94858237195254,0.574953113742652,0.560268593000183,-2.0689442317915,0.715835805661696,-1.58086062828203,2.26523564117889,0.967885884654346,1.81729890758274,-0.47803877488177,0.474574908497157,0.00473149676308243,0.174599796219453,-1.20816978954574,1.77590622625594,1.75237713752606,-0.332162217413446,-0.575109907166897,-0.00447381862469558
"female","235",-2.70379685315955,2.1372792093274,-2.50450910385812,4.8515092225659,-1.21969113325583,-0.739269654896782,-1.79627461682834,-3.66667989334181,1.34932602025789,1.29000735325765,-0.755268075978766,-0.128979210717703,1.06676739726475,0.597948575777142,-2.65722747228072,-1.39589402373277,1.57504086943137,-3.15612456525972,1.19264433704032,-0.548310526601406,2.13206503667105,-1.38550119996488,0.419583733650449,-0.246721163050407
"female","303",-7.15450812976689,2.55471504063064,5.00315462391558,-0.637103931782586,-2.90235765148769,1.59319467285401,1.01056899262001,-0.0464836127375459,0.717815781620077,1.15974285396989,0.0428027703249648,-2.05774924092642,-1.16284763423781,-0.0791629044377157,-1.0850578704944,-1.65745394018426,2.35648577509101,-0.510052862443439,2.44809276038002,-0.964829415813486,-0.729755472179248,0.285314781159451,-0.0630230550821089,-0.452329318156895
"female","306",-7.46925757504845,0.147159677745739,2.3740034952194,-2.59148829540585,-1.52456924378738,-1.5031884316992,2.01019967718383,1.72000318734608,0.207151729585915,0.373475020440678,0.228307884098555,-1.79729536430334,0.1393737106842,-0.256137870566944,-1.81729374781577,-1.15726087542003,0.419283838205055,-0.900089391891664,0.450656608507518,0.64220572227168,1.64224204305007,1.64027648936488,-0.655137014758609,1.02578308542836
"female","309",-5.12095100479639,-0.266802105205951,-0.115659675667694,-2.50332571384966,-1.56701083526489,-1.97890257432535,-0.243368903890564,2.38141636897545,-0.559746457540567,-0.572116785518365,-0.03031764740992,0.884622275396205,-2.65898387843795,-0.093078626087903,0.208872488999436,0.356462135357759,0.49385276902849,3.09918361971951,1.55056029168506,-0.0289551841732816,0.73880322016606,-1.06659128381464,1.82057113787654,-0.229892720912028
"female","31",-2.9010438488726,-0.257124078370989,3.0938059037754,-1.42703658972542,1.42446161041591,1.64695533399352,-2.13019681960195,1.20193502739914,1.26848146754197,-2.94416771118695,1.02558369251514,-1.2274022166658,3.5155517249095,-0.721765832203541,0.352013709398631,0.386048310447976,-0.44414518951312,0.326348069318984,-1.21515034730201,0.866418401856708,0.712553541120856,0.442227766474142,0.776347166985335,-1.93368433019741
"female","319",-1.24363702258334,6.5956906450675,-0.464017684349338,3.269399523323,1.15443774695447,-3.29326861909896,-2.43200720673731,4.32880976936338,-4.9453030613503,0.936659533222305,1.83556774122313,-0.338591156509671,0.775117830737949,-1.08079730503906,-0.391084257399407,1.17097254944952,-0.945075333150481,-0.838949964451129,0.236064057640412,-1.25505397473116,0.15580750258032,-0.461567132328619,-0.919556224316369,0.689123677087061
"female","320",-4.67210419543548,3.16088090993667,3.19172498300019,-1.34299908091178,-0.203894612391492,-1.46132184419631,-1.69185506450039,0.591942645785228,0.25766099669481,-1.39603410780735,-0.0739162246205996,-0.102194026646112,-0.74648868400025,-0.362143820370988,-0.519758035880933,-2.09127682711359,-0.000157960950582958,0.017867153379106,-1.4268846919835,-0.0496728424276984,0.259379035303576,-2.72558642264179,1.048968868609,-1.28811332808064
