"sex","genotype","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24"
"male","535",9.62742614488331,-0.495866242395551,2.69290587122868,-0.522652496172312,1.60764700868729,-1.10567474263438,1.88476918008183,-2.59656398703244,2.12902374505856,-2.59819680302889,2.71091896792415,-3.21791055269375,1.31634194903021,-2.3639937379049,3.11593558000846,-0.53965908640338,0.124822732146857,-1.02405076896889,-1.0382402039533,1.52503176126234,-2.30292330155889,0.0282338891214117,0.646821264880099,-0.976050650496038
"male","531",12.9270303351112,1.10176196451919,1.40815324925077,-3.47638828510631,-2.01333150884266,-8.04491793903205,-0.566373379534756,-1.65674977173633,0.570829243731199,-0.601482087971769,-0.538425190240906,6.38451247965833,-1.65821048946316,2.5323764027353,0.436341579981267,-3.35490944559177,-3.08176227500855,-5.05130626179456,1.88691310799698,0.608093781418622,-3.11627293919096,0.196386034515147,2.32436457953523,0.791649900751391
"female","406",3.74175382717911,-1.52378371952264,-0.931369968362555,-0.677017784583744,1.1693022254088,-2.29347585904459,0.0189502481148016,0.317019394769609,0.00585859786666069,1.82828385117285,-1.63564310387895,-0.535370253959145,-3.47745014391387,-2.62655079767831,1.59114150219157,-0.0238382368353806,-0.567333357362349,-1.98049393918499,-1.95469146824258,2.66803028515092,1.77414567276644,1.37743499591207,0.685791474359677,-1.42352228734095
"male","853",14.3654891328719,0.540906214697347,1.14909803585795,0.868689383432994,3.68915412184992,-3.36036989668122,1.49770698555789,0.96544354845702,-0.0329048761163098,-1.79828160800807,-1.38185346844962,0.281322046884096,3.87325586615664,-1.84236783363664,-0.160590481645306,-0.577846813969112,0.732368760960845,0.299392326351976,2.45422061470469,-0.475935957686896,-2.29007402688652,2.18251060096514,3.46270998583651,1.12752680985405
"male","566",7.56061853933073,6.75469296709523,-3.54988816565071,5.19522010340992,1.85215974357474,-1.11875062604192,3.08581205711597,-1.09606363271745,1.07619526071414,3.73631885280271,-3.34289916136963,-2.46567854847373,3.36199731245534,0.241048749649667,1.75634161996261,-2.48864897434606,-3.020103336278,1.88592166612789,-0.365392228385527,-1.51949044939066,-1.08203933039335,-2.32956444884745,1.28801108494012,-0.559004922824924
"female","235",-3.32575422716212,1.55529704463768,-4.34099553776062,3.85050937583572,-0.345047506432441,0.885902185829305,-2.11314460119954,-3.04181168429362,0.222545448973601,2.31525391909553,-1.124086056535,-1.22720812632349,1.06780107737457,0.231131062535949,-2.6273827634948,-0.613946082216227,1.47257095446737,-1.91815395960997,0.811195012823061,-0.742234332680551,2.22121117597257,-1.27239567957776,0.0779126060137722,-0.374914938257234
"female","83",4.83837537539193,10.532721124627,3.0064224062499,2.31182379768426,0.70374295253439,3.46542016482181,5.35336605536124,-1.15266641903673,-1.7493002914301,0.958176838468997,1.35603297239361,2.81037241315204,-1.08784028951779,-0.500268558754913,1.85076794121774,0.90924268095082,-0.397182775668809,2.07006787764359,1.58421364780323,3.16519823872343,1.69094928559609,-0.812744399776001,0.159769290565883,-1.63980946570637
"female","319",-4.78555575142331,5.31605254770328,-1.27826795941985,3.78149677303536,-0.0527535362380642,-2.51870564047245,-3.03877656751527,4.03232737648794,-4.15096510361957,0.86052178861176,2.33667990123156,0.521905108538865,1.4631280751158,-1.75453764013674,0.0131147271918477,0.904547904143412,-1.02479386126902,-0.943947711204094,-0.295903855459664,-1.39183869922995,0.430637247045211,-0.401592571091289,-0.446320294203212,0.267048130569376
"female","320",-3.67432231186962,2.76826547078421,4.33769889179202,-2.11179120716362,-0.98194373305361,-1.77811959204266,-1.32456704574969,0.380837105019189,-0.444137358558945,-2.08146624394949,-0.0967824215375343,-0.312836388142218,-0.589978552048072,1.50544992858195,0.117033188607859,-3.14376608014528,-1.49240418215932,-1.54447853574743,-2.96559873141761,-0.566138095260447,-0.286970180875496,-3.38307154190748,0.873636401449938,-1.16575269134695
"female","309",-7.14497359188399,-0.148230665292417,-0.71876012430192,-2.55166052368328,-2.8169528991332,-2.22167529028117,0.0490949575609164,2.47204715021495,-0.679375910122354,-0.961291875894074,-0.0452000713308619,1.56789706408656,-2.66554280496728,0.514594963066092,-0.161684295312349,0.682215451235907,0.57200435495628,2.67235448057865,1.13526879828716,0.112714835519958,0.703601098105531,-1.59197713142846,1.73352830154347,0.176337450605728
