"","rowname","colname","p_M_all","R_M_all"
"1","Cadaverine","S-Adenosylmethionine (SAM)",2.40621195922189e-94,-0.831348191450493
"2","Oxalacetate","S-Adenosylmethionine (SAM)",2.93689127738673e-91,-0.823785166240409
"3","Cadaverine","SAH",6.55249129816494e-114,-0.818304713189624
"4","Betaine","S-Adenosylmethionine (SAM)",5.5811492749041e-118,-0.815381804895872
"5","Glutaric Acid","UDP-GlcNAc",1.80728007464926e-121,-0.811253196930946
"6","Glutaric Acid","S-Adenosylmethionine (SAM)",7.81025451568776e-108,-0.810851297040555
"7","1-Methylnicotinamide","PEP",1.42201979810523e-108,-0.807563025210084
"8","1-Methylnicotinamide","S-Adenosylmethionine (SAM)",4.64606368582733e-87,-0.805809280233833
