"","rowname","colname","pvalue","R_squared"
"66","1-Methyladenosine","gamma-Aminobutyrate",1.33370916627178e-23,-0.266389828331692
"67","1-Methyladenosine","Glucoronate",2.86683269573289e-34,0.393762575452716
"68","1-Methyladenosine","Glucosamine",3.76468461791683e-49,-0.45528918189991
"69","1-Methyladenosine","Glucose",1.32372109723941e-61,-0.489040626739158
"70","1-Methyladenosine","Glutamic acid",1.22269176671208e-08,-0.156761847681836
"71","1-Methyladenosine","Glutamine",2.77026357557334e-24,-0.316952780512864
"72","1-Methyladenosine","Glutaric Acid",2.39142507056525e-16,0.195796052913224
"73","1-Methyladenosine","Glyceraldehyde",1.64687619709286e-54,-0.517325227963526
"74","1-Methyladenosine","Glycerol-3-P",9.40793897308951e-27,-0.264253606746864
"75","1-Methyladenosine","Glycerophosphocholine",2.15622215561831e-27,-0.318840703797252
"76","1-Methyladenosine","Glycine",0.00360615006265358,-0.0892375529774391
"77","1-Methyladenosine","GMP",4.62268522781261e-14,0.292538207971232
"78","1-Methyladenosine","Guanine",0.00398782458927065,-0.0279849308617663
"79","1-Methyladenosine","Guanosine",9.99802849149274e-11,0.116743011259044
"80","1-Methyladenosine","Histamine",5.88743310470858e-13,-0.00210197354338799
"81","1-Methyladenosine","Histidine",8.61796117285445e-24,-0.309683633717197
"82","1-Methyladenosine","Homoarginine",1.56793394729201e-45,-0.367682691896057
"83","1-Methyladenosine","Homocitrulline",2.64351894777515e-32,-0.263774134166702
"84","1-Methyladenosine","Hydrocinnamic Acid",9.76468348535568e-30,0.349651098077829
"85","1-Methyladenosine","Hypotaurine",2.71600779298617e-19,0.200432381523182
"86","1-Methyladenosine","Hypoxanthine",3.67695296049619e-13,0.169142514662443
"87","1-Methyladenosine","Imidazoleacetic Acid",1.35891724313526e-60,-0.5315552891819
"88","1-Methyladenosine","IMP",1.27993035077023e-08,0.318095808895929
"89","1-Methyladenosine","Indole-2-Carboxylic Acid",4.76071935608613e-91,0.613382422192731
"90","1-Methyladenosine","Indole-3-Carboxylic Acid",1.6720637015478e-95,0.651577550408836
"91","1-Methyladenosine","Inosine",2.40257342563032e-11,-0.233271972259086
"92","1-Methyladenosine","iso-Leucine /allo-isoLeucine",9.43990530968115e-18,0.245909499550494
"93","1-Methyladenosine","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",1.48952014813982e-34,-0.334817415129072
"94","1-Methyladenosine","Kynurenic Acid",1.05305089687901e-25,-0.2472794212081
"95","1-Methyladenosine","L-2-Aminobutyric Acid",4.34085582040308e-32,-0.186977182242391
"96","1-Methyladenosine","L-Kynurenine",8.34861341588654e-77,-0.447532000513721
"97","1-Methyladenosine","Leucine /D-Norleucine",8.81424330997447e-11,-0.20530844642322
"98","1-Methyladenosine","Linoleic Acid",7.63160898859185e-56,0.473179502547198
"99","1-Methyladenosine","Linolenic Acid",5.35501899308582e-55,0.56316623143114
"100","1-Methyladenosine","Lysine",5.01463987780351e-40,-0.388732394366197
"101","1-Methyladenosine","Maleic Acid",5.80078101591394e-32,0.335228391626354
"102","1-Methyladenosine","Margaric Acid",1.15723238143677e-18,0.128597114602509
"103","1-Methyladenosine","Methionine",9.91047306825431e-49,-0.479630977353483
"104","1-Methyladenosine","Myristic Acid",1.61831280626759e-46,0.434547711802731
"105","1-Methyladenosine","N-Ac-Alanine",1.02682277680416e-44,0.430690526135537
"106","1-Methyladenosine","N-Ac-Arginine",1.61330415536336e-06,0.0913609315467272
"107","1-Methyladenosine","N-Ac-L-Glutamine",4.26786679053685e-10,-0.281339098420309
"108","1-Methyladenosine","N-Ac-Phenylalanine",2.12206779482127e-64,0.587525150905433
"109","1-Methyladenosine","n-Glycylproline",4.23497489389268e-17,-0.235027184382893
"110","1-Methyladenosine","N6-Acetyl-Lysine",1.78538395927221e-45,-0.362417055524637
"111","1-Methyladenosine","N6-Trimethyllysine",4.31201209868563e-76,-0.517453658118926
"112","1-Methyladenosine","NADH",1.24780900380009e-21,0.322869129671647
"113","1-Methyladenosine","Neopterin",1.22474116048433e-81,0.699610428528619
"114","1-Methyladenosine","Niacinamide",6.01958293128786e-05,-0.018952009931932
"115","1-Methyladenosine","Nicotinic Acid",0.0055019144479529,-0.0910869472152061
"116","1-Methyladenosine","o-Phosphoethanolamine",5.28514251185193e-06,0.211481655892804
"117","1-Methyladenosine","Orotate",0.00280679208955731,-0.128117642022347
"118","1-Methyladenosine","Oxalacetate",8.50693425494644e-82,0.703245001926452
"119","1-Methyladenosine","Palmitic Acid",1.31237094487818e-101,0.728216105141487
"120","1-Methyladenosine","Pantothenate",3.18829397300905e-25,0.143726186908686
"121","1-Methyladenosine","PEP",1.31250890636997e-55,-0.542690183655122
"122","1-Methyladenosine","Phenylacetic Acid",1.51197194761816e-52,0.463585769938782
"123","1-Methyladenosine","Phenylalanine",4.71716862784596e-06,-0.14462091699131
"124","1-Methyladenosine","Phosphoserine",3.51417860854116e-05,0.234718952009932
"125","1-Methyladenosine","Phosphotyrosine",8.30769932078464e-07,-0.155841431568132
"126","1-Methyladenosine","Pipecolate",0.00340595266541696,0.0292692324157712
"127","1-Methyladenosine","Proline",5.79691859663873e-28,0.280328781197825
"128","1-Methyladenosine","Pseudouridine",3.16750836371443e-31,0.269022646517402
"129","1-Methyladenosine","Putrescine",1.86621085735855e-33,-0.227222911939723
"130","1-Methyladenosine","Pyridoxamine",4.45292257819758e-73,0.665272485979708
"131","1-Methyladenosine","Pyroglutamic Acid",1.78775868838403e-20,0.211862665353825
"132","1-Methyladenosine","Pyruvate",3.74227452638408e-21,-0.26052913224025
"133","1-Methyladenosine","Reduced Glutathione",8.74900184378915e-15,0.384528447279421
"134","1-Methyladenosine","Retinol",4.87912561221053e-40,0.400659274797723
"135","1-Methyladenosine","Riboflavin",1.24705559230671e-33,0.216576052057023
"136","1-Methyladenosine","Ribose-5-P",1.35989182876201e-36,-0.299546213450918
"137","1-Methyladenosine","Ribulose 5-Phosphate",3.60280365484991e-68,-0.535403912838735
"138","1-Methyladenosine","S-Adenosylmethionine (SAM)",1.95741581251205e-36,-0.442467571385761
"139","1-Methyladenosine","S-Methylcysteine",2.61963573332567e-71,0.475649642536068
"140","1-Methyladenosine","SAH",4.98502813425818e-34,-0.449381394751488
"141","1-Methyladenosine","Sarcosine",1.12478438495039e-32,0.267849651098078
"142","1-Methyladenosine","Sedoheptulose 7-Phosphate",1.74137773945495e-41,-0.364193672674344
"143","1-Methyladenosine","Serine",0.000117814034031335,0.0582387944689413
"144","1-Methyladenosine","Sorbitol",3.6069400947258e-25,-0.344907744338371
"145","1-Methyladenosine","Spermidine",1.83754765230982e-16,-0.148764930005565
"146","1-Methyladenosine","Suberic Acid",1.9793456232418e-07,0.0405796481013742
"147","1-Methyladenosine","Succinylcarnitine",2.14935763680246e-29,-0.204636328609958
"148","1-Methyladenosine","Taurine",2.0151841154411e-74,0.575919345862408
"149","1-Methyladenosine","Thiamine",2.7774940962401e-14,-0.272554475790916
"150","1-Methyladenosine","Threonine",1.75175804801697e-15,0.185615822595145
"151","1-Methyladenosine","Tyrosine",1.64285893149936e-70,0.457600924697119
"152","1-Methyladenosine","UDP-GlcNAc",1.65693471132249e-21,-0.238999957189948
"153","1-Methyladenosine","UDP-Glucose",2.89593984796765e-41,-0.352279635258359
"154","1-Methyladenosine","Uracil",5.1177358078373e-14,0.293873881587397
"155","1-Methyladenosine","Urate",4.28402656670287e-83,0.739976026370992
"156","1-Methyladenosine","Uridine",3.48713102889427e-38,-0.301382764673145
"157","1-Methyladenosine","Valine",0.00489898570648009,0.109242690183655
"158","1-Methyladenosine","Xanthine",4.86001088679702e-43,0.431015882529218
"159","1-Methyladenosine","Xanthosine",4.54982353793334e-05,0.067117599212295
"160","1-Methylnicotinamide","1/3-Methylhistidine",3.72939065525471e-91,-0.768560297957961
"161","1-Methylnicotinamide","2'-Deoxycytidine",0.00729224285934564,-0.0152018493942378
"162","1-Methylnicotinamide","2-Aminoisobutyric Acid",2.21595181209546e-41,0.482362258658333
"163","1-Methylnicotinamide","2-Hydroxyglutarate",9.12617139513238e-38,-0.455481827133011
"164","1-Methylnicotinamide","2-Hydroxyisobutyrate/2-Hydroxybutyrate",4.96223905054789e-15,0.161402457296973
"165","1-Methylnicotinamide","2-Hydroxyphenylacetate",8.33595281337826e-36,0.43944518172867
"166","1-Methylnicotinamide","2-isoPropylmalic Acid",6.57009410339977e-45,0.365242518943448
"167","1-Methylnicotinamide","3-(4-Hydroxyphenyl)Propionate",5.43490242961656e-91,0.625878676313198
"168","1-Methylnicotinamide","3-Aminoisobutyrate",1.33355681462192e-20,0.361209812063873
"169","1-Methylnicotinamide","3-Hydroxyisovaleric Acid",1.26949443204727e-77,0.671360075345691
"170","1-Methylnicotinamide","3-Hydroxypropionic Acid",5.84168717456608e-28,-0.263701357078642
"171","1-Methylnicotinamide","3HBA",6.04065801236809e-64,0.470225608972987
"172","1-Methylnicotinamide","4-Guanidinobutanoate",8.46885973240626e-60,-0.578415171882358
"173","1-Methylnicotinamide","4-Hydroxybenzoic Acid",5.74077512286002e-07,-0.100697803844343
"174","1-Methylnicotinamide","4-Pyridoxic Acid",2.12432652089122e-09,0.266175778072691
"175","1-Methylnicotinamide","5-Methylcytidine",0.00281438143468656,0.0592277066655251
"176","1-Methylnicotinamide","5,6-Dihydrouracil",1.07992897581672e-07,-0.0764287854788304
"177","1-Methylnicotinamide","6-Methyladenosine",5.19113838132236e-06,0.0196070037244745
"178","1-Methylnicotinamide","7-Methylguanine",6.42649321644809e-06,0.100997474206944
"179","1-Methylnicotinamide","Acetylcarnitine",4.24703541411752e-10,-0.0359347574810566
"180","1-Methylnicotinamide","Adenine",5.34629987963827e-22,0.237244745066142
"181","1-Methylnicotinamide","Adenosine",3.46067571170361e-24,0.308270902007791
"182","1-Methylnicotinamide","Adenylosuccinate",3.22835193081269e-42,0.468624513035661
"183","1-Methylnicotinamide","Adipic Acid / 3-Methylglutaric Acid",5.53685782470063e-17,0.227813690654566
"184","1-Methylnicotinamide","Agmatine",0.00705236077494381,-0.00761590821524894
"185","1-Methylnicotinamide","Alanine",1.33510998440821e-71,0.65793484310116
"186","1-Methylnicotinamide","Allantoin",8.2764903541103e-41,0.282486407808553
"187","1-Methylnicotinamide","Alpha-Ketoglutaric Acid",2.17974744634987e-40,-0.459077871484224
"188","1-Methylnicotinamide","Aminolevulinate",0.000129100559911249,-0.0866903548953294
"189","1-Methylnicotinamide","Arabitol/Xylitol",1.61616303391478e-06,-0.141667023417098
"190","1-Methylnicotinamide","Arginine",5.13943802455627e-118,0.780071920887024
"191","1-Methylnicotinamide","Asparagine",4.45261219982666e-60,-0.462845156042639
"192","1-Methylnicotinamide","Aspartic Acid",2.38530411755591e-19,0.332133224881202
"193","1-Methylnicotinamide","Azelaic Acid",6.55910892604546e-22,0.280328781197825
"194","1-Methylnicotinamide","betaAlanine",3.68174923306279e-27,-0.297739629264951
"195","1-Methylnicotinamide","Betaine",1.19144132428437e-75,0.725356393681236
"196","1-Methylnicotinamide","Biopterin",5.9573469556452e-110,0.712337856928807
"197","1-Methylnicotinamide","Cadaverine",5.78524517379149e-206,0.966000256860311
"198","1-Methylnicotinamide","cAMP",1.76506284118628e-37,-0.341144740785136
"199","1-Methylnicotinamide","Carnitine",2.19780276017807e-30,-0.339732009075731
"200","1-Methylnicotinamide","cGMP",1.3981968675864e-39,-0.366972045036174
"201","1-Methylnicotinamide","Cholecalciferol",6.16405066416214e-29,0.362305749389957
"202","1-Methylnicotinamide","Cholesteryl Sulfate",1.63921944366292e-12,0.0635600839077015
"203","1-Methylnicotinamide","Choline",1.19515365490321e-88,0.755657348345391
"204","1-Methylnicotinamide","Citraconic Acid",3.18302988137028e-77,0.591741941007749
"205","1-Methylnicotinamide","Citrulline",1.00669418393291e-49,0.397187379596729
"206","1-Methylnicotinamide","Creatine",8.23593438270214e-12,0.148041440130143
"207","1-Methylnicotinamide","Cystathionine",2.74555347492552e-06,-0.203056637698532
"208","1-Methylnicotinamide","Cysteinyl-Glycine (Cys-Gly)",1.12153353592863e-34,-0.393595616250696
"209","1-Methylnicotinamide","Cystine",4.86640532217892e-29,-0.43937240464061
"210","1-Methylnicotinamide","D-Leucic Acid",7.35382541573238e-24,0.303450490175093
"211","1-Methylnicotinamide","DCDP",3.55572599462332e-16,-0.329376257545272
"212","1-Methylnicotinamide","Deoxycarnitine",3.42726210185198e-51,-0.482195299456312
"213","1-Methylnicotinamide","Deoxyguanosine",1.58315606152777e-09,-0.206430069780384
"214","1-Methylnicotinamide","DHAP/D-GA3P",1.01795663844705e-53,-0.635669335159896
"215","1-Methylnicotinamide","Dimethylarginine (A/SDMA)",2.32476827592726e-08,-0.115240378440858
"216","1-Methylnicotinamide","Dimethylglycine",4.96949950063699e-14,0.196686501990667
"217","1-Methylnicotinamide","Ergocalciferol",1.60309700336358e-84,0.585692880688386
"218","1-Methylnicotinamide","Erythrose-4-Phosphate",4.42745773076038e-72,-0.616700201207243
"219","1-Methylnicotinamide","Ethanolamine",1.58874778004923e-10,0.11316409092855
"220","1-Methylnicotinamide","FAD",4.21782034129012e-58,0.616961342523225
"221","1-Methylnicotinamide","Fructose",1.362436628051e-22,-0.278445138918618
"222","1-Methylnicotinamide","G1P/F1P/F6P",3.72638940972718e-71,-0.622089986728884
"223","1-Methylnicotinamide","G6P",2.11713864164778e-66,-0.585367524294704
"224","1-Methylnicotinamide","gamma-Aminobutyrate",1.16297849283093e-27,-0.245528490089473
"225","1-Methylnicotinamide","Glucoronate",3.72229305428372e-19,0.289978166873582
"226","1-Methylnicotinamide","Glucosamine",2.2679870118523e-74,-0.569596301211524
"227","1-Methylnicotinamide","Glucose",3.55016701902937e-82,-0.575906502846868
"228","1-Methylnicotinamide","Glutamic acid",3.07778224792183e-05,-0.11568560297958
"229","1-Methylnicotinamide","Glutamine",1.27550651815087e-16,-0.178179716597457
"230","1-Methylnicotinamide","Glutaric Acid",2.17036595824305e-33,0.422672203433366
"231","1-Methylnicotinamide","Glyceraldehyde",5.13949182251182e-84,-0.632235969005523
"232","1-Methylnicotinamide","Glycerol-3-P",1.38317702162761e-24,-0.315184725373518
"233","1-Methylnicotinamide","Glycerophosphocholine",1.4046147633647e-28,-0.386489147651869
"234","1-Methylnicotinamide","GMP",1.34862007964848e-06,0.210929406224582
"235","1-Methylnicotinamide","Guanine",0.000156164734323275,-0.133537394580247
