"","rowname","colname","p_SD","R_SD"
"77","1-Methylnicotinamide","Indole-3-Carboxylic Acid",0.00185071540709268,0.648275862068965
"78","1-Methylnicotinamide","Leucine /D-Norleucine",0.0372289374433194,-0.486699507389162
"79","1-Methylnicotinamide","Maleic Acid",0.0013616216932935,0.698522167487685
"80","1-Methylnicotinamide","N-Ac-Arginine",0.00464161872762766,-0.61231527093596
"81","1-Methylnicotinamide","n-Glycylproline",0.0139711299809279,-0.616256157635468
"82","1-Methylnicotinamide","N6-Acetyl-Lysine",1.23121865143533e-07,-0.86551724137931
"83","1-Methylnicotinamide","N6-Trimethyllysine",0.00110368312688773,-0.715763546798029
"84","1-Methylnicotinamide","Oxalacetate",7.99661977748705e-19,0.978817733990147
"85","1-Methylnicotinamide","Palmitic Acid",4.58034052468424e-07,0.854187192118226
"86","1-Methylnicotinamide","PEP",0.0106730125731859,-0.601970443349754
"87","1-Methylnicotinamide","Phenylacetic Acid",1.81406517500145e-05,0.760098522167488
"88","1-Methylnicotinamide","Phenylalanine",0.0417567497877381,-0.547783251231527
"89","1-Methylnicotinamide","Pyridoxamine",0.000908048388701349,0.697536945812808
"90","1-Methylnicotinamide","Retinol",0.0490181066403086,0.552216748768473
"91","1-Methylnicotinamide","S-Adenosylmethionine (SAM)",0.00052169238630177,-0.764532019704433
"92","1-Methylnicotinamide","S-Methylcysteine",0.00469315858118208,0.553694581280788
"93","1-Methylnicotinamide","SAH",7.16782387717996e-07,-0.877832512315271
"94","1-Methylnicotinamide","Suberic Acid",0.0406087144294337,0.536453201970443
"95","1-Methylnicotinamide","Succinylcarnitine",0.000291970365327336,-0.752216748768473
"96","1-Methylnicotinamide","Taurine",0.0299073080532916,0.452216748768473
"97","1-Methylnicotinamide","Tyrosine",0.00184401869838477,0.617733990147783
"98","1-Methylnicotinamide","Urate",9.46876392993981e-05,0.786206896551724
"99","1/3-Methylhistidine","2'-Deoxycytidine",0.00824560614387032,0.577339901477832
"100","1/3-Methylhistidine","2-Hydroxyphenylacetate",0.00184401869838477,-0.642857142857143
"101","1/3-Methylhistidine","2-isoPropylmalic Acid",0.00984454898666767,-0.623645320197044
"102","1/3-Methylhistidine","3-(4-Hydroxyphenyl)Propionate",0.0105278829275691,-0.624137931034483
"103","1/3-Methylhistidine","3-Hydroxyisovaleric Acid",0.00107629356631203,-0.661083743842364
"104","1/3-Methylhistidine","3-Methyl-3-Hydroxyglutaric Acid",0.000240909132744862,0.748275862068965
"105","1/3-Methylhistidine","4-Guanidinobutanoate",0.00982429996463672,0.522660098522167
"106","1/3-Methylhistidine","Adenosine",0.04982020943095,-0.447290640394089
"107","1/3-Methylhistidine","Adipic Acid / 3-Methylglutaric Acid",0.00365909932558032,-0.614285714285714
"108","1/3-Methylhistidine","Aminolevulinate",0.00797462788304291,0.677832512315271
"109","1/3-Methylhistidine","Arginine",0.00012243608308965,-0.699507389162561
"110","1/3-Methylhistidine","Argininosuccinate",0.0149047001189062,0.573399014778325
"111","1/3-Methylhistidine","Asparagine",0.0095939503257725,0.573891625615763
"112","1/3-Methylhistidine","Azelaic Acid",0.00122526970762084,-0.631527093596059
"113","1/3-Methylhistidine","Betaine",7.6744452448966e-06,-0.819211822660098
"114","1/3-Methylhistidine","Biopterin",0.00423530684954817,-0.604433497536946
"115","1/3-Methylhistidine","Cadaverine",5.17911881761223e-05,-0.800492610837438
"116","1/3-Methylhistidine","cAMP",0.0298655316148424,0.54679802955665
"117","1/3-Methylhistidine","Cholecalciferol",0.0229478342204294,-0.555665024630542
"118","1/3-Methylhistidine","Choline",0.000326633850170282,-0.700492610837438
"119","1/3-Methylhistidine","Citraconic Acid",0.0133188962334146,-0.640886699507389
"120","1/3-Methylhistidine","Creatine",0.0335980627320746,-0.467980295566502
"121","1/3-Methylhistidine","Cystathionine",0.0102099804593027,0.597536945812808
"122","1/3-Methylhistidine","D-Leucic Acid",0.0261533229996631,-0.497044334975369
"123","1/3-Methylhistidine","Ergocalciferol",0.033632577958015,-0.512807881773399
"124","1/3-Methylhistidine","Erythrose-4-Phosphate",0.0166487307139044,0.480788177339901
"125","1/3-Methylhistidine","Glucosamine",0.0314707661033672,0.435960591133005
"126","1/3-Methylhistidine","Glucose",0.0291329146641614,0.501970443349754
"127","1/3-Methylhistidine","Glutaric Acid",0.00172159171821232,-0.680295566502463
"128","1/3-Methylhistidine","Glyceraldehyde",0.0040853108188695,0.616748768472906
"129","1/3-Methylhistidine","Glycerophosphocholine",0.0158449132488403,0.641379310344827
"130","1/3-Methylhistidine","Histamine",0.0480995027340683,-0.455172413793103
"131","1/3-Methylhistidine","Histidine",0.00924299414903743,0.571428571428571
"132","1/3-Methylhistidine","Homoarginine",0.0111203053288397,0.570935960591133
"133","1/3-Methylhistidine","Hydrocinnamic Acid",0.000525325315661882,-0.695073891625616
"134","1/3-Methylhistidine","Imidazoleacetic Acid",0.0129477530000067,0.523645320197044
"135","1/3-Methylhistidine","Indole-2-Carboxylic Acid",0.0433205491165789,-0.476354679802956
"136","1/3-Methylhistidine","Indole-3-Carboxylic Acid",0.032645563088498,-0.498029556650246
"137","1/3-Methylhistidine","Maleic Acid",0.000261301472496035,-0.750738916256158
"138","1/3-Methylhistidine","Methionine",0.0150619188415656,0.548275862068965
"139","1/3-Methylhistidine","N-Ac-Arginine",0.0455348520309211,0.454187192118227
"140","1/3-Methylhistidine","n-Glycylproline",0.00434973522133092,0.598522167487685
"141","1/3-Methylhistidine","N6-Acetyl-Lysine",0.0172778620200087,0.625615763546798
"142","1/3-Methylhistidine","Oxalacetate",7.81439180116677e-05,-0.803940886699507
"143","1/3-Methylhistidine","Palmitic Acid",0.0110477720413623,-0.662068965517241
"144","1/3-Methylhistidine","PEP",0.00154438600812697,0.611330049261084
"145","1/3-Methylhistidine","Phenylacetic Acid",0.004567562002595,-0.647290640394089
"146","1/3-Methylhistidine","Pyridoxamine",0.000152347714366024,-0.696551724137931
"147","1/3-Methylhistidine","Pyruvate",0.0311751129016275,0.466009852216749
"148","1/3-Methylhistidine","Retinol",0.00585819656172548,-0.595073891625616
"149","1/3-Methylhistidine","S-Adenosylmethionine (SAM)",3.66047140621273e-05,0.720197044334975
"150","1/3-Methylhistidine","SAH",5.17911881761223e-05,0.839901477832512
"151","1/3-Methylhistidine","Suberic Acid",0.00208001388729428,-0.617241379310345
"152","1/3-Methylhistidine","Succinylcarnitine",0.000212464043098803,0.770935960591133
"153","1/3-Methylhistidine","Sucrose",0.00379480206107535,-0.576847290640394
"154","1/3-Methylhistidine","Taurine",0.0288038260027024,-0.409852216748768
"155","1/3-Methylhistidine","Thiamine",0.0235309376793776,0.526600985221675
"156","1/3-Methylhistidine","Tryptophan",0.0402282695096338,0.457635467980296
"157","1/3-Methylhistidine","UDP-GlcNAc",0.0108083442933317,0.56256157635468
"158","1/3-Methylhistidine","Urate",1.36686370815096e-05,-0.740886699507389
"159","1/3-Methylhistidine","Uridine",0.0245552356436041,0.500492610837438
"160","2'-Deoxycytidine","2-Hydroxyphenylacetate",0.00223032314839285,-0.657142857142857
"161","2'-Deoxycytidine","3-Aminoisobutyrate",0.00908819066007806,0.649261083743842
"162","2'-Deoxycytidine","3-Hydroxyisovaleric Acid",0.00374383554707882,-0.599014778325123
"163","2'-Deoxycytidine","3HBA",0.0360258551590445,-0.448768472906404
"164","2'-Deoxycytidine","Adipic Acid / 3-Methylglutaric Acid",0.00280314232046935,-0.671428571428571
"165","2'-Deoxycytidine","Arabitol/Xylitol",0.0497493611007765,0.416748768472906
"166","2'-Deoxycytidine","Arginine",0.00227833750271969,-0.666502463054187
"167","2'-Deoxycytidine","Argininosuccinate",0.0214887374512012,0.514285714285714
"168","2'-Deoxycytidine","Azelaic Acid",0.000863493678798512,-0.686206896551724
"169","2'-Deoxycytidine","Betaine",0.00137131664433241,-0.70935960591133
"170","2'-Deoxycytidine","Cadaverine",0.0354663891352138,-0.557635467980296
"171","2'-Deoxycytidine","Cholecalciferol",0.0030608373552727,-0.700492610837438
"172","2'-Deoxycytidine","Cholesteryl Sulfate",0.013234034130835,-0.518226600985222
"173","2'-Deoxycytidine","Choline",0.0213690009021921,-0.558128078817734
"174","2'-Deoxycytidine","Citraconic Acid",0.0117346562887588,-0.633990147783251
"175","2'-Deoxycytidine","Creatine",0.0148082067347031,-0.578325123152709
"176","2'-Deoxycytidine","Cystathionine",0.033269888093172,0.548768472906404
"177","2'-Deoxycytidine","Cysteinyl-Glycine (Cys-Gly)",0.0408548153358159,0.511330049261084
"178","2'-Deoxycytidine","Cytidine",0.0132426204163017,0.639408866995074
"179","2'-Deoxycytidine","D-Leucic Acid",0.00222035399014208,-0.608374384236453
"180","2'-Deoxycytidine","Dimethylglycine",0.00580741214374998,0.566502463054187
"181","2'-Deoxycytidine","gamma-Aminobutyrate",0.0137814887756053,0.591133004926108
"182","2'-Deoxycytidine","Glucosamine",0.0433581854412226,0.483743842364532
"183","2'-Deoxycytidine","Glucose",0.0439567061930886,0.518226600985222
"184","2'-Deoxycytidine","Glutaric Acid",0.00146577937156987,-0.707881773399015
"185","2'-Deoxycytidine","Glyceraldehyde",0.0078955710052414,0.622660098522167
"186","2'-Deoxycytidine","Histamine",0.0219990160119171,-0.553694581280788
"187","2'-Deoxycytidine","Homoarginine",0.0341261385032097,0.421674876847291
"188","2'-Deoxycytidine","Hydrocinnamic Acid",0.0194943171541984,-0.493103448275862
"189","2'-Deoxycytidine","Maleic Acid",0.00107629356631203,-0.696059113300493
"190","2'-Deoxycytidine","Methionine",0.0314995487779136,0.552709359605911
"191","2'-Deoxycytidine","N-Ac-Arginine",0.0392357582829694,0.485714285714286
"192","2'-Deoxycytidine","n-Glycylproline",0.000908048388701349,0.735960591133005
"193","2'-Deoxycytidine","NADH",0.0335568815408566,0.533497536945813
"194","2'-Deoxycytidine","Phenylacetic Acid",0.0114567724172645,-0.624137931034483
"195","2'-Deoxycytidine","Pyridoxamine",0.0464448211277046,-0.405911330049261
"196","2'-Deoxycytidine","Pyruvate",0.0343463114230493,0.517733990147783
"197","2'-Deoxycytidine","Retinol",0.00208952266163326,-0.627586206896552
"198","2'-Deoxycytidine","S-Adenosylmethionine (SAM)",0.00497552650641644,0.630049261083744
"199","2'-Deoxycytidine","SAH",0.00918567436843214,0.673399014778325
"200","2'-Deoxycytidine","Suberic Acid",0.000911152056273882,-0.705418719211823
"201","2'-Deoxycytidine","Succinylcarnitine",0.0174136595638704,0.621182266009852
"202","2'-Deoxycytidine","Trigonelline",0.00893909121118342,-0.639408866995074
"203","2'-Deoxycytidine","UDP-GlcNAc",0.000467322008500127,0.667487684729064
"204","2'-Deoxycytidine","Uracil",0.00232671899434915,0.697536945812808
"205","2'-Deoxycytidine","Urate",0.0450058825531569,-0.40295566502463
"206","2-Aminoadipate","Adenylosuccinate",0.0375890049501992,0.376847290640394
"207","2-Aminoadipate","Citrulline",0.00565114745952226,0.566995073891626
"208","2-Aminoadipate","Glucoronate",0.0132956690719794,0.533990147783251
"209","2-Aminoisobutyric Acid","3-Aminoisobutyrate",8.00447580428948e-13,0.945320197044335
"210","2-Aminoisobutyric Acid","5-Methylcytidine",0.000215686106556055,0.71231527093596
"211","2-Aminoisobutyric Acid","ADP",0.00715107976559888,0.607881773399015
"212","2-Aminoisobutyric Acid","Alanine",4.81496408842933e-06,0.806403940886699
"213","2-Aminoisobutyric Acid","Arabitol/Xylitol",0.0469694030047024,0.431034482758621
"214","2-Aminoisobutyric Acid","Deoxyguanosine",0.00394622384548616,0.576847290640394
"215","2-Aminoisobutyric Acid","Dimethylarginine (A/SDMA)",0.0258808727280822,0.500492610837438
"216","2-Aminoisobutyric Acid","Glucoronate",0.0354663891352138,0.464039408866995
"217","2-Aminoisobutyric Acid","Guanine",0.0107337736788473,0.508374384236453
"218","2-Aminoisobutyric Acid","Hypotaurine",0.00223032314839285,0.695566502463054
"219","2-Aminoisobutyric Acid","Myristic Acid",0.0260023834756189,0.531034482758621
"220","2-Aminoisobutyric Acid","N-Ac-Alanine",0.0110305010074962,0.506896551724138
"221","2-Aminoisobutyric Acid","N-Ac-Phenylalanine",0.0171817632646262,0.520197044334975
"222","2-Aminoisobutyric Acid","N2,N2-Dimethylguanosine",0.000379451787760882,0.665024630541872
"223","2-Aminoisobutyric Acid","NAD",0.037217793972282,0.465024630541872
"224","2-Aminoisobutyric Acid","NADH",0.0118624015951159,0.552709359605911
"225","2-Aminoisobutyric Acid","Neopterin",0.0108990126947499,0.58128078817734
"226","2-Aminoisobutyric Acid","Phosphotyrosine",0.00339813363689374,0.575862068965517
"227","2-Aminoisobutyric Acid","Proline",0.0189556165622078,0.559605911330049
"228","2-Aminoisobutyric Acid","Pseudouridine",0.0352152920756155,0.509852216748768
"229","2-Aminoisobutyric Acid","Uracil",0.0464448211277046,0.491133004926108
"230","2-Aminoisobutyric Acid","Xanthurenic Acid",0.0138776370796512,0.440886699507389
"231","2-Hydroxyglutarate","2-isoPropylmalic Acid",0.0144437930561419,-0.543349753694581
"232","2-Hydroxyglutarate","ADP",0.0213048175099789,-0.32807881773399
"233","2-Hydroxyglutarate","Alanine",0.0312598370569714,-0.406896551724138
"234","2-Hydroxyglutarate","AMP",0.00954608080362743,-0.296059113300493
"235","2-Hydroxyglutarate","Asparagine",0.0331622450442093,0.453694581280788
"236","2-Hydroxyglutarate","Biopterin",0.0457722205351911,-0.328571428571429
"237","2-Hydroxyglutarate","Cystine",0.00774779765544618,0.47192118226601
"238","2-Hydroxyglutarate","Ethanolamine",0.00567155142408972,0.621182266009852
"239","2-Hydroxyglutarate","Glycerophosphocholine",0.0312598370569714,0.317241379310345
"240","2-Hydroxyglutarate","GMP",0.00803917215164432,-0.370935960591133
"241","2-Hydroxyglutarate","Hypoxanthine",0.0374782474747023,0.379310344827586
"242","2-Hydroxyglutarate","IMP",0.00878590433791816,-0.332019704433497
"243","2-Hydroxyglutarate","Inosine",0.0205704999108477,0.400985221674877
"244","2-Hydroxyglutarate","Lactate",0.0357372636419074,0.348768472906404
"245","2-Hydroxyglutarate","Lactose/Trehalose",0.0215516479343809,0.485221674876847
"246","2-Hydroxyglutarate","Leucine /D-Norleucine",0.0250942086834459,0.400985221674877
"247","2-Hydroxyglutarate","NAD",0.00703741580766453,-0.377339901477832
"248","2-Hydroxyglutarate","Oxalacetate",0.0457722205351911,-0.510344827586207
"249","2-Hydroxyglutarate","Oxidized Glutathione",0.0126617383580508,-0.442857142857143
"250","2-Hydroxyglutarate","Putrescine",0.0267637682174942,0.396551724137931
"251","2-Hydroxyglutarate","Taurine",0.00355821117654464,-0.518226600985222
"252","2-Hydroxyglutarate","UMP",0.0466736422975537,0.435467980295566
"253","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Adenine",0.033461390037791,0.592118226600985
"254","2-Hydroxyphenylacetate","3-(4-Hydroxyphenyl)Propionate",0.00669617912770016,0.604926108374384
"255","2-Hydroxyphenylacetate","3-Hydroxyisovaleric Acid",0.000291970365327336,0.704433497536946
"256","2-Hydroxyphenylacetate","3HBA",0.013234034130835,0.491625615763547
"257","2-Hydroxyphenylacetate","Adipic Acid / 3-Methylglutaric Acid",5.75545453227018e-06,0.803448275862069
"258","2-Hydroxyphenylacetate","Agmatine",0.00181539057206048,-0.650246305418719
"259","2-Hydroxyphenylacetate","Arginine",0.000510049091021592,0.74679802955665
"260","2-Hydroxyphenylacetate","Argininosuccinate",1.32416675251952e-06,-0.831034482758621
"261","2-Hydroxyphenylacetate","Azelaic Acid",6.27884498725347e-07,0.855172413793103
"262","2-Hydroxyphenylacetate","Betaine",2.07787811913056e-05,0.795073891625616
"263","2-Hydroxyphenylacetate","Biopterin",0.0475645792438011,0.586206896551724
"264","2-Hydroxyphenylacetate","Cadaverine",0.0235309376793776,0.555665024630542
"265","2-Hydroxyphenylacetate","cAMP",0.035272178757467,-0.477339901477832
"266","2-Hydroxyphenylacetate","Cholecalciferol",2.25422258333158e-09,0.888669950738916
"267","2-Hydroxyphenylacetate","Choline",1.67480946587766e-05,0.777832512315271
"268","2-Hydroxyphenylacetate","Citraconic Acid",0.0179251384321118,0.670443349753694
"269","2-Hydroxyphenylacetate","Creatine",0.00773329327951389,0.640394088669951
"270","2-Hydroxyphenylacetate","Cystathionine",0.0257001224447955,-0.57192118226601
"271","2-Hydroxyphenylacetate","Cysteinyl-Glycine (Cys-Gly)",0.0134674880105185,-0.549261083743842
"272","2-Hydroxyphenylacetate","D-Leucic Acid",0.000340759296435706,0.741379310344827
"273","2-Hydroxyphenylacetate","DCDP",0.0458966787079396,-0.507389162561576
"274","2-Hydroxyphenylacetate","Dimethylglycine",0.0290054813457268,-0.508374384236453
"275","2-Hydroxyphenylacetate","Ergocalciferol",0.00022904561155284,0.706896551724138
"276","2-Hydroxyphenylacetate","Erythrose-4-Phosphate",0.011511630874608,-0.579802955665024
"277","2-Hydroxyphenylacetate","gamma-Aminobutyrate",0.0403357159147403,-0.560098522167488
"278","2-Hydroxyphenylacetate","Glucosamine",0.0129997748945575,-0.566502463054187
"279","2-Hydroxyphenylacetate","Glutaric Acid",3.88033523198606e-07,0.854679802955665
"280","2-Hydroxyphenylacetate","Glyceraldehyde",0.0013333941539318,-0.666502463054187
"281","2-Hydroxyphenylacetate","Glycerophosphocholine",0.0390486920188907,-0.706896551724138
"282","2-Hydroxyphenylacetate","Histamine",0.0398963520554953,0.546305418719212
"283","2-Hydroxyphenylacetate","Hydrocinnamic Acid",6.24058931956054e-06,0.826108374384236
"284","2-Hydroxyphenylacetate","Linolenic Acid",0.0054413758774693,-0.596551724137931
"285","2-Hydroxyphenylacetate","Maleic Acid",9.53042961286579e-06,0.8
"286","2-Hydroxyphenylacetate","Methionine",0.0267818561707777,-0.665024630541872
"287","2-Hydroxyphenylacetate","N-Ac-Arginine",0.0174530433733429,-0.555172413793103
"288","2-Hydroxyphenylacetate","N-Ac-L-Glutamine",0.00916572748684975,-0.627586206896552
"289","2-Hydroxyphenylacetate","N-AcetylGlycine",0.000249575105265646,0.703448275862069
"290","2-Hydroxyphenylacetate","n-Glycylproline",0.00406064278263114,-0.655172413793103
"291","2-Hydroxyphenylacetate","NADH",0.0228270936644037,-0.57487684729064
"292","2-Hydroxyphenylacetate","Oxalacetate",0.0459468362481803,0.536945812807882
"293","2-Hydroxyphenylacetate","PEP",9.5097282305442e-05,-0.761083743842364
"294","2-Hydroxyphenylacetate","Phenylacetic Acid",0.00992473945235632,0.603940886699507
"295","2-Hydroxyphenylacetate","Phosphorylcholine",0.0455348520309211,-0.407881773399015
"296","2-Hydroxyphenylacetate","Phosphoserine",0.00720495666590491,-0.58128078817734
"297","2-Hydroxyphenylacetate","Pyridoxamine",0.0179251384321118,0.572413793103448
"298","2-Hydroxyphenylacetate","Pyruvate",0.00207084844613501,-0.623152709359606
"299","2-Hydroxyphenylacetate","Reduced Glutathione",0.033305289360346,-0.491625615763547
"300","2-Hydroxyphenylacetate","Retinol",6.1340026604741e-07,0.848768472906404
"301","2-Hydroxyphenylacetate","S-Adenosylmethionine (SAM)",0.000154321897245541,-0.752216748768473
"302","2-Hydroxyphenylacetate","SAH",0.00463143364556097,-0.687192118226601
"303","2-Hydroxyphenylacetate","Suberic Acid",1.0445975268487e-06,0.835467980295566
"304","2-Hydroxyphenylacetate","Succinylcarnitine",0.00143442706315228,-0.698522167487685
"305","2-Hydroxyphenylacetate","Thiamine",0.00542498964259109,-0.593103448275862
"306","2-Hydroxyphenylacetate","Trigonelline",0.00101962228473514,0.717733990147783
"307","2-Hydroxyphenylacetate","Tryptophan",0.0493975694730816,-0.566995073891626
"308","2-Hydroxyphenylacetate","UDP-GlcNAc",0.000261301472496035,-0.763054187192118
"309","2-Hydroxyphenylacetate","Uracil",0.0018899108075969,-0.673891625615763
"310","2-Hydroxyphenylacetate","Urate",0.00142448221706644,0.682266009852217
"311","2-isoPropylmalic Acid","3-Methyl-3-Hydroxyglutaric Acid",0.0423812754984329,-0.484729064039409
"312","2-isoPropylmalic Acid","5'-Methylthioadenosine",0.0396703435679681,-0.154187192118227
"313","2-isoPropylmalic Acid","AMP",0.0452276516241523,0.230541871921182
"314","2-isoPropylmalic Acid","Biopterin",0.0184927847396012,0.470935960591133
"315","2-isoPropylmalic Acid","Cadaverine",0.0255660211112511,0.491625615763547
"316","2-isoPropylmalic Acid","cGMP",0.0191011321512072,-0.541871921182266
"317","2-isoPropylmalic Acid","Citraconic Acid",0.0276621590508739,0.554187192118227
"318","2-isoPropylmalic Acid","Erythrose-4-Phosphate",0.0209173488758922,-0.556650246305419
"319","2-isoPropylmalic Acid","G1P/F1P/F6P",0.0157171244358699,-0.54384236453202
"320","2-isoPropylmalic Acid","G6P",0.022610646137796,-0.540886699507389
"321","2-isoPropylmalic Acid","Glycerophosphocholine",0.0318310429791,-0.433004926108374
"322","2-isoPropylmalic Acid","GMP",0.0418011188547403,0.183743842364532
"323","2-isoPropylmalic Acid","Indole-2-Carboxylic Acid",0.00154438600812697,0.604433497536946
"324","2-isoPropylmalic Acid","Indole-3-Carboxylic Acid",0.00279385885526975,0.579310344827586
"325","2-isoPropylmalic Acid","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.0242716173026514,-0.348768472906404
"326","2-isoPropylmalic Acid","L-Kynurenine",0.012525557016081,-0.54679802955665
"327","2-isoPropylmalic Acid","Lactate",0.0314832953904918,-0.46551724137931
"328","2-isoPropylmalic Acid","n-Glycylproline",0.049182382032577,-0.466009852216749
