"","rowname","colname","p_M","R_M"
"78","2-Hydroxyphenylacetate","Maleic Acid",2.96139723406707e-99,0.815270935960591
"79","2-Hydroxyphenylacetate","Cholecalciferol",1.19706952877868e-75,0.814778325123153
"80","Glutaric Acid","N-AcetylGlycine",3.4557752427559e-95,0.813300492610837
"81","2-Hydroxyphenylacetate","Adipic Acid / 3-Methylglutaric Acid",6.59976639154331e-89,0.812807881773399
"82","Hydrocinnamic Acid","Maleic Acid",1.23544759175914e-119,0.811822660098522
"83","Betaine","Glutaric Acid",1.00763966481194e-95,0.811822660098522
"84","1-Methylnicotinamide","Phenylacetic Acid",1.50520061407639e-86,0.811822660098522
"85","Oxalacetate","Urate",6.07516648490413e-104,0.810837438423645
"86","Maleic Acid","Oxalacetate",8.25942004285888e-90,0.809852216748768
"87","1-Methylnicotinamide","Urate",1.81000640406648e-99,0.80935960591133
"88","Citraconic Acid","Hydrocinnamic Acid",2.2636322374641e-108,0.808374384236453
"89","Cadaverine","Phenylacetic Acid",4.76653596525111e-86,0.808374384236453
"90","4-Guanidinobutanoate","Deoxycarnitine",1.16356264270824e-57,0.807881773399015
"91","Retinol","Suberic Acid",4.04775616541145e-87,0.806896551724138
"92","Choline","Phenylacetic Acid",7.43915847746773e-99,0.804433497536946
"93","1-Methylnicotinamide","Maleic Acid",1.5243287849354e-86,0.804433497536946
"94","Leucine /D-Norleucine","Phenylalanine",3.93113457554245e-61,0.80295566502463
"95","Citraconic Acid","Palmitic Acid",2.18509553418081e-94,0.802463054187192
