"","rowname","colname","p_M","R_M"
"78","2-Hydroxyphenylacetate","Maleic Acid",2.96139723406707e-99,0.815270935960591
"79","3-Hydroxyisovaleric Acid","Cadaverine",5.14973392447222e-99,0.83448275862069
"80","3-Hydroxyisovaleric Acid","Betaine",5.4530045795209e-99,0.839408866995074
"81","Choline","Phenylacetic Acid",7.43915847746773e-99,0.804433497536946
"82","1-Methylnicotinamide","3-Hydroxyisovaleric Acid",1.80948463358472e-98,0.832019704433497
"83","SAH","Urate",7.01017010294401e-98,-0.75615763546798
"84","Betaine","Pyridoxamine",5.58979482603985e-97,0.799507389162561
"85","Choline","S-Adenosylmethionine (SAM)",4.22809117179022e-96,-0.836945812807882
"86","Cadaverine","Glycerophosphocholine",6.42636673378074e-96,-0.760591133004926
"87","Betaine","Glutaric Acid",1.00763966481194e-95,0.811822660098522
"88","Glucosamine","Glyceraldehyde",1.14633873820045e-95,0.830541871921182
"89","Glycerophosphocholine","Pyridoxamine",2.83603784492762e-95,-0.781773399014778
"90","Glutaric Acid","N-AcetylGlycine",3.4557752427559e-95,0.813300492610837
"91","2-Hydroxyphenylacetate","Suberic Acid",8.92201026826284e-95,0.836945812807882
"92","Retinol","S-Adenosylmethionine (SAM)",1.23146914989893e-94,-0.750738916256158
"93","2-Hydroxyglutarate","Betaine",1.46109660831551e-94,-0.746305418719212
"94","Citraconic Acid","Palmitic Acid",2.18509553418081e-94,0.802463054187192
"95","Biopterin","Urate",4.00761807308794e-94,0.775862068965517
"96","2-Hydroxyphenylacetate","Azelaic Acid",4.09922973645029e-94,0.792118226600985
"97","2-Hydroxyphenylacetate","N-AcetylGlycine",6.58581309158791e-94,0.791133004926108
"98","Pyridoxamine","SAH",3.83041793855919e-93,-0.746305418719212
"99","Maleic Acid","Phenylacetic Acid",4.27096844832725e-93,0.849261083743842
"100","Citraconic Acid","S-Adenosylmethionine (SAM)",1.01769110871375e-92,-0.815270935960591
"101","Hydrocinnamic Acid","PEP",1.42424722245322e-92,-0.749753694581281
"102","1/3-Methylhistidine","Phenylacetic Acid",2.23174854773577e-92,-0.688177339901478
"103","N-AcetylGlycine","Retinol",2.27377851882835e-92,0.776354679802955
"104","GMP","IMP",2.70472014497289e-92,0.872413793103448
"105","DHAP/D-GA3P","Homocitrulline",4.93752528283599e-92,0.853694581280788
"106","Betaine","Urate",3.89543250432163e-91,0.833004926108374
"107","Oxalacetate","Phenylacetic Acid",4.5832635939206e-91,0.822660098522167
"108","1/3-Methylhistidine","PEP",4.77371790970059e-91,0.714285714285714
"109","Glycerophosphocholine","Oxalacetate",4.9273105831241e-91,-0.724137931034483
"110","Glycerophosphocholine","SAH",1.16197059962487e-90,0.722167487684729
"111","Palmitic Acid","Urate",1.363911477627e-90,0.770935960591133
"112","Citraconic Acid","Phenylacetic Acid",2.24960111277733e-90,0.798522167487685
"113","2-Hydroxyglutarate","SAH",2.56993081657353e-90,0.689162561576355
"114","1/3-Methylhistidine","3-Hydroxyisovaleric Acid",2.6685875624425e-90,-0.744334975369458
"115","Maleic Acid","Oxalacetate",8.25942004285888e-90,0.809852216748768
"116","Citraconic Acid","PEP",1.00027918593299e-89,-0.790147783251231
"117","3-Hydroxyisovaleric Acid","Choline",2.60954366588871e-89,0.744334975369458
"118","Cadaverine","Maleic Acid",3.86062998941368e-89,0.819211822660098
"119","Arginine","Citraconic Acid",3.9566832557983e-89,0.759113300492611
"120","2-Hydroxyphenylacetate","Adipic Acid / 3-Methylglutaric Acid",6.59976639154331e-89,0.812807881773399
"121","S-Adenosylmethionine (SAM)","SAH",8.21172727908038e-89,0.788669950738916
"122","Adipic Acid / 3-Methylglutaric Acid","Retinol",2.49590307038613e-88,0.831527093596059
"123","D-Leucic Acid","UDP-GlcNAc",2.828604700421e-88,-0.75615763546798
"124","Glutaric Acid","Hydrocinnamic Acid",2.85411762765938e-88,0.726600985221675
"125","Maleic Acid","Pyridoxamine",2.98350285612209e-88,0.724137931034483
"126","Azelaic Acid","Retinol",2.99627724294697e-88,0.779802955665024
"127","Hydrocinnamic Acid","Retinol",2.99627724294697e-88,0.692118226600985
"128","2-Hydroxyglutarate","Citraconic Acid",4.21202252041468e-88,-0.698029556650246
"129","Citraconic Acid","Ergocalciferol",4.73737746729092e-88,0.722167487684729
"130","1-Methylnicotinamide","Glycerophosphocholine",1.01742787315061e-87,-0.720689655172414
"131","Pyridoxamine","S-Adenosylmethionine (SAM)",1.34926267419466e-87,-0.71231527093596
"132","2-Hydroxyphenylacetate","Betaine",1.4188800181071e-87,0.794088669950739
"133","3-Hydroxyisovaleric Acid","SAH",2.73323806576255e-87,-0.709852216748768
"134","Retinol","Suberic Acid",4.04775616541145e-87,0.806896551724138
"135","1-Methylnicotinamide","2-Hydroxyglutarate",6.46771694619066e-87,-0.760098522167488
"136","1-Methylnicotinamide","Phenylacetic Acid",1.50520061407639e-86,0.811822660098522
"137","1-Methylnicotinamide","Maleic Acid",1.5243287849354e-86,0.804433497536946
"138","Ergocalciferol","Maleic Acid",1.62152011795196e-86,0.677832512315271
"139","Oxalacetate","S-Adenosylmethionine (SAM)",1.89078323392245e-86,-0.835467980295566
"140","3-Hydroxyisovaleric Acid","Palmitic Acid",4.64015991303622e-86,0.7935960591133
"141","Cadaverine","Phenylacetic Acid",4.76653596525111e-86,0.808374384236453
"142","Choline","PEP",8.43829820014037e-86,-0.763054187192118
"143","Oxalacetate","PEP",8.78495252087899e-86,-0.768965517241379
"144","Adipic Acid / 3-Methylglutaric Acid","Cystathionine",1.8191572269458e-85,-0.750246305418719
"145","Palmitic Acid","SAH",2.11851497908038e-85,-0.749753694581281
"146","2-Hydroxyglutarate","Oxalacetate",2.80889224747522e-85,-0.721182266009852
"147","Ergocalciferol","Hydrocinnamic Acid",3.13388182118734e-85,0.680788177339901
"148","3-Hydroxyisovaleric Acid","Pyridoxamine",3.79388599180824e-85,0.750246305418719
"149","Hydrocinnamic Acid","Pyridoxamine",1.61520219341187e-84,0.678325123152709
"150","2-Hydroxyglutarate","Cadaverine",2.74635929539576e-84,-0.71871921182266
"151","2-Hydroxyphenylacetate","Ergocalciferol",4.27013355566638e-84,0.725123152709359
"152","Citraconic Acid","Retinol",5.36534885488726e-84,0.788669950738916
"153","3-Hydroxyisovaleric Acid","Glycerophosphocholine",5.78837526381941e-84,-0.729064039408867
"154","PEP","S-Adenosylmethionine (SAM)",8.76258259901599e-84,0.747290640394089
"155","Betaine","Phenylacetic Acid",1.43027032595787e-83,0.767980295566502
"156","Biopterin","Cadaverine",1.43027032595787e-83,0.70935960591133
"157","Glucosamine","Glucose",2.33835945939104e-83,0.832512315270936
"158","Cadaverine","S-Adenosylmethionine (SAM)",3.13760179850677e-83,-0.833497536945813
"159","Cadaverine","Pyridoxamine",3.20262481366532e-83,0.748768472906404
"160","Oxalacetate","Pyridoxamine",4.68824800711631e-83,0.734975369458128
"161","Arginine","Palmitic Acid",1.40250512301456e-82,0.747783251231527
"162","Maleic Acid","UDP-GlcNAc",1.46466241209548e-82,-0.719704433497537
"163","D-Leucic Acid","Glutaric Acid",2.69325160230975e-82,0.776354679802955
"164","3-Hydroxyisovaleric Acid","Urate",3.21117850210415e-82,0.750738916256158
"165","Adipic Acid / 3-Methylglutaric Acid","Maleic Acid",8.58110080691878e-82,0.816748768472906
"166","Adipic Acid / 3-Methylglutaric Acid","UDP-GlcNAc",9.85442260683605e-82,-0.751724137931034
"167","Arginine","Betaine",1.1002768670361e-81,0.766995073891625
"168","1-Methylnicotinamide","S-Adenosylmethionine (SAM)",1.2461898098049e-81,-0.838916256157635
"169","Creatine","Suberic Acid",1.27858929444309e-81,0.823152709359606
"170","Betaine","PEP",1.30229873184763e-81,-0.775369458128079
"171","3-Hydroxyisovaleric Acid","Retinol",2.21129926259894e-81,0.749261083743842
"172","Phenylacetic Acid","SAH",2.38834201663204e-81,-0.719704433497537
"173","Maleic Acid","PEP",3.83251144958152e-81,-0.76256157635468
"174","Azelaic Acid","N-AcetylGlycine",3.8846674337293e-81,0.758620689655172
"175","2-Hydroxyphenylacetate","S-Adenosylmethionine (SAM)",4.24658142839248e-81,-0.706896551724138
"176","Arginine","Cadaverine",5.55782476252941e-81,0.712807881773399
"177","Arginine","Urate",6.91873753318886e-81,0.7
"178","Cadaverine","Ergocalciferol",1.70731463230293e-80,0.72807881773399
"179","Hydrocinnamic Acid","Palmitic Acid",1.88158586151514e-80,0.787192118226601
"180","2-Hydroxyphenylacetate","Hydrocinnamic Acid",2.54134133766531e-80,0.682266009852217
"181","Hydrocinnamic Acid","Urate",2.86762481958784e-80,0.722167487684729
"182","Alpha-Ketoglutaric Acid","Pyruvate",4.31450746865942e-80,0.844827586206896
"183","Indole-3-Carboxylic Acid","Uridine",6.67193157762535e-80,-0.725615763546798
"184","2-Hydroxyglutarate","Pyridoxamine",1.15385313048786e-79,-0.685221674876847
"185","Ergocalciferol","Oxalacetate",1.19141378359493e-79,0.713793103448276
"186","Maleic Acid","Suberic Acid",1.4890210319402e-79,0.778325123152709
"187","Azelaic Acid","Maleic Acid",1.77947321830133e-79,0.740886699507389
"188","Arginine","Oxalacetate",2.19893278284274e-79,0.703448275862069
"189","Cadaverine","PEP",2.27435268225752e-79,-0.747783251231527
"190","1-Methylnicotinamide","PEP",2.3217736088457e-79,-0.746305418719212
"191","Biopterin","Oxalacetate",2.42327893179326e-79,0.675369458128079
"192","Arginine","SAH",3.79210103677312e-79,-0.631527093596059
"193","Biopterin","Glycerophosphocholine",3.79210103677312e-79,-0.700492610837438
"194","Suberic Acid","UDP-GlcNAc",3.88405433250402e-79,-0.73743842364532
"195","Azelaic Acid","Creatine",4.98091429764187e-79,0.821182266009852
"196","1-Methylnicotinamide","Arginine",5.55532903589454e-79,0.7
"197","Betaine","Glycerophosphocholine",6.4058956782761e-79,-0.68423645320197
"198","2-Hydroxyglutarate","Hydrocinnamic Acid",7.71513601184475e-79,-0.644827586206896
"199","1/3-Methylhistidine","Choline",8.9087119348693e-79,-0.648768472906404
"200","Cystathionine","Glutaric Acid",9.32348214672999e-79,-0.694581280788177
