"","rowname","colname","p_M","R_M"
"2199","Alpha-Ketoglutaric Acid","Leucine /D-Norleucine",1.85702213786456e-30,0.419211822660098
"2200","Cadaverine","G1P/F1P/F6P",1.85702213786456e-30,-0.478817733990148
"2201","Alpha-Ketoglutaric Acid","Phenylacetic Acid",1.88091481535047e-30,-0.445320197044335
"2202","1/3-Methylhistidine","Glycine",1.88489054038078e-30,-0.358620689655172
"2203","Citrulline","Glycerophosphocholine",1.97639506983324e-30,-0.316748768472906
"2204","Cadaverine","Erythrose-4-Phosphate",1.99038956120363e-30,-0.466502463054187
"2205","Phenylacetic Acid","Pyroglutamic Acid",2.01232493894763e-30,0.362068965517241
"2206","Citraconic Acid","G1P/F1P/F6P",2.04665150929316e-30,-0.499014778325123
"2207","3-(4-Hydroxyphenyl)Propionate","Pseudouridine",2.08286597963364e-30,0.280788177339901
"2208","Ergocalciferol","Leucine /D-Norleucine",2.31689989810649e-30,-0.322167487684729
"2209","Pyruvate","Trigonelline",2.36878576180798e-30,-0.468472906403941
"2210","Creatine","Pyridoxamine",2.38418390502846e-30,0.415270935960591
"2211","Alanine","L-Kynurenine",2.40280187468271e-30,-0.377339901477832
"2212","DHAP/D-GA3P","Taurine",2.40768316754693e-30,-0.422167487684729
"2213","DCDP","Hypoxanthine",2.41858557405729e-30,0.611330049261084
"2214","2-Aminoisobutyric Acid","Glycerophosphocholine",2.42131038631759e-30,-0.399507389162562
"2215","Indole-3-Carboxylic Acid","Pseudouridine",2.42776943379009e-30,0.276847290640394
"2216","3-Hydroxypropionic Acid","S-Methylcysteine",2.45112055339075e-30,-0.45320197044335
"2217","Anthranilic Acid","N-AcetylGlycine",2.45871811180899e-30,0.449753694581281
"2218","3-Aminoisobutyrate","Carnosine",2.46193390076975e-30,0.366502463054187
"2219","PEP","Thiamine",2.4671616916691e-30,0.321674876847291
"2220","Anthranilic Acid","Oxalacetate",2.48007196071944e-30,0.40295566502463
"2221","Alpha-Ketoglutaric Acid","Sucrose",2.58451550420902e-30,-0.190147783251231
"2222","Citrulline","N-Ac-Alanine",2.61058469006173e-30,0.447290640394089
"2223","Glycerol-3-P","N6-Acetyl-Lysine",2.76489868691443e-30,0.33743842364532
"2224","2-Aminoisobutyric Acid","SAH",2.86609423839441e-30,-0.431034482758621
"2225","AMP","NAD",2.87368517371367e-30,0.695073891625616
"2226","Imidazoleacetic Acid","N-AcetylGlycine",2.95520884194519e-30,-0.202463054187192
"2227","Aminolevulinate","Pyridoxamine",3.00371491688635e-30,-0.388669950738916
"2228","3-(4-Hydroxyphenyl)Propionate","Arginine",3.00856290642267e-30,0.370443349753695
"2229","4-Guanidinobutanoate","Urate",3.09433741749792e-30,-0.427586206896552
"2230","Cystine","Glyceraldehyde",3.09524013247917e-30,0.435467980295566
"2231","Choline","Guanine",3.21258105897742e-30,0.388669950738916
"2232","Glyceraldehyde","N-Ac-Alanine",3.26482004447296e-30,-0.435960591133005
"2233","DHAP/D-GA3P","Erythrose-4-Phosphate",3.28205425657587e-30,0.476354679802956
"2234","Histidine","UDP-GlcNAc",3.37846590720765e-30,0.441379310344828
"2235","Inosine","UDP-Glucose",3.39005182081369e-30,0.337931034482759
"2236","Orotate","S-Methylcysteine",3.47929131379221e-30,-0.353694581280788
"2237","Cholecalciferol","L-2-Aminobutyric Acid",3.55255053368866e-30,-0.26551724137931
"2238","Inosine","N6-Acetyl-Lysine",3.5890777271919e-30,0.439901477832512
"2239","Alanine","Erythrose-4-Phosphate",3.60794039681918e-30,-0.427093596059113
"2240","Citraconic Acid","Erythrose-4-Phosphate",3.78054936909135e-30,-0.496059113300493
"2241","gamma-Aminobutyrate","Tyrosine",3.79556530567823e-30,-0.351231527093596
"2242","betaAlanine","N6-Trimethyllysine",3.81295180168701e-30,0.518226600985222
"2243","ADP","IMP",3.83386554382535e-30,0.685714285714286
"2244","DHAP/D-GA3P","Glutaric Acid",3.84384077200654e-30,-0.432019704433497
"2245","gamma-Aminobutyrate","Orotate",3.84682373192468e-30,0.363054187192118
"2246","N-Acetyl-Aspartate (NAA)","Uracil",3.89335579077264e-30,-0.350246305418719
"2247","Cysteinyl-Glycine (Cys-Gly)","Retinol",3.93091699967217e-30,-0.418226600985222
"2248","Alanine","Glycerophosphocholine",3.9489694285822e-30,-0.398522167487685
"2249","N-AcetylGlycine","Thiamine",3.97920683591667e-30,-0.212807881773399
"2250","Neopterin","Palmitic Acid",4.25558324291903e-30,0.378325123152709
"2251","Ethanolamine","S-Methylcysteine",4.41897094471676e-30,-0.410344827586207
"2252","Alanine","Ribulose 5-Phosphate",4.63678075639386e-30,-0.341871921182266
"2253","Alpha-Ketoglutaric Acid","Creatine",4.7775238928114e-30,-0.345320197044335
"2254","n-Glycylproline","Trigonelline",4.95514921297481e-30,-0.466502463054187
"2255","4-Guanidinobutanoate","Oxalacetate",4.95535428790419e-30,-0.495073891625616
"2256","Arginine","Thiamine",5.02318622557791e-30,-0.336945812807882
"2257","3-Hydroxypropionic Acid","Deoxycarnitine",5.03242991514604e-30,0.552709359605911
"2258","cGMP","Hypoxanthine",5.06025560664052e-30,-0.501477832512315
"2259","Cystine","UDP-Glucose",5.06994056548015e-30,0.304926108374384
"2260","3-Hydroxyisovaleric Acid","Guanine",5.10451622974721e-30,0.376354679802956
"2261","Phosphoserine","Sorbitol",5.18049772446204e-30,-0.495073891625616
"2262","o-Phosphoethanolamine","UDP-GlcNAc",5.25488836765803e-30,0.548275862068965
"2263","2-isoPropylmalic Acid","FAD",5.31644642142406e-30,0.438916256157635
"2264","Ornithine","UDP-GlcNAc",5.34895759364676e-30,-0.407389162561576
"2265","Arginine","Cholesteryl Sulfate",5.39721675450088e-30,0.533497536945813
"2266","1-Methyladenosine","Methionine",5.42035015748754e-30,-0.377832512315271
"2267","Homoarginine","Phenylalanine",5.47759870681957e-30,0.386699507389162
"2268","Choline","Glucose",5.76176808263426e-30,-0.33448275862069
"2269","Alanine","Cystine",5.77385254572837e-30,-0.315270935960591
"2270","Linoleic Acid","Pipecolate",5.90746240864437e-30,0.478325123152709
"2271","1-Methyladenosine","Phenylacetic Acid",5.95952258068086e-30,0.322167487684729
"2272","Indole-3-Carboxylic Acid","Margaric Acid",6.08060827227809e-30,0.396551724137931
"2273","PEP","Ribulose 5-Phosphate",6.17710239816221e-30,0.529064039408867
"2274","Betaine","Uridine",6.22871481764084e-30,-0.468965517241379
"2275","IMP","NAD",6.26593479133682e-30,0.676354679802955
"2276","Ethanolamine","Reduced Glutathione",6.58727229961827e-30,-0.36256157635468
"2277","Aminolevulinate","UDP-Glucose",6.61686133537617e-30,0.583743842364532
"2278","3-Aminoisobutyrate","4-Pyridoxic Acid",6.63239145158008e-30,0.386206896551724
"2279","n-Glycylproline","Succinylcarnitine",6.96683264075078e-30,0.303448275862069
"2280","3-(4-Hydroxyphenyl)Propionate","Ergocalciferol",7.00243374546347e-30,0.470443349753694
"2281","4-Guanidinobutanoate","Cadaverine",7.10080193640355e-30,-0.475369458128079
"2282","Erythrose-4-Phosphate","Hydrocinnamic Acid",7.24989272298732e-30,-0.473891625615763
"2283","Alpha-Ketoglutaric Acid","Pyroglutamic Acid",7.35195953795908e-30,-0.414285714285714
"2284","Indole-3-Carboxylic Acid","Ribulose 5-Phosphate",7.71241284375418e-30,-0.306403940886699
"2285","Citraconic Acid","Creatine",7.72413704827062e-30,0.470443349753694
"2286","cGMP","Xanthine",7.94144790920604e-30,-0.460591133004926
"2287","7-Methylguanine","Adenine",8.07970086408038e-30,-0.567980295566502
"2288","7-Methylguanine","Niacinamide",8.14598880739409e-30,-0.46256157635468
"2289","Glycerol-3-P","Neopterin",8.18488909874829e-30,-0.338916256157635
"2290","1-Methyladenosine","Tyrosine",8.18527058376092e-30,0.224630541871921
"2291","Adenylosuccinate","AMP",8.44611985527538e-30,0.437931034482759
"2292","Citrulline","Palmitic Acid",8.90863734305184e-30,0.414285714285714
"2293","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid","Taurine",9.01559781469794e-30,-0.471428571428571
"2294","Cysteinyl-Glycine (Cys-Gly)","Maleic Acid",9.26099583272014e-30,-0.383251231527094
"2295","Aminolevulinate","Glycerophosphocholine",9.31293022915395e-30,0.397044334975369
"2296","3-Hydroxypropionic Acid","Ethanolamine",9.39431384024614e-30,0.388177339901478
"2297","GMP","UDP-Glucose",9.72163600261478e-30,-0.452709359605911
"2298","Ergocalciferol","Trigonelline",9.93769706898246e-30,0.421674876847291
"2299","Oxalacetate","Pyruvate",9.96063683172381e-30,-0.436453201970443
"2300","Ornithine","Retinol",1.02485190064886e-29,0.460098522167488
"2301","2-isoPropylmalic Acid","Pseudouridine",1.02969127602433e-29,0.46256157635468
"2302","Arginine","Inosine",1.03988437340442e-29,-0.298029556650246
"2303","Ergocalciferol","Indole-3-Carboxylic Acid",1.0725863602028e-29,0.329556650246305
"2304","Linolenic Acid","Myristic Acid",1.07807360598126e-29,0.505911330049261
"2305","Cholesteryl Sulfate","S-Adenosylmethionine (SAM)",1.10306076422725e-29,-0.357635467980295
"2306","Histamine","Succinate",1.1051984292923e-29,-0.582266009852217
"2307","Cholecalciferol","Thiamine",1.10549363988575e-29,-0.336453201970443
"2308","Ethanolamine","Tyrosine",1.1163897833746e-29,-0.433004926108374
"2309","Alanine","S-Methylcysteine",1.16311739524794e-29,0.322660098522167
"2310","Glucosamine","Phenylalanine",1.18583539614682e-29,0.353694581280788
"2311","Aminolevulinate","n-Glycylproline",1.21665053318688e-29,0.48423645320197
"2312","Glucose","Lactose/Trehalose",1.23663233088443e-29,0.680295566502463
"2313","Phenylacetic Acid","Phenylalanine",1.28337200318693e-29,-0.36256157635468
"2314","Orotate","Tyrosine",1.29063727659013e-29,-0.36256157635468
"2315","Cystine","GMP",1.29282317047298e-29,-0.519211822660098
"2316","Cystine","Orotate",1.32161478523423e-29,0.332512315270936
"2317","Arginine","Tryptophan",1.36126131302749e-29,-0.285221674876847
"2318","Hypotaurine","UDP-Glucose",1.4164185220732e-29,-0.386699507389162
"2319","3-Hydroxypropionic Acid","betaAlanine",1.43261838218077e-29,0.561083743842364
"2320","Adipic Acid / 3-Methylglutaric Acid","Proline",1.43819818280331e-29,0.453694581280788
"2321","Homoarginine","Maleic Acid",1.49903251046954e-29,-0.369458128078818
"2322","Arginine","Ornithine",1.50849535780823e-29,0.578817733990148
"2323","D-Leucic Acid","Thiamine",1.54031247254704e-29,-0.155665024630542
"2324","4-Pyridoxic Acid","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",1.60709859948651e-29,-0.496059113300493
"2325","Glycerol-3-P","Pseudouridine",1.69847488907411e-29,-0.378817733990148
"2326","L-Kynurenine","Retinol",1.73497178585397e-29,-0.455665024630542
"2327","Azelaic Acid","DCDP",1.78153004381403e-29,-0.406403940886699
"2328","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid","Succinate",1.78203016059163e-29,0.446305418719212
"2329","G6P","Pyroglutamic Acid",1.90276967197027e-29,-0.503940886699507
"2330","Betaine","L-Kynurenine",1.93716591474117e-29,-0.332512315270936
"2331","Glycerol-3-P","Sedoheptulose 7-Phosphate",1.99033540684226e-29,0.437931034482759
"2332","Hydrocinnamic Acid","Trigonelline",2.02605289542923e-29,0.452216748768473
"2333","N-Ac-Alanine","Sedoheptulose 7-Phosphate",2.07758586292092e-29,-0.43448275862069
"2334","Biopterin","Tyrosine",2.1697633268839e-29,0.226600985221675
"2335","Pyridoxamine","Serine",2.23130348158453e-29,0.466995073891625
"2336","Hydrocinnamic Acid","L-Kynurenine",2.26401570828543e-29,-0.316748768472906
"2337","2-Hydroxyphenylacetate","Pseudouridine",2.3083761708676e-29,0.360098522167488
"2338","1-Methyladenosine","Lactate",2.33856933164239e-29,-0.405418719211823
"2339","L-Kynurenine","Ribulose 5-Phosphate",2.39980318636238e-29,0.388669950738916
"2340","Glyceraldehyde","N6-Trimethyllysine",2.45015751478759e-29,0.368472906403941
"2341","1-Methyladenosine","Choline",2.53509832361991e-29,0.413300492610837
"2342","G1P/F1P/F6P","Glycerophosphocholine",2.54312319816682e-29,0.407389162561576
"2343","Alanine","Citraconic Acid",2.55890932896765e-29,0.436945812807882
"2344","Maleic Acid","Ornithine",2.56310304013979e-29,0.45615763546798
"2345","3HBA","L-Kynurenine",2.5744033672463e-29,-0.320197044334975
"2346","Homocitrulline","UDP-Glucose",2.65385369436108e-29,0.345320197044335
"2347","DCDP","UMP",2.7327260718615e-29,0.468965517241379
"2348","Biopterin","Cystathionine",2.83439996169646e-29,-0.32512315270936
"2349","Pseudouridine","Xanthine",2.96151858894881e-29,0.483251231527093
"2350","Ergocalciferol","Pyruvate",3.00959191003924e-29,-0.314778325123153
"2351","Glycerol-3-P","Pyridoxamine",3.03171009123977e-29,-0.381773399014778
"2352","4-Pyridoxic Acid","Spermidine",3.15952764900265e-29,0.497044334975369
"2353","Alanine","G6P",3.19408103195031e-29,-0.422660098522167
"2354","2-Hydroxyisobutyrate/2-Hydroxybutyrate","DCDP",3.25795000815759e-29,-0.387684729064039
"2355","3-Aminoisobutyrate","DHAP/D-GA3P",3.2634948883439e-29,-0.439901477832512
"2356","2-Aminoisobutyric Acid","Cystine",3.27278711430266e-29,-0.318226600985222
"2357","Hydrocinnamic Acid","Uridine",3.28660470754087e-29,-0.295566502463054
"2358","GMP","Putrescine",3.32068588597059e-29,-0.577832512315271
"2359","Deoxyguanosine","UDP-Glucose",3.33031014002516e-29,-0.467487684729064
"2360","Indole-2-Carboxylic Acid","Margaric Acid",3.48417213194179e-29,0.360098522167488
"2361","Hydrocinnamic Acid","S-Methylcysteine",3.64964347076629e-29,0.447290640394089
"2362","N-Ac-L-Glutamine","Tryptophan",3.72753047854019e-29,0.259605911330049
"2363","G1P/F1P/F6P","Riboflavin",3.75362534250296e-29,-0.397044334975369
"2364","2-Aminoisobutyric Acid","Urate",3.84774583016456e-29,0.385221674876847
"2365","3-Hydroxyisovaleric Acid","Tyrosine",3.87560091358277e-29,0.460591133004926
"2366","Betaine","Guanine",3.88191499448254e-29,0.378817733990148
"2367","Allantoin","G6P",3.95759671564137e-29,-0.516748768472906
"2368","Erythrose-4-Phosphate","Glycerophosphocholine",4.00015231515063e-29,0.396551724137931
"2369","Inosine","Phenylacetic Acid",4.04051251732301e-29,-0.279310344827586
"2370","NAD","Uracil",4.10058964455242e-29,0.492118226600985
"2371","Aminolevulinate","Cytidine",4.2859323769573e-29,0.42512315270936
"2372","Arginine","Xanthurenic Acid",4.37618676252931e-29,0.298029556650246
"2373","Homoarginine","PEP",4.44349663772214e-29,0.384729064039409
"2374","Alanine","Succinate",4.59368208704179e-29,-0.561576354679803
"2375","Cystine","Xanthurenic Acid",4.61365294461576e-29,-0.371428571428571
"2376","2-Hydroxyglutarate","Cholesteryl Sulfate",4.74078135976093e-29,-0.390147783251231
"2377","n-Glycylproline","Pseudouridine",4.74189176676005e-29,-0.287192118226601
"2378","Indole-2-Carboxylic Acid","Ribulose 5-Phosphate",4.76806668730043e-29,-0.266502463054187
"2379","Glycerophosphocholine","N6-Acetyl-Lysine",4.77647236424469e-29,0.390147783251231
"2380","PEP","Taurine",4.77647236424469e-29,-0.450246305418719
"2381","Proline","Trigonelline",4.89622910286873e-29,0.429556650246305
"2382","ADP","NADH",4.97971052773061e-29,0.551724137931034
"2383","2-Hydroxyisobutyrate/2-Hydroxybutyrate","7-Methylguanine",5.03546749427681e-29,-0.60935960591133
"2384","Cholecalciferol","Uracil",5.28856191942387e-29,-0.404433497536946
"2385","Inosine","Margaric Acid",5.34216736152601e-29,-0.469458128078818
"2386","1-Methyladenosine","Maleic Acid",5.43586599687771e-29,0.399014778325123
"2387","Glyceraldehyde","Lactose/Trehalose",5.59694171764858e-29,0.658620689655172
"2388","Pseudouridine","UDP-GlcNAc",5.65973636412131e-29,-0.272906403940887
"2389","Glycerophosphocholine","Pyruvate",5.69203642348658e-29,0.38423645320197
"2390","Adenine","N-Acetyl-Aspartate (NAA)",5.97181511502719e-29,0.516748768472906
"2391","gamma-Aminobutyrate","Lysine",6.24006330589279e-29,0.515763546798029
"2392","3-(4-Hydroxyphenyl)Propionate","Phenylalanine",6.30848347457597e-29,-0.326600985221675
"2393","1-Methyladenosine","N-Ac-Phenylalanine",6.3991249210625e-29,0.473399014778325
"2394","Cysteinyl-Glycine (Cys-Gly)","Oxalacetate",6.43342600007759e-29,-0.465024630541872
"2395","6-Methyladenosine","Cystine",6.88944079816206e-29,0.500492610837438
"2396","Cystine","Indole-3-Carboxylic Acid",6.99322925588709e-29,-0.311822660098522
"2397","Indole-2-Carboxylic Acid","Tyrosine",7.01008177599499e-29,0.339901477832512
"2398","Methionine","Sucrose",7.12567524784404e-29,-0.273399014778325
"2399","2-isoPropylmalic Acid","Biopterin",7.32718971162885e-29,0.39064039408867
"2400","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid","Uridine",7.56555776992498e-29,0.486206896551724
"2401","Glycerol-3-P","IMP",7.69601439541622e-29,-0.597536945812808
"2402","Cysteinyl-Glycine (Cys-Gly)","Glucosamine",7.83310183509438e-29,0.40295566502463
"2403","4-Pyridoxic Acid","Homocitrulline",7.86321452376421e-29,-0.532512315270936
"2404","Homoarginine","Hydrocinnamic Acid",8.08561018774807e-29,-0.310837438423645
"2405","Glycerol-3-P","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",8.12820679337614e-29,0.499507389162561
"2406","1-Methyladenosine","2-Hydroxyglutarate",8.3504972027684e-29,-0.248275862068965
"2407","Inosine","Succinylcarnitine",8.65273813292559e-29,0.410344827586207
"2408","Alpha-Ketoglutaric Acid","Citraconic Acid",8.74853983616601e-29,-0.449261083743842
"2409","1-Methyladenosine","Xanthurenic Acid",8.96471023384663e-29,0.252709359605911
"2410","Anthranilic Acid","SAH",9.00378687821755e-29,-0.333497536945813
"2411","cAMP","Margaric Acid",9.18057634119612e-29,-0.416748768472906
"2412","4-Pyridoxic Acid","Phosphorylcholine",9.46500035185622e-29,0.461083743842364
"2413","N-Acetyl-Aspartate (NAA)","Phosphotyrosine",9.85916656455328e-29,-0.321674876847291
"2414","N-Ac-Phenylalanine","Trigonelline",1.00523962944608e-28,0.440886699507389
"2415","3-Hydroxypropionic Acid","Tyrosine",1.02140968576749e-28,-0.431527093596059
"2416","Alanine","G1P/F1P/F6P",1.06409135598246e-28,-0.40935960591133
"2417","Cystathionine","o-Phosphoethanolamine",1.0830824143756e-28,0.473891625615763
"2418","L-Kynurenine","S-Adenosylmethionine (SAM)",1.08374515587742e-28,0.34679802955665
"2419","ADP","Aspartic Acid",1.08798394987614e-28,-0.462068965517241
"2420","Glycine","Phenylacetic Acid",1.09030696562127e-28,0.45320197044335
"2421","Alpha-Ketoglutaric Acid","Citrulline",1.09555650589151e-28,-0.285714285714286
"2422","3-Aminoisobutyrate","Inosine",1.13221446785265e-28,-0.345320197044335
"2423","Betaine","Tyrosine",1.13566794350392e-28,0.369950738916256
"2424","Citrulline","Urate",1.1577427083727e-28,0.241871921182266
"2425","Pyroglutamic Acid","Tryptophan",1.16253221099184e-28,-0.307389162561576
"2426","1-Methylnicotinamide","4-Guanidinobutanoate",1.18072834870912e-28,-0.433004926108374
"2427","Orotate","Succinylcarnitine",1.18326722442827e-28,0.397536945812808
"2428","D-Leucic Acid","o-Phosphoethanolamine",1.19605485316065e-28,-0.474384236453202
"2429","Biopterin","Cystine",1.20343153266329e-28,-0.307881773399015
"2430","3-Hydroxyisovaleric Acid","Sedoheptulose 7-Phosphate",1.21381807974014e-28,-0.377339901477832
"2431","Glycerol-3-P","S-Methylcysteine",1.22959153561808e-28,-0.344334975369458
"2432","Guanine","N-Ac-Alanine",1.26536119143314e-28,0.386699507389162
"2433","Cholesteryl Sulfate","Leucine /D-Norleucine",1.35131012163971e-28,-0.319211822660098
"2434","Maleic Acid","Tyrosine",1.36574974645225e-28,0.388177339901478
"2435","N-Ac-Phenylalanine","Neopterin",1.47415137395422e-28,0.566995073891626
"2436","2-Hydroxyisobutyrate/2-Hydroxybutyrate","N-Ac-L-Glutamine",1.53614583158664e-28,-0.260098522167488
"2437","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Retinol",1.54237189131593e-28,0.383251231527094
"2438","Ergocalciferol","Orotate",1.54962210420109e-28,-0.397536945812808
"2439","Glyceraldehyde","Pseudouridine",1.55880316163888e-28,-0.395566502463054
"2440","Cholesteryl Sulfate","D-Leucic Acid",1.56511626482451e-28,0.290147783251231
"2441","2-Hydroxyglutarate","3-(4-Hydroxyphenyl)Propionate",1.57425877652309e-28,-0.258620689655172
"2442","NAD","NADH",1.57847812974857e-28,0.527093596059113
"2443","Ergocalciferol","Phenylalanine",1.61246002399604e-28,-0.295073891625616
"2444","cAMP","Homocitrulline",1.6766593881246e-28,0.44384236453202
"2445","Methionine","N-Ac-L-Glutamine",1.700468875115e-28,0.394581280788177
"2446","Hypotaurine","Tyrosine",1.70487692858097e-28,0.44679802955665
"2447","Citraconic Acid","N6-Acetyl-Lysine",1.70881867420491e-28,-0.41871921182266
"2448","Choline","Imidazoleacetic Acid",1.74872990999115e-28,-0.333497536945813
"2449","Palmitic Acid","Sedoheptulose 7-Phosphate",1.79533845219218e-28,-0.444334975369458
"2450","n-Glycylproline","Ornithine",1.81479221262645e-28,-0.364039408866995
"2451","Aminolevulinate","Phenylacetic Acid",1.81597937555335e-28,-0.35615763546798
"2452","6-Methyladenosine","gamma-Aminobutyrate",1.82479148806415e-28,0.350738916256158
"2453","Aminolevulinate","Indole-3-Carboxylic Acid",1.85634722048744e-28,-0.396059113300493
"2454","o-Phosphoethanolamine","Trigonelline",1.85849868840349e-28,-0.405418719211823
"2455","3HBA","Glucose",1.87261619768311e-28,-0.208374384236453
"2456","Glycine","Sucrose",1.92369701059329e-28,0.433497536945813
"2457","1-Methylnicotinamide","Cystine",1.96526515187517e-28,-0.415763546798029
"2458","Serine","Thiamine",2.0072421392142e-28,-0.438423645320197
"2459","N-Ac-L-Glutamine","UDP-GlcNAc",2.00834134599092e-28,0.333004926108374
"2460","Citraconic Acid","Neopterin",2.01515976198276e-28,0.520689655172414
"2461","Deoxyguanosine","N-Ac-Phenylalanine",2.024762594145e-28,0.470443349753694
"2462","Arginine","N-Ac-Alanine",2.03904670343445e-28,0.427586206896552
"2463","2-Hydroxyglutarate","Creatine",2.04900622109693e-28,-0.328571428571429
"2464","N-Ac-Alanine","UDP-Glucose",2.05966562727125e-28,-0.394088669950739
"2465","Cystine","Indole-2-Carboxylic Acid",2.08372289462572e-28,-0.32807881773399
"2466","Linoleic Acid","Succinate",2.08641368805131e-28,-0.413300492610837
"2467","N-Ac-Alanine","Ribose-5-P",2.08641368805131e-28,-0.442857142857143
"2468","Glucose","Xanthurenic Acid",2.14752298203859e-28,-0.35615763546798
"2469","Alpha-Ketoglutaric Acid","Imidazoleacetic Acid",2.1478481852345e-28,0.309852216748768
"2470","6-Methyladenosine","Glutamic acid",2.27470748690183e-28,0.354679802955665
"2471","3-Hydroxyisovaleric Acid","Alanine",2.31371039694307e-28,0.432512315270936
"2472","Glutaric Acid","Homocitrulline",2.38661276544445e-28,-0.463054187192118
"2473","Citrulline","Succinylcarnitine",2.39631294241654e-28,-0.362068965517241
"2474","Linoleic Acid","Taurine",2.40790108170604e-28,0.495566502463054
"2475","Indole-3-Carboxylic Acid","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",2.46270393297923e-28,-0.429064039408867
"2476","Maleic Acid","S-Methylcysteine",2.46309599112418e-28,0.415270935960591
"2477","Azelaic Acid","Glucose",2.47703918631083e-28,-0.39064039408867
"2478","Homocitrulline","Neopterin",2.50708301730976e-28,-0.317733990147783
"2479","4-Pyridoxic Acid","Indole-3-Carboxylic Acid",2.51731004450936e-28,0.4935960591133
"2480","Betaine","N-Ac-L-Glutamine",2.53569022718981e-28,-0.40295566502463
"2481","3HBA","Sedoheptulose 7-Phosphate",2.55210880166383e-28,-0.373399014778325
"2482","2-Aminoisobutyric Acid","Ergocalciferol",2.55984349544685e-28,0.413793103448276
"2483","S-Adenosylmethionine (SAM)","Uridine",2.60951053821418e-28,0.369950738916256
"2484","Creatine","Glyceraldehyde",2.71128228525331e-28,-0.467980295566502
"2485","Glucose","Phenylalanine",2.7174014006946e-28,0.333497536945813
"2486","Lysine","N6-Trimethyllysine",2.7665297786368e-28,0.523645320197044
"2487","Homoarginine","N6-Acetyl-Lysine",2.83864365677844e-28,0.415763546798029
"2488","3-Aminoisobutyrate","Succinate",2.87545126734064e-28,-0.514778325123153
"2489","Erythrose-4-Phosphate","Urate",2.89718114619033e-28,-0.414285714285714
"2490","S-Methylcysteine","Xanthurenic Acid",2.89718114619033e-28,0.341871921182266
"2491","G6P","Riboflavin",2.97465467165311e-28,-0.380788177339901
"2492","Alpha-Ketoglutaric Acid","Succinylcarnitine",3.02736007999134e-28,0.336453201970443
"2493","Arginine","Uridine",3.04250586432936e-28,-0.33448275862069
"2494","2-Hydroxyisobutyrate/2-Hydroxybutyrate","D-Leucic Acid",3.05802044373065e-28,0.477339901477832
"2495","2-Hydroxyphenylacetate","Pyroglutamic Acid",3.08365013348377e-28,0.360591133004926
"2496","Myristic Acid","UMP",3.10791639708207e-28,0.469458128078818
"2497","FAD","S-Methylcysteine",3.12003477238276e-28,0.375862068965517
"2498","Glucose","Glycerol-3-P",3.17892237713337e-28,0.326108374384236
"2499","Cadaverine","Cystine",3.20932493978988e-28,-0.421674876847291
"2500","N-AcetylGlycine","Ornithine",3.22045602266923e-28,0.405418719211823
"2501","Cytidine","S-Methylcysteine",3.22732905371652e-28,-0.338423645320197
"2502","Citraconic Acid","L-2-Aminobutyric Acid",3.3302533805239e-28,-0.298029556650246
"2503","3-Hydroxyisovaleric Acid","Pyroglutamic Acid",3.37397052207139e-28,0.329064039408867
"2504","Homoarginine","N6-Trimethyllysine",3.37892926023315e-28,0.420689655172414
"2505","Creatine","Sucrose",3.38557772384967e-28,0.321674876847291
"2506","1/3-Methylhistidine","Inosine",3.50303483153726e-28,0.379802955665025
"2507","Anthranilic Acid","Sucrose",3.52795082551748e-28,0.330541871921182
"2508","3-Hydroxyisovaleric Acid","S-Methylcysteine",3.5492654364879e-28,0.450738916256158
"2509","Alanine","SAH",3.5867266653444e-28,-0.392118226600985
"2510","L-2-Aminobutyric Acid","N-Ac-Arginine",3.60661115082582e-28,0.462068965517241
"2511","2-Hydroxyglutarate","Orotate",3.60890411935525e-28,0.306896551724138
"2512","N-Ac-L-Glutamine","N-AcetylGlycine",3.61156894102806e-28,-0.363546798029557
"2513","Nicotinic Acid","Oxidized Glutathione",3.73706647103057e-28,-0.5
"2514","N-Ac-L-Glutamine","Thiamine",3.76950620119504e-28,0.444827586206896
"2515","Citraconic Acid","Orotate",3.78009781432497e-28,-0.363546798029557
"2516","Biopterin","Leucine /D-Norleucine",3.78980462470292e-28,-0.390147783251231
"2517","Ergocalciferol","N-Ac-L-Glutamine",3.8329078538699e-28,-0.372906403940887
"2518","3-Aminoisobutyrate","Uridine",3.87113831233804e-28,-0.322167487684729
"2519","1-Methylnicotinamide","Cysteinyl-Glycine (Cys-Gly)",3.88060636068265e-28,-0.476847290640394
"2520","Cholecalciferol","Glycerophosphocholine",3.88688645897238e-28,-0.391625615763547
"2521","Cadaverine","Cytidine",3.96499989761222e-28,-0.364532019704433
"2522","Glucosamine","Inosine",3.96532298652918e-28,0.336453201970443
"2523","Cholecalciferol","Glucosamine",3.98877864691533e-28,-0.282758620689655
"2524","Guanine","Homocitrulline",4.04272295981341e-28,-0.316256157635468
"2525","Glucose","Uridine",4.14714912757184e-28,0.332019704433497
