"","rowname","colname","p_F","R_F"
"1983","2-Aminoisobutyric Acid","Cystathionine",5.86912210333968e-28,0.320197044334975
"1984","ADP","Glyceraldehyde",5.9038803275823e-28,0.249261083743842
"1985","Glucosamine","Histamine",5.95067610474027e-28,-0.430541871921182
"1986","2-Aminoisobutyric Acid","Adenylosuccinate",6.07332714525412e-28,0.375369458128079
"1987","Carnitine","Histidine",6.35774889844736e-28,0.364532019704433
"1988","Choline","Uridine",6.38517531634615e-28,-0.461083743842364
"1989","Arginine","Taurine",6.54555651861503e-28,0.603448275862069
"1990","L-Kynurenine","Uridine",6.64963898480886e-28,0.471428571428571
"1991","6-Methyladenosine","Pyruvate",6.74020851315612e-28,-0.438423645320197
"1992","7-Methylguanine","Cholesteryl Sulfate",6.74020851315612e-28,-0.414778325123153
"1993","7-Methylguanine","Adipic Acid / 3-Methylglutaric Acid",6.80701277943379e-28,-0.446305418719212
"1994","Choline","n-Glycylproline",6.93714166715274e-28,-0.361083743842364
"1995","Cysteinyl-Glycine (Cys-Gly)","G1P/F1P/F6P",6.96032440931665e-28,0.513793103448276
"1996","Carnitine","Thiamine",7.21245009659102e-28,0.326600985221675
"1997","Citraconic Acid","Cystathionine",7.780080280602e-28,-0.313793103448276
"1998","Lactate","Pyroglutamic Acid",7.92177399544151e-28,-0.448768472906404
"1999","1-Methyladenosine","N-Ac-Phenylalanine",8.07116216165842e-28,0.56551724137931
"2000","1/3-Methylhistidine","Cystathionine",8.43065468440374e-28,0.322167487684729
"2001","Cholesteryl Sulfate","Dimethylglycine",8.66654340619244e-28,-0.382266009852217
"2002","Ethanolamine","Homoarginine",9.20726457299617e-28,-0.370443349753695
"2003","4-Pyridoxic Acid","N2,N2-Dimethylguanosine",9.28971168876913e-28,0.341871921182266
"2004","5'-Methylthioadenosine","Betaine",9.40092261015174e-28,-0.313300492610837
"2005","3-Hydroxyisovaleric Acid","IMP",9.87845756300528e-28,-0.353694581280788
"2006","Cystine","Sorbitol",9.92079632483925e-28,0.244827586206897
"2007","Acetylcholine","Erythrose-4-Phosphate",1.02102065687179e-27,0.404433497536946
"2008","5'-Methylthioadenosine","cGMP",1.03279200185388e-27,0.406403940886699
"2009","2'-Deoxycytidine","n-Glycylproline",1.04259945000619e-27,0.388177339901478
"2010","Citraconic Acid","Phosphoserine",1.04423669529634e-27,-0.360098522167488
"2011","2-Aminoisobutyric Acid","Hypotaurine",1.04599429045234e-27,0.439408866995074
"2012","2-Hydroxyphenylacetate","3HBA",1.04707975467314e-27,0.352709359605911
"2013","Glutaric Acid","Inosine",1.04957091802031e-27,0.406896551724138
"2014","Acetylcholine","Spermidine",1.08683108872978e-27,0.452216748768473
"2015","Dimethylarginine (A/SDMA)","Xanthurenic Acid",1.11276032690794e-27,0.405911330049261
"2016","Arabitol/Xylitol","Citraconic Acid",1.12495061934136e-27,-0.360098522167488
"2017","3-Hydroxyisovaleric Acid","Pyridoxamine",1.18325701978571e-27,0.408374384236453
"2018","cAMP","S-Adenosylmethionine (SAM)",1.23611111696981e-27,0.357142857142857
"2019","n-Glycylproline","Urate",1.24303376315301e-27,-0.397044334975369
"2020","Creatine","gamma-Aminobutyrate",1.25115178692673e-27,-0.475862068965517
"2021","Cystathionine","Tryptophan",1.29045718342035e-27,0.309852216748768
"2022","Arabitol/Xylitol","Cystine",1.29724126189396e-27,-0.192118226600985
"2023","Phosphotyrosine","Urate",1.30509553006289e-27,-0.348275862068965
"2024","3-(4-Hydroxyphenyl)Propionate","Glyceraldehyde",1.31030137838206e-27,-0.227586206896552
"2025","Betaine","Carnitine",1.32041604337166e-27,-0.326108374384236
"2026","Acetylcholine","Hypoxanthine",1.32571438225261e-27,-0.349753694581281
"2027","G6P","Ribose-5-P",1.3299411739259e-27,0.436945812807882
"2028","Cystathionine","Suberic Acid",1.33138171335637e-27,-0.241871921182266
"2029","Asparagine","Trigonelline",1.35168413255363e-27,-0.412807881773399
"2030","Succinylcarnitine","Xanthurenic Acid",1.35894282618398e-27,0.269950738916256
"2031","Deoxycarnitine","Trigonelline",1.3909877715493e-27,0.588177339901478
"2032","Carnitine","Phosphorylcholine",1.42014722520001e-27,0.351724137931034
"2033","Acetylcholine","Reduced Glutathione",1.42169225728971e-27,0.42512315270936
"2034","5,6-Dihydrouracil","Succinylcarnitine",1.42912919794511e-27,0.339408866995074
"2035","Phosphoserine","UDP-GlcNAc",1.43106479525502e-27,0.475369458128079
"2036","D-Leucic Acid","Margaric Acid",1.43134967557985e-27,0.553694581280788
"2037","Homoarginine","IMP",1.44958013887035e-27,0.360098522167488
"2038","N-Ac-Alanine","Succinylcarnitine",1.4605424340139e-27,0.441379310344828
"2039","Alpha-Ketoglutaric Acid","Citraconic Acid",1.51114876918216e-27,-0.255172413793103
"2040","Lactate","N-Ac-Alanine",1.51237946397033e-27,-0.292118226600985
"2041","N-Ac-L-Glutamine","Uracil",1.53223895572739e-27,0.311822660098522
"2042","Anthranilic Acid","Ribose-5-P",1.53239166884711e-27,-0.517241379310345
"2043","Cysteinyl-Glycine (Cys-Gly)","Uracil",1.54073558857756e-27,0.479310344827586
"2044","3-(4-Hydroxyphenyl)Propionate","Margaric Acid",1.55921995520874e-27,0.285714285714286
"2045","3-Aminoisobutyrate","Phosphorylcholine",1.56579474161337e-27,0.289655172413793
"2046","Maleic Acid","Margaric Acid",1.6019039201741e-27,0.344334975369458
"2047","Cholesteryl Sulfate","n-Glycylproline",1.64277450419443e-27,-0.23743842364532
"2048","2-isoPropylmalic Acid","Choline",1.6845418595523e-27,0.486206896551724
"2049","Urate","Xanthurenic Acid",1.69591012703995e-27,-0.503448275862069
"2050","D-Leucic Acid","Pipecolate",1.7208234687281e-27,-0.438916256157635
"2051","o-Phosphoethanolamine","Pyridoxamine",1.72729851345889e-27,-0.406403940886699
"2052","N-Acetyl-Aspartate (NAA)","Xanthurenic Acid",1.7642022938618e-27,-0.317733990147783
"2053","Choline","IMP",1.77744205110767e-27,-0.496551724137931
"2054","Cysteinyl-Glycine (Cys-Gly)","SAH",1.77744205110767e-27,0.425615763546798
"2055","Cholecalciferol","Cysteinyl-Glycine (Cys-Gly)",1.81505867233445e-27,-0.427093596059113
"2056","Cystathionine","Pyroglutamic Acid",1.88066657849866e-27,0.555665024630542
"2057","gamma-Aminobutyrate","Pyroglutamic Acid",1.92009286077111e-27,0.429064039408867
"2058","Indole-2-Carboxylic Acid","Pyridoxamine",1.96886119247475e-27,0.487192118226601
"2059","Reduced Glutathione","S-Adenosylmethionine (SAM)",2.02230931183734e-27,0.298029556650246
"2060","N-Ac-Alanine","Phosphotyrosine",2.02853614902811e-27,0.420689655172414
"2061","Hypoxanthine","Serine",2.05019570262301e-27,0.371428571428571
"2062","Hypoxanthine","Kynurenic Acid",2.08232573506133e-27,-0.368472906403941
"2063","ADP","N2,N2-Dimethylguanosine",2.08367549394416e-27,0.45320197044335
"2064","Aspartic Acid","Kynurenic Acid",2.08499407110654e-27,-0.441379310344828
"2065","Linoleic Acid","Oxalacetate",2.10656172942871e-27,0.516748768472906
"2066","Hypoxanthine","Sucrose",2.10656637468635e-27,0.424137931034483
"2067","Lysine","o-Phosphoethanolamine",2.11591778184364e-27,-0.562068965517241
"2068","Agmatine","Reduced Glutathione",2.14968681463689e-27,0.281773399014778
"2069","cAMP","G6P",2.14968681463689e-27,0.548275862068965
"2070","Alanine","Biopterin",2.21282937380753e-27,0.491625615763547
"2071","Glyceraldehyde","UDP-GlcNAc",2.21879813843032e-27,0.233497536945813
"2072","Margaric Acid","PEP",2.22193357856078e-27,-0.431527093596059
"2073","Agmatine","S-Adenosylmethionine (SAM)",2.26399791431541e-27,0.529556650246305
"2074","Adipic Acid / 3-Methylglutaric Acid","Reduced Glutathione",2.2777109274639e-27,-0.36256157635468
"2075","NAD","Suberic Acid",2.28382901134857e-27,-0.320197044334975
"2076","Cystine","Sucrose",2.30255636058e-27,0.369950738916256
"2077","2-Aminoisobutyric Acid","3-Methyl-3-Hydroxyglutaric Acid",2.39666156221702e-27,0.397044334975369
"2078","Hydrocinnamic Acid","Pyridoxamine",2.44521227180372e-27,0.425615763546798
"2079","Aspartic Acid","cAMP",2.52350051913671e-27,-0.361576354679803
"2080","Cystine","DHAP/D-GA3P",2.53533471340165e-27,0.398029556650246
"2081","3-Methyl-3-Hydroxyglutaric Acid","Sucrose",2.559511325498e-27,-0.247783251231527
"2082","3-(4-Hydroxyphenyl)Propionate","3-Methyl-3-Hydroxyglutaric Acid",2.56786646172122e-27,-0.275369458128079
"2083","Agmatine","Homoarginine",2.57312370495164e-27,0.462068965517241
"2084","Creatine","SAH",2.70524511263819e-27,-0.456650246305419
"2085","Myristic Acid","Phosphorylcholine",2.72027237226863e-27,0.327093596059113
"2086","D-Leucic Acid","Myristic Acid",2.72747721955886e-27,-0.29064039408867
"2087","Cholesteryl Sulfate","Xanthosine",2.83823233671165e-27,-0.388177339901478
"2088","Adenosine","N-AcetylGlycine",2.937848439559e-27,0.289162561576355
"2089","Arabitol/Xylitol","S-Adenosylmethionine (SAM)",2.95842896846842e-27,0.266502463054187
"2090","Sarcosine","Serine",2.9907050031171e-27,-0.524630541871921
"2091","4-Pyridoxic Acid","Carnitine",3.09118274582191e-27,0.37487684729064
"2092","Azelaic Acid","Linolenic Acid",3.3462673785653e-27,-0.480295566502463
"2093","2-Hydroxyphenylacetate","5'-Methylthioadenosine",3.45088333108165e-27,-0.283251231527094
"2094","Cystathionine","IMP",3.50589384337408e-27,0.286699507389163
"2095","2-isoPropylmalic Acid","Acetylcholine",3.57294605529922e-27,-0.406403940886699
"2096","Linolenic Acid","N-AcetylGlycine",3.67895947623719e-27,-0.40935960591133
"2097","1/3-Methylhistidine","Agmatine",3.72708571188558e-27,0.415270935960591
"2098","2'-Deoxycytidine","Argininosuccinate",3.94793221132676e-27,0.376847290640394
"2099","4-Pyridoxic Acid","Lactate",4.1031216845219e-27,-0.36551724137931
"2100","cGMP","Retinol",4.11256801618668e-27,-0.208866995073892
"2101","GMP","N-Ac-Alanine",4.16155412532502e-27,0.371428571428571
"2102","3-(4-Hydroxyphenyl)Propionate","4-Pyridoxic Acid",4.18767032238072e-27,-0.44384236453202
"2103","ADP","Cholesteryl Sulfate",4.27326374469565e-27,-0.252216748768473
"2104","Spermidine","Tryptophan",4.29962148535713e-27,0.387192118226601
"2105","Indole-3-Carboxylic Acid","Xanthine",4.38313231280484e-27,0.415270935960591
"2106","Homoarginine","N-Acetyl-Aspartate (NAA)",4.41222292259814e-27,-0.205911330049261
"2107","Myristic Acid","Trigonelline",4.49371025180813e-27,-0.498522167487685
"2108","Aspartic Acid","Urate",4.64960024237749e-27,0.359605911330049
"2109","cAMP","IMP",4.95904992158143e-27,0.341871921182266
"2110","Dimethylglycine","Valine",4.99965432226891e-27,0.480788177339901
"2111","Glyceraldehyde","Histamine",5.02509102343266e-27,-0.385714285714286
"2112","Creatine","N2,N2-Dimethylguanosine",5.23624066689568e-27,-0.273399014778325
"2113","Betaine","cAMP",5.28445864740169e-27,-0.44384236453202
"2114","Sucrose","Urate",5.3421880550476e-27,0.357635467980295
"2115","Carnosine","N2,N2-Dimethylguanosine",5.35722363944084e-27,0.26256157635468
"2116","Neopterin","Pseudouridine",5.38220893369139e-27,0.463054187192118
"2117","N-Acetyl-Aspartate (NAA)","Tryptophan",5.47554894236419e-27,-0.328571428571429
"2118","Citrulline","Indole-3-Carboxylic Acid",5.47746474620319e-27,0.388177339901478
"2119","3-(4-Hydroxyphenyl)Propionate","Xanthurenic Acid",5.7853151195684e-27,-0.210344827586207
"2120","7-Methylguanine","Azelaic Acid",5.83542036416825e-27,-0.461083743842364
"2121","Cholesteryl Sulfate","Sorbitol",5.83542036416825e-27,0.210344827586207
"2122","Cystathionine","Succinylcarnitine",5.97118786919173e-27,0.224137931034483
"2123","Carnitine","o-Phosphoethanolamine",6.1526959168774e-27,0.4
"2124","gamma-Aminobutyrate","Tryptophan",6.2508936467359e-27,0.285221674876847
"2125","Adenosine","N-Ac-L-Glutamine",6.26211816554074e-27,-0.191133004926108
"2126","Cholesteryl Sulfate","Hydrocinnamic Acid",6.37445124265163e-27,0.29064039408867
"2127","Choline","Pyridoxamine",6.40678178372173e-27,0.380295566502463
"2128","IMP","N2,N2-Dimethylguanosine",6.41378727831737e-27,0.420689655172414
"2129","Adipic Acid / 3-Methylglutaric Acid","Xanthosine",6.46599359103706e-27,-0.40935960591133
"2130","Kynurenic Acid","SAH",6.55592554371077e-27,0.316748768472906
"2131","Citraconic Acid","Suberic Acid",6.70000418102332e-27,0.364039408866995
"2132","2-Aminoadipate","gamma-Aminobutyrate",6.79078415165796e-27,0.48128078817734
"2133","Histamine","N-Acetyl-Aspartate (NAA)",6.81185775250606e-27,0.286699507389163
"2134","5,6-Dihydrouracil","Adenosine",6.82498501588577e-27,-0.239408866995074
"2135","7-Methylguanine","Glucoronate",7.17729252167305e-27,0.466502463054187
"2136","Alanine","Taurine",7.24911506271665e-27,0.575862068965517
"2137","3-Hydroxypropionic Acid","Uracil",7.47745420860161e-27,-0.450246305418719
"2138","2-Aminoadipate","Azelaic Acid",7.8857875366007e-27,-0.398522167487685
"2139","Alanine","N-AcetylGlycine",7.96404732208447e-27,-0.430049261083744
"2140","4-Pyridoxic Acid","Glyceraldehyde",8.0647847613639e-27,0.417241379310345
"2141","IMP","Phosphorylcholine",8.23818673566753e-27,0.401970443349754
"2142","betaAlanine","Linolenic Acid",8.47229698292747e-27,-0.653694581280788
"2143","IMP","Myristic Acid",8.50168899075368e-27,0.39064039408867
"2144","5'-Methylthioadenosine","Argininosuccinate",8.55834277923879e-27,0.311822660098522
"2145","3-Methyl-3-Hydroxyglutaric Acid","5'-Methylthioadenosine",8.79024459212057e-27,0.391625615763547
"2146","Adenine","Carnosine",8.97597519194484e-27,-0.35320197044335
"2147","Cholecalciferol","Phosphoserine",8.98999474847943e-27,-0.349261083743842
"2148","DHAP/D-GA3P","NADH",9.05777899985513e-27,-0.359605911330049
"2149","Glucosamine","n-Glycylproline",9.11285191298231e-27,0.3
"2150","5,6-Dihydrouracil","IMP",9.20125884958828e-27,0.266009852216749
"2151","Glucoronate","S-Methylcysteine",9.5518093433636e-27,0.46551724137931
"2152","N2,N2-Dimethylguanosine","Neopterin",9.58350107459434e-27,0.460098522167488
"2153","Cholecalciferol","Margaric Acid",9.7262671220736e-27,0.403940886699507
"2154","Ethanolamine","NAD",9.72978374066617e-27,-0.408866995073892
"2155","5-Methylcytidine","Neopterin",1.06634712086334e-26,0.415270935960591
"2156","5'-Methylthioadenosine","Ornithine",1.07777826512932e-26,-0.43743842364532
"2157","AMP","Hydrocinnamic Acid",1.08515736559526e-26,-0.456650246305419
"2158","Alanine","Tryptophan",1.11293619786407e-26,0.307881773399015
"2159","Citrulline","Linoleic Acid",1.12084169308547e-26,0.472413793103448
"2160","Phosphorylcholine","Uracil",1.14420715736761e-26,0.355665024630542
"2161","2'-Deoxycytidine","Agmatine",1.14470440361578e-26,0.266502463054187
"2162","3-Hydroxypropionic Acid","NAD",1.17622045160105e-26,-0.586206896551724
"2163","Inosine","Reduced Glutathione",1.18432192001157e-26,-0.383251231527094
"2164","Adipic Acid / 3-Methylglutaric Acid","Pyroglutamic Acid",1.18680263661362e-26,-0.438916256157635
"2165","5'-Methylthioadenosine","Histamine",1.18746529539779e-26,-0.264532019704433
"2166","2-isoPropylmalic Acid","Hypoxanthine",1.20255044360531e-26,0.429064039408867
"2167","Arabitol/Xylitol","n-Glycylproline",1.21840569289166e-26,0.110344827586207
"2168","Adenosine","Carnosine",1.24152673534414e-26,-0.324137931034483
"2169","L-2-Aminobutyric Acid","N-Acetyl-Aspartate (NAA)",1.25721592264261e-26,-0.558620689655172
"2170","Sorbitol","Sucrose",1.28729251712738e-26,0.289162561576355
"2171","3-(4-Hydroxyphenyl)Propionate","D-Leucic Acid",1.32473717770063e-26,0.224630541871921
"2172","2-Aminoisobutyric Acid","Adenine",1.45015121114376e-26,-0.373399014778325
"2173","Cholesteryl Sulfate","GMP",1.46932778348756e-26,-0.245812807881773
"2174","3-Methyl-3-Hydroxyglutaric Acid","Citraconic Acid",1.49371058976722e-26,-0.22807881773399
"2175","Cholesteryl Sulfate","Succinylcarnitine",1.51240531777466e-26,-0.248768472906404
"2176","Argininosuccinate","Cholesteryl Sulfate",1.52736825540904e-26,-0.311330049261084
"2177","Glutaric Acid","Margaric Acid",1.55461214071647e-26,0.464039408866995
"2178","3HBA","Xanthine",1.56252220083737e-26,0.395566502463054
"2179","2-Aminoadipate","Suberic Acid",1.59907823344164e-26,-0.344334975369458
"2180","Cystathionine","Histidine",1.59907823344164e-26,0.482758620689655
"2181","3-Hydroxyisovaleric Acid","Kynurenic Acid",1.64706708563744e-26,-0.280788177339901
"2182","4-Guanidinobutanoate","5'-Methylthioadenosine",1.65766158415845e-26,-0.454679802955665
"2183","Allantoin","Linolenic Acid",1.79272623891335e-26,0.474384236453202
"2184","G6P","Taurine",1.79272623891335e-26,-0.485221674876847
"2185","Histamine","Uracil",1.80037941445107e-26,-0.333004926108374
"2186","Thiamine","Trigonelline",1.81851292849721e-26,-0.484729064039409
"2187","ADP","Phenylacetic Acid",1.91124389698453e-26,-0.348768472906404
"2188","Arginine","G1P/F1P/F6P",1.91347097941912e-26,-0.486206896551724
"2189","1/3-Methylhistidine","Azelaic Acid",1.9846051475185e-26,-0.431034482758621
"2190","Cholecalciferol","Dimethylarginine (A/SDMA)",1.98472602374557e-26,-0.280295566502463
"2191","Histamine","Sucrose",1.99140084030355e-26,0.421674876847291
"2192","2-Aminoisobutyric Acid","Neopterin",2.04557185569935e-26,0.434975369458128
"2193","Agmatine","cGMP",2.04984513492149e-26,0.417241379310345
"2194","Arginine","Erythrose-4-Phosphate",2.11995862985885e-26,-0.472906403940887
"2195","3-Methyl-3-Hydroxyglutaric Acid","Phenylacetic Acid",2.24710900375664e-26,-0.214778325123153
"2196","Cholesteryl Sulfate","Pyruvate",2.25391057396399e-26,-0.26256157635468
"2197","5'-Methylthioadenosine","cAMP",2.25837113736279e-26,0.445320197044335
"2198","1-Methylnicotinamide","Tyrosine",2.27477952536452e-26,0.472906403940887
"2199","Hypoxanthine","Spermidine",2.27490265756153e-26,-0.494581280788177
"2200","7-Methylguanine","Succinate",2.29174645796155e-26,-0.354679802955665
"2201","Acetylcholine","G1P/F1P/F6P",2.31573566050489e-26,0.376847290640394
"2202","Adenosine","Reduced Glutathione",2.32525438374e-26,-0.315763546798029
"2203","Argininosuccinate","Phosphoserine",2.4096526554029e-26,0.406896551724138
"2204","PEP","Sucrose",2.42555559181265e-26,-0.458128078817734
"2205","Phosphotyrosine","Uridine",2.49458654275456e-26,0.450738916256158
"2206","Sedoheptulose 7-Phosphate","Taurine",2.509123366422e-26,-0.431034482758621
"2207","Betaine","Dimethylarginine (A/SDMA)",2.51515080424055e-26,-0.396551724137931
"2208","Pyridoxamine","Thiamine",2.53521845276242e-26,-0.410837438423645
"2209","3-Aminoisobutyrate","Adenylosuccinate",2.53705278781346e-26,0.373891625615764
"2210","ADP","Ethanolamine",2.54013479997657e-26,-0.505911330049261
"2211","Linolenic Acid","Suberic Acid",2.55366875366376e-26,-0.466995073891625
"2212","Choline","Phenylalanine",2.62657463106032e-26,-0.311822660098522
"2213","N-Ac-Alanine","SAH",2.6516128948347e-26,0.444334975369458
"2214","Aspartic Acid","Cysteinyl-Glycine (Cys-Gly)",2.6843983699082e-26,-0.335467980295566
"2215","Adipic Acid / 3-Methylglutaric Acid","Linolenic Acid",2.72145327072558e-26,-0.436945812807882
"2216","5,6-Dihydrouracil","N-Acetyl-Aspartate (NAA)",2.75511309800966e-26,-0.213793103448276
"2217","2'-Deoxycytidine","3-(4-Hydroxyphenyl)Propionate",2.82204588755736e-26,-0.421674876847291
"2218","3-Methyl-3-Hydroxyglutaric Acid","Choline",2.82304587834335e-26,-0.34679802955665
"2219","Adenosine","Sucrose",2.84941076304424e-26,0.170443349753695
"2220","Adenosine","Sorbitol",2.86732001531696e-26,0.266009852216749
"2221","Suberic Acid","Xanthosine",2.92149462276856e-26,-0.35320197044335
"2222","Argininosuccinate","Urate",3.08823048281559e-26,-0.217241379310345
"2223","1/3-Methylhistidine","PEP",3.09275448242675e-26,0.3935960591133
"2224","Adenosine","Glyceraldehyde",3.12225360084549e-26,-0.304926108374384
"2225","Adenine","Choline",3.13472926611753e-26,0.375862068965517
"2226","Dimethylarginine (A/SDMA)","N6-Acetyl-Lysine",3.23664564627547e-26,0.484729064039409
"2227","4-Pyridoxic Acid","Trigonelline",3.24525580378312e-26,-0.442857142857143
"2228","1-Methyladenosine","Linoleic Acid",3.24773178335726e-26,0.444827586206896
"2229","3-Hydroxyisovaleric Acid","Azelaic Acid",3.25394568726753e-26,0.471428571428571
"2230","Cholecalciferol","Phenylalanine",3.29360342780888e-26,-0.378325123152709
"2231","Arginine","Linoleic Acid",3.41534275137843e-26,0.433004926108374
"2232","Myristic Acid","Succinate",3.43113378122302e-26,-0.304433497536946
"2233","Cholecalciferol","DHAP/D-GA3P",3.43837618121001e-26,0.485714285714286
"2234","Biopterin","Cadaverine",3.5935277827981e-26,0.498522167487685
"2235","Glyceraldehyde","Inosine",3.60408327547547e-26,-0.413300492610837
"2236","D-Leucic Acid","Glyceraldehyde",3.63373748843286e-26,-0.300492610837438
"2237","n-Glycylproline","UDP-GlcNAc",3.80350565946153e-26,0.264532019704433
"2238","Cystine","N-Ac-Alanine",3.83613427292675e-26,-0.319704433497537
"2239","3-(4-Hydroxyphenyl)Propionate","Sucrose",3.84321121324721e-26,0.178325123152709
"2240","Adenosine","Homoarginine",3.89973753874301e-26,-0.347783251231527
"2241","Adenosine","Inosine",4.04484841002648e-26,0.307389162561576
"2242","Pyridoxamine","Succinylcarnitine",4.18437961096611e-26,-0.341379310344828
"2243","gamma-Aminobutyrate","Myristic Acid",4.21590429598021e-26,0.33743842364532
"2244","Maleic Acid","Myristic Acid",4.25732503638312e-26,-0.39064039408867
"2245","Glyceraldehyde","Suberic Acid",4.26160693827728e-26,-0.380295566502463
"2246","3-Hydroxyisovaleric Acid","Arginine",4.27099832043165e-26,0.366502463054187
"2247","Dimethylglycine","Fructose",4.39409554455253e-26,-0.535960591133005
"2248","Homoarginine","PEP",4.40029740072404e-26,0.316256157635468
"2249","Adipic Acid / 3-Methylglutaric Acid","Citraconic Acid",4.42492206211254e-26,0.380295566502463
"2250","Adipic Acid / 3-Methylglutaric Acid","Sucrose",4.4532451270834e-26,0.387192118226601
"2251","7-Methylguanine","Agmatine",4.48956476453825e-26,0.477832512315271
"2252","Fructose","Methionine",4.71850929454203e-26,-0.542364532019704
"2253","N-Ac-Alanine","n-Glycylproline",4.85194775329981e-26,0.418226600985222
"2254","ADP","N-Ac-Alanine",4.91931112389913e-26,0.326108374384236
"2255","Linolenic Acid","Phosphorylcholine",5.21437632705504e-26,0.475369458128079
"2256","Pipecolate","Suberic Acid",5.2833701785081e-26,-0.429064039408867
"2257","Cholesteryl Sulfate","N2,N2-Dimethylguanosine",5.54011752039846e-26,-0.198029556650246
"2258","Methionine","Ornithine",5.57974644348397e-26,-0.354187192118227
"2259","7-Methylguanine","N-Ac-Alanine",5.60615905504016e-26,0.299014778325123
"2260","Phenylacetic Acid","Thiamine",5.76574594103161e-26,-0.522660098522167
"2261","Adenosine","Trigonelline",5.80462974488734e-26,0.405418719211823
"2262","Dimethylarginine (A/SDMA)","Phosphotyrosine",5.89117307719775e-26,0.316748768472906
"2263","GMP","o-Phosphoethanolamine",6.10630323514636e-26,0.472906403940887
"2264","1/3-Methylhistidine","Phosphoserine",6.34867852021467e-26,0.440886699507389
"2265","N-AcetylGlycine","Neopterin",6.41940822407258e-26,-0.487192118226601
"2266","Asparagine","N-Ac-Alanine",6.48686985756052e-26,0.24384236453202
"2267","4-Pyridoxic Acid","N-Ac-L-Glutamine",6.71090642625659e-26,0.310837438423645
"2268","Carnosine","Tryptophan",6.76423445351012e-26,0.370443349753695
"2269","Phosphorylcholine","Pyroglutamic Acid",6.85086995553839e-26,0.478817733990148
"2270","Alpha-Ketoglutaric Acid","Glucosamine",6.86997547590489e-26,0.330541871921182
"2271","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Aminolevulinate",6.88505265585762e-26,-0.501970443349754
"2272","5,6-Dihydrouracil","Sucrose",6.91842595170138e-26,-0.421182266009852
"2273","Adenine","Cholesteryl Sulfate",6.91842595170138e-26,0.304926108374384
"2274","Glutaric Acid","N-Ac-L-Glutamine",6.94674093965359e-26,-0.467980295566502
"2275","Betaine","Pipecolate",6.95796918320458e-26,-0.385221674876847
"2276","3-Hydroxyisovaleric Acid","6-Methyladenosine",6.99496732006489e-26,0.366009852216749
"2277","Ornithine","Suberic Acid",6.99496732006489e-26,0.456650246305419
"2278","Arabitol/Xylitol","Homoarginine",7.03505798314232e-26,0.247783251231527
"2279","3-(4-Hydroxyphenyl)Propionate","Erythrose-4-Phosphate",7.08916390852841e-26,-0.433497536945813
"2280","Indole-3-Carboxylic Acid","Urate",7.14862348489976e-26,0.507389162561576
"2281","3HBA","IMP",7.3165559077761e-26,-0.396059113300493
"2282","UDP-GlcNAc","Xanthurenic Acid",7.55805117249769e-26,0.290147783251231
"2283","1-Methyladenosine","Urate",7.79237628753654e-26,0.608374384236453
"2284","3-Hydroxyisovaleric Acid","Agmatine",7.85389820706678e-26,-0.429064039408867
"2285","1-Methyladenosine","Citrulline",7.92610208412852e-26,0.379310344827586
"2286","Cholesteryl Sulfate","Pipecolate",8.1688480571304e-26,-0.291625615763547
"2287","Pyroglutamic Acid","Tryptophan",8.26196827729846e-26,0.313300492610837
"2288","G1P/F1P/F6P","Indole-2-Carboxylic Acid",8.35226883863299e-26,-0.482266009852217
"2289","2-Aminoisobutyric Acid","Cystine",8.35990041672926e-26,-0.283743842364532
"2290","Cadaverine","Tyrosine",8.45572394929285e-26,0.568472906403941
"2291","1/3-Methylhistidine","Xanthurenic Acid",8.52392379522461e-26,0.33448275862069
"2292","Cystathionine","Dimethylglycine",8.54499078621303e-26,0.270935960591133
"2293","Glyceraldehyde","PEP",8.54670347911776e-26,0.400492610837438
"2294","cGMP","D-Leucic Acid",8.55583545700477e-26,-0.370935960591133
"2295","4-Pyridoxic Acid","Retinol",8.83976950528977e-26,-0.302463054187192
"2296","UDP-GlcNAc","Uracil",8.99653781371513e-26,0.281773399014778
"2297","Erythrose-4-Phosphate","Uridine",9.0732209205634e-26,0.56256157635468
"2298","Glyceraldehyde","N-Acetyl-Aspartate (NAA)",9.26871539300403e-26,-0.226600985221675
"2299","GMP","Hypoxanthine",9.33190564098541e-26,-0.470935960591133
"2300","L-2-Aminobutyric Acid","Lysine",9.39111190453875e-26,-0.514778325123153
"2301","Cystathionine","NAD",9.55145992764702e-26,0.41231527093596
"2302","Hypoxanthine","Oxalacetate",9.9306290842682e-26,0.451724137931034
"2303","Nicotinic Acid","PEP",9.9844329717912e-26,-0.357635467980295
"2304","Dimethylglycine","N-Ac-Alanine",1.006164351174e-25,0.380788177339901
"2305","Argininosuccinate","Cystathionine",1.00983696386502e-25,0.260591133004926
"2306","2'-Deoxycytidine","Ornithine",1.0221322534776e-25,-0.339901477832512
"2307","3HBA","Betaine",1.04246021557929e-25,0.435467980295566
"2308","Aminolevulinate","Uracil",1.04531395514875e-25,0.482758620689655
"2309","5,6-Dihydrouracil","Pyruvate",1.06648365856298e-25,0.330541871921182
"2310","Cholecalciferol","Ergocalciferol",1.07645616808487e-25,0.515763546798029
"2311","Argininosuccinate","N-AcetylGlycine",1.14725363431352e-25,-0.353694581280788
"2312","Oxalacetate","SAH",1.15410813140845e-25,-0.486206896551724
"2313","Phenylalanine","Xanthurenic Acid",1.1561305579183e-25,0.359113300492611
