"","rowname","colname","p_F","R_F"
"77","Betaine","Hydrocinnamic Acid",2.55367854986325e-75,0.694088669950739
"78","Cholecalciferol","Pyruvate",1.47013929034809e-74,-0.648275862068965
"79","Azelaic Acid","Maleic Acid",2.49157103314174e-74,0.768472906403941
"80","Azelaic Acid","Betaine",6.22718450564074e-74,0.761576354679803
"81","Agmatine","Azelaic Acid",8.31067214302502e-74,-0.702463054187192
"82","4-Pyridoxic Acid","Adipic Acid / 3-Methylglutaric Acid",1.64533419741974e-73,-0.6935960591133
"83","Aspartic Acid","Phosphotyrosine",1.81159381171659e-73,-0.662068965517241
"84","S-Adenosylmethionine (SAM)","SAH",1.95352337857254e-73,0.738423645320197
"85","Maleic Acid","Spermidine",2.97398350224811e-73,-0.65615763546798
"86","2-Hydroxyphenylacetate","ADP",4.96303121491448e-73,-0.639408866995074
"87","2-Hydroxyphenylacetate","Succinylcarnitine",6.71846632590817e-73,-0.657635467980295
"88","Alpha-Ketoglutaric Acid","Pyruvate",7.58911793296988e-73,0.698029556650246
"89","Maleic Acid","Suberic Acid",1.79456635520057e-72,0.75320197044335
"90","Betaine","Cholecalciferol",3.2589439437373e-72,0.621674876847291
"91","Adenine","IMP",4.58430336358887e-72,-0.708374384236453
"92","NAD","S-Adenosylmethionine (SAM)",1.01761703062497e-71,0.678817733990148
"93","Aspartic Acid","Pyruvate",1.14262437439911e-71,-0.692118226600985
"94","Aspartic Acid","Hydrocinnamic Acid",1.27449446918596e-71,0.675369458128079
"95","cGMP","Pyruvate",1.40826081273538e-71,0.739901477832512
"96","3-Aminoisobutyrate","4-Pyridoxic Acid",1.89615670156023e-71,0.747290640394089
"97","1/3-Methylhistidine","Hydrocinnamic Acid",2.65166735065871e-71,-0.72807881773399
"98","2-Hydroxyphenylacetate","Suberic Acid",3.12546780288465e-71,0.733004926108374
"99","Choline","UDP-GlcNAc",4.70623869510779e-71,-0.711822660098522
"100","N-Ac-Alanine","Succinate",6.99593772040133e-71,-0.753694581280788
"101","1/3-Methylhistidine","Succinylcarnitine",8.40683684651799e-71,0.667980295566502
"102","Pyruvate","Reduced Glutathione",9.94985831991369e-71,0.65615763546798
"103","Alpha-Ketoglutaric Acid","Aspartic Acid",1.60538768817963e-70,-0.595073891625616
"104","Betaine","D-Leucic Acid",1.68645418885347e-70,0.647783251231527
"105","Aspartic Acid","GMP",2.22673485958262e-70,-0.715270935960591
"106","Glutaric Acid","Succinylcarnitine",2.43740099785081e-70,-0.644334975369458
"107","3-Hydroxyisovaleric Acid","Choline",5.05012307527377e-70,0.692118226600985
"108","1/3-Methylhistidine","Urate",8.18560526546808e-70,-0.71871921182266
"109","2-Hydroxyphenylacetate","Alpha-Ketoglutaric Acid",1.42615378184502e-69,-0.585221674876847
"110","Aspartic Acid","N-Acetyl-Aspartate (NAA)",1.42615378184502e-69,0.668472906403941
"111","Alpha-Ketoglutaric Acid","Uracil",1.55045951694484e-69,0.594581280788177
"112","2-Hydroxyphenylacetate","Argininosuccinate",1.59275852257101e-69,-0.633497536945813
"113","D-Leucic Acid","Maleic Acid",1.84613333121474e-69,0.596059113300493
"114","Glyceraldehyde","Pyruvate",2.38119764284085e-69,0.767487684729064
"115","Aspartic Acid","Glutaric Acid",2.76488964160022e-69,0.598522167487685
"116","Aspartic Acid","Cholecalciferol",3.34706357067898e-69,0.55615763546798
"117","4-Pyridoxic Acid","Suberic Acid",3.68823462313791e-69,-0.680295566502463
"118","ADP","Betaine",3.82523131478818e-69,-0.566009852216749
"119","1/3-Methylhistidine","NAD",7.63241585607745e-69,0.627093596059113
"120","IMP","Pyruvate",8.82493564853705e-69,0.707881773399015
"121","Hydrocinnamic Acid","Succinylcarnitine",1.01840250157726e-68,-0.598029556650246
"122","Choline","Hypoxanthine",1.3715412965058e-68,0.697044334975369
"123","Betaine","Succinylcarnitine",1.6404688621074e-68,-0.57487684729064
"124","cAMP","Cysteinyl-Glycine (Cys-Gly)",1.72324677256474e-68,0.706403940886699
"125","Aspartic Acid","Spermidine",2.67473627794951e-68,-0.606896551724138
"126","ADP","Aspartic Acid",2.6797187117943e-68,-0.586206896551724
"127","Cholecalciferol","Spermidine",8.51791450065779e-68,-0.531034482758621
"128","1-Methyladenosine","Palmitic Acid",1.35978817776728e-67,0.736945812807882
"129","ADP","Spermidine",1.93972694592448e-67,0.527093596059113
"130","Agmatine","Suberic Acid",2.23371741935223e-67,-0.668472906403941
"131","Creatine","Suberic Acid",2.81247963807779e-67,0.72807881773399
"132","Choline","S-Adenosylmethionine (SAM)",2.81369397024942e-67,-0.72807881773399
"133","Hypoxanthine","PEP",2.85360550635713e-67,-0.640394088669951
"134","GMP","Hydrocinnamic Acid",2.86896836927319e-67,-0.631034482758621
"135","2-Hydroxyphenylacetate","IMP",2.9970442807839e-67,-0.630541871921182
"136","Betaine","SAH",3.16132280624209e-67,-0.686206896551724
"137","Phosphotyrosine","Spermidine",5.60700054016041e-67,0.55320197044335
"138","Argininosuccinate","SAH",6.81244360380118e-67,0.68423645320197
"139","Aspartic Acid","Betaine",7.86261576746644e-67,0.559113300492611
"140","Maleic Acid","Succinylcarnitine",1.10566288829979e-66,-0.602463054187192
"141","Glutaric Acid","Hydrocinnamic Acid",1.95401953886479e-66,0.621182266009852
"142","S-Adenosylmethionine (SAM)","Succinylcarnitine",2.19693148152718e-66,0.669950738916256
"143","N-Acetyl-Aspartate (NAA)","Spermidine",2.25731819970587e-66,-0.669458128078818
"144","Cholecalciferol","Cystine",2.40355057875509e-66,0.613300492610837
"145","ADP","Alpha-Ketoglutaric Acid",2.42937936712807e-66,0.633990147783251
"146","ADP","Succinylcarnitine",3.75568188543779e-66,0.622167487684729
"147","GMP","Uracil",4.00731616063892e-66,0.623645320197044
"148","cGMP","Cysteinyl-Glycine (Cys-Gly)",4.04466885956839e-66,0.682266009852217
"149","Adipic Acid / 3-Methylglutaric Acid","N-Ac-Alanine",4.39042768319589e-66,-0.660098522167488
"150","Argininosuccinate","Uracil",4.46988692900137e-66,0.679802955665024
"151","Argininosuccinate","Cholecalciferol",6.5380425412058e-66,-0.675369458128079
"152","2-Hydroxyphenylacetate","GMP",7.3089602667081e-66,-0.639901477832512
"153","Cholecalciferol","Succinylcarnitine",9.76368275695685e-66,-0.644334975369458
"154","S-Adenosylmethionine (SAM)","Urate",1.02291662137278e-65,-0.678817733990148
"155","3HBA","UDP-GlcNAc",1.40290463624568e-65,-0.723152709359606
"156","Creatine","N-AcetylGlycine",1.87186094501324e-65,0.651724137931034
"157","ADP","Glutaric Acid",2.20456590311705e-65,-0.557142857142857
"158","Aspartic Acid","Uracil",2.33494323810486e-65,-0.646305418719212
"159","Betaine","Spermidine",2.68108070617545e-65,-0.620689655172414
"160","Betaine","Pyruvate",6.14038789171871e-65,-0.680295566502463
"161","4-Pyridoxic Acid","Glutaric Acid",7.68419236690437e-65,-0.639408866995074
"162","Betaine","Suberic Acid",9.6392802904367e-65,0.717241379310345
"163","Alpha-Ketoglutaric Acid","Glutaric Acid",1.6466735712723e-64,-0.530541871921182
"164","Cysteinyl-Glycine (Cys-Gly)","Hypoxanthine",1.69169821034586e-64,-0.74384236453202
"165","Adipic Acid / 3-Methylglutaric Acid","Creatine",1.9541391701829e-64,0.7
"166","2-Hydroxyphenylacetate","Adipic Acid / 3-Methylglutaric Acid",2.2826098512145e-64,0.71871921182266
"167","4-Pyridoxic Acid","D-Leucic Acid",2.35745285120721e-64,-0.580788177339901
"168","3-Aminoisobutyrate","Azelaic Acid",2.78461444868623e-64,-0.647290640394089
"169","Spermidine","Sucrose",2.80174077444577e-64,-0.5935960591133
"170","NAD","Pyruvate",3.34031314928277e-64,0.575369458128079
"171","3-Methyl-3-Hydroxyglutaric Acid","Betaine",4.37046757443141e-64,-0.568472906403941
"172","3-Aminoisobutyrate","Adipic Acid / 3-Methylglutaric Acid",4.77563088381536e-64,-0.644334975369458
"173","Argininosuccinate","Glutaric Acid",6.12103061956891e-64,-0.603448275862069
"174","1-Methyladenosine","Indole-2-Carboxylic Acid",6.5780803998989e-64,0.717733990147783
"175","Arabitol/Xylitol","GMP",7.28488103114049e-64,0.580788177339901
"176","NAD","Succinylcarnitine",1.18912724399706e-63,0.561576354679803
"177","3-Aminoisobutyrate","N-Ac-Alanine",1.2371415176237e-63,0.657142857142857
"178","Cadaverine","Phenylacetic Acid",1.39546433756095e-63,0.753694581280788
"179","Azelaic Acid","N-Ac-Alanine",1.40240561969551e-63,-0.663054187192118
"180","4-Pyridoxic Acid","Aspartic Acid",2.0489606773153e-63,-0.722167487684729
"181","1-Methyladenosine","Indole-3-Carboxylic Acid",3.37994132808603e-63,0.704433497536946
"182","Hydrocinnamic Acid","IMP",3.70989932046843e-63,-0.639408866995074
"183","Leucine /D-Norleucine","Valine",4.15533888610677e-63,0.83448275862069
