"","rowname","colname","p_M_all","R_M_all"
"3195","GMP","Putrescine",2.26298382225598e-28,-0.441249543295579
"3196","1-Methylnicotinamide","Citrulline",2.33799075351998e-28,0.304895871392035
"3197","Argininosuccinate","Glutaric Acid",2.38494244200181e-28,-0.377895506028498
"3198","Alpha-Ketoglutaric Acid","Biopterin",2.50161141135868e-28,-0.348337595907928
"3199","gamma-Aminobutyrate","Glucosamine",2.54517293998775e-28,0.322725611983924
"3200","cAMP","Pipecolate",2.56161512293219e-28,-0.284873949579832
"3201","Inosine","Palmitic Acid",2.56546339622345e-28,-0.180964559736938
"3202","N2,N2-Dimethylguanosine","Neopterin",2.57481327750457e-28,0.569455608330289
"3203","Alpha-Ketoglutaric Acid","Uridine",2.62881476711521e-28,0.348995250274023
"3204","DHAP/D-GA3P","gamma-Aminobutyrate",2.66534600463524e-28,0.235221044939715
"3205","Imidazoleacetic Acid","Threonine",2.68814386315199e-28,0.250237486298867
"3206","7-Methylguanine","Niacinamide",2.73650091789366e-28,-0.45988308366825
"3207","1-Methylnicotinamide","Creatine",2.86687941028064e-28,0.38560467665327
"3208","1-Methyladenosine","G6P",2.88581995290034e-28,-0.3802338326635
"3209","Allantoin","Margaric Acid",2.8918048555165e-28,0.205882352941177
"3210","Phenylacetic Acid","Sucrose",2.91686968309947e-28,0.140847643405188
"3211","Arginine","Serine",2.9434360180596e-28,0.246364632809646
"3212","DHAP/D-GA3P","Ethanolamine",2.98666151664491e-28,0.37716477895506
"3213","Glycerol-3-P","Pyridoxamine",3.01879048343075e-28,-0.303690171720862
"3214","2-Aminoisobutyric Acid","Pseudouridine",3.11287306211479e-28,0.392802338326635
"3215","Carnitine","N6-Trimethyllysine",3.12249847581754e-28,0.212349287541103
"3216","Erythrose-4-Phosphate","Glucose",3.12773794864107e-28,0.23858238947753
"3217","Retinol","Trigonelline",3.13199603265772e-28,0.420789185239313
"3218","N-Ac-Arginine","Thiamine",3.14691610014994e-28,0.227804165144319
"3219","L-Kynurenine","Pseudouridine",3.15745928461082e-28,-0.33397880891487
"3220","Adenosine","Glucose",3.16630427329404e-28,-0.300073072707344
"3221","FAD","Homoarginine",3.25411124201465e-28,-0.387650712458897
"3222","gamma-Aminobutyrate","Retinol",3.27316364956059e-28,-0.343259042747534
"3223","1-Methyladenosine","Reduced Glutathione",3.3180390118123e-28,0.482572159298502
"3224","S-Adenosylmethionine (SAM)","Serine",3.38831352694202e-28,-0.302813299232737
"3225","4-Guanidinobutanoate","Glyceraldehyde",3.47761566106431e-28,0.419291194738765
"3226","3-(4-Hydroxyphenyl)Propionate","L-2-Aminobutyric Acid",3.4820988781972e-28,-0.282170259408111
"3227","Neopterin","UDP-Glucose",3.50500625756111e-28,-0.287066130800146
"3228","Carnitine","Retinol",3.5089381732523e-28,-0.191596638655462
"3229","Cholesteryl Sulfate","D-Leucic Acid",3.5625233833598e-28,0.195213737668981
"3230","Pyroglutamic Acid","Serine",3.57169679501373e-28,0.3
"3231","Agmatine","Homoarginine",3.95819885508004e-28,0.445633905736208
"3232","Orotate","UMP",3.98325183272449e-28,0.398136645962733
"3233","2-isoPropylmalic Acid","Sedoheptulose 7-Phosphate",4.05137290710886e-28,-0.184947022287176
"3234","Imidazoleacetic Acid","N-Ac-Arginine",4.14834061330329e-28,0.381695286810376
"3235","Glucoronate","Reduced Glutathione",4.29070403910769e-28,0.303361344537815
"3236","Glucose","Glycerol-3-P",4.47250889581952e-28,0.306978443551334
"3237","2-Aminoisobutyric Acid","Cytidine",4.50826938798649e-28,-0.355133357690902
"3238","Inosine","UDP-Glucose",4.60261052968312e-28,0.219546949214468
"3239","Allantoin","UDP-GlcNAc",4.68411735732134e-28,-0.255717939349653
"3240","Allantoin","cAMP",4.68936230386805e-28,-0.318341249543296
"3241","Hypoxanthine","Kynurenic Acid",4.84866964598606e-28,-0.457654366094264
"3242","Lactose/Trehalose","Suberic Acid",5.03454527551864e-28,-0.325210084033614
"3243","Cytidine","Pyridoxamine",5.07595235680448e-28,-0.211545487760322
"3244","Aminolevulinate","gamma-Aminobutyrate",5.12905322076757e-28,0.376178297405919
"3245","L-2-Aminobutyric Acid","Leucine /D-Norleucine",5.5124665925774e-28,0.26276945560833
"3246","Pyroglutamic Acid","UDP-GlcNAc",5.51689775546573e-28,-0.438436244062843
"3247","2-Aminoisobutyric Acid","Arginine",5.63607216060669e-28,0.283120204603581
"3248","Cholecalciferol","N6-Acetyl-Lysine",5.66669455273869e-28,-0.22725611983924
"3249","Adenosine","Phosphorylcholine",5.68342554724485e-28,-0.381147241505298
"3250","Glucosamine","Tyrosine",5.8163719933159e-28,-0.186737303617099
"3251","2-Aminoisobutyric Acid","Glycerophosphocholine",5.82016374196671e-28,-0.351735476799415
"3252","Leucine /D-Norleucine","PEP",5.97179333560051e-28,0.251662404092072
"3253","Biopterin","n-Glycylproline",6.12946492390346e-28,-0.318304713189624
"3254","Serine","Sucrose",6.25608516809525e-28,0.262988673730362
"3255","1-Methyladenosine","2-Hydroxyphenylacetate",6.31927969835137e-28,0.259225429302156
"3256","Betaine","Serine",6.32350878685348e-28,0.28578735842163
"3257","Ergocalciferol","FAD",6.5941371434966e-28,0.348337595907928
"3258","Glycerol-3-P","Methionine",6.71054176520198e-28,0.344793569601754
"3259","2-Hydroxyphenylacetate","N6-Trimethyllysine",7.11326213822367e-28,-0.291304347826087
"3260","3-Hydroxypropionic Acid","Deoxycarnitine",7.19004712749597e-28,0.397771282426014
"3261","gamma-Aminobutyrate","Lysine",7.39941296754968e-28,0.435951772013153
"3262","Agmatine","Aspartic Acid",7.53677967578895e-28,-0.343295579101206
"3263","4-Guanidinobutanoate","Kynurenic Acid",7.57208110139737e-28,-0.565327000365364
"3264","Retinol","Ribulose 5-Phosphate",7.61513844758637e-28,-0.381037632444282
"3265","Ergocalciferol","Indole-2-Carboxylic Acid",7.64468039360876e-28,0.18925831202046
"3266","Pyruvate","Taurine",8.06315892950552e-28,-0.438655462184874
"3267","Agmatine","Tryptophan",8.15946692599538e-28,0.270917062477165
"3268","Anthranilic Acid","Argininosuccinate",8.22212639185738e-28,-0.358056265984655
"3269","Proline","Trigonelline",8.23814773019999e-28,0.397625137011326
"3270","PEP","Pipecolate",8.28546616848183e-28,-0.350968213372305
"3271","Choline","Ribulose 5-Phosphate",8.52618320767486e-28,-0.310705151625868
"3272","Argininosuccinate","Phenylacetic Acid",8.55815810090127e-28,-0.386773839970771
"3273","Biopterin","Cytidine",8.64016641074226e-28,-0.256265984654731
"3274","Homocitrulline","UDP-GlcNAc",9.13267885035986e-28,0.311362805991962
"3275","3HBA","N6-Trimethyllysine",9.26696084601167e-28,-0.265984654731458
"3276","Margaric Acid","Phenylacetic Acid",9.27016297532379e-28,0.264961636828645
"3277","Citrulline","Oxalacetate",9.30666000449828e-28,0.286627694556083
"3278","Guanine","UDP-Glucose",9.30666000449828e-28,-0.372707343807088
"3279","Carnitine","N-Ac-Phenylalanine",9.42698015493608e-28,-0.263646328096456
"3280","Alanine","gamma-Aminobutyrate",9.46033672328536e-28,-0.340920716112532
"3281","Allantoin","S-Adenosylmethionine (SAM)",9.62578980566418e-28,-0.277420533430764
"3282","Biopterin","Serine",9.6294288615107e-28,0.240811107051516
"3283","1/3-Methylhistidine","Indole-2-Carboxylic Acid",1.00692876417816e-27,-0.274643770551699
"3284","Cytidine","Margaric Acid",1.02146073605439e-27,-0.379137742053343
"3285","3-Aminoisobutyrate","Carnosine",1.03064120115907e-27,0.383339422725612
"3286","Cystine","Retinol",1.03773503462087e-27,-0.373145780051151
"3287","Alanine","Deoxyguanosine",1.04675445655759e-27,0.442857142857143
"3288","3HBA","Tyrosine",1.04974145476257e-27,0.202813299232737
"3289","Adenosine","Citraconic Acid",1.05038345542963e-27,0.322433321154549
"3290","Citrulline","Ergocalciferol",1.11713478394344e-27,0.272305443916697
"3291","Sucrose","Urate",1.15820679659931e-27,0.281110705151626
"3292","Inosine","Serine",1.17781020415921e-27,-0.26660577274388
"3293","L-2-Aminobutyric Acid","Phenylalanine",1.21698576102341e-27,0.162915601023018
"3294","1-Methyladenosine","Ethanolamine",1.21948088853831e-27,-0.297844355133358
"3295","Pyridoxamine","Trigonelline",1.24445048153075e-27,0.463829009864816
"3296","Cystine","Homoarginine",1.28674078629753e-27,0.213481914504932
"3297","3-Aminoisobutyrate","Hypotaurine",1.31416125289695e-27,0.321191085129704
"3298","Indole-2-Carboxylic Acid","Pipecolate",1.33644240309222e-27,0.219145049324077
"3299","Cytidine","N-Ac-Alanine",1.34432275300431e-27,-0.340957252466204
"3300","Glycerol-3-P","GMP",1.34432275300431e-27,-0.527731092436975
"3301","Allantoin","D-Leucic Acid",1.34502395792971e-27,0.29788089148703
"3302","Pyridoxamine","Valine",1.34845740219556e-27,-0.373109243697479
"3303","2-Hydroxyglutarate","N-Ac-Phenylalanine",1.36673127259803e-27,-0.304822798684691
"3304","Aminolevulinate","Methionine",1.38693911490363e-27,0.22053343076361
"3305","N-Ac-Phenylalanine","Thiamine",1.41476892630106e-27,-0.292071611253197
"3306","N6-Trimethyllysine","Pseudouridine",1.42922682320152e-27,-0.298136645962733
"3307","3-(4-Hydroxyphenyl)Propionate","n-Glycylproline",1.42986098375946e-27,-0.188344903178663
"3308","Homoarginine","Thiamine",1.44719241458445e-27,0.181585677749361
"3309","Neopterin","Urate",1.52142005062258e-27,0.543587869930581
"3310","Adenosine","Glycerophosphocholine",1.53501244464994e-27,-0.249031786627695
"3311","Carnitine","Hydrocinnamic Acid",1.5698415909951e-27,-0.215381804895871
"3312","FAD","Retinol",1.57589107926691e-27,0.416477895506029
"3313","3-(4-Hydroxyphenyl)Propionate","Allantoin",1.58460595473853e-27,0.199269272926562
"3314","Alanine","Homoarginine",1.60270392037584e-27,-0.286262331019364
"3315","Cholecalciferol","Pseudouridine",1.62523284515578e-27,0.334453781512605
"3316","Orotate","UDP-GlcNAc",1.62833498349866e-27,0.0703324808184143
"3317","2-Aminoisobutyric Acid","Erythrose-4-Phosphate",1.64959220948703e-27,-0.307928388746803
"3318","Cysteinyl-Glycine (Cys-Gly)","Glucosamine",1.64959220948703e-27,0.354402630617464
"3319","N6-Trimethyllysine","Phenylacetic Acid",1.65527478827983e-27,-0.271574716843259
"3320","3-(4-Hydroxyphenyl)Propionate","D-Leucic Acid",1.76150998203592e-27,0.206795761782974
"3321","2-Hydroxyphenylacetate","Cholesteryl Sulfate",1.77183968874068e-27,0.336426744610888
"3322","N-Ac-Phenylalanine","SAH",1.80314044459761e-27,-0.31304347826087
"3323","Cholecalciferol","Cholesteryl Sulfate",1.83595364282133e-27,0.249981731823164
"3324","Glucosamine","Pyroglutamic Acid",1.89097459914369e-27,-0.333540372670807
"3325","Inosine","Succinylcarnitine",1.90143714345227e-27,0.307599561563756
"3326","cGMP","Lactate",1.90343930446677e-27,0.346328096455974
"3327","o-Phosphoethanolamine","Thiamine",1.90953893476962e-27,0.328132992327366
"3328","Cytidine","N-AcetylGlycine",1.91243923594536e-27,-0.205882352941177
"3329","Argininosuccinate","Choline",1.93171378805949e-27,-0.358786993058093
"3330","Choline","FAD",1.94502261553725e-27,0.352246985750822
"3331","Agmatine","Phenylalanine",1.94681253911005e-27,0.397150164413592
"3332","Alpha-Ketoglutaric Acid","Glycerophosphocholine",1.95109577950055e-27,0.19002557544757
"3333","Tryptophan","Uridine",1.96685724554997e-27,0.379028132992327
"3334","Erythrose-4-Phosphate","UDP-Glucose",1.97059657731833e-27,0.330361709901352
"3335","Glutaric Acid","UMP",1.97481118917615e-27,-0.345633905736208
"3336","3-Hydroxyisovaleric Acid","Serine",2.01594115441693e-27,0.233321154548776
"3337","L-Kynurenine","Methionine",2.02591413615108e-27,0.356521739130435
"3338","Creatine","Oxalacetate",2.08473193019535e-27,0.327183047131896
"3339","1-Methyladenosine","Sedoheptulose 7-Phosphate",2.10637002811405e-27,-0.269930580928023
"3340","4-Guanidinobutanoate","Proline",2.11208525631476e-27,-0.329521373766898
"3341","Lysine","Oxidized Glutathione",2.17298393698667e-27,-0.547753014249178
"3342","Methionine","Sedoheptulose 7-Phosphate",2.18205032575732e-27,0.305553525758129
"3343","7-Methylguanine","Adenine",2.20113917914773e-27,-0.472305443916697
"3344","2-Aminoisobutyric Acid","Citraconic Acid",2.2242037053221e-27,0.37215929850201
"3345","1-Methyladenosine","Asparagine",2.24445701443677e-27,-0.326342710997442
"3346","Citrulline","Pipecolate",2.24936761168318e-27,0.265327000365364
"3347","1-Methylnicotinamide","L-Kynurenine",2.26451540209843e-27,-0.336719035440263
"3348","Cytidine","Methionine",2.37563286033515e-27,0.235111435878699
"3349","2-Hydroxyglutarate","Creatine",2.38342933129078e-27,-0.269163317500913
"3350","Phenylalanine","Taurine",2.38850688916087e-27,-0.375264888564121
"3351","Cytidine","G1P/F1P/F6P",2.48954265110933e-27,0.272890025575448
"3352","NADH","Uracil",2.50613983155898e-27,0.371063207891852
"3353","G1P/F1P/F6P","Pyroglutamic Acid",2.51468741865768e-27,-0.378918523931312
"3354","ADP","Uracil",2.56114744640421e-27,0.455754475703325
"3355","D-Leucic Acid","N6-Acetyl-Lysine",2.58410828529037e-27,-0.301972963098283
"3356","Methionine","Trigonelline",2.74607142055015e-27,-0.431055900621118
"3357","Guanine","N-Ac-Alanine",2.76185083129637e-27,0.419327731092437
"3358","D-Leucic Acid","Glycerophosphocholine",2.81721041391168e-27,-0.29327731092437
"3359","D-Leucic Acid","Phosphotyrosine",2.8543630586118e-27,-0.343149433686518
"3360","4-Guanidinobutanoate","Citraconic Acid",2.90683473722016e-27,-0.37486298867373
"3361","Myristic Acid","Sorbitol",3.00312153360799e-27,-0.341468761417611
"3362","Homocitrulline","N6-Trimethyllysine",3.19681888820501e-27,0.29097552064304
"3363","1/3-Methylhistidine","o-Phosphoethanolamine",3.38379534308295e-27,0.282572159298502
"3364","n-Glycylproline","o-Phosphoethanolamine",3.41246530456968e-27,0.264011691633175
"3365","Glycerol-3-P","Lactate",3.47612295925529e-27,0.26737303617099
"3366","N6-Acetyl-Lysine","UDP-Glucose",3.48241567171709e-27,0.295725246620387
"3367","FAD","L-Kynurenine",3.49112845451373e-27,-0.227986846912678
"3368","G6P","N-AcetylGlycine",3.49477760415642e-27,-0.379247351114359
"3369","2-Hydroxyphenylacetate","G6P",3.53695407985833e-27,-0.384727804165144
"3370","Cytidine","Glyceraldehyde",3.6268768990193e-27,0.215674095725247
"3371","Citrulline","S-Adenosylmethionine (SAM)",3.6640769811838e-27,-0.305297771282426
"3372","Arginine","L-2-Aminobutyric Acid",3.70447800277562e-27,-0.185750822067958
"3373","Lactose/Trehalose","Tryptophan",3.70888851104327e-27,0.300109609061016
"3374","2-Hydroxyphenylacetate","Pantothenate",3.75898553406175e-27,-0.283412495432956
"3375","Phosphotyrosine","Tryptophan",3.77307661341149e-27,0.287248812568506
"3376","Argininosuccinate","UDP-GlcNAc",3.91242116664965e-27,0.329082937522835
"3377","Asparagine","Biopterin",3.9235618567377e-27,-0.276762879064669
"3378","Inosine","PEP",3.94752631726089e-27,0.280343441724516
"3379","4-Guanidinobutanoate","Homoarginine",3.95698591988684e-27,0.323492875411034
"3380","3HBA","L-2-Aminobutyric Acid",4.00447333062848e-27,-0.142089879430033
"3381","3HBA","Creatine",4.22497543987258e-27,0.298575082206796
"3382","4-Guanidinobutanoate","Asparagine",4.22821686395059e-27,0.355754475703325
"3383","cGMP","G6P",4.24458641711483e-27,0.428315674095725
"3384","G1P/F1P/F6P","N6-Acetyl-Lysine",4.24794367252502e-27,0.265984654731458
"3385","2-Hydroxyisobutyrate/2-Hydroxybutyrate","2-Hydroxyphenylacetate",4.25614284755854e-27,0.378626233101936
"3386","Azelaic Acid","Biopterin",4.27493851270653e-27,0.334636463280965
"3387","Anthranilic Acid","Inosine",4.65254263250214e-27,-0.261527219583486
"3388","UDP-Glucose","Uridine",4.73188870872006e-27,0.256083302886372
"3389","Cystathionine","Indole-3-Carboxylic Acid",4.87586575503749e-27,-0.336865180854951
"3390","Kynurenic Acid","Xanthurenic Acid",4.8930117563075e-27,0.554293021556449
"3391","2-Aminoisobutyric Acid","G6P",5.20820705303504e-27,-0.308805261234929
"3392","Glucosamine","Indole-2-Carboxylic Acid",5.26182936912891e-27,-0.261563755937158
"3393","2-Hydroxyphenylacetate","Adenosine",5.33970738844166e-27,0.201169163317501
"3394","4-Guanidinobutanoate","Cadaverine",5.59072148312842e-27,-0.380124223602485
"3395","2-Aminoisobutyric Acid","G1P/F1P/F6P",5.59804658569555e-27,-0.308586043112897
"3396","DCDP","Palmitic Acid",5.60121991292302e-27,-0.390829375228352
"3397","FAD","Hydrocinnamic Acid",5.64636224366909e-27,0.346291560102302
"3398","Phosphorylcholine","Valine",5.6787410686351e-27,0.31055900621118
"3399","o-Phosphoethanolamine","Phosphorylcholine",5.83180676157304e-27,0.411362805991962
"3400","gamma-Aminobutyrate","Proline",5.93510696675938e-27,-0.260065765436609
"3401","L-Kynurenine","N6-Trimethyllysine",5.94741523637759e-27,0.263573255389112
"3402","Glutaric Acid","Pyroglutamic Acid",5.94881485969699e-27,0.409353306540007
"3403","Cadaverine","Citrulline",6.02028098731398e-27,0.279430032882718
"3404","Alanine","Serine",6.07544167887593e-27,0.348081841432225
"3405","Pyruvate","Trigonelline",6.10229148248874e-27,-0.351954694921447
"3406","Choline","Pipecolate",6.17113273436874e-27,0.415052977712824
"3407","Imidazoleacetic Acid","n-Glycylproline",6.34841820966785e-27,0.255827548410669
"3408","Hypotaurine","UDP-Glucose",6.67968338397805e-27,-0.265948118377786
"3409","DCDP","N6-Trimethyllysine",6.77787848884186e-27,0.270661308001461
"3410","Succinate","UDP-Glucose",6.87017514327409e-27,0.441870661308002
"3411","Cadaverine","Ornithine",6.87303310671721e-27,0.292911947387651
"3412","2-Aminoisobutyric Acid","2-Hydroxyglutarate",6.96768727702245e-27,-0.283047131896237
"3413","Cholecalciferol","L-2-Aminobutyric Acid",6.98339208299903e-27,-0.255644866642309
"3414","1-Methylnicotinamide","N-Ac-Phenylalanine",7.03304894400979e-27,0.335622944830106
"3415","Dimethylglycine","Phosphorylcholine",7.15347696574718e-27,0.240518816222141
"3416","Agmatine","UDP-GlcNAc",7.15733421586348e-27,0.221775666788455
"3417","UMP","Valine",7.21232049688112e-27,0.290938984289368
"3418","Cystathionine","N-Ac-Phenylalanine",7.2778068013063e-27,-0.297990500548045
"3419","Cholesteryl Sulfate","Glyceraldehyde",7.35886877635729e-27,-0.383449031786628
"3420","Phenylacetic Acid","Ribulose 5-Phosphate",7.47350658529115e-27,-0.26755571793935
"3421","Deoxyguanosine","N2,N2-Dimethylguanosine",7.54653974120569e-27,0.603434417245159
"3422","4-Guanidinobutanoate","DHAP/D-GA3P",7.56190178504517e-27,0.312970405553526
"3423","Methionine","Sucrose",7.56258849106538e-27,-0.245889660211911
"3424","Ethanolamine","Imidazoleacetic Acid",7.56643929493292e-27,0.407891852393131
"3425","Hypotaurine","N-Ac-Alanine",7.65629357405281e-27,0.227658019729631
"3426","Pyroglutamic Acid","Thiamine",7.67229691757797e-27,-0.293569601753745
"3427","Ribulose 5-Phosphate","Tyrosine",7.67986902764306e-27,-0.275849470222872
"3428","Agmatine","D-Leucic Acid",7.70433520412516e-27,-0.293934965290464
"3429","2-Aminoisobutyric Acid","2-isoPropylmalic Acid",7.77794829828255e-27,0.294117647058824
"3430","Adenosine","Cadaverine",8.08284134312797e-27,0.341943734015345
"3431","N-AcetylGlycine","Tyrosine",8.16339401256921e-27,0.164998173182316
"3432","Ornithine","PEP",8.28898206351852e-27,-0.225685056631348
"3433","Cystine","Hydrocinnamic Acid",8.29580477644371e-27,-0.329886737303617
"3434","Adenylosuccinate","N2,N2-Dimethylguanosine",8.37151569361615e-27,0.496784800876873
"3435","2-Aminoisobutyric Acid","Serine",8.52255784768823e-27,0.343843624406284
"3436","Cystathionine","Orotate",8.5878895642101e-27,0.127036901717209
"3437","5,6-Dihydrouracil","Threonine",8.63559745517595e-27,0.357983193277311
"3438","Alanine","Glucose",8.66293058898991e-27,-0.266350018268177
"3439","2-isoPropylmalic Acid","L-Kynurenine",8.85858553193793e-27,-0.340811107051516
"3440","Erythrose-4-Phosphate","Glucosamine",8.87443700238811e-27,0.249104859335038
"3441","Leucine /D-Norleucine","Pseudouridine",9.29227641433277e-27,-0.312166605772744
"3442","G6P","Urate",9.47144839046536e-27,-0.348410668615272
"3443","3HBA","Imidazoleacetic Acid",9.57050516238495e-27,-0.187979539641944
"3444","Cholesteryl Sulfate","Tryptophan",9.58041114396271e-27,-0.197296309828279
"3445","Glycerophosphocholine","Taurine",9.71595649488047e-27,-0.179539641943734
"3446","Biopterin","Ethanolamine",9.75767794184899e-27,-0.335074899525027
"3447","Phosphotyrosine","Pyruvate",9.80191022913486e-27,0.382060650347095
"3448","Pyridoxamine","UDP-Glucose",9.9227746539967e-27,-0.317939349652905
"3449","Aminolevulinate","Tryptophan",1.01909893240367e-26,0.177420533430764
"3450","Biopterin","Orotate",1.03342527477802e-26,-0.18425283156741
"3451","G6P","Pyruvate",1.04135988075977e-26,0.429302155644867
"3452","1/3-Methylhistidine","Xanthine",1.06731361234291e-26,-0.508841797588601
"3453","N-Ac-Phenylalanine","Palmitic Acid",1.09929203777532e-26,0.328352210449397
"3454","Citrulline","Phenylacetic Acid",1.10908670450773e-26,0.24778955060285
"3455","G6P","Pyroglutamic Acid",1.11212149137363e-26,-0.37716477895506
"3456","Hypoxanthine","Reduced Glutathione",1.1250535321473e-26,-0.424662038728535
"3457","Cysteinyl-Glycine (Cys-Gly)","Suberic Acid",1.13780271100849e-26,-0.310266715381805
"3458","Carnitine","UMP",1.14036673810363e-26,0.363573255389112
"3459","Phenylacetic Acid","Xanthine",1.14105296803447e-26,0.439751552795031
"3460","Asparagine","Urate",1.14334244471752e-26,-0.330836682499087
"3461","Orotate","Tryptophan",1.15860419436182e-26,0.149433686518086
"3462","Adipic Acid / 3-Methylglutaric Acid","Biopterin",1.19643146159689e-26,0.330032882718305
"3463","4-Guanidinobutanoate","Oxalacetate",1.20801346606051e-26,-0.373364998173182
"3464","Histidine","N-Ac-Arginine",1.22138816305834e-26,0.365180854950676
"3465","Aminolevulinate","Pseudouridine",1.22692676626337e-26,-0.258421629521374
"3466","Deoxycarnitine","gamma-Aminobutyrate",1.23292172450199e-26,0.357069784435513
"3467","Lactose/Trehalose","Uracil",1.24641050745827e-26,0.460942637924735
"3468","Adenosine","Oxalacetate",1.25655296774781e-26,0.36448666423091
"3469","Hypotaurine","Indole-2-Carboxylic Acid",1.26740451756526e-26,0.318670076726343
"3470","Biopterin","L-2-Aminobutyric Acid",1.38995836615282e-26,-0.17292656192912
"3471","Azelaic Acid","Sedoheptulose 7-Phosphate",1.39892129333574e-26,-0.316295213737669
"3472","Anthranilic Acid","Leucine /D-Norleucine",1.40651395285193e-26,-0.263354037267081
"3473","Adenylosuccinate","Linolenic Acid",1.4148437254735e-26,0.458786993058093
"3474","Glucosamine","S-Methylcysteine",1.42258561553507e-26,-0.166276945560833
"3475","L-Kynurenine","Oxalacetate",1.43633527934986e-26,-0.305261234928754
"3476","cAMP","Ribose-5-P",1.43947954396709e-26,0.301863354037267
"3477","Arginine","Asparagine",1.44851725049399e-26,-0.358713920350749
"3478","Allantoin","Succinylcarnitine",1.48762032123667e-26,-0.246364632809646
"3479","Aminolevulinate","Orotate",1.4886935342605e-26,0.166934599926927
"3480","5,6-Dihydrouracil","Adenosine",1.48932244347966e-26,-0.412678114724151
"3481","Threonine","Uracil",1.54972855979096e-26,0.39309462915601
"3482","Homoarginine","N-Ac-Phenylalanine",1.55456373866916e-26,-0.296492510047497
"3483","Pantothenate","SAH",1.55646158327579e-26,0.324004384362441
"3484","Creatine","Methionine",1.60595685833873e-26,-0.192546583850932
"3485","Hydrocinnamic Acid","Trigonelline",1.65490154529773e-26,0.357398611618561
"3486","Cholesteryl Sulfate","Lactose/Trehalose",1.6625076378918e-26,-0.279430032882718
"3487","Glycerophosphocholine","UDP-Glucose",1.70557770928446e-26,0.268871026671538
"3488","Myristic Acid","Uracil",1.71127590070803e-26,0.384654731457801
"3489","Citraconic Acid","Citrulline",1.74342478425897e-26,0.236609426379247
"3490","FAD","GMP",1.74630812838406e-26,0.486116185604677
"3491","Creatine","Glycerophosphocholine",1.75078465450853e-26,-0.328279137742053
"3492","Inosine","N-Ac-Phenylalanine",1.75788297526599e-26,-0.279868469126781
"3493","Ergocalciferol","o-Phosphoethanolamine",1.80958452787409e-26,-0.274972597734746
"3494","Glutaric Acid","Proline",1.81496125875164e-26,0.265363536719036
"3495","Agmatine","Glutaric Acid",1.83408487596297e-26,-0.325794665692364
"3496","Pipecolate","Sedoheptulose 7-Phosphate",1.85092964396602e-26,-0.244866642309098
"3497","Carnitine","DCDP",1.86224095444314e-26,0.360869565217391
"3498","Phosphorylcholine","Thiamine",1.86340475474504e-26,0.341176470588235
"3499","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Ornithine",1.87915268179322e-26,0.310705151625868
"3500","1-Methyladenosine","Xanthurenic Acid",1.92644348987356e-26,0.234307636097917
"3501","Orotate","Phenylalanine",1.96831191251754e-26,0.210303251735477
"3502","2-isoPropylmalic Acid","Linoleic Acid",2.01985661273182e-26,0.395067592254293
"3503","cGMP","Citrulline",2.02953868440818e-26,-0.306028498355864
"3504","N-Ac-Phenylalanine","Xanthurenic Acid",2.056980591443e-26,0.268797953964194
"3505","o-Phosphoethanolamine","Uracil",2.08704969470552e-26,0.345378151260504
"3506","Hypotaurine","Indole-3-Carboxylic Acid",2.10343663608347e-26,0.306430398246255
"3507","Anthranilic Acid","Orotate",2.1571413331489e-26,-0.148410668615272
"3508","N-Ac-Phenylalanine","S-Adenosylmethionine (SAM)",2.24180666768109e-26,-0.344939715016441
"3509","1-Methylnicotinamide","Ornithine",2.26957528267737e-26,0.29079283887468
"3510","1/3-Methylhistidine","Ribulose 5-Phosphate",2.27079583937741e-26,0.360138838143953
"3511","3-(4-Hydroxyphenyl)Propionate","Cystine",2.30020988685004e-26,-0.240043843624406
"3512","Cysteinyl-Glycine (Cys-Gly)","Glyceraldehyde",2.3713089331936e-26,0.308403361344538
"3513","4-Guanidinobutanoate","S-Methylcysteine",2.42522704017943e-26,-0.320679576178297
"3514","Citrulline","Palmitic Acid",2.47605155342766e-26,0.282681768359518
"3515","Hydrocinnamic Acid","Ribulose 5-Phosphate",2.56822474478094e-26,-0.271647789550603
"3516","N6-Trimethyllysine","UDP-GlcNAc",2.58903312625687e-26,0.197661673364998
"3517","Cystine","Hypotaurine",2.71848778252638e-26,-0.231713554987212
"3518","G1P/F1P/F6P","Margaric Acid",2.78908692497606e-26,-0.316002922908294
"3519","Ornithine","Pyroglutamic Acid",2.81615615235803e-26,0.421483375959079
"3520","2-Hydroxyphenylacetate","gamma-Aminobutyrate",2.84214431337566e-26,-0.399050054804531
"3521","Glucose","Pyroglutamic Acid",2.84259504287184e-26,-0.286408476434052
"3522","DCDP","Fructose",2.86066619489766e-26,-0.338545853123858
"3523","Ornithine","Sucrose",2.90726379447264e-26,0.18176835951772
"3524","2-Aminoisobutyric Acid","Urate",2.94394416640574e-26,0.354110339788089
"3525","Urate","Valine",2.97646650164695e-26,-0.391669711362806
"3526","Erythrose-4-Phosphate","Glyceraldehyde",2.98268576800232e-26,0.255096821337231
"3527","2-Hydroxyphenylacetate","Allantoin",3.035518115311e-26,0.24106686152722
"3528","Glycerol-3-P","Maleic Acid",3.05429285408756e-26,-0.310632078918524
"3529","Aspartic Acid","UDP-GlcNAc",3.05910383850043e-26,-0.324442820606504
"3530","3-Aminoisobutyrate","Inosine",3.08074530798521e-26,-0.291852393131166
