"","rowname","colname","p_M_all","R_M_all"
"79","Retinol","SAH",8.00277015007883e-104,-0.685421994884911
"80","Glutaric Acid","Retinol",1.06169927275381e-103,0.801571063207892
"81","Maleic Acid","Phenylacetic Acid",1.34184822362127e-103,0.761088783339423
"82","Choline","S-Adenosylmethionine (SAM)",1.35676370554629e-103,-0.799890390938984
"83","1-Methylnicotinamide","SAH",1.9358363866893e-103,-0.79788089148703
"84","Maleic Acid","UDP-GlcNAc",2.29921214449549e-103,-0.69386189258312
"85","Arginine","Citraconic Acid",3.76862197210271e-103,0.732955791012057
"86","1-Methylnicotinamide","Citraconic Acid",3.9231002986493e-103,0.710924369747899
"87","Oxalacetate","PEP",5.565089110572e-103,-0.775228352210449
"88","Choline","Maleic Acid",1.23946517046208e-102,0.713080014614542
"89","2-Hydroxyphenylacetate","Betaine",1.2920233832052e-102,0.77062477164779
"90","Choline","Phenylacetic Acid",4.5664174511468e-102,0.708037997807819
"91","Cadaverine","Retinol",5.79422231866135e-102,0.757873584216295
"92","1/3-Methylhistidine","Choline",6.84607453110691e-102,-0.693569601753745
"93","Creatine","Suberic Acid",1.34462992126572e-101,0.783156740957253
"94","3-Hydroxyisovaleric Acid","Betaine",8.68766383545875e-101,0.777383997077092
"95","Citraconic Acid","Oxalacetate",5.2138863065147e-100,0.675666788454512
"96","1/3-Methylhistidine","PEP",7.31760162769292e-100,0.736134453781513
"97","3-Hydroxyisovaleric Acid","Citraconic Acid",3.11894604435067e-99,0.771282426013884
"98","DHAP/D-GA3P","Homocitrulline",3.95459237905915e-99,0.785933503836317
"99","1/3-Methylhistidine","3-Hydroxyisovaleric Acid",2.94734964597359e-98,-0.643916697113628
"100","PEP","Phenylacetic Acid",3.4005627281637e-98,-0.718633540372671
"101","1-Methylnicotinamide","3-Hydroxyisovaleric Acid",6.589046965184e-98,0.751406649616368
"102","Adipic Acid / 3-Methylglutaric Acid","Creatine",6.9061313963606e-98,0.76295213737669
"103","2-Hydroxyphenylacetate","UDP-GlcNAc",7.84305757812305e-98,-0.689952502740227
"104","1-Methylnicotinamide","Retinol",1.19397090111264e-97,0.747424187066131
