"","rowname","colname","p_F_all","R_F_all"
"78","Alpha-Ketoglutaric Acid","Aspartic Acid",2.85700880552349e-70,-0.566885330246318
"79","Indole-2-Carboxylic Acid","Palmitic Acid",6.10039978589758e-70,0.678693163547495
"80","Glutaric Acid","Pyruvate",9.64035575943052e-70,-0.647501447038395
"81","2'-Deoxycytidine","Cholecalciferol",1.1068980164376e-69,-0.586790147276352
"82","Citraconic Acid","Maleic Acid",1.65657914669557e-69,0.675348897035179
"83","1-Methylnicotinamide","Phenylacetic Acid",2.10087878715111e-69,0.723519197376037
"84","Agmatine","Suberic Acid",3.28304738598399e-69,-0.591967329088687
"85","Agmatine","Azelaic Acid",4.10291167950457e-69,-0.597498231397518
"86","3-Aminoisobutyrate","N-Ac-Alanine",4.53789127223603e-69,0.640105473020773
"87","cGMP","Pyruvate",5.4463545692885e-69,0.666602353849122
"88","Glutaric Acid","Hydrocinnamic Acid",6.66181257174746e-69,0.528619203807319
"89","Aspartic Acid","Phosphotyrosine",1.07711538952603e-68,-0.533346195896842
"90","3-Aminoisobutyrate","4-Pyridoxic Acid",1.85464827622538e-68,0.716959289986494
"91","S-Adenosylmethionine (SAM)","Succinylcarnitine",1.93209305727386e-68,0.628657791497846
"92","Choline","PEP",2.19046939444891e-68,-0.613897999871374
"93","Spermidine","Succinylcarnitine",2.87370785068727e-68,0.517139365875619
"94","Azelaic Acid","D-Leucic Acid",3.31620592110732e-68,0.604347546466011
"95","Methionine","Phenylalanine",4.72858153097384e-68,0.59228889317641
"96","Aspartic Acid","N-Acetyl-Aspartate (NAA)",4.82551376441718e-68,0.613094089652068
"97","Maleic Acid","UDP-GlcNAc",5.60083012448647e-68,-0.680558235256287
"98","Carnosine","Suberic Acid",8.01607296499183e-68,-0.638754903852338
"99","1-Methylnicotinamide","Indole-3-Carboxylic Acid",9.2238160696792e-68,0.600135056916844
"100","Cysteinyl-Glycine (Cys-Gly)","Hypoxanthine",1.19611812763044e-67,-0.694546273072223
"101","4-Pyridoxic Acid","Agmatine",1.2036286768977e-67,0.52324908354235
"102","Cadaverine","Indole-3-Carboxylic Acid",1.40059599703021e-67,0.637854524406714
"103","Aspartic Acid","Glutaric Acid",4.95139565087114e-67,0.545018972281176
"104","Alpha-Ketoglutaric Acid","Pyruvate",5.67261016879738e-67,0.648755546980513
"105","Choline","UDP-GlcNAc",6.81164009488743e-67,-0.676602996977298
"106","Leucine /D-Norleucine","Valine",1.02259194646984e-66,0.849508006945784
"107","Linoleic Acid","Palmitic Acid",1.10918316177935e-66,0.706444144317963
"108","ADP","Alpha-Ketoglutaric Acid",1.11131428952248e-66,0.577464788732394
"109","2-Hydroxyphenylacetate","Betaine",1.29508049347302e-66,0.671297189529873
"110","Biopterin","Palmitic Acid",1.30346645681758e-66,0.601164061997556
"111","4-Pyridoxic Acid","GMP",1.34933779798096e-66,0.639076467940061
"112","Glucosamine","Pyruvate",1.37935217270139e-66,0.60759534375201
"113","4-Pyridoxic Acid","Azelaic Acid",1.5812940941981e-66,-0.548556177246125
"114","Aspartic Acid","NAD",2.4016765693561e-66,-0.545726413274166
"115","2-Hydroxyphenylacetate","Aspartic Acid",2.78004172301608e-66,0.496559264261367
"116","2-Hydroxyphenylacetate","Maleic Acid",2.84000600136751e-66,0.536079490642485
