"","rowname","colname","p_F_all","R_F_all"
"3781","ADP","Ergocalciferol",7.60346669417933e-18,-0.296385619653997
"3782","3HBA","Spermidine",7.69135230846319e-18,-0.186056981156345
"3783","Pyruvate","Tryptophan",7.73435991721938e-18,0.18287349668789
"3784","Argininosuccinate","Lysine",7.73552878109109e-18,-0.314232426522606
"3785","DCDP","N-Ac-Alanine",7.79452616940115e-18,0.434015049199306
"3786","Cysteinyl-Glycine (Cys-Gly)","Cystine",7.89893136148031e-18,-0.1586275644736
"3787","N2,N2-Dimethylguanosine","Phosphorylcholine",8.00257195769742e-18,0.294938581259245
"3788","N2,N2-Dimethylguanosine","Reduced Glutathione",8.04518813715251e-18,0.20017364460737
"3789","Cystathionine","Pyruvate",8.08157633314983e-18,0.215383625956653
"3790","D-Leucic Acid","N2,N2-Dimethylguanosine",8.09568712107015e-18,-0.197440349861727
"3791","N-Ac-Alanine","Thiamine",8.16856689473177e-18,0.378609556884687
"3792","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Lysine",8.28100692078265e-18,0.306514888417262
"3793","DHAP/D-GA3P","Indole-3-Carboxylic Acid",8.45773908992161e-18,-0.338992861277253
"3794","Hypotaurine","N-Ac-Alanine",8.52377050037596e-18,0.181619396745771
"3795","G1P/F1P/F6P","Palmitic Acid",8.56891109647261e-18,-0.389189015370763
"3796","ADP","Homoarginine",8.57367414551727e-18,0.147244195768217
"3797","Acetylcholine","G6P",8.63420112595167e-18,0.306643514052351
"3798","Phenylalanine","Tryptophan",8.65365999167365e-18,0.299890668210174
"3799","Glutaric Acid","NADH",8.6543752730978e-18,-0.281979548524021
"3800","NAD","Thiamine",8.66115302928799e-18,0.220078461637404
"3801","Carnitine","Kynurenic Acid",8.66300648911648e-18,0.42742298540099
"3802","Ethanolamine","Succinylcarnitine",8.72165097704325e-18,-0.210817415910991
"3803","cAMP","Citraconic Acid",8.87232052803528e-18,-0.140009003794456
"3804","N-Ac-Alanine","n-Glycylproline",8.91466041894497e-18,0.302688275773362
"3805","Adenosine","Ornithine",9.03624453450254e-18,0.218116920702296
"3806","Leucine /D-Norleucine","Thiamine",9.3954635378315e-18,0.244838896392051
"3807","4-Pyridoxic Acid","5-Methylcytidine",9.44560398830295e-18,0.260820631551868
"3808","2-isoPropylmalic Acid","Adenylosuccinate",9.58289644647297e-18,0.282879927969644
"3809","Arginine","Hypoxanthine",9.81901191560681e-18,0.223872917872532
"3810","Hydrocinnamic Acid","Tryptophan",9.8380039728708e-18,-0.133095375908419
"3811","6-Methyladenosine","ADP",9.85642513395231e-18,-0.268280918387035
"3812","Creatine","Retinol",9.87368532815836e-18,0.190365939931828
"3813","N-Acetyl-Aspartate (NAA)","Trigonelline",1.00668965304879e-17,0.150331211010354
"3814","7-Methylguanine","Palmitic Acid",1.02683602223991e-17,0.305839603833044
"3815","Histidine","SAH",1.03378180605744e-17,0.280532510129269
"3816","2-Aminoisobutyric Acid","2-Hydroxyglutarate",1.0344752218518e-17,-0.301723583510194
"3817","Arginine","Thiamine",1.04676007063657e-17,-0.27374750787832
"3818","3-Methyl-3-Hydroxyglutaric Acid","Pipecolate",1.05062687481968e-17,0.282912084378417
"3819","3HBA","Aspartic Acid",1.05665601052433e-17,0.151167277638433
"3820","Cytidine","N-Acetyl-Aspartate (NAA)",1.06428689962442e-17,-0.378030741526786
"3821","Homocitrulline","Tryptophan",1.06671647320132e-17,-0.256994018907968
"3822","G1P/F1P/F6P","Spermidine",1.07724782311815e-17,0.31159560100328
"3823","Ornithine","S-Adenosylmethionine (SAM)",1.10573471570026e-17,-0.256061483053573
"3824","1/3-Methylhistidine","cAMP",1.10637920706759e-17,0.264036272429095
"3825","G1P/F1P/F6P","Pyruvate",1.11664774055935e-17,0.361534503826613
"3826","Suberic Acid","Uridine",1.12016601168096e-17,-0.346678242973825
"3827","Dimethylglycine","Phosphorylcholine",1.12073668953355e-17,0.239147212039359
"3828","Glycerophosphocholine","N-Ac-Phenylalanine",1.1237074146047e-17,-0.252074088365811
"3829","S-Adenosylmethionine (SAM)","Taurine",1.13702619771339e-17,-0.297671876004888
"3830","ADP","Hypoxanthine",1.17768869882861e-17,-0.316515531545437
"3831","Methionine","Retinol",1.20384880380375e-17,-0.273490256608142
"3832","Homoarginine","Margaric Acid",1.20610605999813e-17,-0.180300983986108
"3833","N2,N2-Dimethylguanosine","Xanthurenic Acid",1.22428334527547e-17,0.389189015370763
"3834","Glycerol-3-P","Hypotaurine",1.23119704296426e-17,-0.308090552447103
"3835","N-Ac-L-Glutamine","Spermidine",1.23164270257387e-17,0.287960640555663
"3836","Asparagine","Pipecolate",1.23773338685319e-17,0.324651102964821
"3837","Maleic Acid","Xanthurenic Acid",1.24143599361777e-17,-0.135571419383883
"3838","3HBA","Adenosine",1.24981070403372e-17,0.217473792526851
"3839","Glycine","Ornithine",1.25953106902863e-17,0.105280082320406
"3840","Cytidine","N-AcetylGlycine",1.26981964778434e-17,-0.332786674384205
"3841","Glycerol-3-P","Phosphorylcholine",1.27804508714011e-17,-0.276030612901151
"3842","N-Ac-Alanine","UDP-GlcNAc",1.27804508714011e-17,0.29529230175574
"3843","Aspartic Acid","Dimethylarginine (A/SDMA)",1.27876564644746e-17,-0.255546980513216
"3844","Alanine","Cadaverine",1.28114716923789e-17,0.405878191523571
"3845","Hypotaurine","IMP",1.29922429797058e-17,0.251045083285099
"3846","2-Aminoadipate","N-Acetyl-Aspartate (NAA)",1.30057487061843e-17,-0.234259437905975
"3847","Agmatine","Cystathionine",1.30713044208867e-17,0.243777734902566
"3848","D-Leucic Acid","Glycine",1.30713044208867e-17,0.197858383175767
"3849","L-2-Aminobutyric Acid","Lysine",1.32089999320316e-17,-0.348897035179111
"3850","Alanine","N-AcetylGlycine",1.39062776349564e-17,-0.347610778828221
"3851","D-Leucic Acid","N6-Acetyl-Lysine",1.4255246387661e-17,-0.253939160074603
"3852","N6-Acetyl-Lysine","Suberic Acid",1.4255246387661e-17,-0.350762106887903
"3853","L-Kynurenine","Pyridoxamine",1.42688086337832e-17,-0.173580294552704
"3854","Neopterin","Phosphoserine",1.42852475155606e-17,0.323011126117435
"3855","Reduced Glutathione","Succinate",1.42879722113099e-17,-0.266898192809827
"3856","Ribulose 5-Phosphate","UDP-Glucose",1.4809251935062e-17,0.305582352562866
"3857","Linolenic Acid","Uracil",1.48377789008659e-17,0.393626599781336
"3858","Erythrose-4-Phosphate","Sucrose",1.48489918392658e-17,-0.356421634831822
"3859","gamma-Aminobutyrate","Sorbitol",1.50414879217764e-17,-0.368641070165284
"3860","3-Hydroxyisovaleric Acid","4-Pyridoxic Acid",1.50558751763221e-17,-0.22937166377259
"3861","3-(4-Hydroxyphenyl)Propionate","4-Pyridoxic Acid",1.56554574767083e-17,-0.262589234034343
"3862","5'-Methylthioadenosine","Glutaric Acid",1.57642735699784e-17,-0.194867837159946
"3863","5'-Methylthioadenosine","Sorbitol",1.57946551524823e-17,-0.217248697665445
"3864","Carnitine","Phenylalanine",1.58073173054651e-17,0.334683902501769
"3865","Pyroglutamic Acid","Succinate",1.59040466671385e-17,-0.36192038073188
"3866","Hypoxanthine","Phenylacetic Acid",1.60585142570423e-17,0.251591742234227
"3867","2-Aminoadipate","Glutaric Acid",1.62128141648273e-17,-0.242652260595537
"3868","cAMP","Glycine",1.62392569941594e-17,-0.125249212167985
"3869","3HBA","ADP",1.62571025602218e-17,-0.111164705125732
"3870","Adipic Acid / 3-Methylglutaric Acid","N6-Acetyl-Lysine",1.629723180161e-17,-0.349379381310695
"3871","3-Hydroxyisovaleric Acid","Adenosine",1.71112152421664e-17,0.0477201106180462
"3872","5,6-Dihydrouracil","S-Adenosylmethionine (SAM)",1.71112152421664e-17,0.362692134542414
"3873","Carnosine","Guanosine",1.71294315519219e-17,0.322882500482346
"3874","n-Glycylproline","Reduced Glutathione",1.73465032873189e-17,0.261142195639591
"3875","Cysteinyl-Glycine (Cys-Gly)","Dimethylarginine (A/SDMA)",1.73688470634123e-17,0.262171200720304
"3876","2-Hydroxyisobutyrate/2-Hydroxybutyrate","IMP",1.74011418804641e-17,-0.382854202842627
"3877","6-Methyladenosine","Niacinamide",1.77068998371672e-17,0.398257122644543
"3878","Taurine","Uridine",1.7768927007448e-17,-0.414463952665766
"3879","Ergocalciferol","Glycine",1.85703118731235e-17,0.215673033635604
"3880","Arginine","Phosphotyrosine",1.86031851792887e-17,-0.232748086693678
"3881","Histidine","Pipecolate",1.87383334773459e-17,0.43166763135893
"3882","5,6-Dihydrouracil","Linolenic Acid",1.87446508957018e-17,0.309505434433083
"3883","Aspartic Acid","Phosphorylcholine",1.89557263508818e-17,-0.24850472699209
"3884","4-Pyridoxic Acid","Neopterin",1.91909436924827e-17,0.338285420284263
"3885","Azelaic Acid","Cytidine",1.92591816419294e-17,-0.296867965785581
"3886","1/3-Methylhistidine","Homoarginine",1.97622361394723e-17,0.152614316033185
"3887","Hypotaurine","Ornithine",1.98310405106452e-17,-0.327448710528008
"3888","Ethanolamine","N-Acetyl-Aspartate (NAA)",1.99327826704582e-17,0.137307865457586
"3889","Ornithine","Sucrose",2.01222804001877e-17,0.14615087786996
"3890","Indole-2-Carboxylic Acid","Myristic Acid",2.03262346348263e-17,0.44343687696958
"3891","Arabitol/Xylitol","DHAP/D-GA3P",2.04942740997822e-17,-0.309601903659399
"3892","Ergocalciferol","Ornithine",2.05240937533978e-17,0.261302977683452
"3893","Carnitine","o-Phosphoethanolamine",2.0660456911567e-17,0.386487877033893
"3894","Adenylosuccinate","Putrescine",2.0827793894013e-17,0.213518554247862
"3895","Ethanolamine","Histamine",2.08895344568046e-17,0.217441636118078
"3896","Ergocalciferol","Methionine",2.13041321973172e-17,-0.27615923853624
"3897","Glutamic acid","Xanthine",2.13246235469448e-17,0.362595665316098
"3898","Alanine","Oxalacetate",2.17276649595837e-17,0.41224516046048
"3899","Putrescine","Ribulose 5-Phosphate",2.20282321846585e-17,-0.270821274680044
"3900","Glycine","Maleic Acid",2.20318779760449e-17,0.0986558621133192
"3901","Serine","Succinylcarnitine",2.20723740582778e-17,-0.409962055437649
"3902","Cystathionine","Uracil",2.21208454551775e-17,0.167663515338607
"3903","2'-Deoxycytidine","Dimethylarginine (A/SDMA)",2.21397022059961e-17,0.244774583574506
"3904","Aminolevulinate","o-Phosphoethanolamine",2.23295129067449e-17,0.364396424207345
"3905","Glutamic acid","Glyceraldehyde",2.23620520620137e-17,-0.339282268956203
"3906","N2,N2-Dimethylguanosine","Pyruvate",2.25658400076152e-17,0.30677213968744
"3907","Carnosine","Sucrose",2.25876569206995e-17,-0.239404463309538
"3908","1/3-Methylhistidine","GMP",2.26719329218629e-17,0.304907067978648
"3909","Deoxyguanosine","Urate",2.2886065739102e-17,0.312624606083993
"3910","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid","Palmitic Acid",2.32776485563368e-17,-0.238278989002508
"3911","N-Ac-Alanine","Spermidine",2.37517084244968e-17,0.165091002636826
"3912","Adenosine","N2,N2-Dimethylguanosine",2.38429615771213e-17,-0.263425300662422
"3913","G1P/F1P/F6P","Glutamic acid",2.39546000992427e-17,-0.325262074731494
"3914","Choline","IMP",2.42173699465092e-17,-0.402662550646344
"3915","cAMP","N-AcetylGlycine",2.4796575837386e-17,-0.177599845649238
"3916","gamma-Aminobutyrate","Methionine",2.48308330465167e-17,0.302334555276867
"3917","1/3-Methylhistidine","Adipic Acid / 3-Methylglutaric Acid",2.48689826774509e-17,-0.342304971380796
"3918","Glycine","Phosphotyrosine",2.50426373035863e-17,-0.218406328381246
"3919","Argininosuccinate","Tryptophan",2.55590650425043e-17,0.148401826484018
"3920","Ergocalciferol","Sucrose",2.56029969063281e-17,0.081259244967522
"3921","Glyceraldehyde","Glycine",2.60448487534762e-17,-0.191845134735353
"3922","Glycerophosphocholine","Neopterin",2.6441566114128e-17,-0.28352305614509
"3923","Choline","Uracil",2.68147268296913e-17,-0.295131519711879
"3924","Glycerophosphocholine","Imidazoleacetic Acid",2.70044561731025e-17,0.282783458743328
"3925","Sorbitol","Xanthosine",2.73189810986143e-17,-0.263296675027333
"3926","Adenylosuccinate","Pseudouridine",2.79314281166729e-17,0.198630136986301
"3927","3-Hydroxyisovaleric Acid","6-Methyladenosine",2.79767365679428e-17,0.252556434497395
"3928","Glutamic acid","Reduced Glutathione",2.84613600218959e-17,-0.272622033571291
"3929","7-Methylguanine","Biopterin",2.86271036362211e-17,0.387645507749695
"3930","1-Methyladenosine","Cystine",2.88913893523499e-17,-0.391857997298862
"3931","Cholecalciferol","Ribose-5-P",2.88962245052093e-17,-0.189240465624799
"3932","Choline","Phenylalanine",2.92664912742689e-17,-0.153964885201621
"3933","2'-Deoxycytidine","gamma-Aminobutyrate",2.97039146731078e-17,0.242748729821854
"3934","Biopterin","Deoxyguanosine",2.97039146731078e-17,0.250884301241237
"3935","Myristic Acid","N6-Trimethyllysine",2.98899900263072e-17,-0.250594893562287
"3936","Arabitol/Xylitol","Tryptophan",3.01573283236396e-17,0.176956717473793
"3937","Pseudouridine","UDP-Glucose",3.03251643895934e-17,-0.217956138658435
"3938","Hypoxanthine","Urate",3.0341457178613e-17,0.304038844941797
"3939","5-Methylcytidine","Dimethylarginine (A/SDMA)",3.07531813516617e-17,0.303974532124252
"3940","4-Pyridoxic Acid","Retinol",3.09800083388538e-17,-0.265869187729114
"3941","Azelaic Acid","Ethanolamine",3.1150745233845e-17,0.218116920702296
"3942","Cholecalciferol","Sedoheptulose 7-Phosphate",3.11769906160238e-17,-0.27474435655026
"3943","Sorbitol","Xanthurenic Acid",3.17096353713134e-17,-0.256157952279889
"3944","Citraconic Acid","N-Ac-Alanine",3.221765321194e-17,-0.283619525371407
"3945","Cadaverine","Kynurenic Acid",3.24311651451975e-17,-0.334973310180719
"3946","Hydrocinnamic Acid","Phosphoserine",3.25362440407681e-17,-0.305807447424272
"3947","1-Methylnicotinamide","3-Hydroxyisovaleric Acid",3.31527877409286e-17,0.370473985465303
"3948","3-Hydroxyisovaleric Acid","Adipic Acid / 3-Methylglutaric Acid",3.31561511695839e-17,0.273393787381825
"3949","5-Methylcytidine","5,6-Dihydrouracil",3.35455352107419e-17,0.176410058524664
"3950","6-Methyladenosine","Sedoheptulose 7-Phosphate",3.37778855600902e-17,-0.341533217570262
"3951","7-Methylguanine","Homocitrulline",3.38587839656975e-17,-0.223069007653225
"3952","NAD","Phosphorylcholine",3.39940222833804e-17,0.29316997877677
"3953","SAH","Sedoheptulose 7-Phosphate",3.41837405195812e-17,0.177406907196604
"3954","N2,N2-Dimethylguanosine","Palmitic Acid",3.47421663713276e-17,0.398900250819988
"3955","iso-Leucine /allo-isoLeucine","Riboflavin",3.54090705459252e-17,0.198951701074024
"3956","Indole-3-Carboxylic Acid","N-Ac-Phenylalanine",3.56397142198356e-17,0.320438613415654
"3957","Glucoronate","Homocitrulline",3.57173679229948e-17,-0.364299954981028
"3958","N-Ac-Alanine","Neopterin",3.6595486468082e-17,0.240111904302528
"3959","Cholecalciferol","N6-Acetyl-Lysine",3.73926709164478e-17,-0.258312431667631
"3960","2-Aminoadipate","Carnosine",3.76853273963054e-17,0.124991960897807
"3961","7-Methylguanine","Adenylosuccinate",3.79816209612362e-17,0.216412631037366
"3962","Aspartic Acid","Erythrose-4-Phosphate",3.80710705364526e-17,-0.303299247540035
"3963","Agmatine","Glucosamine",3.81303781288616e-17,0.134574570711943
"3964","AMP","Threonine",3.82339534714874e-17,0.316001029005081
"3965","cGMP","Urate",3.91572658881887e-17,-0.354588719531803
"3966","Asparagine","Thiamine",3.91670278677176e-17,0.114508971638047
"3967","Cysteinyl-Glycine (Cys-Gly)","D-Leucic Acid",3.91752210234072e-17,-0.132420091324201
"3968","D-Leucic Acid","DHAP/D-GA3P",3.96542614439443e-17,0.266287221043154
"3969","5'-Methylthioadenosine","Phosphotyrosine",3.98728588966409e-17,0.249051385941218
"3970","5-Methylcytidine","ADP",4.00642756018637e-17,0.248826291079812
"3971","Choline","Suberic Acid",4.00802968851785e-17,0.320052736510387
"3972","Ethanolamine","Suberic Acid",4.01600604477416e-17,0.255386198469355
"3973","NAD","Sedoheptulose 7-Phosphate",4.05058452614886e-17,0.169592899864943
"3974","Methionine","Valine",4.10881355443016e-17,0.343398289279053
"3975","Acetylcholine","Xanthurenic Acid",4.13962684817559e-17,0.119814779085472
"3976","Hypoxanthine","iso-Leucine /allo-isoLeucine",4.14010777816882e-17,0.409736960576243
"3977","Adenosine","Phosphoserine",4.1416928324991e-17,-0.252009775548267
"3978","1-Methylnicotinamide","Sedoheptulose 7-Phosphate",4.20939059402961e-17,-0.279342723004695
"3979","cGMP","Glycine",4.23335636688224e-17,-0.0993954595150814
"3980","Dimethylarginine (A/SDMA)","N2,N2-Dimethylguanosine",4.2531048279459e-17,0.321435462087594
"3981","Hypoxanthine","Sucrose",4.25541090481093e-17,0.295774647887324
"3982","Arabitol/Xylitol","N2,N2-Dimethylguanosine",4.27719464307377e-17,0.207859026303942
"3983","Choline","Linoleic Acid",4.27854159741449e-17,0.488680944112162
"3984","L-Kynurenine","Serine",4.29563240997719e-17,-0.325905202906939
"3985","Cystine","Pseudouridine",4.29777670443495e-17,-0.225577207537462
"3986","Glycine","S-Adenosylmethionine (SAM)",4.33652805528012e-17,-0.224065856325166
"3987","gamma-Aminobutyrate","Glycerol-3-P",4.35206577655233e-17,-0.188179304135314
"3988","Aspartic Acid","Methionine",4.37544003492149e-17,-0.264615087786996
"3989","2-isoPropylmalic Acid","Retinol",4.37864478439739e-17,0.324522477329732
"3990","Adenylosuccinate","Sarcosine",4.39504018669809e-17,-0.263071580165927
"3991","3-Aminoisobutyrate","Spermidine",4.44198647246835e-17,0.317158659720882
"3992","Glutaric Acid","Sedoheptulose 7-Phosphate",4.51667528031098e-17,-0.301016142517204
"3993","Glutaric Acid","N-Ac-L-Glutamine",4.52463717210484e-17,-0.377644864621519
"3994","Cystine","Succinylcarnitine",4.55745263669711e-17,-0.285323815036337
"3995","6-Methyladenosine","Aspartic Acid",4.59538899908702e-17,0.317158659720882
"3996","Lactose/Trehalose","N6-Acetyl-Lysine",4.63786132395045e-17,-0.401376294295453
"3997","Aspartic Acid","Glucoronate",4.65715441026235e-17,-0.247990224451733
"3998","2-isoPropylmalic Acid","Sucrose",4.66220458700824e-17,0.334748215319313
"3999","Glycerol-3-P","Sorbitol",4.69872348810926e-17,0.208051964756576
"4000","Histamine","N2,N2-Dimethylguanosine",4.76036899381503e-17,-0.279117628143289
"4001","Acetylcarnitine","Citrulline",4.94998315219612e-17,0.313685767573477
"4002","3-(4-Hydroxyphenyl)Propionate","Arabitol/Xylitol",4.95093748325168e-17,-0.214611872146119
"4003","Azelaic Acid","Phosphoserine",4.98012461437788e-17,-0.255643449739533
"4004","Phosphoserine","Suberic Acid",4.98787320523387e-17,-0.236639012155123
"4005","Creatine","Phosphorylcholine",5.02369627689382e-17,-0.101839346581774
"4006","Palmitic Acid","Pyroglutamic Acid",5.11151361488509e-17,0.279857225545051
"4007","Ethanolamine","Ribose-5-P",5.12878270739859e-17,-0.292719789053958
"4008","Deoxyguanosine","n-Glycylproline",5.15333246213512e-17,-0.402405299376166
"4009","Cysteinyl-Glycine (Cys-Gly)","Sucrose",5.17626321514893e-17,-0.201170493279311
"4010","2-Aminoadipate","Neopterin",5.21940159241134e-17,0.209016657019744
"4011","Glutamine","Histidine",5.37144632551613e-17,0.283072866422278
"4012","Cholesteryl Sulfate","Citraconic Acid",5.39256189740784e-17,0.189304778442344
"4013","6-Methyladenosine","Hydrocinnamic Acid",5.41847841766494e-17,0.230497138079619
"4014","Adipic Acid / 3-Methylglutaric Acid","Uridine",5.47473792015304e-17,-0.316579844362982
"4015","Citrulline","Lactate",5.49622064153611e-17,-0.155894269727957
"4016","2-Hydroxyglutarate","Glycerophosphocholine",5.50791974521086e-17,0.21859926683388
"4017","Ergocalciferol","Phosphotyrosine",5.53295530886534e-17,-0.107338092481832
"4018","Glyceraldehyde","Succinate",5.56194717683622e-17,-0.387420412888289
"4019","G6P","Phenylacetic Acid",5.65520904203814e-17,-0.214033056788218
"4020","Acetylcarnitine","Indole-2-Carboxylic Acid",5.66635734835879e-17,0.149334362338414
"4021","2-Aminoadipate","Cytidine",5.79664655192135e-17,0.256222265097434
"4022","Carnosine","Cysteinyl-Glycine (Cys-Gly)",5.87472553973366e-17,0.25120586532896
"4023","3-Methyl-3-Hydroxyglutaric Acid","Glyceraldehyde",5.87884971544712e-17,0.102836195253714
"4024","2-isoPropylmalic Acid","Serine",5.87923456035452e-17,0.238343301820053
"4025","Sucrose","Threonine",6.0647607755778e-17,-0.331789825712265
"4026","Cadaverine","Ribose-5-P",6.07343252875966e-17,-0.283297961283684
"4027","3-(4-Hydroxyphenyl)Propionate","Margaric Acid",6.18145500487723e-17,0.120522220078462
"4028","Cholecalciferol","Cytidine",6.20908299402967e-17,-0.227538748472571
"4029","Betaine","Glycine",6.21688193528748e-17,0.160460479773619
"4030","3-Methyl-3-Hydroxyglutaric Acid","Sorbitol",6.23808710882525e-17,-0.198630136986301
"4031","5'-Methylthioadenosine","Carnosine",6.28352902031804e-17,0.210528008232041
"4032","2'-Deoxycytidine","Adenine",6.39261970481615e-17,-0.14232426522606
"4033","5'-Methylthioadenosine","N2,N2-Dimethylguanosine",6.47884487601031e-17,0.36404270371085
"4034","Arabitol/Xylitol","N-Ac-L-Glutamine",6.59794162635394e-17,0.316869252041932
"4035","ADP","Trigonelline",6.64668483928672e-17,-0.223872917872532
"4036","Glucoronate","UDP-Glucose",6.66298778480251e-17,-0.31854138529809
"4037","Cadaverine","N-Ac-Phenylalanine",6.66529666905711e-17,0.360248247475722
"4038","N-Ac-L-Glutamine","Tryptophan",6.80968416825357e-17,0.0600038587690527
"4039","N-Ac-Phenylalanine","N2,N2-Dimethylguanosine",6.81254352964264e-17,0.284584217634575
"4040","1-Methyladenosine","2-Aminoisobutyric Acid",6.8355152511779e-17,0.312656762492765
"4041","Cadaverine","G1P/F1P/F6P",6.95039804697283e-17,-0.30053379638562
"4042","AMP","Spermidine",7.08189781765512e-17,0.156955431217442
"4043","2'-Deoxycytidine","2-Aminoadipate",7.10206538952667e-17,0.171361502347418
"4044","NAD","Tryptophan",7.12532943902309e-17,0.17039681008425
"4045","N-AcetylGlycine","Xanthurenic Acid",7.17745918988838e-17,-0.251623898643
"4046","Kynurenic Acid","Retinol",7.263407522974e-17,-0.208469998070616
"4047","Margaric Acid","Xanthurenic Acid",7.28882413474378e-17,-0.158659720882372
"4048","5'-Methylthioadenosine","Alpha-Ketoglutaric Acid",7.39378463975464e-17,0.209691941603962
"4049","Cadaverine","Linolenic Acid",7.39378463975464e-17,0.541063734002187
"4050","Agmatine","S-Adenosylmethionine (SAM)",7.49503991316966e-17,0.410187150299055
"4051","6-Methyladenosine","Carnosine",7.50072558242498e-17,-0.226220335712908
"4052","N2,N2-Dimethylguanosine","Niacinamide",7.56689895399714e-17,-0.366422277959997
"4053","3HBA","SAH",7.56705163999563e-17,-0.117017171522284
"4054","Carnitine","Succinylcarnitine",7.604973240076e-17,0.326709113126246
"4055","GMP","SAH",7.65537351103981e-17,0.212393079940832
"4056","Cadaverine","Maleic Acid",7.74883131788135e-17,0.320181362145476
"4057","Thiamine","Uracil",7.76187044410941e-17,0.346453148112419
"4058","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid","Tyrosine",7.81185003174562e-17,-0.249887452569297
"4059","2-Aminoadipate","Reduced Glutathione",7.87920804528088e-17,0.26268570326066
"4060","Alpha-Ketoglutaric Acid","gamma-Aminobutyrate",8.1035586150301e-17,0.237700173644607
"4061","3-(4-Hydroxyphenyl)Propionate","6-Methyladenosine",8.21083172505093e-17,0.284037558685446
"4062","GMP","Neopterin",8.26817300929323e-17,0.222361566660235
"4063","Aminolevulinate","n-Glycylproline",8.31767044059093e-17,0.336613287028105
"4064","Cystine","Glucosamine",8.34692834198863e-17,-0.271689497716895
"4065","Citraconic Acid","Taurine",8.35402078450126e-17,0.330439256543829
"4066","Arabitol/Xylitol","S-Adenosylmethionine (SAM)",8.5266126481697e-17,0.214515402919802
"4067","Fructose","Histidine",8.59174185918156e-17,-0.223583510193582
"4068","Creatine","Pseudouridine",8.82744096587385e-17,-0.354653032349347
"4069","Hypoxanthine","Maleic Acid",9.09944017282135e-17,0.185027976075632
"4070","1/3-Methylhistidine","N-Ac-Alanine",9.14182338256122e-17,0.405235063348125
"4071","Aminolevulinate","DCDP",9.17445304684745e-17,0.344716702038716
"4072","Argininosuccinate","Dimethylarginine (A/SDMA)",9.17768477204337e-17,0.259727313653611
"4073","Deoxycarnitine","Myristic Acid",9.22748393011658e-17,-0.415621583381568
"4074","NAD","Ornithine",9.29125833043838e-17,-0.134606727120715
"4075","4-Pyridoxic Acid","Cysteinyl-Glycine (Cys-Gly)",9.35031626363417e-17,0.230625763714708
"4076","4-Guanidinobutanoate","Lysine",9.39020007719866e-17,0.35979805775291
"4077","Alpha-Ketoglutaric Acid","Retinol",9.59684536223759e-17,-0.0482024567496302
"4078","Glycerophosphocholine","NADH",9.60726469345829e-17,-0.305775291015499
"4079","Lactate","Xanthosine",9.6982413271572e-17,-0.319506077561258
"4080","1/3-Methylhistidine","5,6-Dihydrouracil",9.75517746147498e-17,0.287092417518812
"4081","2-Aminoadipate","2-Aminoisobutyric Acid",9.77405530891729e-17,0.200655990738954
"4082","3-Hydroxyisovaleric Acid","Glycine",9.81987140511602e-17,0.236542542928806
"4083","GMP","S-Adenosylmethionine (SAM)",1.0004413662154e-16,0.357643578365168
"4084","2-Hydroxyisobutyrate/2-Hydroxybutyrate","Trigonelline",1.00142244960492e-16,0.326612643899929
"4085","Dimethylglycine","Glycerol-3-P",1.0269591626357e-16,-0.239372306900765
"4086","4-Pyridoxic Acid","Xanthurenic Acid",1.04836892052009e-16,0.17251913306322
"4087","Citrulline","Oxalacetate",1.06011555330876e-16,0.26538684159753
"4088","3-Hydroxyisovaleric Acid","Creatine",1.06112425049172e-16,0.225802302398868
"4089","3HBA","Dimethylarginine (A/SDMA)",1.06325227358372e-16,-0.234388063541064
"4090","G1P/F1P/F6P","NAD",1.07280956043197e-16,0.271367933629172
"4091","Nicotinic Acid","Riboflavin",1.11299857979062e-16,0.331821982121037
"4092","Agmatine","n-Glycylproline",1.17168197952625e-16,0.248472570583317
"4093","2-isoPropylmalic Acid","Alanine",1.17879963275169e-16,0.394655604862049
"4094","n-Glycylproline","Valine",1.18663722597407e-16,0.419576821660557
"4095","Fructose","iso-Leucine /allo-isoLeucine",1.18771275360336e-16,-0.307608206315519
"4096","Aminolevulinate","AMP",1.18795387044153e-16,0.184545629944048
"4097","Hydrocinnamic Acid","Xanthine",1.19075014629597e-16,0.311627757412052
"4098","Oxalacetate","Succinylcarnitine",1.19185614938686e-16,-0.366647372821403
"4099","Betaine","Margaric Acid",1.20283930883662e-16,0.267766415846678
"4100","5,6-Dihydrouracil","Asparagine",1.2103005079261e-16,0.251141552511416
"4101","3-(4-Hydroxyphenyl)Propionate","Kynurenic Acid",1.23707832592432e-16,-0.190976911698502
"4102","G1P/F1P/F6P","Oxalacetate",1.24242225813773e-16,-0.275483953952023
"4103","2-Hydroxyglutarate","Lactose/Trehalose",1.25068769268736e-16,0.374043346839025
"4104","Adenylosuccinate","Cadaverine",1.26217344755934e-16,0.344266512315905
"4105","Cholesteryl Sulfate","SAH",1.26670640861111e-16,-0.149881021287543
"4106","3-Methyl-3-Hydroxyglutaric Acid","Asparagine",1.27023028834662e-16,0.240176217120072
"4107","Glucosamine","Taurine",1.28422302424923e-16,-0.359830214161682
"4108","Dimethylarginine (A/SDMA)","Spermidine",1.28715659912976e-16,0.344588076403627
