"rowname","colname","p_means","R_means","pvalue","R_squared","p_F_all","R_F_all","p_F","R_F","p_M_all","R_M_all","p_M","R_M","p_SD","R_SD"
"Erythrose-4-Phosphate","Taurine",4.71047179756315e-100,-0.782029591805346,3.50032289209051e-102,-0.754642750117728,7.65867761495455e-36,-0.491414238857804,6.71246945064734e-25,-0.488177339901478,1.50659049204718e-86,-0.702447935696018,4.45132760109655e-54,-0.650246305418719,0.0464849755823524,-0.549261083743842
"Glutaric Acid","Pyruvate",2.04248337887799e-92,-0.78147589898182,8.26831830976075e-84,-0.680992337000728,9.64035575943052e-70,-0.647501447038395,4.15647231476408e-82,-0.76551724137931,6.44080864914137e-57,-0.559079283887468,1.30562275461088e-54,-0.644334975369458,4.06807025097162e-06,-0.798522167487685
"Betaine","Pyruvate",2.01365250028795e-97,-0.779384170537389,3.57773565041914e-72,-0.628502932488548,1.16312058239102e-49,-0.542124895491672,6.14038789171871e-65,-0.680295566502463,1.42929468912067e-41,-0.455060284983559,2.56559477903425e-39,-0.533990147783251,0.00149630185403398,-0.624630541871921
"S-Adenosylmethionine (SAM)","Urate",1.07296966979395e-87,-0.772001599557046,1.60602616469166e-76,-0.713031379767969,2.21593103505352e-51,-0.644221493343624,1.02291662137278e-65,-0.678817733990148,8.2747073238344e-78,-0.704165144318597,3.4602578741133e-73,-0.744827586206896,0.000181182550611521,-0.683743842364532
"G6P","Taurine",1.32514985279602e-98,-0.771632471008028,6.68525990200443e-99,-0.738880089044908,5.41676610394254e-37,-0.479805775291016,1.79272623891335e-26,-0.485221674876847,4.27688875023618e-83,-0.701388381439532,2.56051751083227e-53,-0.642857142857143,NA,NA
"1-Methylnicotinamide","1/3-Methylhistidine",3.93629860725241e-95,-0.770278999661632,3.72939065525471e-91,-0.768560297957961,3.72484645136536e-27,-0.515853109524728,5.12370719861534e-24,-0.512807881773399,1.56894001896818e-80,-0.709061015710632,1.81899062236682e-63,-0.660591133004926,0.000140343617467022,-0.772413793103448
"G1P/F1P/F6P","Taurine",5.46859437585472e-98,-0.763880771478667,2.43584097504072e-103,-0.749030352326726,3.15834784018682e-39,-0.503151328059682,5.18584087739034e-24,-0.456650246305419,4.70724700608461e-85,-0.703324808184143,1.85903178894739e-51,-0.626600985221675,0.027257392596006,-0.546305418719212
"3-Hydroxyisovaleric Acid","PEP",1.01451821132285e-119,-0.761296871635547,2.94820231129273e-115,-0.727920715784066,1.25624918165869e-46,-0.447006238343302,6.31447231234274e-33,-0.437931034482759,9.825252176244e-115,-0.777383997077092,1.13398848457814e-112,-0.82807881773399,0.000745703484313416,-0.730049261083744
"Arginine","PEP",1.98288919416836e-99,-0.760743178812021,1.28023259427625e-116,-0.790701656749005,2.55796120618633e-47,-0.568203743005981,2.41756643369081e-19,-0.403448275862069,1.53722932414264e-73,-0.632882718304713,3.5649528112253e-54,-0.567487684729064,0.00290304104753831,-0.658620689655172
"1/3-Methylhistidine","Phenylacetic Acid",2.49640992169497e-125,-0.760312528838168,1.47811132304033e-119,-0.661222655079413,2.20158464614279e-48,-0.439899672004631,4.93429418282897e-43,-0.441871921182266,1.65873241916397e-93,-0.585641213006942,2.23174854773577e-92,-0.688177339901478,0.004567562002595,-0.647290640394089
"3-Hydroxyisovaleric Acid","S-Adenosylmethionine (SAM)",2.64771466212554e-97,-0.756682764772832,3.23227744384394e-82,-0.63425232244531,7.78324073469998e-42,-0.475786224194482,7.97319388416791e-51,-0.544334975369458,4.94609786690841e-94,-0.689769820971867,2.61904950660419e-106,-0.822167487684729,0.000195002036709432,-0.75615763546798
"Choline","Glucosamine",1.3468296687282e-104,-0.75557537912578,2.09453349272834e-99,-0.693809666509697,1.97031761838615e-45,-0.475947006238343,9.88599127916614e-31,-0.504433497536946,5.52843237652007e-59,-0.49788089148703,1.33614027578503e-49,-0.524137931034483,0.000219613804458284,-0.734975369458128
"3-Hydroxyisovaleric Acid","G1P/F1P/F6P",1.43413558555465e-81,-0.75477560060291,7.53423038163197e-81,-0.701408450704225,4.01538559534161e-42,-0.559617981863786,5.22969364553877e-31,-0.577832512315271,2.01337266837941e-51,-0.636499817318232,3.76481645385365e-44,-0.672413793103448,0.0451572375822806,-0.502463054187192
"Maleic Acid","Succinylcarnitine",2.46798834696631e-121,-0.752622350733643,1.53541122768482e-114,-0.643186780256004,9.89705080386858e-61,-0.492153836259567,1.10566288829979e-66,-0.602463054187192,2.17739301765897e-77,-0.501863354037267,3.99878110488616e-64,-0.538423645320197,4.97092669014939e-05,-0.795073891625616
"3-(4-Hydroxyphenyl)Propionate","Erythrose-4-Phosphate",5.87497331311775e-107,-0.748869543818635,1.2740415306146e-101,-0.632467143285243,2.8961691105472e-40,-0.388674512830407,7.08916390852841e-26,-0.433497536945813,1.69369711196493e-64,-0.486919985385459,2.6359877615023e-52,-0.545320197044335,NA,NA
"3-(4-Hydroxyphenyl)Propionate","G1P/F1P/F6P",5.95863281077904e-103,-0.748008243870928,1.11164950467334e-94,-0.62362258658333,8.74486071239457e-35,-0.36574699337578,4.36572679202098e-25,-0.441871921182266,2.30302048890976e-60,-0.487468030690537,3.18590277069214e-50,-0.552709359605911,NA,NA
"1/3-Methylhistidine","Maleic Acid",8.6042854257254e-101,-0.747885201021255,1.81502034497777e-98,-0.683834924440259,7.129551570726e-54,-0.491510708084121,6.34676388799313e-44,-0.504433497536946,2.25620223731731e-89,-0.602922908293752,1.5564667709794e-66,-0.625615763546798,0.000261301472496035,-0.750738916256158
"Alpha-Ketoglutaric Acid","Choline",9.61613945793178e-80,-0.747762158171583,8.04779355468646e-65,-0.610882315167601,3.49086853865055e-26,-0.352369927326516,5.87530147219653e-31,-0.469950738916256,1.46440306171346e-51,-0.534490317866277,2.79403100068871e-39,-0.589162561576355,NA,NA
"Hydrocinnamic Acid","S-Adenosylmethionine (SAM)",3.99568226311143e-119,-0.745978036851333,1.31969614625433e-107,-0.660049659660088,1.29756406976803e-47,-0.504566210045662,1.99785340100264e-52,-0.552709359605911,5.39890807445664e-119,-0.780708805261235,5.6468261915888e-129,-0.878325123152709,6.76148618467328e-05,-0.776354679802955
"Palmitic Acid","PEP",9.90098793733906e-84,-0.745362822602971,1.67013567884959e-89,-0.741268889935357,4.03018234062016e-19,-0.480802623962956,1.87998186931663e-12,-0.367487684729064,1.90101313193103e-96,-0.755169894044574,1.27220967818692e-74,-0.723645320197044,NA,NA
"3HBA","UDP-GlcNAc",1.76126097703448e-79,-0.74505521547879,3.33600051706386e-71,-0.656714756624856,3.08174102876845e-63,-0.68457778635282,1.40290463624568e-65,-0.723152709359606,3.02328725970632e-64,-0.565290464011692,5.94590226804101e-60,-0.613300492610837,0.000122590886847884,-0.724630541871921
"3-Hydroxyisovaleric Acid","Erythrose-4-Phosphate",5.02960156032611e-83,-0.743886308406903,4.00643366834589e-90,-0.723087460935828,2.52469216930674e-50,-0.590745385555341,1.1043680995699e-31,-0.561576354679803,1.78817857473161e-58,-0.66525392765802,5.35190985394337e-43,-0.642857142857143,0.0107762404444194,-0.563546798029557
"Maleic Acid","S-Adenosylmethionine (SAM)",6.26983617983752e-106,-0.742286751361161,1.3983741763792e-110,-0.670576651397748,1.3995148281651e-53,-0.486848028812142,9.58852427717425e-37,-0.427586206896552,3.49906829793727e-115,-0.726635001826818,3.49221636828969e-114,-0.83743842364532,7.12539079346323e-06,-0.820689655172414
"Betaine","UDP-GlcNAc",7.15665119793697e-102,-0.739948937217386,9.44204491837005e-88,-0.69462733849908,4.50335569290561e-63,-0.652807254485819,1.85925136311459e-50,-0.633004926108374,2.91440605964212e-93,-0.735001826817684,1.58930507057644e-73,-0.720197044334975,1.96381731867026e-05,-0.789162561576355
"Citraconic Acid","SAH",1.26585013247929e-99,-0.733981359008274,2.29152989784784e-93,-0.640339911811293,1.11512536713854e-37,-0.359476493665188,1.21665671703306e-38,-0.485221674876847,2.94339268967099e-108,-0.76430398246255,3.92400716130131e-125,-0.86551724137931,9.68133336900595e-07,-0.821182266009852
