"rowname","colname","p_means","R_means","pvalue","R_squared","p_F_all","R_F_all","p_F","R_F","p_M_all","R_M_all","p_M","R_M","p_SD","R_SD"
"1/3-Methylhistidine","N-Ac-Alanine",1.47476810079868e-23,-0.324986926697222,1.65080878532626e-16,-0.213707778586412,9.14182338256122e-17,0.405235063348125,4.67600084778005e-19,0.427586206896552,1.26919905818938e-24,-0.381220314212642,1.21935917753586e-41,-0.601970443349754,NA,NA
"Ergocalciferol","Spermidine",1.11726243826129e-38,-0.324925405272386,3.83151174204098e-41,-0.273868744381181,4.59460144096845e-24,-0.239822496623577,2.4536484875273e-17,-0.283251231527094,0.0293725992455059,-0.100255754475703,NA,NA,0.0360325359465965,-0.448275862068965
"Dimethylglycine","Sorbitol",6.87400920481301e-36,-0.32486388384755,8.291080413383e-27,-0.265311015026328,4.65776089397466e-12,-0.197376037044183,1.76854556230379e-15,-0.199014778325123,3.46565685162139e-11,-0.222396784800877,7.87512630629557e-17,-0.331034482758621,NA,NA
"3-Hydroxyisovaleric Acid","ADP",3.47661176154134e-13,-0.32486388384755,2.82475585087342e-07,-0.253358448563723,2.54014803122715e-34,-0.40941539648852,1.85980723796554e-47,-0.558620689655172,3.7178985828332e-06,-0.276726342710997,0.000190116035385726,-0.227093596059113,NA,NA
"D-Leucic Acid","Deoxycarnitine",1.37689440355633e-20,-0.324802362422714,6.02536303080591e-13,-0.211113489447322,NA,NA,0.00172526320710632,0.0142857142857143,0.000584497866562157,-0.0273657289002558,1.11594036298222e-08,-0.207389162561576,NA,NA
"Asparagine","o-Phosphoethanolamine",0.0022591893286021,-0.324802362422714,4.02372937545443e-05,-0.328331692281348,NA,NA,NA,NA,0.0255181918332188,-0.218743149433687,0.00041650014579837,-0.374384236453202,NA,NA
"Citrulline","SAH",7.65356930206337e-44,-0.324740840997877,1.76013354194746e-27,-0.205535339697761,0.00655706126879842,-0.0375586854460094,5.80147525965283e-07,-0.110344827586207,1.75950870237191e-22,-0.211107051516259,5.66700129515856e-32,-0.359605911330049,NA,NA
"Glycerol-3-P","Oxalacetate",2.09629599419062e-21,-0.324740840997877,3.94580803000571e-22,-0.297200222612269,NA,NA,NA,NA,7.7796061867871e-49,-0.59251004749726,2.18303731809943e-45,-0.585221674876847,NA,NA
"Cystine","Proline",1.21313455224428e-14,-0.324679319573041,1.45332486334427e-36,-0.399644676570059,2.10236278880598e-36,-0.41948035243424,2.40356797353458e-17,-0.374384236453202,2.41580757904117e-22,-0.317500913408842,6.55693724865045e-08,-0.247783251231527,NA,NA
"2-Aminoisobutyric Acid","Succinate",6.06323802033748e-05,-0.324679319573041,2.2595905261794e-07,-0.269489276082024,1.49020521306312e-37,-0.410219306707827,4.40723503362975e-44,-0.485221674876847,7.18211645307802e-24,-0.374716843259043,6.84994992194092e-23,-0.531527093596059,NA,NA
"4-Pyridoxic Acid","Lysine",3.20577858333531e-22,-0.324617798148205,1.99010584575772e-21,-0.297230189648529,2.93223050792128e-14,-0.302109460415461,2.64033903677991e-12,-0.295073891625616,2.07045682982618e-05,-0.110303251735477,2.89761089653776e-09,-0.18423645320197,NA,NA
"Linolenic Acid","Uridine",3.92064370228968e-24,-0.324556276723369,6.39000589232004e-19,-0.206126118412603,NA,NA,NA,NA,0.000661474888504665,-0.0530142491779321,2.45847485293756e-07,-0.203448275862069,NA,NA
"Glyceraldehyde","S-Methylcysteine",3.4654593014431e-39,-0.324494755298533,1.44844943022689e-45,-0.368577421978681,0.0098520415227635,-0.101935815808091,NA,NA,2.53778668540682e-36,-0.328132992327366,1.14790614795142e-36,-0.430541871921182,NA,NA
"Fructose","Pyridoxamine",7.91761063667917e-25,-0.32437171244886,4.48891810548732e-17,-0.218125775932189,0.00180749786255009,0.0657598559392887,0.00868741660179207,0.0463054187192118,2.31016746850238e-11,0.123967848008769,NA,NA,NA,NA
"Neopterin","S-Adenosylmethionine (SAM)",3.72730684346034e-24,-0.324310191024024,5.57733172523413e-17,-0.25522924782739,NA,NA,NA,NA,8.03046350194375e-11,-0.157106320789185,4.56209357398922e-18,-0.269950738916256,NA,NA
"L-Kynurenine","Pantothenate",2.10550449905275e-42,-0.324248669599188,3.33868143125529e-26,-0.229508968705852,4.80173581339881e-07,-0.0195510965335391,2.39232407401431e-05,-0.102463054187192,0.0161450959793794,-0.070076726342711,NA,NA,NA,NA
"1-Methyladenosine","Homocitrulline",4.51004794361704e-37,-0.324248669599188,2.64351894777515e-32,-0.263774134166702,1.26395982406799e-07,-0.165476879542093,1.0281594520696e-10,-0.233990147783251,1.09819729302924e-40,-0.3318597004019,6.6862489982072e-40,-0.327586206896552,0.00990863204432905,-0.57192118226601
"Acetylcarnitine","Uracil",4.06631864114361e-14,-0.324248669599188,4.96597647580514e-15,-0.285016481869943,NA,NA,0.00742781049599455,-0.0921182266009852,5.5361223559905e-07,-0.181402995981001,0.0435852354459524,-0.20295566502463,NA,NA
"Aspartic Acid","Sedoheptulose 7-Phosphate",5.14493921536165e-21,-0.324125626749515,3.45931758615671e-23,-0.309114260028255,6.29910044365855e-19,-0.348607627500161,9.97341314627686e-10,-0.306403940886699,4.91418038195958e-07,-0.158458165875046,NA,NA,NA,NA
"Creatine","Uracil",4.20983296371578e-09,-0.324064105324679,1.40762949721603e-09,-0.286566205745109,1.63533615030797e-41,-0.397292430381375,7.02915714425943e-36,-0.400492610837438,2.15917283870898e-39,-0.390062111801242,2.08635213577075e-38,-0.513793103448276,0.0368717183974905,-0.607881773399015
"Glucose","N-Ac-Phenylalanine",7.30056942487637e-43,-0.324002583899843,1.52843643391221e-36,-0.295731837835524,NA,NA,NA,NA,2.34127618943316e-29,-0.275447570332481,1.37111509551994e-26,-0.276354679802956,NA,NA
"GMP","N6-Acetyl-Lysine",1.17971450045796e-05,-0.324002583899843,7.00726751571033e-06,-0.256830343764716,0.000468325137640666,-0.126181748022381,0.0244406865172561,-0.207881773399015,2.19789511020348e-10,-0.238143953233467,4.01682923801912e-24,-0.416256157635468,NA,NA
"1-Methyladenosine","Histidine",8.46477370761476e-25,-0.323879541050171,8.61796117285445e-24,-0.309683633717197,1.79583264123159e-08,-0.273265161746736,5.88823438416047e-06,-0.273891625615764,1.85385689249662e-08,-0.145049324077457,0.00160369945690349,-0.0630541871921182,NA,NA
"Methionine","Taurine",4.09009579599724e-37,-0.323756498200498,1.19713520254667e-46,-0.393993749732437,4.26736517448461e-08,-0.0625442150620619,NA,NA,1.4882421544086e-28,-0.232480818414322,1.33421308120021e-11,-0.0847290640394089,NA,NA
"Arginine","DCDP",1.83872894086532e-09,-0.323756498200498,5.40135410264212e-18,-0.366008818870671,9.82183420992551e-06,-0.247990224451733,NA,NA,2.90511250804773e-40,-0.513335769090245,1.66407162784652e-30,-0.534975369458128,0.00166746987418265,-0.718226600985222
"GMP","UDP-Glucose",3.29457492974511e-16,-0.323694976775662,7.81260168566711e-19,-0.245010488462691,1.53307456060386e-06,-0.13779021158917,NA,NA,2.1869648121677e-21,-0.28407014979905,9.72163600261478e-30,-0.452709359605911,0.0227291559027272,-0.21871921182266
"6-Methyladenosine","GMP",1.70377825072245e-05,-0.323694976775662,2.33492694566118e-09,-0.327115886810223,3.00283761174288e-31,-0.549006366968937,3.79451062887874e-24,-0.512315270935961,7.41748903705263e-17,-0.252064303982463,8.12008681790133e-17,-0.325615763546798,0.00989248387193689,-0.50295566502463
"Alanine","Succinate",0.00498387928557451,-0.323694976775662,0.000240252480765887,-0.27644162849437,3.03127566653255e-18,-0.367097562544215,9.89695438205792e-31,-0.498522167487685,3.12862297456842e-26,-0.450529777128243,4.59368208704179e-29,-0.561576354679803,NA,NA
"Cysteinyl-Glycine (Cys-Gly)","Indole-3-Carboxylic Acid",1.18211536853494e-31,-0.323633455350826,7.05558863574058e-27,-0.247026841902479,0.00183250768613865,-0.0950865007395974,2.31873045903713e-05,-0.12807881773399,1.02120755293718e-21,-0.188417975886007,4.56138965527567e-19,-0.23448275862069,NA,NA
"Hydrocinnamic Acid","N6-Acetyl-Lysine",3.07558082074048e-29,-0.323448891076317,1.51751905272637e-41,-0.364570401130185,8.78207609343488e-15,-0.192295324458165,1.68286765478049e-07,-0.104926108374384,1.49041798774627e-51,-0.420423821702594,2.59650427086311e-22,-0.352709359605911,0.0349657213619746,-0.555172413793103
"Pantothenate","PEP",4.86412355275202e-41,-0.323325848226645,5.76034439994454e-20,-0.183569502119098,0.01208413689263,0.0263039423757155,1.96283203683953e-05,-0.158128078817734,5.92899337643966e-16,0.166898063573255,NA,NA,NA,NA
"cGMP","Riboflavin",3.62396479120722e-38,-0.323325848226645,1.85458662949273e-26,-0.223528404469369,8.57195413182324e-05,-0.197568975496817,2.54136703630573e-11,-0.31871921182266,0.0036308998161255,-0.000657654366094264,5.80494625901519e-06,-0.0862068965517241,NA,NA
"Adipic Acid / 3-Methylglutaric Acid","Arabitol/Xylitol",1.68943728836415e-34,-0.323325848226645,1.32634426514103e-33,-0.316725887238324,8.75580247646144e-30,-0.304424721847064,3.16721024161838e-33,-0.353694581280788,3.11698400251237e-25,-0.339313116550968,7.36917592287954e-13,-0.255172413793103,0.0149229756483461,-0.580788177339901
"SAH","Taurine",2.14384726041476e-29,-0.323325848226645,2.64625631089288e-39,-0.396797808125348,4.1887720718484e-13,-0.189626342530066,NA,NA,5.07237169504057e-34,-0.370369017172086,9.13280309873723e-22,-0.302463054187192,NA,NA
"Adenosine","cGMP",3.67005284136201e-18,-0.323264326801809,4.38616561070265e-21,-0.335904790444796,1.82192576003502e-31,-0.438163225930928,4.56071323832872e-30,-0.448768472906404,NA,NA,NA,NA,NA,NA
"3-Hydroxyisovaleric Acid","Oxidized Glutathione",3.99853968327054e-15,-0.323202805376972,8.86266261048124e-07,-0.258465687743482,2.78533359553435e-10,-0.308926619075182,2.25771195657862e-12,-0.335467980295566,0.000951565763519124,-0.230580928023383,5.19913715624914e-06,-0.21576354679803,NA,NA
"Creatine","N-Ac-L-Glutamine",1.02382434242763e-38,-0.323018241102464,4.38765188554381e-29,-0.296934800291108,9.59615807939811e-15,-0.270660492636182,4.70320060581817e-18,-0.22512315270936,5.55541620526945e-22,-0.267665327000365,5.36983986639298e-40,-0.41231527093596,NA,NA
"7-Methylguanine","Suberic Acid",2.79852621370007e-07,-0.323018241102464,0.000179271354495176,-0.231097221627638,3.11147910309708e-14,-0.282558363881922,1.3896822140669e-25,-0.430541871921182,8.06914143985278e-12,-0.256375593715747,2.59986797067429e-10,-0.303448275862069,NA,NA
"Histidine","Pantothenate",2.91400400156425e-18,-0.322772155403119,5.03733208443055e-10,-0.277747335074275,8.95528189756638e-09,-0.303717280854074,0.00400973444496241,-0.21576354679803,6.8681100694037e-05,-0.0760686883449032,0.0060941310859128,-0.227093596059113,NA,NA
"Acetylcarnitine","Xanthosine",6.56077914603519e-11,-0.322710633978283,2.88325093122237e-07,-0.220912710304379,NA,NA,0.0132639036131309,-0.207881773399015,3.87012535072138e-09,-0.225685056631348,7.05727240616827e-07,-0.26551724137931,NA,NA
"gamma-Aminobutyrate","Lactate",1.07673850160942e-07,-0.322710633978283,3.67806343926873e-06,-0.275315724132026,2.24492819690437e-16,-0.223487040967265,2.81203597425897e-24,-0.244334975369458,0.00467119194216232,-0.169894044574351,NA,NA,NA,NA
"Maleic Acid","N6-Trimethyllysine",4.11747133799208e-29,-0.322649112553447,1.59295288514773e-33,-0.337386018237082,NA,NA,0.0023774200150572,0.144334975369458,3.3295881746324e-30,-0.285896967482645,2.49131520674748e-20,-0.301477832512315,NA,NA
"D-Leucic Acid","N2,N2-Dimethylguanosine",1.34011624300068e-19,-0.322403026854102,2.28548669507919e-22,-0.326983175649643,8.09568712107015e-18,-0.197440349861727,1.22136029223678e-24,-0.273891625615764,1.6695229514149e-07,-0.368176835951772,NA,NA,NA,NA
"3-(4-Hydroxyphenyl)Propionate","Lysine",1.63641766603505e-24,-0.322341505429266,2.26442765692703e-24,-0.245913780555674,6.01499525807439e-05,0.00726734838253264,1.82483622342365e-08,0.137931034482759,5.4825773367639e-06,-0.0361344537815126,2.81788644754437e-05,-0.0645320197044335,NA,NA
"4-Guanidinobutanoate","Glucoronate",6.60537046052888e-39,-0.322095419729921,2.08661342457093e-31,-0.3211010745323,5.71668179710767e-08,-0.0823525628657791,2.93470279513319e-07,-0.0817733990147783,8.50402613821793e-14,-0.213518450858604,3.9814067885829e-08,-0.14679802955665,NA,NA
"Aspartic Acid","Reduced Glutathione",2.0708808866181e-11,-0.322095419729921,4.82662234151357e-06,-0.206571342951325,3.097476477854e-39,-0.351726799151071,6.46338000686954e-42,-0.451724137931034,0.0175834243946821,-0.154219948849105,1.24637549638327e-16,-0.372906403940887,NA,NA
"4-Hydroxybenzoic Acid","FAD",6.38513593604635e-14,-0.321972376880248,3.10144533364341e-13,-0.286377841517188,0.000563516458580858,-0.257830085536047,0.0325309251788204,-0.254679802955665,NA,NA,0.000229961559101214,-0.248275862068965,NA,NA
"Cadaverine","DCDP",5.93323403384274e-09,-0.321849334030576,7.54263851993887e-19,-0.38949441328824,1.9713365062248e-11,-0.373046498167085,0.00184123939569689,-0.276847290640394,3.28759352075151e-35,-0.50537084398977,2.20620400693025e-20,-0.42807881773399,0.00316109591600458,-0.726108374384236
"Acetylcholine","Glycine",2.69982714977007e-20,-0.32178781260574,1.98241096684237e-19,-0.24484352926067,2.16920119251711e-31,-0.304489034664609,1.55324991698195e-29,-0.447290640394089,0.000944135660341006,-0.160979174278407,5.43274802818391e-10,-0.224137931034483,NA,NA
"Glutaric Acid","Putrescine",1.03458352864096e-21,-0.321726291180904,3.56056339169525e-18,-0.293167515732694,0.000150980573047018,-0.217152228439128,1.66908306721737e-06,-0.276847290640394,0.000224433201486462,-0.155973693825356,2.04738783595019e-06,-0.180295566502463,NA,NA
"Lactose/Trehalose","Serine",4.12583459194959e-06,-0.321726291180904,1.01524832099963e-12,-0.365961727813691,0.000443892879705599,-0.281272107531031,0.00971609577645248,-0.303940886699507,6.09784302404723e-20,-0.378626233101936,2.47918021446094e-10,-0.319704433497537,NA,NA
"Histamine","Xanthosine",0.0283531431263991,-0.321726291180904,7.29306100975605e-05,-0.32907230617749,2.27699839362315e-21,-0.380120908096984,3.91799089696992e-24,-0.346305418719212,8.93864609018988e-19,-0.391487029594446,1.39998685051464e-17,-0.518226600985222,NA,NA
"Homoarginine","Tyrosine",6.31433990047639e-36,-0.321603248331231,9.56383471730984e-50,-0.393728327411276,0.000715150735979925,-0.236992732651617,NA,NA,6.78775423338598e-37,-0.286993058092802,2.10736753145153e-19,-0.182266009852217,0.0130669874739619,-0.507389162561576
"Adenylosuccinate","Glutamine",9.36600124757321e-19,-0.321603248331231,4.04598010786128e-19,-0.279630977353483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azelaic Acid","Erythrose-4-Phosphate",5.35184740117068e-20,-0.321480205481559,1.46713344066158e-23,-0.387191232501391,8.27251815709597e-08,-0.211203292816258,0.0096312653933927,-0.0280788177339901,2.72430830943278e-20,-0.292838874680307,4.14064349469562e-12,-0.186206896551724,0.0356613138293158,-0.522660098522167
"S-Methylcysteine","UDP-GlcNAc",3.21052106998201e-27,-0.321418684056723,7.50438241901581e-26,-0.317706237424547,0.00298733692541971,-0.18882243231076,0.000418354318007199,-0.257635467980296,2.41576488071871e-30,-0.331603945926197,7.69007041271306e-13,-0.195566502463054,NA,NA
"Putrescine","Xanthosine",2.01316828774331e-08,-0.321418684056723,2.49579862063374e-06,-0.282623399974314,NA,NA,0.0120684785383153,-0.119704433497537,0.00588403230507071,-0.348995250274023,4.52275838263941e-12,-0.48423645320197,NA,NA
"Ethanolamine","Spermidine",2.61370325782402e-31,-0.32129564120705,5.90953105824128e-17,-0.225917205359818,3.02326878366408e-16,-0.186153450382661,1.12411536161183e-24,-0.33743842364532,NA,NA,0.00303228295444525,-0.0704433497536946,NA,NA
"Glucose","Margaric Acid",2.46629505865507e-48,-0.321234119782214,5.25088979651112e-35,-0.253302795496383,7.93110520983476e-09,-0.148337513666474,1.39457475776167e-05,-0.110837438423645,9.51717928190712e-13,-0.0586408476434052,1.29299689669129e-11,-0.12807881773399,0.0472670524078468,-0.483743842364532
"2-Hydroxyisobutyrate/2-Hydroxybutyrate","Pipecolate",2.72729083348793e-14,-0.321172598357378,3.00925110804693e-06,-0.235729269232416,6.13372877117311e-19,-0.343076725191331,7.58707278500652e-14,-0.346305418719212,NA,NA,NA,NA,NA,NA
"Cholesteryl Sulfate","Methionine",1.2285591887898e-39,-0.321049555507705,4.06437655370765e-22,-0.220951239351,3.74722703637179e-13,-0.268891890153708,4.61407205058755e-19,-0.315763546798029,2.14973067206257e-13,-0.0591523565948118,2.61027798891963e-23,-0.145812807881773,0.0353856520390505,-0.391625615763547
"Aspartic Acid","Kynurenic Acid",5.5148577831277e-26,-0.321049555507705,5.68110626496969e-19,-0.261860524851235,9.64618796517525e-16,-0.259116341886938,2.08499407110654e-27,-0.441379310344828,NA,NA,0.0301492989641034,0.0295566502463054,NA,NA
"4-Guanidinobutanoate","4-Pyridoxic Acid",3.42951515123723e-18,-0.321049555507705,8.28162659195615e-16,-0.274001455541761,4.88511043685795e-07,-0.0992989902887646,3.91184495032228e-14,-0.164039408866995,1.79871134285483e-05,-0.166824990865912,5.37221838235454e-14,-0.273891625615764,NA,NA
"Margaric Acid","N6-Trimethyllysine",1.72180516127124e-36,-0.320988034082869,4.32555742768797e-24,-0.216867160409264,NA,NA,NA,NA,0.00106170103484212,0.0597369382535623,1.22276988574855e-06,-0.0556650246305419,NA,NA
"Imidazoleacetic Acid","S-Methylcysteine",2.34104150212836e-43,-0.320803469808361,3.58021772134849e-56,-0.409486707478916,8.03317949284263e-19,-0.319570390378803,0.000198388534525817,-0.106403940886699,6.69738123858483e-30,-0.290317866276946,1.95179716001462e-17,-0.145812807881773,NA,NA
"Homoarginine","Riboflavin",5.45356131970519e-31,-0.320803469808361,7.86222006952188e-29,-0.288663898283317,0.00427157362160643,-0.112065084571355,0.000296913799779866,-0.135467980295566,6.66157311648981e-06,-0.170222871757399,1.03218034450789e-10,-0.2,NA,NA
"ADP","Trigonelline",1.04638190321569e-21,-0.320680426958688,7.40662581169514e-19,-0.299392097264438,6.64668483928672e-17,-0.223872917872532,2.52161752571598e-14,-0.203940886699507,9.61217720435011e-14,-0.330873218852759,3.54222377078673e-13,-0.37192118226601,NA,NA
"Anthranilic Acid","Threonine",6.3293931724403e-19,-0.320680426958688,8.01020708419022e-19,-0.304388030309517,1.95360522307282e-08,-0.191652196282719,2.40339910206336e-07,-0.246305418719212,1.29175788862714e-07,-0.0558640847643405,NA,NA,NA,NA
"Creatine","Spermidine",7.3270833538853e-38,-0.320557384109016,1.46165613656321e-39,-0.315480114730939,1.71509371150279e-39,-0.398257122644543,1.121101948295e-45,-0.53743842364532,9.30078053979845e-05,-0.181549141395689,0.0177000182689622,-0.0926108374384236,NA,NA
"Erythrose-4-Phosphate","Suberic Acid",2.5729507716047e-18,-0.320557384109016,3.72028252940577e-19,-0.344321246628708,7.12336571608661e-07,-0.173708920187793,0.00277805017053282,-0.0886699507389162,6.27431865110768e-17,-0.242053343076361,8.38008413004003e-11,-0.170935960591133,0.044539910016959,-0.462068965517241
"Oxidized Glutathione","Riboflavin",2.46422050262207e-19,-0.320434341259343,2.0118409399926e-09,-0.289057750759878,5.59545775677301e-20,-0.413563573220143,8.40872702262595e-29,-0.459113300492611,9.96551910277889e-06,-0.229229082937523,1.23187970159926e-07,-0.197536945812808,NA,NA
"Linolenic Acid","Sedoheptulose 7-Phosphate",2.28278910418862e-27,-0.320311298409671,1.54269055229182e-23,-0.25514790872897,0.0136049371372834,-0.229886166312946,0.0013771403189894,-0.357635467980295,0.0385377898098568,-0.034490317866277,NA,NA,NA,NA
"Ethanolamine","Glyceraldehyde",2.37561602775281e-33,-0.320249776984835,1.35401628237658e-16,-0.261303994177833,1.13063179311217e-21,-0.306386262782173,1.13360557142048e-19,-0.292610837438424,5.58902768739498e-19,0.254146876141761,2.35241596053565e-13,0.27192118226601,NA,NA
"Indole-3-Carboxylic Acid","Sorbitol",1.68986706931847e-17,-0.320249776984835,1.53850176225677e-18,-0.321392182884541,0.000665797914891668,-0.076821660556949,NA,NA,1.68852521736705e-10,-0.356375593715747,4.54420828539822e-11,-0.385714285714286,0.0236106657776315,-0.404926108374384
"Homocitrulline","Phenylacetic Acid",9.67424755688354e-28,-0.320126734135162,1.06492662542433e-25,-0.236495569159639,NA,NA,NA,NA,3.63307007484452e-50,-0.465984654731458,7.61755580011122e-48,-0.558128078817734,NA,NA
"2-isoPropylmalic Acid","N6-Acetyl-Lysine",9.00046735944164e-31,-0.320065212710326,2.76038614332493e-30,-0.248413887580804,NA,NA,NA,NA,2.39919416885214e-21,-0.299196200219218,1.09795543150592e-16,-0.371428571428571,NA,NA
"cGMP","Glutaric Acid",9.63027538787466e-29,-0.319880648435818,1.20505555973599e-30,-0.293471467100475,2.15837422458709e-39,-0.408804424721847,2.05881622237651e-40,-0.538423645320197,0.000663295904172908,-0.0215564486664231,NA,NA,NA,NA
"Putrescine","Urate",5.35114857394207e-39,-0.319819127010982,1.59826518749917e-36,-0.294096493856758,0.00586786647707179,0.092513988037816,NA,NA,1.87606146091238e-08,-0.0958713920350749,2.4420939544911e-10,-0.113793103448276,NA,NA
"N6-Acetyl-Lysine","Reduced Glutathione",4.07258856183574e-06,-0.319819127010982,5.0588892487839e-05,-0.233503146538807,1.19929109791834e-07,-0.00231526143160332,0.000239344303563978,-0.0463054187192118,6.63262331771088e-15,-0.317318231640482,9.95821857867435e-25,-0.50295566502463,NA,NA
"3-Aminoisobutyrate","Ribose-5-P",2.28449378409894e-21,-0.319757605586145,9.72916240910343e-15,-0.208065413759151,0.0157779472148452,-0.0144060711299762,NA,NA,4.52383253805834e-12,-0.124113993423456,2.32353143291593e-15,-0.300985221674877,NA,NA
"2-Hydroxyphenylacetate","IMP",2.12442243610543e-13,-0.319696084161309,0.000116740402962976,-0.21063401686716,5.64363714165417e-42,-0.475528972924304,2.9970442807839e-67,-0.630541871921182,1.82922206399522e-07,0.12590427475338,0.0387603545334093,0.0320197044334975,NA,NA
"Hypoxanthine","Sedoheptulose 7-Phosphate",2.19531372961133e-42,-0.319573041311637,2.96041835795636e-31,-0.248323986472024,1.2496810493427e-31,-0.317737475078783,6.66864592126064e-23,-0.347290640394089,0.0205578128120089,0.0648885641213007,NA,NA,NA,NA
"Spermidine","Urate",2.6539195945241e-34,-0.319573041311637,1.11055447498837e-34,-0.302063444496768,4.64262295112018e-22,-0.285355971445109,4.91566746622788e-23,-0.221674876847291,NA,NA,NA,NA,NA,NA
"Azelaic Acid","Glucose",4.05522182221313e-23,-0.319573041311637,5.06696060098254e-27,-0.355032321589109,0.000139907357279947,-0.0417390185864043,0.00493211175234107,-0.0123152709359606,5.29788794135855e-52,-0.487650712458897,2.47703918631083e-28,-0.39064039408867,0.00554603385260089,-0.564532019704433
"Hydrocinnamic Acid","Uridine",8.98143426719081e-40,-0.319326955612292,2.39598639838184e-50,-0.332736846611584,7.85747316487878e-20,-0.161007138722747,1.9635508971552e-13,-0.140394088669951,2.25559010683374e-41,-0.314797223237121,3.28660470754087e-29,-0.295566502463054,NA,NA
"1-Methylnicotinamide","n-Glycylproline",9.79043482747263e-33,-0.319265434187456,3.64810680601108e-30,-0.362622543773278,8.75994041628055e-13,-0.246736124509615,1.37741972736848e-06,-0.0955665024630542,1.50893197158269e-42,-0.421337230544392,6.33389580106134e-32,-0.350738916256158,0.0139711299809279,-0.616256157635468
"Homocitrulline","Xanthine",4.09206947786899e-31,-0.319265434187456,1.34942340392476e-27,-0.25528918189991,1.61421503777691e-08,-0.288539455913564,3.69599023882923e-15,-0.370935960591133,1.8870721776897e-17,-0.201278772378517,1.14396837684826e-17,-0.264532019704433,NA,NA
"Pyridoxamine","Ribulose 5-Phosphate",4.35302812635315e-30,-0.319265434187456,7.77335129875563e-35,-0.336041782610557,0.00614416682229788,-0.0569811563444595,NA,NA,7.06907106465045e-22,-0.222908293752284,9.71424974894882e-14,-0.159605911330049,NA,NA
"Aminolevulinate","Creatine",2.9578999106848e-16,-0.319265434187456,3.21256266738722e-17,-0.248627937839805,1.68128355440652e-10,-0.191202006559907,5.89250893934849e-09,-0.213300492610837,9.090789575347e-33,-0.380051150895141,1.99189531978276e-24,-0.447290640394089,NA,NA
"Citraconic Acid","Histidine",7.47997523519565e-42,-0.31920391276262,4.45786935896426e-33,-0.221666167216062,0.000219626671263828,0.0262717859669432,5.07933747069453e-08,-0.029064039408867,5.62497271660626e-17,-0.269492144683961,1.49297419814783e-12,-0.26256157635468,NA,NA
"1-Methyladenosine","N-Ac-L-Glutamine",1.17908696885659e-14,-0.319142391337783,4.26786679053685e-10,-0.281339098420309,0.000117737209513829,-0.316515531545437,3.02157686925803e-05,-0.347783251231527,0.000472847240730669,-0.210010960906102,2.28567884010425e-05,-0.197044334975369,NA,NA
"Argininosuccinate","Serine",2.75592520809402e-10,-0.319019348488111,2.7275735748787e-12,-0.312941478659189,3.71266061348367e-12,-0.322271528715673,8.75909398467171e-17,-0.342857142857143,1.09175753874433e-17,-0.279905005480453,3.1039348052537e-10,-0.314285714285714,NA,NA
"Guanosine","Sucrose",7.14105293540227e-07,-0.319019348488111,5.76744590314479e-10,-0.297808125347832,1.88198700766777e-15,-0.301498488648788,2.786624002613e-14,-0.300985221674877,NA,NA,NA,NA,NA,NA
"Deoxycarnitine","Ethanolamine",2.2860453481717e-24,-0.318957827063275,1.35461405390158e-11,-0.206361573697504,NA,NA,NA,NA,4.62698796485592e-23,0.211983924004384,2.2732470278678e-12,0.122167487684729,NA,NA
"Glyceraldehyde","N-Ac-Phenylalanine",1.2696364854283e-43,-0.318896305638439,1.04265313782131e-34,-0.320724346076459,NA,NA,NA,NA,8.42834898467738e-35,-0.352612349287541,1.70817218805965e-34,-0.367980295566502,NA,NA
"Deoxycarnitine","Dimethylglycine",1.56278906778938e-19,-0.318896305638439,6.75866146977936e-31,-0.366869300911854,1.14685680014054e-09,-0.287896327738118,8.68575084850916e-08,-0.231527093596059,NA,NA,NA,NA,NA,NA
"Maleic Acid","Putrescine",1.0789033862541e-30,-0.318773262788766,1.84477041745004e-25,-0.235712145211696,0.0411573021632306,-0.125988809569747,5.6573269165762e-06,-0.250738916256158,0.000236703940521471,-0.0602849835586409,3.79863900975397e-08,-0.171428571428571,NA,NA
"2-isoPropylmalic Acid","isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",4.70403372390685e-27,-0.318773262788766,2.72482467828065e-18,-0.222436748148465,7.03035856842507e-06,-0.247347096276288,NA,NA,3.97222790117133e-09,-0.139751552795031,2.84074783866611e-21,-0.283251231527094,0.0242716173026514,-0.348768472906404
"Histidine","Neopterin",3.581462041927e-17,-0.318650219939094,2.51884774266721e-16,-0.2947086775975,0.000192284163365916,-0.220496494951444,NA,NA,4.88074955112745e-07,-0.196894409937888,3.04554618376185e-06,-0.193103448275862,0.0302202842557279,-0.517733990147783
"2-isoPropylmalic Acid","Glucosamine",1.39844647984304e-33,-0.318588698514257,1.29300363286431e-32,-0.257356907401858,4.08549158544543e-08,-0.188886745128304,2.04784561291122e-13,-0.268965517241379,6.48411755933224e-16,-0.177201315308732,4.44287394354519e-12,-0.116748768472906,NA,NA
"Carnosine","Inosine",5.22885658978986e-16,-0.318588698514257,3.6878152620169e-15,-0.252913224025001,4.55348952072165e-16,-0.254678757476365,2.24561656029288e-19,-0.267980295566502,1.19637859816746e-23,-0.272634271099744,2.94049063517078e-25,-0.378817733990148,NA,NA
