"COMPOUND","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"2'-Deoxycytidine",-0.146845385469137,0.297941812285266,0.662983873581327,"NS"
"Homoarginine",-0.146760010245027,0.298225186547234,0.662983873581327,"NS"
"Cytidine",0.146418509348587,0.2993604422476,0.662983873581327,"NS"
"D-Leucic Acid",0.145906258003927,0.301068602092208,0.662983873581327,"NS"
"Maleic Acid",0.143430376504738,0.30941397733976,0.662983873581327,"NS"
"Cystine",0.143345001280628,0.309704387506722,0.662983873581327,"NS"
"Tyrosine",0.141637496798429,0.315549527234833,0.662983873581327,"NS"
"S-Adenosylmethionine (SAM)",-0.14018611798856,0.320573199553603,0.662983873581327,"NS"
"Biopterin",0.13847861350636,0.326548429206458,0.662983873581327,"NS"
"Palmitic Acid",0.13839323828225,0.326849035118345,0.662983873581327,"NS"
"Acetylcholine",-0.137454110817041,0.330167287672994,0.662983873581327,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",-0.136856484248271,0.33228995983087,0.662983873581327,"NS"
"Retinol",0.135831981558952,0.335948821746461,0.662983873581327,"NS"
"iso-Leucine /allo-isoLeucine",-0.135575855886622,0.336867481711593,0.662983873581327,"NS"
"NADH",-0.134295227524972,0.341484430730074,0.664995996684881,"NS"
"FAD",-0.130624092888244,0.354937739087483,0.682119395881367,"NS"
"Hydrocinnamic Acid",0.128660462733715,0.362266040324733,0.682119395881367,"NS"
"7-Methylguanine",0.127892085716725,0.365158668682471,0.682119395881367,"NS"
"5,6-Dihydrouracil",-0.127550584820285,0.366448793504326,0.682119395881367,"NS"
"Citraconic Acid",0.126952958251515,0.368713186962901,0.682119395881367,"NS"
"UDP-Glucose",-0.125074703321096,0.375885065093524,0.688502346953484,"NS"
"Kynurenic Acid",-0.117817809271749,0.404376338674573,0.729386174170189,"NS"
"o-Phosphoethanolamine",-0.1173909331512,0.406090680754213,0.729386174170189,"NS"
"2-Aminoadipate",0.11602492956544,0.411605001925634,0.732181974579253,"NS"
"Urate",0.113378297618031,0.422411707128064,0.737233003253975,"NS"
"N-Ac-L-Glutamine",-0.112951421497481,0.42416981155136,0.737233003253975,"NS"
"S-Methylcysteine",0.111670793135832,0.429469146801794,0.737233003253975,"NS"
"Glycerophosphocholine",0.110646290446512,0.43373555105372,0.737233003253975,"NS"
"Phosphoserine",0.109365662084863,0.439102077904311,0.737233003253975,"NS"
"Sedoheptulose 7-Phosphate",0.108682660291983,0.441979396981755,0.737233003253975,"NS"
"Carnosine",-0.108597285067873,0.442339801952385,0.737233003253975,"NS"
"Adenosine",0.105523776999915,0.455423339118661,0.745619994041499,"NS"
"2-Hydroxyglutarate",-0.104670024758815,0.459095069052254,0.745619994041499,"NS"
"Inosine",0.104584649534705,0.45946313146341,0.745619994041499,"NS"
"Carnitine",-0.103047895500726,0.466115802887791,0.749838465515142,"NS"
"Arginine",0.101340391018526,0.473568556245742,0.753546887993504,"NS"
"Azelaic Acid",0.100657389225647,0.476567491325621,0.753546887993504,"NS"
"Glycine",0.0980107572782379,0.488283793764044,0.758058327517858,"NS"
"Riboflavin",-0.0973277554853581,0.491331807143779,0.758058327517858,"NS"
"Suberic Acid",0.0972423802612482,0.491713509741313,0.758058327517858,"NS"
"Sarcosine",0.095278750106719,0.500535436970032,0.765281453218643,"NS"
"N-Ac-Arginine",0.0932297447280799,0.509827620971339,0.76707252583253,"NS"
"Adenylosuccinate",0.0919491163664305,0.515679715511118,0.76707252583253,"NS"
"Aminolevulinate",-0.0910953641253308,0.519599952451881,0.76707252583253,"NS"
"Guanosine",-0.0901562366601212,0.523929505054993,0.76707252583253,"NS"
"Lactate",-0.0890463587466917,0.529069452582602,0.76707252583253,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.0878511056091522,0.53463268317717,0.76707252583253,"NS"
"4-Pyridoxic Acid",-0.0877657303850422,0.535031157814959,0.76707252583253,"NS"
"Margaric Acid",-0.0875949799368223,0.535828545972931,0.76707252583253,"NS"
"Glutamic acid",0.0869119781439426,0.539023937071508,0.76707252583253,"NS"
"Xanthosine",-0.0858021002305131,0.544236275646086,0.768577946523099,"NS"
"Xanthurenic Acid",0.0834969691795441,0.555139537777779,0.778036473400676,"NS"
"Ergocalciferol",0.0821309655937847,0.561649575365834,0.781054239146013,"NS"
"Phosphotyrosine",-0.081277213352685,0.565736584030085,0.781054239146013,"NS"
"2-Hydroxyphenylacetate",0.0802527106633655,0.570659343675265,0.782014656147585,"NS"
"Threonine",-0.079142832749936,0.576014730439635,0.783549449495091,"NS"
"L-Kynurenine",-0.0771792025954068,0.58554602370061,0.790700834924181,"NS"
"1/3-Methylhistidine",-0.0725689404934688,0.608200327575758,0.807747927980436,"NS"
"Agmatine",-0.071971313924699,0.61116473597032,0.807747927980436,"NS"
"4-Guanidinobutanoate",0.0711175616835994,0.615410422990136,0.807747927980436,"NS"
"Creatine",0.0700076837701699,0.620948671150483,0.807747927980436,"NS"
"Xanthine",0.0700076837701699,0.620948671150483,0.807747927980436,"NS"
"Pyridoxamine",0.0693246819772902,0.624367317303796,0.807747927980436,"NS"
"gamma-Aminobutyrate",0.0679586783915308,0.631228316577943,0.810301751096429,"NS"
"Phenylalanine",-0.0671903013745411,0.635101372480985,0.810301751096429,"NS"
"Glutamine",-0.0657389225646717,0.64244377164372,0.814055464069097,"NS"
"Deoxyguanosine",0.0629215401690429,0.656794076860761,0.821808924279894,"NS"
"Serine",0.0619824127038333,0.66160547407696,0.821808924279894,"NS"
"Guanine",0.060531033893964,0.669068156977707,0.821808924279894,"NS"
"Betaine",0.0601895329975241,0.670828769633902,0.821808924279894,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.0596772816528643,0.673473001712425,0.821808924279894,"NS"
"Oxalacetate",0.0588235294117647,0.677888820515065,0.821808924279894,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",0.0584820285153249,0.67965819143148,0.821808924279894,"NS"
"Neopterin",-0.0478955007256894,0.735322047646948,0.865294982216323,"NS"
"N2,N2-Dimethylguanosine",0.0468709980363698,0.740787225795195,0.865294982216323,"NS"
"1-Methylnicotinamide",0.0463587466917101,0.743524636743489,0.865294982216323,"NS"
"Cadaverine",0.0460172457952702,0.74535134191443,0.865294982216323,"NS"
"Niacinamide",0.0455049944506104,0.748094023099165,0.865294982216323,"NS"
"Acetylcarnitine",-0.0451634935541706,0.749924212495415,0.865294982216323,"NS"
"Ornithine",-0.0440536156407411,0.755881790758447,0.865294982216323,"NS"
"Cholecalciferol",0.0440536156407411,0.755881790758449,0.865294982216323,"NS"
"N-Acetyl-Aspartate (NAA)",0.0437121147443012,0.75771776821105,0.865294982216323,"NS"
"3-Hydroxyisovaleric Acid",0.0424314863826517,0.764614513656693,0.867814018567412,"NS"
"Imidazoleacetic Acid",-0.0401263553316827,0.777074424784111,0.876577857225979,"NS"
"DHAP/D-GA3P",0.0367967215913942,0.7951707016636,0.887070588526337,"NS"
"3-(4-Hydroxyphenyl)Propionate",0.0363698454708444,0.797498768325352,0.887070588526337,"NS"
"1-Methyladenosine",0.0357722189020746,0.800761017750801,0.887070588526337,"NS"
"Ribulose 5-Phosphate",0.0340647144198753,0.810100285120294,0.892074718733657,"NS"
"N6-Trimethyllysine",-0.0309058311278067,0.827446864248286,0.905785028910846,"NS"
"Phenylacetic Acid",0.0293690770938274,0.835916139901456,0.909673446363349,"NS"
"Proline",0.0282591991803978,0.842044484050378,0.910983798534035,"NS"
"N-Ac-Phenylalanine",0.0244173140954495,0.863328065386012,0.925708926756164,"NS"
"6-Methyladenosine",0.0234781866302399,0.868546107273425,0.925708926756164,"NS"
"5'-Methylthioadenosine",0.0221975582685905,0.875670606390966,0.925708926756164,"NS"
"Phosphorylcholine",0.0221975582685905,0.875670606390966,0.925708926756164,"NS"
"N-AcetylGlycine",-0.0191240502006318,0.892808585013392,0.932597802682132,"NS"
"Tryptophan",-0.0189532997524118,0.893762205589944,0.932597802682132,"NS"
"Dimethylarginine (A/SDMA)",0.0176726713907624,0.900919053842543,0.932597802682132,"NS"
"Arabitol/Xylitol",-0.0174165457184325,0.902351387460009,0.932597802682132,"NS"
"L-2-Aminobutyric Acid",-0.0133185349611543,0.925307914813206,0.951010912446906,"NS"
"Methionine",-0.0103304021173056,0.942086547118594,0.96290613932011,"NS"
"Fructose",0.00887902330743618,0.950245697692197,0.965909088313496,"NS"
"Pipecolate",-0.00614701613591736,0.965617274347599,0.973308099801291,"NS"
"Linolenic Acid",-0.00554938956714761,0.968981667070309,0.973308099801291,"NS"
"Deoxycarnitine",-0.00478101255015794,0.973308099801291,0.973308099801291,"NS"
