"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG"
"Glutaric Acid",-0.319080869912947,0.0149779801337899,0.0379578948596047,"NS"
"Putrescine",0.316620012919499,0.015806109470066,0.0388495712261907,"NS"
"Alanine",-0.316066320095973,0.0159977760403546,0.0388495712261907,"NS"
"Histamine",-0.315820234396629,0.0160836009154857,0.0388495712261907,"NS"
"Glucose",0.315574148697284,0.0161698215373875,0.0388495712261907,"NS"
"Margaric Acid",-0.314405241625396,0.0165848189431402,0.0393357885189863,"NS"
"Myristic Acid",-0.313297855978344,0.016986384425694,0.0397782420095366,"NS"
"D-Leucic Acid",-0.307945492017595,0.019047074685015,0.0435751428759213,"NS"
"Spermidine",0.307207234919561,0.019347441733199,0.0435751428759213,"NS"
"Threonine",-0.30689962779538,0.0194737849640149,0.0435751428759213,"NS"
"Glucoronate",-0.306715063520871,0.0195499289659539,0.0435751428759213,"NS"
"Ethanolamine",-0.305915284998001,0.0198828342948496,0.0437895755303234,"NS"
"Adenosine",-0.304438770801932,0.0205101625134959,0.04463976547055,"NS"
"Adenine",-0.303762035128734,0.0208032863814074,0.0447512555879113,"NS"
"Anthranilic Acid",0.303146820880372,0.0210728563093647,0.0448100967497986,"NS"
"SAH",0.301239656710449,0.0219275297816198,0.045989240149707,"NS"
"N2,N2-Dimethylguanosine",0.300809006736596,0.0221245533693185,0.045989240149707,"NS"
"Tyrosine",-0.294349257128795,0.0252655878065877,0.051934819380208,"NS"
"Lactate",-0.290165800239934,0.0274950740501963,0.0554257671225167,"NS"
"Valine",-0.290042757390261,0.0275630841906569,0.0554257671225167,"NS"
"UDP-GlcNAc",0.288012550370667,0.0287059182429216,0.0571031706982849,"NS"
"betaAlanine",0.286412993324925,0.0296342290656112,0.058322684863171,"NS"
"Carnitine",0.282967793534098,0.0317197330742249,0.0613046807011104,"NS"
"IMP",0.282598664985081,0.0319503127368518,0.0613046807011104,"NS"
"Acetylcarnitine",0.2822910578609,0.0321435352865282,0.0613046807011104,"NS"
"Succinate",-0.277799993847858,0.0350780528363925,0.0662187732115572,"NS"
"AMP",0.270355901442677,0.0404337935501246,0.0755580990583136,"NS"
"Ribose-5-P",0.26174290196561,0.0474600958971903,0.08703001583368,"NS"
"FAD",-0.261681380540773,0.0475136843200091,0.08703001583368,"NS"
"Arabitol/Xylitol",0.259651173521179,0.0493102366648037,0.0894352331665558,"NS"
"S-Methylcysteine",-0.2550985880833,0.0535421905643728,0.0961680121787278,"NS"
"Pantothenate",-0.253560552462395,0.055037295778336,0.0979028819133862,"NS"
"Cholesteryl Sulfate",-0.239656710449414,0.070157028611395,0.123610002791506,"NS"
"Uracil",-0.238795410501707,0.0711937950740473,0.124253321591498,"NS"
"Uridine",0.237072810606294,0.0733042096331591,0.126740923197518,"NS"
"Lactose/Trehalose",-0.236334553508259,0.0742238778466169,0.127142753718742,"NS"
"Phosphotyrosine",0.235288689286044,0.0755425216434371,0.127575151866051,"NS"
"Lysine",0.235042603586699,0.0758554957041383,0.127575151866051,"NS"
"N-Acetyl-Aspartate (NAA)",-0.233381525116122,0.0779952576225189,0.129992096037532,"NS"
"3-Hydroxypropionic Acid",0.229321111076933,0.0834286282901987,0.137806216372203,"NS"
"Cystathionine",-0.218554861730598,0.0992946610581033,0.16208233759216,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.218185733181581,0.0998777647865203,0.16208233759216,"NS"
"NADH",-0.216032483312314,0.103332671876477,0.166230819975203,"NS"
"5,6-Dihydrouracil",0.206804269586884,0.119203080686193,0.190108361439188,"NS"
"Niacinamide",-0.205881448214341,0.120887722740723,0.191147253906272,"NS"
"N-Ac-Arginine",-0.198498877233997,0.135028530223922,0.211697271961234,"NS"
"N-Ac-Phenylalanine",-0.195976498815713,0.14013644125999,0.217859173387379,"NS"
"Inosine",-0.194930634593497,0.142296543940165,0.218539443876316,"NS"
"DHAP/D-GA3P",0.194623027469316,0.142936609238023,0.218539443876316,"NS"
"Cytidine",-0.189885877756929,0.153068783222972,0.232112499149588,"NS"
"NAD",0.187732627887662,0.157847333245381,0.237150527817002,"NS"
"ADP",0.187240456488972,0.158954948374639,0.237150527817002,"NS"
"Pipecolate",0.181703528253714,0.171815075145334,0.252700117309007,"NS"
"2-Aminoisobutyric Acid",-0.181580485404042,0.172109269086135,0.252700117309007,"NS"
"N-Ac-L-Glutamine",0.180596142606663,0.174476121156291,0.254158129243415,"NS"
"Histidine",0.177212464240672,0.182793679727051,0.264193990230503,"NS"
