"COMPOUND","deltaPC1_R_spearman","deltaPC1_p","deltaPC1_adj","sig_deltaPC1"
"G6P",0.547290640394089,0.00247351857829056,0.0064450836194895,"SIG"
"4-Guanidinobutanoate",0.535467980295566,0.00316525033658004,0.0081329348926015,"SIG"
"Asparagine",0.533497536945813,0.0032954278032036,0.00835142662455708,"SIG"
"N-AcetylGlycine",-0.530541871921182,0.00349934521975747,0.00874836304939369,"SIG"
"Histidine",0.526600985221675,0.00378809008037995,0.00934395553160387,"SIG"
"Trigonelline",-0.525615763546798,0.00386340119906497,0.009404331866145,"SIG"
"Uracil",0.522167487684729,0.00413723053405294,0.00990859936426897,"SIG"
"4-Hydroxybenzoic Acid",0.521674876847291,0.00417767973196205,0.00990859936426897,"SIG"
"Creatine",-0.510837438423645,0.00515772962709329,0.0120782276077501,"NS"
"Valine",0.50295566502463,0.00598876028724423,0.0138490081642523,"NS"
"N-Ac-L-Glutamine",0.500985221674877,0.00621356032352671,0.0141914649364499,"NS"
"Threonine",0.472413793103448,0.0103778996040517,0.0234135539847507,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.466009852216749,0.0115812299250984,0.0258135847728096,"NS"
"Tyrosine",-0.463054187192118,0.0121751391374211,0.026814294528844,"NS"
"Lactose/Trehalose",0.447783251231527,0.0156687120977196,0.0341024910362132,"NS"
"Putrescine",0.436945812807882,0.0186278117679956,0.0400714555474324,"NS"
"Alpha-Ketoglutaric Acid",0.433990147783251,0.0195112050151282,0.0410178741795309,"NS"
"Phosphorylcholine",0.433990147783251,0.0195112050151282,0.0410178741795309,"NS"
"L-Kynurenine",0.429556650246305,0.0209014953544441,0.0434469285457546,"NS"
"Guanine",-0.422660098522167,0.023227109719376,0.0477446144231618,"NS"
"Cytidine",0.420689655172414,0.0239295843101703,0.0486480560151813,"NS"
"2-Hydroxyglutarate",0.411330049261084,0.0275105737221496,0.05532017541954,"NS"
"Xanthine",-0.408374384236453,0.028728973971853,0.0571490342450839,"NS"
"NADH",0.407389162561576,0.0291448238543379,0.0573594937558778,"NS"
"6-Methyladenosine",0.403940886699507,0.0306393955191506,0.0596661912741353,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.40295566502463,0.0310777637622545,0.0598894405835112,"NS"
"UMP",0.397536945812808,0.0335815270118216,0.0640472422390413,"NS"
"S-Methylcysteine",-0.368965517241379,0.0496440556236871,0.0936439224103061,"NS"
"Dimethylglycine",0.367980295566502,0.050291890696596,0.0936439224103061,"NS"
"Serine",-0.367487684729064,0.0506183364380033,0.0936439224103061,"NS"
"cGMP",0.343349753694581,0.0688065225083145,0.126031749148893,"NS"
"Glycine",-0.336945812807882,0.0744043889160833,0.134949136759563,"NS"
"Arabitol/Xylitol",0.320197044334975,0.0907311071154687,0.162963638993803,"NS"
"Deoxycarnitine",0.314778325123153,0.0965642111147447,0.171772875540652,"NS"
"Aspartic Acid",-0.307389162561576,0.10497543732455,0.184956722905159,"NS"
"Homocitrulline",0.302955665024631,0.110282512074913,0.191716148921547,"NS"
"Cholesteryl Sulfate",-0.302463054187192,0.110884475322192,0.191716148921547,"NS"
"5-Methylcytidine",0.292118226600985,0.124106599125896,0.210146043731528,"NS"
"Sedoheptulose 7-Phosphate",0.292118226600985,0.124106599125896,0.210146043731528,"NS"
"ADP",0.291133004926108,0.125424683243619,0.210146043731528,"NS"
"Ethanolamine",0.29064039408867,0.126087626238917,0.210146043731528,"NS"
"L-2-Aminobutyric Acid",0.289655172413793,0.127421340257809,0.210472749532988,"NS"
"3-Aminoisobutyrate",0.288669950738916,0.128765526340217,0.210810817459647,"NS"
"5'-Methylthioadenosine",0.282758620689655,0.137052856815293,0.222410337814291,"NS"
"Ornithine",-0.279802955665025,0.141341189363994,0.227374956802947,"NS"
"Deoxyguanosine",-0.276354679802956,0.14646800651693,0.233591217289931,"NS"
"betaAlanine",0.272906403940887,0.151729665969786,0.239914429097525,"NS"
"5,6-Dihydrouracil",0.27192118226601,0.153257988160505,0.240277354319435,"NS"
"Orotate",0.268965517241379,0.157910143546939,0.245490559295661,"NS"
"Pantothenate",0.267980295566502,0.15948337728765,0.245870206651794,"NS"
"Pseudouridine",-0.258128078817734,0.175843704452061,0.268851944823399,"NS"
"o-Phosphoethanolamine",0.252216748768473,0.186216798205718,0.281411096663538,"NS"
"Linolenic Acid",0.251724137931034,0.187100350754677,0.281411096663538,"NS"
"Spermidine",0.237931034482759,0.213053666370455,0.317862324826888,"NS"
"Acetylcholine",0.235960591133005,0.216954823261581,0.321093138427141,"NS"
"Sarcosine",-0.227586206896552,0.234082532737983,0.343692607591483,"NS"
"Neopterin",-0.224630541871921,0.240340792434898,0.347367551566063,"NS"
"Xanthurenic Acid",-0.224630541871921,0.240340792434898,0.347367551566063,"NS"
"N-Acetyl-Aspartate (NAA)",-0.223152709359606,0.243511873742476,0.349222454591923,"NS"
"Phosphoserine",0.222167487684729,0.24564149898306,0.349566748552816,"NS"
"3-Hydroxypropionic Acid",0.217733990147783,0.255379347340621,0.359456360114488,"NS"
"Carnosine",0.217241379310345,0.256476970460067,0.359456360114488,"NS"
"Glycerol-3-P",0.210837438423645,0.271031622686267,0.375761527565794,"NS"
"N-Ac-Phenylalanine",-0.210344827586207,0.27217321456117,0.375761527565794,"NS"
"Adenylosuccinate",0.207881773399015,0.277928408585753,0.380864856210106,"NS"
"Kynurenic Acid",-0.204433497536946,0.286118055397008,0.389204707709165,"NS"
"Hypoxanthine",0.202463054187192,0.290867250120558,0.392776943593454,"NS"
"Phosphotyrosine",0.198522167487685,0.300517127944827,0.400341532648313,"NS"
"Ribose-5-P",0.198029556650246,0.301737565887549,0.400341532648313,"NS"
"Pipecolate",0.197536945812808,0.302961159841966,0.400341532648313,"NS"
"Fructose",0.188669950738916,0.325525121932033,0.427107429485291,"NS"
"Succinate",-0.186206896551724,0.331973942366698,0.432501262942529,"NS"
"Lysine",0.183251231527094,0.339816143189293,0.436569350625134,"NS"
"Alanine",-0.183251231527094,0.339816143189294,0.436569350625134,"NS"
"Myristic Acid",0.169458128078818,0.377898318784531,0.48062406090251,"NS"
"Adenine",-0.168965517241379,0.379303312928467,0.48062406090251,"NS"
"Citrulline",-0.167980295566502,0.382122522068854,0.480902493760123,"NS"
"2-Aminoadipate",-0.166995073891626,0.384954007783862,0.481192509729828,"NS"
"NAD",0.166009852216749,0.387797747993003,0.481493848179232,"NS"
"Proline",-0.155665024630542,0.418390740698334,0.514423345095166,"NS"
"Inosine",0.155172413793103,0.419880676266865,0.514423345095166,"NS"
"Niacinamide",-0.15320197044335,0.425870217827837,0.51832888354046,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",-0.145812807881773,0.448751753299063,0.542608329152461,"NS"
"4-Pyridoxic Acid",-0.142857142857143,0.458088089083265,0.55030062649613,"NS"
"Linoleic Acid",-0.139901477832512,0.467527881940458,0.558017149412804,"NS"
"Glutamic acid",0.131527093596059,0.494825982410684,0.583075202203672,"NS"
"iso-Leucine /allo-isoLeucine",0.131527093596059,0.494825982410684,0.583075202203672,"NS"
"Glucoronate",0.124630541871921,0.51790436789461,0.606407013041157,"NS"
"Anthranilic Acid",-0.121674876847291,0.527955814629973,0.614288211990848,"NS"
"Lactate",0.114285714285714,0.553494054661437,0.639977500702287,"NS"
"N2,N2-Dimethylguanosine",0.111822660098522,0.56213377409585,0.645930113091505,"NS"
"Reduced Glutathione",0.110344827586207,0.567347400975259,0.647896723335944,"NS"
"Hypotaurine",0.107881773399015,0.576085774444879,0.651832528873882,"NS"
"Sorbitol",-0.107389162561576,0.577840728299009,0.651832528873882,"NS"
"2-Aminoisobutyric Acid",0.105911330049261,0.583120005770117,0.653801218590737,"NS"
"Allantoin",-0.102463054187192,0.595521377258589,0.663683462607463,"NS"
"Guanosine",-0.0950738916256157,0.622475863543717,0.689569070392741,"NS"
"Dimethylarginine (A/SDMA)",0.0911330049261083,0.637055595573333,0.701519554649206,"NS"
"Acetylcarnitine",-0.0881773399014778,0.648079889686106,0.709280539834698,"NS"
"UDP-Glucose",0.087192118226601,0.651771306875128,0.709280539834698,"NS"
"Cystine",0.0857142857142857,0.657323785713767,0.711139768169865,"NS"
"N-Ac-Alanine",0.0655172413793103,0.734918043779435,0.790464174995323,"NS"
"Glutamine",-0.0630541871921182,0.744579583264271,0.793710155693838,"NS"
"Pyroglutamic Acid",0.0625615763546798,0.746516578868799,0.793710155693838,"NS"
"Riboflavin",0.0566502463054187,0.76987724444829,0.813870229845335,"NS"
"Oxidized Glutathione",-0.0527093596059113,0.78556446254999,0.825735372566751,"NS"
"Xanthosine",0.0443349753694581,0.819171186578995,0.856195872978046,"NS"
"GMP",0.0428571428571429,0.825136836390498,0.857586037821585,"NS"
"Nicotinic Acid",0.0374384236453202,0.847091423357364,0.872679133083861,"NS"
"7-Methylguanine",0.0369458128078818,0.849093210568081,0.872679133083861,"NS"
"DHAP/D-GA3P",0.0354679802955665,0.855104125521125,0.874001454261924,"NS"
"Carnitine",-0.0295566502463054,0.879225235134494,0.893717958790557,"NS"
"AMP",0.0157635467980296,0.935890685406112,0.946118998907818,"NS"
"IMP",0.00935960591133005,0.96232299587074,0.967553012152646,"NS"
"Ribulose 5-Phosphate",0.00541871921182266,0.978610584247344,0.978610584247344,"NS"
