"COMPOUND","deltaPC2_R_spearman","deltaPC2_p","deltaPC2_adj","sig_deltaPC2"
"PEP",-0.666995073891625,0.000114432515622706,0.0211700153902006,"NS"
"Pyruvate",-0.629556650246305,0.000341649880961955,0.0278231136281432,"NS"
"3-Hydroxyisovaleric Acid",0.619211822660098,0.000451185626402322,0.0278231136281432,"NS"
"D-Leucic Acid",0.601477832512315,0.000711370049727057,0.0313539544417025,"NS"
"Histidine",-0.586699507389162,0.0010199725721516,0.0313539544417025,"NS"
"Choline",0.584729064039409,0.00106885544649244,0.0313539544417025,"NS"
"Glutaric Acid",0.580295566502463,0.00118636584374009,0.0313539544417025,"NS"
"Hydrocinnamic Acid",0.573891625615763,0.00137590764182764,0.0318178642172641,"NS"
"Thiamine",-0.555665024630542,0.0020665285049409,0.0424786414904518,"NS"
"Maleic Acid",0.532019704433497,0.00339606708984016,0.0544410328673176,"NS"
"S-Adenosylmethionine (SAM)",-0.527586206896552,0.00371404646024812,0.0544410328673176,"NS"
"Glycine",0.526600985221675,0.00378809008037995,0.0544410328673176,"NS"
"Agmatine",-0.526108374384236,0.00382558609337907,0.0544410328673176,"NS"
"Glycerophosphocholine",-0.504433497536946,0.00582475922311199,0.0690675364854298,"NS"
"Argininosuccinate",-0.500492610837438,0.00627087413701375,0.0690675364854298,"NS"
"Alpha-Ketoglutaric Acid",-0.495566502463054,0.00686930803420592,0.0690675364854298,"NS"
"Glyceraldehyde",-0.494088669950739,0.00705807413973795,0.0690675364854298,"NS"
"Glucosamine",-0.492610837438424,0.00725124672771969,0.0690675364854298,"NS"
"Phenylacetic Acid",0.489655172413793,0.00765114261505057,0.0690675364854298,"NS"
"Ergocalciferol",0.489162561576355,0.00771958479175352,0.0690675364854298,"NS"
"Betaine",0.488177339901478,0.00785803423816526,0.0690675364854298,"NS"
"Cholecalciferol",0.485714285714286,0.0082134367712403,0.0690675364854298,"NS"
"4-Hydroxybenzoic Acid",-0.478817733990148,0.00928212930290511,0.0741235062247352,"NS"
"Homoarginine",-0.47487684729064,0.00994415434945257,0.0741235062247352,"NS"
"2-Hydroxyphenylacetate",0.473399014778325,0.0102025180273221,0.0741235062247352,"NS"
"Urate",0.471428571428571,0.0105558262247341,0.0741235062247352,"NS"
"3HBA",0.469458128078818,0.0109194315007722,0.0741235062247352,"NS"
"Erythrose-4-Phosphate",-0.467487684729064,0.0112935698607697,0.0741235062247352,"NS"
"N-AcetylGlycine",0.460098522167488,0.0127945291434434,0.0741235062247352,"NS"
"Azelaic Acid",0.459113300492611,0.0130068012810498,0.0741235062247352,"NS"
"Adipic Acid / 3-Methylglutaric Acid",0.458620689655172,0.0131140443791744,0.0741235062247352,"NS"
"Biopterin",0.458128078817734,0.0132220308400879,0.0741235062247352,"NS"
"Retinol",0.458128078817734,0.0132220308400879,0.0741235062247352,"NS"
"1/3-Methylhistidine",-0.449261083743842,0.015297556559058,0.0832367048066392,"NS"
"Pyridoxamine",0.44679802955665,0.0159203172618884,0.0841502483842671,"NS"
"Suberic Acid",0.441379310344828,0.0173654118724,0.0892389221220555,"NS"
"Imidazoleacetic Acid",-0.43448275862069,0.0193615970957283,0.0968079854786413,"NS"
"N-Ac-L-Glutamine",-0.429556650246305,0.0209014953544441,0.101757280015057,"NS"
"Sorbitol",0.422167487684729,0.0234011073595904,0.111005252859596,"NS"
"G1P/F1P/F6P",-0.419704433497537,0.0242873557346334,0.112329020272679,"NS"
"Adenylosuccinate",-0.417241379310345,0.0252011655613833,0.113712576313559,"NS"
"3-Methyl-3-Hydroxyglutaric Acid",-0.415270935960591,0.0259524840004452,0.114314512859104,"NS"
"Glucose",-0.407881773399015,0.028936285447979,0.124493321113398,"NS"
"Citraconic Acid",0.405418719211823,0.0299913534739248,0.126100008924457,"NS"
"DCDP",-0.399014778325123,0.0328828993463087,0.135056141243196,"NS"
"Hypotaurine",-0.397536945812808,0.0335815270118217,0.135056141243196,"NS"
"G6P",-0.391625615763547,0.0364982262350908,0.143601250252424,"NS"
"NAD",-0.390147783251231,0.0372587027681966,0.143601250252424,"NS"
"Cadaverine",0.386206896551724,0.0393497574009521,0.148565410595432,"NS"
"Oxalacetate",0.382266009852217,0.0415349340947143,0.153679256150443,"NS"
"1-Methylnicotinamide",0.378817733990148,0.043526492595509,0.156202928325553,"NS"
"Pipecolate",-0.376354679802956,0.0449956421633008,0.156202928325553,"NS"
"SAH",-0.375862068965517,0.0452942088954507,0.156202928325553,"NS"
"Guanine",0.375369458128079,0.0455943682679993,0.156202928325553,"NS"
"Palmitic Acid",0.372906403940887,0.0471192608909811,0.156985301576227,"NS"
"GMP",-0.37192118226601,0.0477405728232293,0.156985301576227,"NS"
"Succinylcarnitine",-0.370935960591133,0.048368444269432,0.156985301576227,"NS"
"Phosphoserine",-0.368965517241379,0.0496440556236871,0.158347418799692,"NS"
"UDP-GlcNAc",-0.364532019704433,0.0526127821110523,0.164972282890588,"NS"
"2-isoPropylmalic Acid",0.361083743842364,0.055018411769539,0.169640102956078,"NS"
"Trigonelline",0.359605911330049,0.0560758467193642,0.170066092509547,"NS"
"N6-Acetyl-Lysine",-0.355665024630542,0.0589748535027447,0.17262194629114,"NS"
"L-2-Aminobutyric Acid",-0.355172413793103,0.0593454360638324,0.17262194629114,"NS"
"Niacinamide",0.354679802955665,0.0597178625007187,0.17262194629114,"NS"
"NADH",-0.340394088669951,0.0713475680832471,0.203066155313857,"NS"
"o-Phosphoethanolamine",-0.335467980295566,0.075745357334716,0.212316531923068,"NS"
"Taurine",0.333497536945813,0.0775625523384437,0.214165256456897,"NS"
"Histamine",0.330049261083744,0.080824129020785,0.214860667219672,"NS"
"Serine",0.330049261083744,0.080824129020785,0.214860667219672,"NS"
"Margaric Acid",0.329556650246305,0.0812986308398759,0.214860667219672,"NS"
"Aminolevulinate",-0.327586206896552,0.0832182839155847,0.216836373582862,"NS"
"5,6-Dihydrouracil",-0.324137931034483,0.0866619341081987,0.222673025139122,"NS"
"ADP",-0.320197044334975,0.0907311071154688,0.229934997484407,"NS"
"Arginine",0.31871921182266,0.0922943658395321,0.23025833755788,"NS"
"Aspartic Acid",0.317733990147783,0.0933479746856269,0.23025833755788,"NS"
"IMP",-0.310344827586207,0.101546630889657,0.247185877823507,"NS"
"Uridine",-0.307881773399015,0.104397947668959,0.25082623790594,"NS"
"Uracil",-0.303940886699507,0.109085997699437,0.258729609928152,"NS"
"Methionine",-0.3,0.113931574136717,0.26680178753535,"NS"
"2-Hydroxyisobutyrate/2-Hydroxybutyrate",0.296551724137931,0.118302905295567,0.273102642151243,"NS"
"Fructose",-0.295566502463054,0.119574670347301,0.273102642151243,"NS"
"Dimethylglycine",-0.294088669950739,0.121501490952408,0.274119217392628,"NS"
"Phenylalanine",-0.291133004926108,0.125424683243618,0.279561040964691,"NS"
"Creatine",0.289655172413793,0.127421340257809,0.28063033271065,"NS"
"4-Guanidinobutanoate",-0.28423645320197,0.134945059694259,0.290288791202766,"NS"
"Valine",-0.28423645320197,0.134945059694259,0.290288791202766,"NS"
"Carnosine",-0.282266009852217,0.137760827417107,0.292939690484653,"NS"
"AMP",-0.280295566502463,0.140619699442623,0.295620959055514,"NS"
"Guanosine",0.266995073891626,0.161067927299061,0.333238664928621,"NS"
"L-Kynurenine",-0.265024630541872,0.164271114354395,0.333238664928621,"NS"
"n-Glycylproline",-0.265024630541872,0.164271114354395,0.333238664928621,"NS"
"Reduced Glutathione",-0.263546798029557,0.166703464886958,0.333238664928621,"NS"
"Indole-2-Carboxylic Acid",0.263054187192118,0.167519977504658,0.333238664928621,"NS"
"N6-Trimethyllysine",-0.259113300492611,0.174155793387875,0.34050025699231,"NS"
"Phosphorylcholine",-0.258620689655172,0.174998295127917,0.34050025699231,"NS"
"3-Aminoisobutyrate",-0.257635467980296,0.176692025250063,0.34050025699231,"NS"
"Sedoheptulose 7-Phosphate",-0.25320197044335,0.184458557950726,0.351802404339013,"NS"
"3-(4-Hydroxyphenyl)Propionate",0.250246305418719,0.189768780609041,0.358236983802781,"NS"
"1-Methyladenosine",0.248275862068965,0.193368285309395,0.359191661621617,"NS"
"N-Ac-Alanine",-0.24679802955665,0.19609923147991,0.359191661621617,"NS"
"Tryptophan",-0.24679802955665,0.19609923147991,0.359191661621617,"NS"
"Nicotinic Acid",0.242857142857143,0.203513710399631,0.369118004156194,"NS"
"Pyroglutamic Acid",-0.235467980295566,0.217937751487415,0.391441592477396,"NS"
"Xanthine",0.231527093596059,0.225911576945411,0.401861939758663,"NS"
"cAMP",-0.229064039408867,0.230995249348276,0.406991629804106,"NS"
"5-Methylcytidine",-0.226600985221675,0.236156206994159,0.412159417867165,"NS"
"Phosphotyrosine",-0.223645320197044,0.242451734189041,0.419192250700679,"NS"
"Deoxyguanosine",0.221182266009852,0.247783597038426,0.424444124556564,"NS"
"Putrescine",-0.217241379310345,0.256476970460067,0.435304949863417,"NS"
"Adenosine",0.214285714285714,0.263128549299924,0.442534378368055,"NS"
"2-Aminoisobutyric Acid",-0.20935960591133,0.274465843009522,0.457443071682537,"NS"
"Cystine",0.205911330049261,0.28258928604738,0.466776945703261,"NS"
"Xanthosine",0.202463054187192,0.290867250120558,0.475638118667821,"NS"
"Cystathionine",-0.200985221674877,0.294462282155913,0.475638118667821,"NS"
"Pantothenate",-0.200492610837438,0.295666938631348,0.475638118667821,"NS"
"Glutamic acid",0.196059113300493,0.306650875710332,0.486830016390227,"NS"
"Linolenic Acid",-0.195566502463054,0.307887091446792,0.486830016390227,"NS"
"Asparagine",-0.191133004926108,0.319154938763232,0.495570416252496,"NS"
"Glucoronate",-0.190147783251231,0.321693568311834,0.495570416252496,"NS"
"Indole-3-Carboxylic Acid",0.188669950738916,0.325525121932033,0.495570416252496,"NS"
"Cysteinyl-Glycine (Cys-Gly)",-0.188177339901478,0.32680859882597,0.495570416252496,"NS"
"N-Ac-Arginine",-0.188177339901478,0.32680859882597,0.495570416252496,"NS"
"betaAlanine",-0.185221674876847,0.334575460721437,0.503223253930617,"NS"
"N-Ac-Phenylalanine",0.178817733990148,0.351790797079861,0.524639543231421,"NS"
"Lactate",0.177832512315271,0.354486177859068,0.524639543231421,"NS"
"Sucrose",0.172906403940887,0.368149659507112,0.533792687789264,"NS"
"3-Hydroxypropionic Acid",-0.172413793103448,0.36953306151475,0.533792687789264,"NS"
"gamma-Aminobutyrate",-0.172413793103448,0.36953306151475,0.533792687789264,"NS"
"Lactose/Trehalose",-0.170443349753695,0.375097564392456,0.533792687789264,"NS"
"Leucine /D-Norleucine",-0.170443349753695,0.375097564392456,0.533792687789264,"NS"
"2'-Deoxycytidine",-0.165024630541872,0.390653719922394,0.551686551035442,"NS"
"FAD",0.161576354679803,0.400745601377239,0.559450355896001,"NS"
"UDP-Glucose",0.161083743842365,0.402199445049557,0.559450355896001,"NS"
"Threonine",-0.157635467980296,0.412460912532079,0.569442304615183,"NS"
"Cholesteryl Sulfate",0.153694581280788,0.424368370374186,0.579308752192278,"NS"
"Sarcosine",0.15320197044335,0.425870217827837,0.579308752192278,"NS"
"Ribulose 5-Phosphate",0.148768472906404,0.439519913581471,0.59351229206257,"NS"
"Myristic Acid",-0.146305418719212,0.447205829441653,0.599515061208014,"NS"
"Ethanolamine",0.144827586206897,0.451852304699748,0.601202996065662,"NS"
"Allantoin",0.14384236453202,0.454964429455096,0.601202996065662,"NS"
"Kynurenic Acid",0.134975369458128,0.483487774149444,0.634363391614519,"NS"
"UMP",-0.131034482758621,0.496456768700115,0.644382553202174,"NS"
"Neopterin",0.130541871921182,0.4980902978806,0.644382553202174,"NS"
"Ornithine",0.120689655172414,0.531327342021308,0.682608043569041,"NS"
"Carnitine",0.11871921182266,0.538101638220563,0.683284388465751,"NS"
"Orotate",-0.117733990147783,0.541504295939424,0.683284388465751,"NS"
"cGMP",-0.116748768472906,0.544917218245615,0.683284388465751,"NS"
"N2,N2-Dimethylguanosine",-0.116256157635468,0.546627510772601,0.683284388465751,"NS"
"6-Methyladenosine",0.112315270935961,0.560400844167811,0.69579970584594,"NS"
"Spermidine",-0.108374384236453,0.574333236494019,0.707950561161038,"NS"
"Acetylcarnitine",-0.107389162561576,0.577840728299009,0.707950561161038,"NS"
"Deoxycarnitine",-0.104433497536946,0.588420738489324,0.716169977766611,"NS"
"N-Acetyl-Aspartate (NAA)",0.100985221674877,0.600871313540664,0.726543745130868,"NS"
"Anthranilic Acid",-0.0980295566502463,0.611633091600749,0.733895857524599,"NS"
"7-Methylguanine",-0.096551724137931,0.617044470857061,0.733895857524599,"NS"
