"COMPOUND","deltaTAG_R_spearman","deltaTAG_p","deltaTAG_adj","sig_deltaTAG"
"Sucrose",-0.358620689655172,0.0567897407461308,0.140081360507123,"NS"
"1-Methyladenosine",-0.352216748768473,0.0616078647848235,0.149966512963057,"NS"
"Anthranilic Acid",-0.347783251231527,0.065128832849123,0.156478364637503,"NS"
"Asparagine",0.345320197044335,0.0671523621712781,0.159271628226749,"NS"
"Creatine",-0.340886699507389,0.0709190312379837,0.166076212392747,"NS"
"Methionine",0.336945812807882,0.0744043889160833,0.172060149368443,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.331034482758621,0.0798815771466853,0.182445577433787,"NS"
"Ribose-5-P",0.324137931034483,0.0866619341081987,0.195517778170936,"NS"
"Dimethylarginine (A/SDMA)",0.31871921182266,0.0922943658395321,0.205716357594138,"NS"
"Cysteinyl-Glycine (Cys-Gly)",0.309852216748768,0.102112095698541,0.224889734574168,"NS"
"Ribulose 5-Phosphate",0.295566502463054,0.119574670347301,0.259982336806104,"NS"
"NADH",0.294581280788177,0.120856653866621,0.259982336806104,"NS"
"Erythrose-4-Phosphate",0.288669950738916,0.128765526340217,0.272121460009144,"NS"
"Cytidine",0.288177339901478,0.129441559355701,0.272121460009144,"NS"
"Adenine",-0.284729064039409,0.13424781560518,0.279054448168071,"NS"
"Serine",-0.275369458128079,0.147957507852905,0.304134877253194,"NS"
"AMP",-0.264532019704433,0.165079037481581,0.329693572748529,"NS"
"Thiamine",0.264039408866995,0.165889819598599,0.329693572748529,"NS"
"UDP-GlcNAc",0.263546798029557,0.166703464886958,0.329693572748529,"NS"
"Aspartic Acid",-0.263054187192118,0.167519977504658,0.329693572748529,"NS"
"Deoxycarnitine",0.258620689655172,0.174998295127917,0.34050025699231,"NS"
"Cholesteryl Sulfate",-0.257635467980296,0.176692025250063,0.34050025699231,"NS"
"Alanine",-0.24679802955665,0.19609923147991,0.374003688904983,"NS"
"D-Leucic Acid",-0.244827586206897,0.199782419355505,0.375065495472064,"NS"
"cAMP",0.244334975369458,0.200710724603969,0.375065495472064,"NS"
"3HBA",-0.242364532019704,0.204454072583196,0.376223064074833,"NS"
"N-AcetylGlycine",-0.241871921182266,0.205397456603017,0.376223064074833,"NS"
"Trigonelline",-0.238423645320197,0.212086002843335,0.38244861244812,"NS"
"Histidine",0.23743842364532,0.214024377483202,0.38244861244812,"NS"
"Lactose/Trehalose",0.236945812807882,0.214998138889754,0.38244861244812,"NS"
"G1P/F1P/F6P",0.232019704433498,0.224904092541885,0.396259591621417,"NS"
"Argininosuccinate",0.230541871921182,0.22793578904462,0.397812462011837,"NS"
"Glutamic acid",0.229064039408867,0.230995249348276,0.399384309620852,"NS"
"Lysine",0.224137931034483,0.241394707683434,0.413500193716994,"NS"
"Homocitrulline",0.218226600985222,0.25428485603125,0.431584388676892,"NS"
"3-Hydroxypropionic Acid",0.213793103448276,0.264248130384881,0.444161196619054,"NS"
"Uracil",0.212807881773399,0.266496717971432,0.444161196619054,"NS"
"Oxidized Glutathione",-0.20935960591133,0.274465843009522,0.453358758542514,"NS"
"N-Acetyl-Aspartate (NAA)",-0.205911330049261,0.28258928604738,0.462646176272259,"NS"
"DHAP/D-GA3P",0.196551724137931,0.305417814999768,0.48905527591734,"NS"
"G6P",0.196551724137931,0.305417814999768,0.48905527591734,"NS"
"Ornithine",-0.196059113300493,0.306650875710332,0.48905527591734,"NS"
"Reduced Glutathione",-0.193103448275862,0.314115481980574,0.4966783262086,"NS"
"UMP",0.19064039408867,0.320422679042146,0.500111849896548,"NS"
"3-Aminoisobutyrate",0.190147783251231,0.321693568311834,0.500111849896548,"NS"
"Spermidine",0.183251231527094,0.339816143189293,0.52388322075016,"NS"
"Pyruvate",0.179802955665025,0.349107890302786,0.533759997570376,"NS"
"Phosphoserine",0.172906403940887,0.368149659507112,0.558259729580457,"NS"
"Proline",-0.170443349753695,0.375097564392456,0.564171133435807,"NS"
"5-Methylcytidine",0.165024630541872,0.390653719922394,0.582830146658411,"NS"
