"COMPOUND","mass_R_spearman","mass_p","mass_adj","sig_mass"
"Margaric Acid",-0.349292408238184,0.0111471549059612,0.0281272175760271,"NS"
"2-Hydroxyphenylacetate",-0.348566672361864,0.0113278096140373,0.0281272175760271,"NS"
"Deoxycarnitine",0.348267839942203,0.0114029260443353,0.0281272175760271,"NS"
"AMP",0.346218703350241,0.0119296508639455,0.0289591352194621,"NS"
"3HBA",-0.345749109547916,0.0120532616859383,0.0289591352194621,"NS"
"Threonine",-0.342760785351305,0.0128659556852066,0.0305154077149131,"NS"
"Neopterin",-0.337082969377744,0.0145400858635793,0.0336546144212367,"NS"
"D-Leucic Acid",-0.337040279032078,0.014553346776751,0.0336546144212367,"NS"
"Glutaric Acid",-0.332728554119825,0.0159470526718228,0.0362703496442664,"NS"
"Nicotinic Acid",-0.332344341008832,0.0160765874098911,0.0362703496442664,"NS"
"Ribulose 5-Phosphate",0.329484087849218,0.0170693837687274,0.0380462168339104,"NS"
"Methionine",0.326495763652607,0.0181618662691355,0.0399993483308342,"NS"
"Azelaic Acid",-0.322653632542678,0.0196532175231693,0.0424813308420479,"NS"
"Adenine",-0.321629064246697,0.0200679879573992,0.0424813308420479,"NS"
"iso-Leucine /allo-isoLeucine",-0.321629064246697,0.0200679879573992,0.0424813308420479,"NS"
"UDP-GlcNAc",0.32077525733338,0.0204192650813843,0.0424813308420479,"NS"
"Suberic Acid",-0.320732566987714,0.0204369645672555,0.0424813308420479,"NS"
"2-Aminoisobutyric Acid",-0.319964140765728,0.0207577805393115,0.0426687711085848,"NS"
"IMP",0.31932378558074,0.0210283686928707,0.0427499803096823,"NS"
"Sedoheptulose 7-Phosphate",0.31518282205115,0.0228510784639,0.045950538215451,"NS"
"NAD",0.314414395829165,0.0232035447231289,0.0461575889653639,"NS"
"SAH",0.311468761978219,0.0245973545481619,0.0484096871426591,"NS"
"Adipic Acid / 3-Methylglutaric Acid",-0.300369272105092,0.0304970900035985,0.0593890700070076,"NS"
"Allantoin",-0.294008410600877,0.0343795531687804,0.0662522639190038,"NS"
"Carnitine",0.2927277002309,0.0352087915200354,0.067150787950583,"NS"
"5,6-Dihydrouracil",0.292001964354581,0.0356859942625194,0.0673664177404704,"NS"
"n-Glycylproline",0.289141711194967,0.0376191105412872,0.0702983378801831,"NS"
"Citraconic Acid",-0.282866230382083,0.0421640769360306,0.0774688035953149,"NS"
"Riboflavin",-0.28269546899942,0.0422937792601449,0.0774688035953149,"NS"
"Histidine",0.280603642061792,0.0439093555321764,0.0793485804656664,"NS"
"N-Ac-Arginine",-0.280262119296465,0.0441778583133169,0.0793485804656664,"NS"
"ADP",0.26924801011467,0.0535835748331785,0.0953169360013272,"NS"
"FAD",-0.263228671375781,0.0593722462034659,0.104608243310869,"NS"
"isoValeric Acid /3-Oxobutanoic Acid/4-Oxobutanoic Acid",0.261435676857815,0.0611905553850869,0.106794837228689,"NS"
"Uracil",-0.25558709950159,0.0674344598780361,0.116592290443333,"NS"
"Anthranilic Acid",0.25413562774895,0.0690602128408749,0.118297586810758,"NS"
"Phosphotyrosine",0.249866593182363,0.0740233381458884,0.125635940889811,"NS"
"N-Acetyl-Aspartate (NAA)",-0.247006340022749,0.0775038654233987,0.130347410030261,"NS"
"Cystathionine",-0.245939081381102,0.0788352016043661,0.131392002673943,"NS"
"Glutamic acid",-0.244274157900133,0.0809480328143989,0.132615184358501,"NS"
"Ornithine",0.244231467554467,0.0810027882838409,0.132615184358501,"NS"
"Xanthurenic Acid",0.240517407481536,0.0858791679177522,0.139365316357756,"NS"
"Adenosine",-0.235693398421292,0.0925527646983644,0.148889230166934,"NS"
"N2,N2-Dimethylguanosine",0.232961216298676,0.0965076942280399,0.153913133036098,"NS"
