"KEGG.id","Entry.type","KEGG.name","p.score"
"R02080","reaction","3,4-dihydroxy-L-phenylalanine carboxy-lyase",0.00369064774381373
"R02155","reaction","S-adenosyl-L-methionine:histamine N-tele-meth...",0.00069092066957792
"R02173","reaction","tryptamine:oxygen oxidoreductase(deaminating)",0.00609042940320233
"R02174","reaction","S-adenosyl-L-methionine:amine N-methyltransfe...",0.00149084788937405
"R02220","reaction","sinapoyl aldehyde:NADP+ oxidoreductase (CoA-s...",0.0128898107714702
"R02276","reaction","5-acetamidopentanoate amidohydrolase",0.0121898744541485
"R02379","reaction","S-adenosyl-L-methionine:3,4-dihydroxy-trans-c...",0.00199080240174674
"R02382","reaction","tyramine:oxygen oxidoreductase(deaminating)(f...",0.000490938864628777
"R02384","reaction","S-adenosyl-L-methionine:tyramine N-methyltran...",0.000490938864628777
"R02480","reaction","cytochrome c apocytochrome-c-lyase",0.0126898289665211
"R02520","reaction","Homogentisate + Oxygen <=> Gentisate aldehyde...",0.00519051128093158
"R02521","reaction","4-hydroxyphenylpyruvate:oxygen oxidoreductase...",0.0099900745997089
"R02532","reaction","4-[(1R)-2-amino-1-hydroxyethyl]-1,2-benzenedi...",0.000490938864628777
"R02533","reaction","S-adenosyl-L-methionine:phenylethanolamine N-...",0.000790911572052436
"R02534","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.000890902474526952
"R02535","reaction","dopamine,ascorbate:oxygen oxidoreductase (bet...",0.00069092066957792
"R02657","reaction","2,5-Dihydroxybenzoate + Hydrogen peroxide <=>...",0.0108899927219797
"R02669","reaction","3-Hydroxyanthranilate <=> 2-Aminophenol + CO2",0.0115899290393013
"R02670","reaction","2 3-Hydroxyanthranilate + 4 Oxygen <=> Cinnav...",0.00289072052401749
"R02671","reaction","3-Hydroxyanthranilate + S-Adenosyl-L-methioni...",0.000990893377001467
"R02715","reaction","D-arabinono-1,4-lactone:oxygen oxidoreductase",0.0118899017467249
"R02858","reaction","S-adenosyl-L-methionine:macrocin 3'''-O-methy...",0.00109088427947598
"R02859","reaction","S-adenosyl-L-methionine:demethylmacrocin 2'''...",0.00109088427947598
"R02864","reaction","S-adenosyl-L-methionine:uroporphyrin-III C-me...",0.00669037481804954
"R02908","reaction","5-hydroxytryptamine:oxygen oxidoreductase(dea...",0.0011908751819505
"R02909","reaction","5-hydroxytryptamine:oxygen 2,3-dioxygenase (i...",0.00549048398835513
"R02910","reaction","S-adenosyl-L-methionine:amine N-methyltransfe...",0.0011908751819505
"R02919","reaction","4-[(1R)-1-hydroxy-2-(methylamino)ethyl]-1,2-b...",0.000190966157205229
"R02920","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.000890902474526952
"R02931","reaction","S-adenosyl-L-methionine: genistein 4'-O-methy...",0.00109088427947598
"R03030","reaction","L-3-aminobutyryl-CoA ammonia-lyase",0.00579045669577879
"R03111","reaction","S-adenosyl-L-methionine:sterigmatocystin 8-O-...",0.00109088427947598
"R03112","reaction","S-adenosyl-L-methionine:6-demethylsterigmatoc...",0.00109088427947598
"R03130","reaction","S-adenosyl-L-homocysteine:N-acetylserotonin O...",0.0011908751819505
"R03165","reaction","hydroxymethylbilane hydro-lyase(cyclizing)",0.00129086608442502
"R03166","reaction","Hydroxymethylbilane <=> Uroporphyrinogen I + ...",0.0087901837700146
"R03194","reaction","S-adenosyl-L-methionine:uroporphyrinogen-III ...",0.000190966157205229
"R03197","reaction","uroporphyrinogen-III carboxy-lyase",0.000890902474526952
"R03208","reaction","2 3,5-Diiodo-L-tyrosine + Hydrogen peroxide <...",0.0110899745269287
"R03220","reaction","coproporphyrinogen:oxygen oxidoreductase (dec...",0.00279072962154298
"R03222","reaction","protoporphyrinogen-IX:oxygen oxidoreductase",0.00249075691411932
"R03231","reaction","S-adenosyl-L-methionine:8-amino-7-oxononanoat...",0.00739031113537115
"R03303","reaction","3,4-dihydroxyphenylacetate:oxygen 2,3-oxidore...",0.00249075691411932
"R03304","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.000390947962154261
"R03341","reaction","4-hydroxyphenylpyruvate carboxy-lyase",0.00179082059679771
"R03342","reaction","3-(4-hydroxyphenyl)pyruvate keto-enol-isomera...",0.00479054767103352
"R03366","reaction","S-adenosyl-L-methionine:3,4-dihydroxy-trans-c...",0.00159083879184856
"R03424","reaction","S-adenosyl-L-methionine:phosphatidyl-N-methyl...",0.00299071142649201
"R03511","reaction","phylloquinone:oxidized-dithiothreitol oxidore...",0.0100900655021834
"R03539","reaction","Hydroiodic acid + 3-Iodo-L-tyrosine <=> Iodin...",0.00759029294032018
"R03628","reaction","melatonin:oxygen 2,3-dioxygenase (indole-decy...",0.00229077510917029
"R03629","reaction","melatonin,NADPH---hemoprotein reductase:oxyge...",0.00549048398835513
"R03673","reaction","L-dopachrome delta7-delta2-isomerase",0.00209079330422125
"R03674","reaction","L-Dopachrome <=> 5,6-Dihydroxyindole + CO2",0.00109088427947598
"R03682","reaction","Hemoglobin + Oxygen <=> Oxyhemoglobin",0.00299071142649201
"R03684","reaction","Hemoglobin <=> Globin + Heme",0.00819023835516739
"R03831","reaction","(S)-reticuline:oxygen oxidoreductase (methyle...",0.000290957059679745
"R03832","reaction","S-adenosyl-L-methionine:3'-hydroxy-N-methyl-(...",0.000790911572052436
