"KEGG.id","Entry.type","KEGG.name","p.score"
"R00730","reaction","L-tyrosine,[reduced NADPH-hemoprotein reducta...",0.0134897561863173
"R00731","reaction","L-tyrosine:oxygen oxidoreductase",0.00889017467248911
"R00732","reaction","L-arogenate:NAD+ oxidoreductase",0.0117899108442504
"R00733","reaction","L-arogenate:NADP+ oxidoreductase",0.00939012918486169
"R00734","reaction","L-tyrosine:2-oxoglutarate aminotransferase",0.0125898380640465
"R00736","reaction","L-tyrosine carboxy-lyase (tyramine-forming)",0.0070903384279476
"R00737","reaction","L-tyrosine ammonia-lyase (trans-p-hydroxycinn...",0.0185892922125182
"R00739","reaction","L-tyrosine 2,3-aminomutase",0.0148896288209607
"R01171","reaction","butanoyl-CoA:NAD+ trans-2-oxidoreductase",0.00969010189228535
"R01257","reaction","(S)-malate:FAD oxidoreductase",0.00429059315866083
"R01269","reaction","S-adenosyl-L-methionine:nicotinamide N-methyl...",0.00699034752547309
"R01620","reaction","acetyl-phosphate:L-lysine N6-acetyltransferas...",0.00519051128093158
"R01728","reaction","prephenate:NAD+ oxidoreductase(decarboxylatin...",0.0142896834061135
"R01730","reaction","prephenate:NADP+ oxidoreductase(decarboxylati...",0.00899016557496363
"R01731","reaction","L-arogenate:2-oxoglutarate aminotransferase",0.0338879002911209
"R01815","reaction","L-tyrosine,tetrahydrobiopterin:oxygen oxidore...",0.0207890920669578
"R01973","reaction","S-adenosyl-L-methionine:(indol-3-yl)pyruvate ...",0.0320880640465794
"R02075","reaction","3,4-dihydroxy-L-phenylalanine:oxygen 4,5-oxid...",0.00749030203784567
"R02076","reaction","3,4-dihydroxy-L-phenylalanine:oxygen 2,3-oxid...",0.00749030203784567
"R02078","reaction","L-tyrosine,L-dopa:oxygen oxidoreductase",0.0101900564046579
"R02080","reaction","3,4-dihydroxy-L-phenylalanine carboxy-lyase",0.0052905021834061
"R02174","reaction","S-adenosyl-L-methionine:amine N-methyltransfe...",0.0259886189956332
"R02276","reaction","5-acetamidopentanoate amidohydrolase",0.000590929767103293
"R02373","reaction","ecdysone:oxygen 3-oxidoreductase",0.034487845705968
"R02379","reaction","S-adenosyl-L-methionine:3,4-dihydroxy-trans-c...",0.0298882641921398
"R02382","reaction","tyramine:oxygen oxidoreductase(deaminating)(f...",0.00219078420669577
"R02384","reaction","S-adenosyl-L-methionine:tyramine N-methyltran...",0.00909015647743814
"R02444","reaction","flavanone,2-oxoglutarate:oxygen oxidoreductas...",0.0267885462154294
"R02446","reaction","flavanone lyase (decyclizing)",0.0219889828966521
"R02487","reaction","glutaryl-CoA:electron-transfer flavoprotein 2...",0.0187892740174673
"R02516","reaction","4-hydroxyphenylacetate,NADPH:oxygen oxidoredu...",0.0335879275836972
"R02520","reaction","Homogentisate + Oxygen <=> Gentisate aldehyde...",0.00689035662299857
"R02521","reaction","4-hydroxyphenylpyruvate:oxygen oxidoreductase...",0.00549048398835513
"R02532","reaction","4-[(1R)-2-amino-1-hydroxyethyl]-1,2-benzenedi...",0.00679036572052406
"R02533","reaction","S-adenosyl-L-methionine:phenylethanolamine N-...",0.0166894650655021
"R02534","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.0173894013828239
"R02535","reaction","dopamine,ascorbate:oxygen oxidoreductase (bet...",0.00559047489082964
"R02546","reaction","(R,R)-tartrate epimerase",0.0311881459243086
"R02547","reaction","trans-2,3-epoxysuccinate hydrolase",0.0318880822416303
"R02657","reaction","2,5-Dihydroxybenzoate + Hydrogen peroxide <=>...",0.0203891284570597
"R02670","reaction","2 3-Hydroxyanthranilate + 4 Oxygen <=> Cinnav...",0.0165894741630276
"R02671","reaction","3-Hydroxyanthranilate + S-Adenosyl-L-methioni...",0.0188892649199418
"R02698","reaction","4-hydroxyphenylacetate,NADH:oxygen oxidoreduc...",0.0256886462882096
"R02715","reaction","D-arabinono-1,4-lactone:oxygen oxidoreductase",0.0277884552401746
"R02851","reaction","D-lysine:2-oxocarboxylate aminotransferase",0.00219078420669577
"R02852","reaction","D-2,6-diaminohexanoic acid 5,6-aminomutase",0.00149084788937405
"R02858","reaction","S-adenosyl-L-methionine:macrocin 3'''-O-methy...",0.025188691775837
"R02859","reaction","S-adenosyl-L-methionine:demethylmacrocin 2'''...",0.025188691775837
"R02901","reaction","phloretin acylhydrolase (phloroglucinol-formi...",0.0322880458515284
"R02908","reaction","5-hydroxytryptamine:oxygen oxidoreductase(dea...",0.0175893831877729
"R02910","reaction","S-adenosyl-L-methionine:amine N-methyltransfe...",0.0239888009461427
"R02919","reaction","4-[(1R)-1-hydroxy-2-(methylamino)ethyl]-1,2-b...",0.00919014737991266
"R02920","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.0183893104075691
"R02931","reaction","S-adenosyl-L-methionine: genistein 4'-O-methy...",0.0228889010189229
"R02962","reaction","Dopaquinone <=> 2-Carboxy-2,3-dihydro-5,6-dih...",0.0200891557496361
"R03030","reaction","L-3-aminobutyryl-CoA ammonia-lyase",0.000490938864628777
"R03111","reaction","S-adenosyl-L-methionine:sterigmatocystin 8-O-...",0.0235888373362445
"R03112","reaction","S-adenosyl-L-methionine:6-demethylsterigmatoc...",0.0246887372634643
"R03123","reaction","cis-3,4-leucopelargonidin:NADP+ 4-oxidoreduct...",0.0254886644832605
"R03124","reaction","dihydrokaempferol,[reduced NADPH---hemoprotei...",0.0132897743813683
"R03130","reaction","S-adenosyl-L-homocysteine:N-acetylserotonin O...",0.0216890101892285
"R03208","reaction","2 3,5-Diiodo-L-tyrosine + Hydrogen peroxide <...",0.0171894195778748
"R03284","reaction","4-Trimethylammoniobutanal + Glycine <=> (3S)-...",0.0138897197962155
"R03303","reaction","3,4-dihydroxyphenylacetate:oxygen 2,3-oxidore...",0.00539049308588061
"R03304","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.0058904475982533
"R03337","reaction","(R)-3-(4-hydroxyphenyl)lactate:NAD+ 2-oxidore...",0.0233888555312955
"R03339","reaction","(R)-3-(4-hydroxyphenyl)lactate:NADP+ 2-oxidor...",0.0161895105531296
"R03341","reaction","4-hydroxyphenylpyruvate carboxy-lyase",0.00169082969432319
"R03342","reaction","3-(4-hydroxyphenyl)pyruvate keto-enol-isomera...",0.00719032933042212
"R03349","reaction","L-erythro-3,5-diaminohexanoate:NAD+ oxidoredu...",0.00609042940320233
"R03366","reaction","S-adenosyl-L-methionine:3,4-dihydroxy-trans-c...",0.0204891193595342
"R03373","reaction","4-hydroxyphenyllactate:NAD+ oxidoreductase",0.0288883551673945
"R03374","reaction","caffeoyl-CoA:3-(3,4-dihydroxyphenyl)lactate 2...",0.0169894377729258
"R03451","reaction","N6,N6,N6-trimethyl-L-lysine,2-oxoglutarate:ox...",0.00769028384279481
"R03470","reaction","4-carboxymuconolactone carboxy-lyase",0.0171894195778748
"R03539","reaction","Hydroiodic acid + 3-Iodo-L-tyrosine <=> Iodin...",0.0140897016011645
"R03672","reaction","L-Dopachrome + 3,4-Dihydroxy-L-phenylalanine ...",0.0115899290393013
"R03673","reaction","L-dopachrome delta7-delta2-isomerase",0.00579045669577879
"R03674","reaction","L-Dopachrome <=> 5,6-Dihydroxyindole + CO2",0.00139085698689953
"R03831","reaction","(S)-reticuline:oxygen oxidoreductase (methyle...",0.00319069323144104
"R03832","reaction","S-adenosyl-L-methionine:3'-hydroxy-N-methyl-(...",0.0152895924308588
"R03833","reaction","(S)-reticuline,[reduced NADPH---hemoprotein r...",0.0269885280203785
"R03834","reaction","(S)-scoulerine,[reduced NADPH---hemoprotein r...",0.0182893195050946
"R03835","reaction","S-adenosyl-L-methionine:(S)-scoclaurine 9-O-m...",0.0204891193595342
"R03875","reaction","Protein lysine + S-Adenosyl-L-methionine <=> ...",0.000190966157205229
"R03943","reaction","N-Methyltyramine + S-Adenosyl-L-methionine <=...",0.017789364992722
"R03948","reaction","S-adenosyl-L-methionine:precorrin-4 C20-methy...",0.0281884188500728
