"QC(S)#1","1","2","3","4","5","6","7","8","9","10","QC(S)#2","11","12","13","14","15","16","17","18","19","20","QC(S)#3","21","22","23","24","25","26","27","28","29","30","QC(S)#4","31","32","33","34","35","36","37","38","39","40","QC(S)#5","41","42","43","44","45","46","47","48","49","50","QC(S)#6","51","52","53","54","55","56","57","58","59","60","QC(S)#7","61","62","63","64","65","66","67","68","69","70","QC(S)#8","71","72","73","74","75","76","77","78","79","80","QC(S)#9","81","82","83","84","85","86","87","88","89","90","QC(S)#10","91","92","93","94","95","96","97","98","99","100","QC(S)#11","101","102","103","104","105","106","107","108","109","110","QC(S)#12","111","112","113","114","115","116","117","118","119","120","QC(S)#13","121","122","123","124","125","126","127","128","129","130","QC(S)#14","131","132","133","134","135","136","137","138","139","140","141","QC(S)#15"
163246166.126863,167550062.735971,173486469.143772,170672971.874933,171629016.883183,171373314.523085,160003372.872607,171437366.688415,160638402.534996,164652898.944427,153553158.177511,161705134.700342,155842190.672531,156424557.96779,172230500.761124,169473325.313249,169369473.086433,164919151.237284,161911452.654681,161578728.902039,159205046.362515,162749674.304247,165896191.375096,165599133.825182,165090126.943273,158445778.403525,156159733.378918,161777927.780184,145462284.384632,165393892.684733,157839044.014734,158117837.489307,171703973.035292,162380987.937232,162886281.042565,182293963.088484,156092760.576763,175605161.175833,167794035.696916,166715555.401589,173956712.309123,163252238.77232,155708613.591054,181352255.25646,160516023.779227,175716003.179204,166661641.832538,153720990.437203,164502752.140316,167469092.210125,158445626.630668,169052938.004557,175886730.507095,168050394.650674,165903443.912217,156266171.326445,167745379.601008,165101155.293977,175400190.361604,157070591.856527,164417029.426757,166873738.959299,166875588.770657,158521323.816827,159336624.251087,173593896.119363,158123707.928693,152779323.831221,150540732.926884,156621046.650467,155659123.026728,165576509.303799,152053760.628551,160050421.011019,155286161.782325,159155393.280093,162429306.41453,157419169.864808,161110666.93734,155399552.234027,148647927.165562,156681215.871487,149884180.56116,149735885.38875,147014974.994919,163915315.028017,139159321.812683,169876954.293783,154513580.405373,153462267.104117,147833760.162755,164211623.824536,146890105.3043,159210782.890495,147338655.365928,148504028.601756,150246604.383775,148166353.645621,171023211.157358,151745521.211581,148097207.237222,153345674.333325,154434060.027291,153552892.204876,147001304.497762,149041550.27523,159409005.390326,156305495.951334,150936057.595935,143295149.449161,151697658.8681,142562645.306377,153433170.546166,150168232.708296,145888507.015267,153151301.32616,158127130.45221,150662938.927134,147906018.081944,147887742.402814,137123193.578194,146526513.943673,144068196.966939,151482407.053167,150816973.22009,150013247.125591,134371199.657486,144405568.486115,152162312.914373,157212582.587097,146457696.029506,148703644.946011,153292646.642385,145139085.822054,144237724.770292,145127072.119147,144827291.504026,149100070.634653,139127364.223158,146477774.395225,138203495.113748,142290279.342026,142817314.331954,146686281.574489,144911011.918808,153942533.319736,138403570.866333,158158528.374753,153486485.518333,140442022.296999,144440051.196764,137596465.428082,135364980.548884,139575651.421991,139695376.395483,152913920.481749
4542818.19046569,4738448.51042734,4798726.52336409,4708478.50735261,4652775.68057982,4328962.21385193,4601893.8590352,4672090.57685606,4611658.75447796,4561453.68568572,4414660.07410759,4570980.39087902,4620061.6555525,4367691.32513258,4544757.20024481,4771207.84698395,4631425.56552257,4551918.47027244,4554625.32200801,4876719.47387839,4519045.66223858,4723320.35787273,4783637.21813169,4688418.5507678,4633894.56981055,4597711.50100221,4471356.62361353,4646066.96768231,4302749.66290179,4572340.1202233,4470574.24769107,4645639.78623507,4535716.72937296,4682984.27013873,4472146.61680304,4773670.48144016,4492713.97202206,4695308.00078382,4778411.5815831,4861525.65418163,4423709.42439534,4735204.46879801,4598221.79078621,4600188.54570762,4453195.78717134,4774891.78744127,4440163.92926967,4634621.59033934,4599838.35822693,4636764.15891624,4776572.28938345,4625868.56070373,4671115.93126272,4654761.67914786,4666524.83192432,4595967.57993343,4407704.20043988,4608051.85379915,4622846.87769706,4426084.0167787,4818422.24631829,4749416.70100515,4689394.17097533,4488546.62967032,4267925.91847553,4493025.16090904,4390294.21459402,4472915.78814351,4403587.17541294,4632636.65014648,4573197.00263505,4503316.90898118,4184814.13645309,4582758.20383365,4356838.9589485,4631936.70550421,4507532.73555474,4454515.03177183,4713729.68460889,4367238.85623004,4343431.62321953,4603831.77861243,4728822.658503,4372527.64589914,4398931.37750301,4767295.4814057,4546506.94651835,4673026.44849824,4470713.64182101,4235172.46361613,4185938.91558517,4434121.47826436,3988998.73832607,4514156.13826649,4036532.81940888,4337246.06867297,4394812.10499519,3782937.30127736,4830466.90150775,4313490.3642863,4207712.07958384,4374017.37675564,4200348.31895435,4126754.6816306,4396231.48598343,4427816.26954516,4526931.10629341,4452649.41535793,4289845.64216843,4302060.6124532,4247642.579472,4665363.36679749,4381557.41747654,4318150.9926681,4162858.66363243,4528205.57827904,4492729.21327561,4260636.86395725,4242148.60740211,4435190.6336433,4205994.15565774,4248811.47576822,4576875.69700918,4583508.20440198,4441523.0849945,4626992.37788366,4185801.48845568,4317128.16489163,4316065.66168812,4169277.89463915,4040767.2113107,4217377.30898992,4206400.64762535,4167641.49216735,4177961.83507844,4310081.14153104,4264965.58998722,4322770.82663277,4086943.18655453,3961844.13654178,4149314.55339526,4165885.79135204,4184848.79090748,4238593.86332336,4049545.63210668,4335458.52534309,4332025.64480044,4520793.04353447,4254759.8832775,4225165.75178761,4194124.3484918,4040584.47096621,4078278.17896622,3911695.31486548,4131380.32196572,4379736.31961742
35433435.3408513,36156425.8538503,36253425.708134,35736784.1648984,36755413.3885199,36599331.8014142,32774418.8653935,36101661.2480344,32854574.4073748,32247862.189383,31889008.2393689,33525474.7450037,33236516.8288346,33190631.4340675,36550788.9963046,35265793.7511375,36313462.8818526,32995819.8055795,33689812.1228658,33931491.495524,34793957.5568419,35091634.9869335,34864152.760498,35114306.5062029,34186954.0990527,32929083.1045416,34198149.3269528,34565522.5514555,30500688.8008324,34521321.3662514,32159575.4763815,34878168.1656886,35427346.7907517,33670103.7843859,33329505.8487245,36379942.3218051,31938336.9982329,36191416.2750614,35929715.1387757,35124962.2717236,36543940.5651623,34693300.737526,32838208.8612793,37024630.4346981,35359402.1894437,36992023.1803505,33926872.1437788,32674884.8931763,33847455.5753765,33855853.3669233,33209206.7924196,35161876.0080958,33081459.6683613,36284118.9001684,35250075.0737408,34549722.0532217,34959359.0022698,35733137.119152,35854113.1097204,32807971.1312927,34944527.0415217,34917632.2775415,35712275.0570536,32173401.8860871,30874361.7184133,33601306.7307604,32711325.2473893,31277092.984246,31879583.9504645,35383851.2524671,34014547.0645691,33837804.9898845,31955158.2368288,32869723.6574809,32571704.5501285,33635107.5273308,33763793.6313112,32830719.5730877,33677443.5104212,31434622.7403976,33043832.7902406,33018383.8320698,33907454.524729,32651771.0970007,32298290.4210621,34178430.5161729,34157531.8121282,36280714.2330497,32755100.0135401,31733921.026802,32575844.0887368,33709485.8200856,30074741.6681362,33796562.330288,32593462.508804,32790631.9337495,31249147.541176,31270497.7577697,37434555.6762249,31806935.8341032,30688046.022519,32604828.059786,32484153.379057,33436946.3781081,33096442.4945908,32886842.8997613,34289443.2178207,34216028.5228252,31612208.6472874,32094829.9739407,32095632.5178323,34420159.8190345,34236777.0952963,34814887.3808478,31956164.6771422,33318182.1423155,34797565.741351,32216144.2148204,32568988.0272389,33050684.1485819,30807242.9635721,33778850.8494308,34313611.2069164,34549237.2725139,31278124.0149745,31866033.1982438,30505727.9265617,31697120.5313229,34461614.3592205,34366821.3417563,34362566.3841541,33553337.9118872,33680956.3900407,27389537.5211312,32595690.8089199,32882861.5368484,31608797.6065069,34449955.4738709,30323380.8073032,31965170.327258,30991120.6631933,31849762.0149486,32153310.2085251,31110932.4334578,33068240.7273329,34062631.4000566,31405052.0952361,34055368.0426446,33860818.144263,29908573.4698553,32072396.7002667,32120192.5431594,32210851.8931277,30442937.9409296,32099252.1027765,32634950.2784454
19448100.7585575,21642260.0723737,23266534.7319852,21783722.419443,24032462.0243735,22607365.1969942,19004384.5745172,21754163.7747713,17418607.4748256,19847103.9857893,18004319.0100002,19374844.7679597,18584253.50766,18859495.2007528,21125401.8488193,21655922.1665321,19879731.6630766,18687386.6230183,17915462.93495,18480161.7606971,18182895.2844348,19174517.9952161,20291435.970739,19132541.1010412,20315914.7480894,18919734.9346177,18828085.6323411,19201587.1046997,18317631.3027904,19683571.8806346,20143255.6090387,19430306.3484199,20309496.473253,19452465.9803143,18730251.0598378,22869128.0608087,18519423.9061467,20953954.1884299,20440068.4394594,20303815.5557864,21118835.2030323,19944591.8522807,18408041.505772,23939588.8716609,19680668.6468822,21645909.3215452,21187565.1457777,18391459.8398704,19861753.8356771,19925702.1911414,17765311.4853066,20964907.2282096,19596993.6711317,20810962.0257941,20934525.1359553,19203356.1547801,19865815.7711981,20267597.9191525,22722872.0817046,18374329.3461694,21235711.8030573,21133130.1066614,21139646.0615712,19133868.8765971,17793222.1748414,22544336.1232716,17830686.532959,18032797.7044132,16665630.7437498,19897690.1066836,18918136.8505701,19966942.9082311,17488781.2721521,21128232.0516744,19233051.9453856,18138595.5788275,22540110.1633343,18838323.1043132,19465017.0057792,17991950.259571,18774696.7034623,19111611.2902751,19045591.5172528,16608080.5226682,18406748.0822695,19908884.8889971,19228272.2476861,21491698.2960273,17815910.5631643,17070138.8079279,18574877.6889006,20261549.6131172,18721903.5989773,20083500.069783,17564516.5095373,18047178.859291,17921404.1916602,15870618.4774987,24531555.1740722,18095287.9331033,17827526.2335769,17669305.6416938,17238395.7116715,18678945.9255351,18057267.9626116,20452746.145045,21368583.4459477,18652916.661372,17647184.4485329,19364921.3231902,19434484.637842,20027469.542334,18973299.775161,18901393.9700731,18097837.289388,21840967.6949371,20445223.6541174,18880752.5835528,18294803.2004735,18916068.8788731,15950155.5025332,19659167.3645786,20384145.8794191,20930864.0535416,17816455.6075418,19674756.6504426,16304558.7235586,17269028.8675524,19648377.3736412,21023636.8245763,19189941.5332619,18998928.0226309,19042207.3181921,18229925.0112385,19327363.9552696,19059073.5824836,18292914.9668095,21498165.4549899,16506460.5910241,18721379.5470317,18878475.9886398,19455954.095284,18324932.9622291,19115262.9317513,18049194.4384201,22223176.1018659,16647850.0788496,21360109.3797219,21848636.5231588,16472945.8183986,18171698.3692521,16503207.2340953,18823828.2589568,17201328.8514867,16905953.5200602,18067631.7174824
